Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,43.20,43.45,42.60,42.60,1977300,39.08
2009-12-30,43.26,43.50,43.00,43.34,1992500,39.76
2009-12-29,43.42,43.71,43.21,43.37,2338800,39.79
2009-12-28,43.55,43.70,43.17,43.36,1854500,39.78
2009-12-24,43.10,43.62,43.04,43.36,1650100,39.78
2009-12-23,42.80,43.05,42.50,42.91,2066700,39.36
2009-12-22,42.44,43.10,42.44,42.62,2629200,39.10
2009-12-21,41.82,42.47,41.82,42.40,3862900,38.90
2009-12-18,41.62,41.87,41.10,41.78,6327900,38.33
2009-12-17,41.45,41.74,41.15,41.50,4151700,38.07
2009-12-16,42.26,42.40,41.45,41.70,3976800,38.25
2009-12-15,42.35,42.35,42.00,42.21,2867300,38.72
2009-12-14,42.12,42.51,42.12,42.41,2840700,38.91
2009-12-11,41.81,42.20,41.68,42.00,3817800,38.53
2009-12-10,41.67,41.97,41.51,41.71,3152200,38.26
2009-12-09,40.79,41.36,40.52,41.33,5037300,37.91
2009-12-08,41.89,41.89,40.73,40.83,5232400,37.46
2009-12-07,41.99,42.54,41.94,41.99,3755300,38.52
2009-12-04,41.91,42.44,41.33,42.14,3912400,38.66
2009-12-03,41.90,42.46,41.45,41.47,3058200,38.04
2009-12-02,42.03,42.43,41.59,41.98,4014800,38.51
2009-12-01,41.91,42.43,41.69,42.19,3215000,38.70
2009-11-30,41.38,41.68,41.08,41.41,3859100,37.99
2009-11-27,41.33,41.79,40.79,41.50,1584300,38.07
2009-11-25,42.23,42.40,41.88,42.32,2497700,38.82
2009-11-24,42.30,42.58,41.84,42.25,2969000,38.76
2009-11-23,42.23,42.81,42.09,42.30,2767200,38.80
2009-11-20,41.74,41.83,41.00,41.68,4268000,38.24
2009-11-19,42.40,42.60,41.57,41.86,3797500,38.40
2009-11-18,42.65,42.83,42.21,42.77,4079900,39.24
2009-11-17,42.43,42.65,41.82,42.61,3513700,39.09
2009-11-16,41.84,42.93,41.60,42.40,5240100,38.90
2009-11-13,41.39,41.95,41.23,41.77,3031100,38.32
2009-11-12,41.27,41.83,41.17,41.33,4260100,37.91
