Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,83.40,83.40,81.82,81.84,659800,71.09
2009-12-30,82.88,83.48,82.77,83.08,544900,72.17
2009-12-29,83.70,83.78,83.17,83.26,515000,72.33
2009-12-28,83.49,83.74,83.15,83.35,672500,72.40
2009-12-24,82.98,83.58,82.98,83.45,259900,72.49
2009-12-23,82.90,83.26,82.55,82.81,808300,71.94
2009-12-22,84.25,84.44,82.73,82.88,1070600,72.00
2009-12-21,83.46,84.25,83.09,84.01,1306300,72.98
2009-12-18,81.00,83.25,81.00,83.04,2885700,72.14
2009-12-17,82.05,83.34,81.78,82.73,1565300,71.87
2009-12-16,83.45,83.45,82.15,82.35,1007000,71.54
2009-12-15,83.37,83.67,82.46,83.00,1069500,72.10
2009-12-14,83.70,84.13,83.31,83.76,1217000,72.76
2009-12-11,81.87,83.11,81.68,83.06,1029700,72.15
2009-12-10,81.35,82.09,80.81,81.75,1349600,71.01
2009-12-09,80.93,81.00,80.37,80.88,744400,70.26
2009-12-08,80.83,81.23,80.09,80.92,1182500,70.29
2009-12-07,80.60,81.59,80.46,81.15,1046000,70.49
2009-12-04,81.78,82.19,79.13,80.46,1559400,69.89
2009-12-03,81.63,82.16,80.86,81.06,1171900,70.42
2009-12-02,81.12,82.31,80.89,81.52,1266100,70.81
2009-12-01,79.24,81.09,78.87,81.05,1460900,70.41
2009-11-30,78.57,79.23,78.25,78.65,1169400,68.32
2009-11-27,78.70,79.29,78.10,78.50,351400,68.19
2009-11-25,79.33,80.30,79.06,80.06,524200,69.55
2009-11-24,79.12,79.50,78.62,79.26,667600,68.85
2009-11-23,78.27,79.47,78.27,78.94,505600,68.57
2009-11-20,77.52,78.14,77.21,77.79,870700,67.57
2009-11-19,78.29,78.59,77.24,77.81,956500,67.59
2009-11-18,79.21,79.46,78.54,78.72,821300,68.38
2009-11-17,79.68,79.84,79.23,79.42,473000,68.99
2009-11-16,78.85,79.99,78.76,79.67,1110400,69.21
2009-11-13,76.90,78.82,76.38,78.64,1680200,68.31
2009-11-12,77.56,78.22,76.72,76.79,575400,66.71
2009-11-11,77.95,78.15,77.14,77.56,697000,67.37
2009-11-10,77.20,78.29,77.20,77.53,845900,67.35
2009-11-09,77.07,77.58,76.47,77.58,746200,67.39
2009-11-06,77.86,77.86,76.52,77.01,820100,66.25
2009-11-05,77.37,77.88,76.86,77.68,833300,66.82
2009-11-04,77.49,77.70,76.27,76.82,1133100,66.08
2009-11-03,77.20,77.26,76.10,76.26,1143000,65.60
2009-11-02,76.99,77.96,76.46,77.20,1105100,66.41
2009-10-30,78.46,78.76,76.56,76.72,1421800,66.00
2009-10-29,77.81,78.67,77.15,78.55,864400,67.57
2009-10-28,78.38,78.83,77.24,77.64,1469100,66.79
2009-10-27,78.57,79.44,78.02,78.38,1089500,67.42
2009-10-26,79.26,80.49,78.21,78.41,1166800,67.45
2009-10-23,80.86,80.89,78.79,79.29,1007300,68.21
2009-10-22,80.50,81.32,79.50,80.89,1285700,69.58
2009-10-21,80.01,81.81,79.80,80.75,1180400,69.46
2009-10-20,81.19,81.82,79.40,80.00,764000,68.82
2009-10-19,80.42,81.17,80.36,80.97,1525700,69.65
2009-10-16,79.62,80.91,79.30,80.64,1050000,69.37
2009-10-15,78.23,80.47,78.23,80.15,1549400,68.95
2009-10-14,79.34,79.47,78.27,78.82,1062500,67.80
2009-10-13,79.68,80.05,78.70,78.81,974900,67.79
2009-10-12,79.81,80.45,79.62,80.02,952200,68.83
2009-10-09,79.12,80.63,79.12,79.73,2126400,68.59
2009-10-08,78.98,79.37,78.59,78.86,1345700,67.84
2009-10-07,78.74,79.27,78.54,78.94,836800,67.91
2009-10-06,78.90,79.61,78.35,79.22,1421500,68.15
2009-10-05,77.75,79.09,77.02,78.72,1299700,67.72
2009-10-02,77.17,77.67,77.00,77.38,1111600,66.56
2009-10-01,79.24,79.33,77.66,77.82,1093800,66.94
2009-09-30,80.35,80.45,79.30,79.86,1220800,68.70
2009-09-29,79.80,80.66,79.50,80.46,1309900,69.21
2009-09-28,79.54,80.30,79.43,79.80,492900,68.65
2009-09-25,79.53,80.00,79.30,79.36,507200,68.27
2009-09-24,80.52,81.10,79.62,79.82,806400,68.66
2009-09-23,80.11,81.72,80.11,80.21,962400,69.00
2009-09-22,80.51,80.80,79.99,80.43,924500,69.19
2009-09-21,80.58,81.09,79.41,80.59,1326400,69.33
2009-09-18,80.57,81.26,79.77,80.89,2005700,69.58
2009-09-17,79.62,80.20,79.34,79.58,1340700,68.46
2009-09-16,78.74,80.05,78.29,80.03,1673000,68.84
2009-09-15,78.39,78.65,77.52,78.48,1820800,67.51
