Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,33.30,33.30,32.72,32.73,860000,32.03
2009-12-30,33.04,33.35,32.89,33.19,860600,32.48
2009-12-29,32.61,33.29,32.00,33.18,1065400,32.47
2009-12-28,32.26,32.62,32.24,32.53,740200,31.84
2009-12-24,32.04,32.25,31.92,32.24,263100,31.55
2009-12-23,31.77,32.12,31.52,31.92,935700,31.24
2009-12-22,30.83,31.81,30.77,31.80,1447700,31.12
2009-12-21,30.36,31.01,30.30,30.71,1099400,30.05
2009-12-18,30.17,30.38,29.92,30.34,1535000,29.69
2009-12-17,30.28,30.36,29.87,29.92,844000,29.28
2009-12-16,30.23,30.53,29.97,30.25,737700,29.60
2009-12-15,29.68,30.34,29.24,30.22,1781500,29.57
2009-12-14,30.25,30.28,30.03,30.25,1018800,29.60
2009-12-11,30.20,30.31,29.83,29.94,1319500,29.30
2009-12-10,30.25,30.39,30.08,30.21,1564400,29.57
2009-12-09,30.54,30.54,29.60,30.08,1962500,29.44
2009-12-08,30.08,30.40,29.48,29.99,1654500,29.35
2009-12-07,29.70,29.93,29.45,29.81,878800,29.17
2009-12-04,29.87,30.29,29.50,29.80,1086000,29.16
2009-12-03,29.65,29.88,29.32,29.35,844700,28.72
2009-12-02,29.12,29.64,28.99,29.61,1426700,28.98
2009-12-01,28.90,29.32,28.90,29.09,1007900,28.47
2009-11-30,28.54,28.86,28.34,28.70,1151300,28.09
2009-11-27,28.64,29.13,28.08,28.79,541700,28.18
2009-11-25,29.25,29.47,29.12,29.32,1484000,28.69
2009-11-24,29.74,29.74,28.97,29.27,1535700,28.65
2009-11-23,30.00,30.06,29.63,29.80,1119300,29.16
2009-11-20,30.50,30.50,29.21,29.57,1028400,28.94
2009-11-19,30.26,30.26,29.31,29.62,1189300,28.99
2009-11-18,30.29,30.42,29.77,30.34,1152600,29.69
2009-11-17,29.74,30.52,29.52,30.45,1656300,29.80
2009-11-16,28.99,29.78,28.79,29.72,1612300,29.09
2009-11-13,28.83,29.04,28.60,28.97,822900,28.35
2009-11-12,28.60,29.15,28.53,28.72,1010800,28.11
2009-11-11,29.11,29.12,28.59,28.89,1013300,28.27
2009-11-10,28.79,28.94,28.58,28.84,1170300,28.22
2009-11-09,28.88,29.02,28.56,29.02,1076900,28.40
2009-11-06,28.50,28.82,28.10,28.76,1026100,28.15
2009-11-05,28.04,28.86,28.04,28.69,1057100,28.08
2009-11-04,28.05,28.39,27.56,27.99,1698000,27.39
2009-11-03,28.03,28.03,27.43,27.60,2346100,27.01
2009-11-02,27.86,28.37,27.68,28.11,1362900,27.51
2009-10-30,28.64,28.80,27.79,27.81,1578100,27.22
2009-10-29,28.18,28.81,28.16,28.62,1921400,28.01
2009-10-28,29.04,29.20,28.06,28.07,2639000,27.47
2009-10-27,29.16,29.67,29.11,29.22,1630300,28.60
2009-10-26,29.28,29.84,29.08,29.16,1675600,28.54
2009-10-23,29.17,29.62,29.03,29.33,1906700,28.70
2009-10-22,29.10,29.30,28.07,29.16,2769000,28.54
2009-10-21,29.41,30.20,29.11,29.77,2991300,29.13
2009-10-20,29.19,29.29,28.60,28.95,2254300,28.33
2009-10-19,28.80,29.48,28.57,29.30,1799900,28.67
2009-10-16,28.95,28.97,28.39,28.62,3024400,28.01
2009-10-15,27.90,28.62,27.90,28.52,1768100,27.91
2009-10-14,28.15,28.33,27.93,28.16,2110700,27.56
2009-10-13,28.38,28.38,27.71,27.89,900000,27.29
2009-10-12,27.79,28.36,27.65,27.97,1223100,27.37
2009-10-09,27.67,27.81,27.38,27.80,928300,27.21
2009-10-08,27.50,27.90,27.32,27.62,1281300,27.03
2009-10-07,27.47,27.60,26.98,27.31,1533000,26.73
2009-10-06,27.32,27.75,27.19,27.41,1373500,26.82
2009-10-05,26.95,27.32,26.59,27.11,1795300,26.53
2009-10-02,26.61,27.14,26.60,26.96,1808500,26.38
2009-10-01,27.45,28.47,26.67,26.73,2863800,26.16
2009-09-30,28.08,28.22,27.41,27.97,1468900,27.37
2009-09-29,27.99,28.20,27.52,28.06,1885100,27.46
2009-09-28,27.63,28.35,27.50,28.26,1927900,27.66
2009-09-25,27.42,27.89,27.32,27.61,1807100,27.02
2009-09-24,28.06,28.34,27.36,27.50,2690800,26.91
2009-09-23,28.32,28.44,27.77,27.80,3248600,27.21
2009-09-22,28.34,28.52,28.01,28.10,1905200,27.50
2009-09-21,27.91,28.34,27.60,28.31,2813600,27.71
2009-09-18,27.39,28.12,27.39,27.97,4299300,27.37
2009-09-17,28.50,29.09,27.94,28.08,6173900,27.48
2009-09-16,27.00,28.69,26.98,28.64,4874000,28.03
2009-09-15,26.80,27.22,26.77,27.08,5172400,26.50
2009-09-14,25.75,27.38,25.67,27.31,5407100,26.73
2009-09-11,24.90,25.93,24.75,25.85,3903000,25.30
2009-09-10,24.06,24.74,23.72,24.73,2223000,24.20
2009-09-09,23.71,24.07,23.50,23.99,1651900,23.48
2009-09-08,23.43,23.73,23.22,23.71,1513600,23.20
2009-09-04,23.00,23.23,22.73,23.20,975400,22.70
2009-09-03,22.75,22.96,22.54,22.96,1256100,22.47
2009-09-02,22.69,22.94,22.34,22.74,2047000,22.25
2009-09-01,23.17,23.49,22.52,22.58,2544600,22.10
2009-08-31,23.03,23.10,22.87,23.02,1764600,22.53
2009-08-28,23.25,23.54,22.91,23.10,1400600,22.61
2009-08-27,22.90,23.25,22.62,23.21,1624200,22.71
2009-08-26,22.77,23.05,22.51,22.97,974600,22.48
2009-08-25,23.03,23.24,22.77,22.88,1038800,22.39
2009-08-24,23.13,23.25,22.82,22.95,1403100,22.46
2009-08-21,22.20,23.12,22.20,23.05,1706800,22.56
