Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,34.01,34.18,33.56,33.56,323200,33.56
2009-12-30,33.54,34.17,33.45,34.03,280100,34.03
2009-12-29,33.75,33.83,33.46,33.79,248600,33.79
2009-12-28,34.01,34.02,33.41,33.74,245200,33.74
2009-12-24,33.87,33.98,33.59,33.82,216200,33.82
2009-12-23,33.35,33.89,33.22,33.88,446600,33.88
2009-12-22,33.42,33.47,32.93,33.34,528600,33.34
2009-12-21,33.05,33.74,32.91,33.41,658900,33.41
2009-12-18,33.50,33.59,32.34,32.87,1156600,32.87
2009-12-17,33.53,34.14,33.08,33.47,706000,33.47
2009-12-16,33.26,34.12,33.21,33.76,684400,33.76
2009-12-15,32.56,33.24,32.27,33.03,787600,33.03
2009-12-14,32.23,32.90,31.75,32.84,655200,32.84
2009-12-11,32.15,32.18,31.66,32.08,649900,32.08
2009-12-10,31.71,32.19,31.71,32.15,786800,32.15
2009-12-09,31.02,31.70,31.02,31.60,334200,31.60
2009-12-08,31.37,31.87,30.90,31.64,427800,31.64
2009-12-07,31.80,32.00,31.57,31.74,298800,31.74
2009-12-04,31.87,32.20,31.07,31.78,750100,31.78
2009-12-03,32.02,32.20,31.35,31.36,586800,31.36
2009-12-02,32.00,32.45,31.70,32.06,576500,32.06
2009-12-01,31.15,32.04,31.14,31.82,627000,31.82
2009-11-30,31.50,31.75,30.65,30.85,1105000,30.85
2009-11-27,31.20,31.90,31.14,31.45,348000,31.45
2009-11-25,32.39,32.55,32.11,32.18,429000,32.18
2009-11-24,33.00,33.05,32.01,32.21,619500,32.21
2009-11-23,32.21,33.40,31.99,32.90,657300,32.90
2009-11-20,31.82,32.17,31.50,31.88,573900,31.88
2009-11-19,32.33,32.43,31.55,31.95,501500,31.95
2009-11-18,32.58,32.81,32.25,32.70,460700,32.70
2009-11-17,32.46,32.84,32.00,32.60,521500,32.60
2009-11-16,32.25,32.78,31.98,32.51,608500,32.51
2009-11-13,31.21,32.20,30.77,32.06,543800,32.06
2009-11-12,31.78,32.10,31.13,31.24,489000,31.24
2009-11-11,31.64,32.20,31.34,31.99,513000,31.99
2009-11-10,31.00,32.07,30.20,31.52,1914100,31.52
2009-11-09,28.61,29.21,28.61,28.91,713200,28.91
2009-11-06,28.06,28.72,27.84,28.43,436100,28.43
2009-11-05,27.94,28.70,27.78,28.34,541900,28.34
2009-11-04,27.79,28.35,27.45,27.72,485400,27.72
2009-11-03,26.82,27.56,26.72,27.48,768200,27.48
2009-11-02,26.83,27.47,26.14,27.07,694900,27.07
2009-10-30,27.33,27.48,26.43,26.73,514200,26.73
2009-10-29,27.16,27.79,26.99,27.58,232300,27.58
2009-10-28,28.21,28.21,26.77,26.87,548100,26.87
2009-10-27,29.32,29.47,27.84,28.21,557700,28.21
2009-10-26,29.33,29.96,29.00,29.13,348500,29.13
2009-10-23,29.97,30.23,28.85,29.23,387500,29.23
2009-10-22,29.55,30.44,29.03,29.96,504800,29.96
2009-10-21,29.55,30.48,29.40,29.48,466700,29.48
2009-10-20,30.28,30.28,29.18,29.65,271600,29.65
2009-10-19,30.41,30.85,29.73,30.32,249900,30.32
2009-10-16,30.17,30.37,29.46,30.22,348300,30.22
2009-10-15,29.94,30.37,29.70,30.34,365400,30.34
2009-10-14,29.85,30.40,29.46,30.26,304300,30.26
2009-10-13,29.19,29.50,28.82,29.45,236300,29.45
2009-10-12,29.70,29.81,28.72,29.36,271400,29.36
2009-10-09,28.99,29.66,28.60,29.61,343300,29.61
2009-10-08,28.63,29.04,28.48,28.98,558700,28.98
2009-10-07,28.00,28.44,27.80,28.40,315800,28.40
2009-10-06,27.43,28.15,27.31,28.03,387700,28.03
2009-10-05,26.58,27.17,26.30,27.15,274400,27.15
2009-10-02,26.75,26.92,26.25,26.39,400500,26.39
2009-10-01,28.50,28.63,26.92,26.97,475900,26.97
2009-09-30,28.71,28.83,27.90,28.45,356400,28.45
2009-09-29,28.34,29.30,28.26,28.74,419800,28.74
2009-09-28,27.97,28.31,27.69,28.25,332000,28.25
2009-09-25,28.05,28.22,27.31,27.76,425200,27.76
2009-09-24,29.32,29.42,27.94,28.23,851400,28.23
2009-09-23,29.74,29.90,29.24,29.26,317300,29.26
2009-09-22,29.90,29.94,29.48,29.76,323800,29.76
2009-09-21,29.12,30.00,29.11,29.72,357600,29.72
