Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,32.58,32.67,32.09,32.11,975000,32.11
2009-12-30,32.32,32.49,32.20,32.46,738300,32.46
2009-12-29,32.48,32.76,32.40,32.47,939300,32.47
2009-12-28,32.25,32.46,32.09,32.45,1412100,32.45
2009-12-24,32.24,32.26,32.08,32.25,347400,32.25
2009-12-23,32.33,32.56,32.00,32.13,1275300,32.13
2009-12-22,32.02,32.39,31.99,32.30,1388000,32.30
2009-12-21,31.96,32.33,31.88,32.03,1661700,32.03
2009-12-18,31.88,31.88,31.33,31.72,2601400,31.72
2009-12-17,31.69,31.72,31.39,31.55,2328200,31.55
2009-12-16,31.94,32.07,31.82,31.89,1970800,31.89
2009-12-15,31.54,31.86,31.40,31.80,1561000,31.80
2009-12-14,31.45,31.75,31.45,31.69,1886100,31.69
2009-12-11,31.24,31.49,31.11,31.31,2221900,31.31
2009-12-10,31.31,31.53,31.10,31.19,1953400,31.19
2009-12-09,30.98,31.18,30.84,31.14,1891400,31.14
2009-12-08,30.76,31.04,30.50,30.96,2359400,30.96
2009-12-07,31.24,31.54,30.99,31.03,1622500,31.03
2009-12-04,31.64,31.84,31.05,31.20,1877200,31.20
2009-12-03,31.56,31.74,31.20,31.23,2301600,31.23
2009-12-02,31.16,31.77,31.13,31.56,2476300,31.56
2009-12-01,30.93,31.28,30.68,31.01,2131700,31.01
2009-11-30,30.57,30.70,30.37,30.66,2249900,30.66
2009-11-27,30.40,30.74,30.25,30.56,810900,30.56
2009-11-25,30.66,31.14,30.65,31.10,2640400,31.10
2009-11-24,30.17,30.69,30.05,30.69,3744000,30.69
2009-11-23,29.82,30.08,29.69,30.07,2135300,30.07
2009-11-20,29.19,29.62,28.93,29.57,3443500,29.57
2009-11-19,29.17,29.17,28.51,29.11,2667400,29.11
2009-11-18,28.87,29.24,28.63,29.14,2259100,29.14
2009-11-17,28.89,29.05,28.61,28.98,1697300,28.98
2009-11-16,28.44,29.13,28.44,28.97,2641200,28.97
2009-11-13,28.58,28.71,28.32,28.35,2223700,28.35
2009-11-12,28.85,29.00,28.40,28.44,1907300,28.44
2009-11-11,28.93,29.00,28.58,28.89,1276800,28.89
2009-11-10,28.75,28.94,28.67,28.86,1572600,28.86
2009-11-09,28.82,28.95,28.52,28.95,2563200,28.95
2009-11-06,28.30,28.67,28.07,28.67,2233800,28.67
2009-11-05,28.00,28.46,27.91,28.39,2048000,28.39
2009-11-04,27.67,28.50,27.60,27.92,3105900,27.92
2009-11-03,28.90,28.95,27.43,27.52,6415400,27.52
2009-11-02,27.75,27.91,27.40,27.48,3363800,27.48
2009-10-30,27.85,28.29,27.67,27.67,3719200,27.67
2009-10-29,27.30,27.96,27.02,27.89,3097400,27.89
2009-10-28,27.80,27.95,27.22,27.24,2321200,27.24
2009-10-27,27.78,28.12,27.65,27.89,3022300,27.89
2009-10-26,27.85,28.44,27.60,27.80,2616200,27.80
2009-10-23,28.87,28.97,27.80,27.88,3581800,27.88
2009-10-22,28.81,29.03,28.46,28.92,2220700,28.92
2009-10-21,29.35,29.57,28.73,28.79,3615500,28.79
2009-10-20,29.32,30.04,28.64,28.96,4353900,28.96
2009-10-19,29.75,30.56,29.75,30.25,3006200,30.25
2009-10-16,30.02,30.06,29.38,29.66,2705500,29.66
2009-10-15,29.49,30.26,29.49,30.18,3915200,30.18
2009-10-14,29.18,29.90,29.03,29.64,2550600,29.64
2009-10-13,30.03,30.03,29.47,29.71,1722600,29.71
2009-10-12,29.79,30.07,29.79,30.05,1308600,30.05
2009-10-09,29.56,29.95,29.48,29.88,1112600,29.88
2009-10-08,29.72,29.99,29.53,29.66,1692400,29.66
2009-10-07,29.26,29.57,29.17,29.53,1816700,29.53
2009-10-06,29.05,29.45,28.87,29.39,2047800,29.39
2009-10-05,28.63,29.01,28.25,28.86,1947500,28.86
2009-10-02,28.74,28.91,28.42,28.49,2476400,28.49
2009-10-01,29.33,29.47,28.75,28.78,2611000,28.78
2009-09-30,29.79,29.79,28.91,29.44,2737600,29.44
2009-09-29,29.37,29.79,29.29,29.71,3027200,29.71
2009-09-28,28.51,29.45,28.50,29.20,2207500,29.20
2009-09-25,28.64,28.75,28.35,28.51,2773500,28.51
2009-09-24,28.53,28.74,28.30,28.65,1738900,28.65
2009-09-23,28.94,28.94,28.49,28.52,2080000,28.52
2009-09-22,28.96,29.01,28.45,28.88,2719900,28.88
2009-09-21,28.91,29.21,28.58,28.96,2735700,28.96
2009-09-18,28.88,29.12,28.80,28.95,2725500,28.95
