Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,38.33,38.57,37.96,37.96,484800,34.22
2009-12-30,38.49,38.60,38.34,38.44,627400,34.66
2009-12-29,38.60,38.83,38.60,38.67,476400,34.86
2009-12-28,38.82,38.85,38.43,38.62,471600,34.82
2009-12-24,38.60,38.77,38.36,38.64,236100,34.84
2009-12-23,38.45,38.70,38.19,38.46,472500,34.67
2009-12-22,38.30,38.46,38.10,38.45,722100,34.67
2009-12-21,38.13,38.45,38.11,38.17,804400,34.41
2009-12-18,38.13,38.36,37.85,37.98,1439200,34.24
2009-12-17,38.43,38.48,37.90,38.06,678900,34.31
2009-12-16,38.50,38.81,38.35,38.49,671200,34.70
2009-12-15,38.28,38.48,38.02,38.26,745300,34.49
2009-12-14,38.42,38.63,38.27,38.49,561400,34.70
2009-12-11,37.91,38.39,37.83,38.30,650100,34.53
2009-12-10,37.74,37.99,37.59,37.83,586300,34.11
2009-12-09,37.61,37.70,37.28,37.53,630000,33.84
2009-12-08,37.36,37.65,37.01,37.50,907600,33.81
2009-12-07,37.36,37.58,37.17,37.53,1137700,33.84
2009-12-04,37.42,37.63,36.89,37.33,858700,33.66
2009-12-03,36.53,37.36,36.48,36.93,1587800,33.29
2009-12-02,36.34,36.55,36.26,36.53,609300,32.93
2009-12-01,36.10,36.73,36.10,36.67,922600,32.70
2009-11-30,36.15,36.67,35.42,35.83,1240300,31.95
2009-11-27,35.86,36.39,35.50,36.13,296100,32.22
2009-11-25,36.50,36.54,36.20,36.48,731200,32.53
2009-11-24,36.61,36.78,36.18,36.48,644000,32.53
2009-11-23,36.46,37.15,36.46,36.78,502500,32.80
2009-11-20,36.30,36.58,36.28,36.40,564700,32.46
2009-11-19,36.71,36.82,36.20,36.40,486500,32.46
2009-11-18,37.14,37.18,36.69,36.83,522700,32.84
2009-11-17,37.15,37.16,36.81,37.11,533500,33.09
2009-11-16,36.78,37.36,36.70,37.16,649300,33.14
2009-11-13,36.45,36.68,36.22,36.64,832500,32.67
2009-11-12,36.82,37.00,36.24,36.27,723300,32.34
2009-11-11,37.05,37.26,36.65,36.93,564700,32.93
2009-11-10,37.01,37.20,36.64,36.75,728500,32.77
2009-11-09,36.44,37.02,36.35,37.00,890900,32.99
2009-11-06,36.34,36.46,35.99,36.18,509800,32.26
2009-11-05,35.91,36.45,35.64,36.44,547600,32.49
2009-11-04,35.76,36.18,35.54,35.60,700900,31.75
2009-11-03,35.47,35.93,35.30,35.64,1249500,31.78
2009-11-02,35.03,35.79,35.00,35.61,995900,31.75
2009-10-30,35.58,35.85,34.91,34.99,1422300,31.20
2009-10-29,36.17,36.44,35.55,35.64,1384700,31.78
2009-10-28,36.22,36.44,35.76,35.81,943700,31.93
2009-10-27,36.67,37.11,35.95,36.25,1236000,32.33
2009-10-26,37.49,37.72,36.83,36.91,650600,32.91
2009-10-23,37.83,38.09,37.24,37.47,589600,33.41
2009-10-22,37.24,38.02,37.00,37.82,760100,33.73
2009-10-21,37.43,37.94,37.21,37.26,816900,33.23
2009-10-20,37.74,37.86,37.10,37.46,1368900,33.40
2009-10-19,38.22,38.42,37.76,37.96,918800,33.85
2009-10-16,38.52,38.52,37.21,38.30,1715200,34.15
2009-10-15,38.33,39.00,38.17,38.96,998800,34.74
2009-10-14,38.82,38.95,38.24,38.44,592200,34.28
2009-10-13,38.28,38.56,38.26,38.42,530700,34.26
2009-10-12,38.40,38.65,38.15,38.42,404000,34.26
2009-10-09,37.92,38.36,37.86,38.36,449200,34.21
2009-10-08,37.55,38.06,37.40,37.96,551600,33.85
2009-10-07,37.37,37.47,36.64,37.29,714300,33.25
2009-10-06,37.37,37.80,37.27,37.56,546200,33.49
2009-10-05,36.94,37.33,36.88,37.29,952800,33.25
2009-10-02,37.14,37.25,36.65,36.87,1144800,32.88
2009-10-01,37.68,37.83,36.92,37.23,1297500,33.20
2009-09-30,37.55,38.40,37.27,38.06,2034600,33.94
2009-09-29,37.03,37.91,37.03,37.60,837000,33.53
2009-09-28,36.83,37.69,36.59,37.68,798100,33.60
2009-09-25,37.49,37.49,36.65,36.67,818600,32.70
2009-09-24,38.19,38.31,37.31,37.41,814600,33.36
2009-09-23,38.74,39.13,38.03,38.03,1330900,33.91
2009-09-22,39.12,39.75,38.68,39.15,1524100,34.91
2009-09-21,37.31,39.08,37.05,38.98,1669500,34.76
2009-09-18,37.26,37.68,36.96,37.64,1400100,33.56
2009-09-17,36.80,37.08,36.55,36.94,1192300,32.94
2009-09-16,36.08,36.76,35.94,36.72,672900,32.74
2009-09-15,35.51,36.07,35.51,35.99,1220600,32.09
2009-09-14,35.44,35.78,35.21,35.60,563300,31.75
2009-09-11,35.58,35.80,35.26,35.59,608100,31.74
2009-09-10,36.31,36.33,35.16,35.59,1294100,31.74
2009-09-09,36.08,36.40,35.69,36.20,725000,32.28
2009-09-08,36.16,36.31,35.80,36.04,647400,32.14
2009-09-04,35.81,36.05,35.48,35.85,545600,31.97
2009-09-03,35.15,35.76,35.15,35.72,783400,31.85
2009-09-02,35.40,35.56,35.06,35.28,1226500,31.46
2009-09-01,36.94,37.12,35.55,35.63,1878400,31.42
2009-08-31,37.33,37.46,36.87,37.04,999500,32.66
