Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,30.31,30.52,29.99,30.09,7678700,29.16
2009-12-30,29.62,30.05,29.35,29.97,7471200,29.04
2009-12-29,30.40,30.53,29.54,29.64,9324200,28.72
2009-12-28,30.32,30.64,30.17,30.31,5401600,29.37
2009-12-24,30.50,30.64,30.19,30.27,3385900,29.33
2009-12-23,30.44,30.55,30.30,30.46,7236300,29.52
2009-12-22,30.21,30.50,30.10,30.16,8287300,29.23
2009-12-21,29.88,30.66,29.88,30.28,11423200,29.34
2009-12-18,30.38,30.39,29.48,29.62,16837800,28.70
2009-12-17,29.41,30.22,29.30,30.08,20057600,29.15
2009-12-16,29.35,30.13,29.29,29.60,11566300,28.68
2009-12-15,28.60,29.50,28.60,29.12,11978000,28.22
2009-12-14,28.58,28.95,28.50,28.64,9761700,27.75
2009-12-11,28.00,28.55,27.88,28.11,11669400,27.24
2009-12-10,27.58,28.40,27.58,28.17,14928000,27.30
2009-12-09,26.65,27.61,26.55,27.46,17554900,26.61
2009-12-08,27.35,27.40,26.70,26.80,18093400,25.97
2009-12-07,27.57,28.24,27.50,27.70,9065200,26.84
2009-12-04,28.54,28.96,27.40,27.81,13301200,26.95
2009-12-03,28.75,28.86,27.98,28.06,14427100,27.19
2009-12-02,29.24,29.57,28.75,28.95,11780700,28.05
2009-12-01,29.63,29.87,29.26,29.35,13942000,28.44
2009-11-30,28.89,29.49,28.78,29.36,14428800,28.36
2009-11-27,28.99,29.43,28.28,29.09,8834200,28.10
2009-11-25,29.95,30.35,29.30,30.21,18408200,29.19
2009-11-24,30.26,30.78,29.96,30.46,9856700,29.43
2009-11-23,30.63,30.89,30.21,30.44,11344300,29.41
2009-11-20,30.22,30.46,29.72,29.88,15493000,28.87
2009-11-19,31.40,31.43,30.22,30.44,12724200,29.41
2009-11-18,31.95,31.95,31.19,31.69,10380800,30.62
2009-11-17,31.58,31.96,31.22,31.75,8790100,30.67
2009-11-16,30.92,32.00,30.81,31.72,14312900,30.65
2009-11-13,30.34,30.98,29.87,30.71,12243700,29.67
2009-11-12,31.22,31.32,30.12,30.30,15917600,29.27
2009-11-11,31.81,32.00,31.10,31.42,10860400,30.36
2009-11-10,31.44,31.88,30.83,31.47,10195200,30.40
2009-11-09,31.83,31.98,31.41,31.63,11759700,30.56
2009-11-06,30.20,31.58,30.20,31.03,15965700,29.98
2009-11-05,30.45,30.78,30.27,30.55,12851400,29.51
2009-11-04,30.46,31.00,30.15,30.23,18697900,29.21
2009-11-03,28.74,30.50,28.63,30.31,18394100,29.28
2009-11-02,29.30,30.03,28.56,29.26,17954100,28.27
2009-10-30,30.17,30.33,29.01,29.21,19304200,28.22
2009-10-29,29.25,30.38,29.10,30.33,18399500,29.30
2009-10-28,29.73,29.90,28.78,28.94,22046200,27.96
2009-10-27,29.74,30.38,29.33,30.04,16422200,29.02
2009-10-26,30.30,31.05,29.47,29.70,14781600,28.69
2009-10-23,31.51,31.51,29.86,30.21,16938400,29.19
2009-10-22,30.86,31.60,30.38,31.41,11587000,30.35
2009-10-21,30.56,31.95,30.40,31.00,18480300,29.95
2009-10-20,31.25,31.65,30.23,30.80,17876500,29.76
2009-10-19,30.90,31.21,30.57,31.05,20795800,30.00
2009-10-16,30.13,31.27,29.94,30.40,31173800,29.37
2009-10-15,28.94,30.00,28.94,29.85,30539600,28.84
2009-10-14,28.99,29.26,28.72,29.19,12233400,28.20
2009-10-13,29.00,29.08,28.15,28.47,13717400,27.51
2009-10-12,28.60,28.99,28.45,28.97,13900300,27.99
2009-10-09,28.64,28.79,28.00,28.22,10918500,27.26
2009-10-08,28.32,28.89,28.03,28.80,18292500,27.82
2009-10-07,26.85,28.08,26.84,28.02,16701900,27.07
2009-10-06,26.93,27.44,26.65,26.86,13489800,25.95
2009-10-05,25.67,26.65,25.64,26.48,9980600,25.58
