Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,65.12,65.12,64.33,64.41,6962300,57.89
2009-12-30,64.78,65.03,64.53,64.91,5602100,58.34
2009-12-29,65.09,65.40,64.92,64.94,6661900,58.36
2009-12-28,64.90,64.99,64.77,64.94,5693500,58.36
2009-12-24,64.69,64.84,64.52,64.70,2433900,58.15
2009-12-23,64.54,64.84,64.54,64.57,6360400,58.03
2009-12-22,64.31,64.81,64.31,64.53,7124600,58.00
2009-12-21,64.64,65.00,64.23,64.33,11125400,57.82
2009-12-18,64.75,64.75,63.91,64.37,22171000,57.85
2009-12-17,64.44,64.78,64.21,64.47,10088900,57.94
2009-12-16,64.95,65.08,64.75,64.80,13333300,58.24
2009-12-15,64.73,64.80,64.45,64.74,10717800,58.19
2009-12-14,65.20,65.41,64.85,64.96,8172500,58.38
2009-12-11,64.74,65.16,64.72,64.85,7194100,58.28
2009-12-10,64.65,65.00,64.39,64.77,8841900,58.21
2009-12-09,64.40,64.40,64.03,64.38,8911600,57.86
2009-12-08,64.50,64.64,63.93,64.25,11073800,57.74
2009-12-07,64.48,64.76,64.19,64.37,9106500,57.85
2009-12-04,64.74,65.28,64.16,64.36,14992400,57.84
2009-12-03,64.05,64.73,63.87,64.16,12520100,57.66
2009-12-02,63.51,64.24,63.44,63.88,10896100,57.41
2009-12-01,62.95,63.66,62.95,63.51,12302300,57.08
2009-11-30,62.78,62.98,62.24,62.84,10815400,56.48
2009-11-27,62.52,63.09,62.01,62.89,6081200,56.52
2009-11-25,63.38,63.44,62.93,63.30,7186700,56.89
2009-11-24,62.93,63.40,62.65,63.18,9681200,56.78
2009-11-23,62.49,63.10,62.42,62.69,13868100,56.34
2009-11-20,61.82,62.62,61.72,62.31,16300200,56.00
2009-11-19,62.24,62.49,61.64,62.43,13298200,55.67
2009-11-18,62.07,62.49,61.95,62.32,11522100,55.57
2009-11-17,61.96,62.44,61.79,62.17,11421400,55.44
2009-11-16,61.45,62.35,61.41,62.19,13767500,55.45
2009-11-13,61.09,61.58,61.04,61.43,9950500,54.78
2009-11-12,60.64,61.43,60.62,61.15,13683100,54.53
2009-11-11,60.90,61.07,60.65,60.87,11179500,54.28
2009-11-10,60.74,61.39,60.60,61.23,11776500,54.60
2009-11-09,60.42,60.75,60.29,60.75,11773800,54.17
2009-11-06,59.94,60.34,59.57,60.30,8518500,53.77
2009-11-05,59.81,60.20,59.68,59.98,9190300,53.48
2009-11-04,59.13,60.06,58.97,59.52,13928700,53.07
2009-11-03,60.04,60.04,58.80,58.93,17177000,52.55
2009-11-02,59.15,59.87,58.91,59.49,12297500,53.05
