Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,52.39,52.67,52.13,52.22,784200,52.22
2009-12-30,52.23,52.64,52.16,52.43,744300,52.43
2009-12-29,52.97,52.97,52.26,52.49,654400,52.49
2009-12-28,52.30,52.75,51.90,52.70,784800,52.70
2009-12-24,51.95,52.18,51.67,52.17,224500,52.17
2009-12-23,51.67,52.07,51.23,51.82,860800,51.82
2009-12-22,51.86,52.06,51.57,51.72,742100,51.72
2009-12-21,51.63,52.46,51.53,51.72,740400,51.72
2009-12-18,50.97,51.89,50.66,51.28,2080100,51.28
2009-12-17,51.15,51.20,50.39,50.87,990700,50.87
2009-12-16,51.53,52.00,51.04,51.18,1124100,51.18
2009-12-15,51.43,52.10,51.29,51.49,1704800,51.49
2009-12-14,50.90,51.68,50.52,51.62,1366200,51.62
2009-12-11,50.56,50.56,49.81,50.27,824500,50.27
2009-12-10,49.74,50.78,49.72,50.36,1500100,50.36
2009-12-09,49.31,50.25,49.03,50.03,1511000,50.03
2009-12-08,49.82,50.48,49.60,49.87,740300,49.87
2009-12-07,49.82,50.93,49.81,50.62,832200,50.62
2009-12-04,50.69,51.15,50.15,50.64,985600,50.64
2009-12-03,50.96,51.27,50.22,50.25,1169800,50.25
2009-12-02,50.78,51.27,50.61,51.04,2063100,51.04
2009-12-01,49.86,51.05,49.81,50.76,1203500,50.76
2009-11-30,49.59,49.97,49.32,49.78,1122400,49.78
2009-11-27,49.06,50.50,48.78,49.95,506900,49.95
2009-11-25,51.00,51.00,50.22,50.89,940200,50.89
2009-11-24,49.82,50.32,49.35,50.18,1406800,50.18
2009-11-23,49.59,50.41,49.49,49.83,774400,49.83
2009-11-20,50.25,50.25,49.06,49.48,1262200,49.48
2009-11-19,50.24,50.25,49.06,49.79,1295300,49.79
2009-11-18,50.07,50.76,49.94,50.28,1216700,50.28
2009-11-17,51.20,51.29,50.75,51.09,677600,51.09
2009-11-16,50.38,51.17,50.32,51.11,1508200,51.11
2009-11-13,50.37,51.20,50.00,50.79,983800,50.79
2009-11-12,50.94,51.33,50.44,50.55,815600,50.55
2009-11-11,50.51,51.22,50.20,50.95,1672200,50.95
2009-11-10,49.46,50.77,49.42,50.51,2933400,50.51
2009-11-09,48.79,49.99,48.79,49.87,1235400,49.87
2009-11-06,49.45,49.90,48.89,49.64,1401000,49.64
2009-11-05,48.33,49.86,48.33,49.70,2183200,49.70
2009-11-04,48.04,48.67,47.84,48.20,1753600,48.20
2009-11-03,47.56,48.12,46.75,48.10,1709000,48.10
2009-11-02,47.11,48.15,46.77,47.58,2089000,47.58
2009-10-30,48.67,48.79,46.93,47.17,2558500,47.17
2009-10-29,45.83,48.75,45.05,48.68,3124700,48.68
2009-10-28,48.25,48.39,46.46,46.61,2756600,46.61
2009-10-27,49.27,49.94,47.87,48.00,7097600,48.00
2009-10-26,47.61,48.27,46.77,47.05,2157100,47.05
2009-10-23,47.64,47.85,47.20,47.75,1381300,47.75
2009-10-22,47.91,48.29,47.00,48.02,2636500,48.02
2009-10-21,47.75,48.44,47.51,47.83,1417800,47.83
2009-10-20,48.25,48.55,47.49,47.66,1729700,47.66
2009-10-19,48.88,49.28,48.40,48.65,1611200,48.65
2009-10-16,48.43,48.98,48.31,48.64,1769600,48.64
2009-10-15,49.20,49.45,48.58,48.81,2582100,48.81
2009-10-14,48.01,49.54,48.00,49.39,2396100,49.39
2009-10-13,47.50,48.25,47.50,48.04,1712700,48.04
2009-10-12,47.50,47.82,47.27,47.65,1068100,47.65
2009-10-09,47.50,47.69,47.13,47.36,1118900,47.36
2009-10-08,47.30,47.43,46.67,46.88,1685600,46.88
2009-10-07,47.22,47.24,46.70,47.23,1597600,47.23
2009-10-06,46.51,47.39,45.91,47.15,2435100,47.15
2009-10-05,45.43,46.71,45.00,46.56,2236000,46.56
2009-10-02,45.55,46.01,45.22,45.30,1851700,45.30
2009-10-01,46.19,46.91,45.60,45.61,2364600,45.61
2009-09-30,46.02,46.65,45.22,46.55,2399700,46.55
2009-09-29,46.74,46.95,46.08,46.27,3398100,46.27
2009-09-28,46.06,47.19,45.86,46.54,2209500,46.54
2009-09-25,46.97,47.23,45.92,46.00,1519700,46.00
2009-09-24,46.86,47.25,46.00,46.73,1557100,46.73
2009-09-23,48.16,48.20,46.63,46.86,2205200,46.86
2009-09-22,48.45,48.45,47.21,47.82,1411400,47.82
2009-09-21,48.35,48.85,48.00,48.19,1834000,48.19
2009-09-18,48.13,48.50,47.80,48.46,1802300,48.46
2009-09-17,48.33,48.38,47.72,47.82,1741400,47.82
2009-09-16,47.98,48.50,47.46,48.29,1492200,48.29
2009-09-15,47.79,48.17,47.04,47.76,3151500,47.76
2009-09-14,46.31,47.99,46.14,47.84,2331500,47.84
2009-09-11,46.59,47.03,46.16,46.81,2631700,46.81
2009-09-10,46.17,47.13,45.95,46.65,1696600,46.65
2009-09-09,46.04,46.89,45.82,46.55,1608800,46.55
2009-09-08,45.80,46.52,45.58,45.86,1818600,45.86
2009-09-04,45.27,45.79,45.07,45.79,1219600,45.79
2009-09-03,45.50,45.58,44.61,45.41,1512000,45.41
2009-09-02,44.29,45.65,44.28,45.26,2976700,45.26
2009-09-01,44.53,45.60,44.12,44.49,2507200,44.49
2009-08-31,45.10,45.50,44.37,44.53,1993100,44.53
2009-08-28,45.51,45.78,44.44,45.10,1302700,45.10
2009-08-27,45.48,45.76,44.80,45.45,1073600,45.45
2009-08-26,45.70,46.30,45.36,45.47,1129900,45.47
2009-08-25,45.92,46.38,45.72,45.84,1533100,45.84
2009-08-24,46.42,46.50,45.76,46.11,947000,46.11
2009-08-21,45.96,46.40,44.90,46.19,1290800,46.19
2009-08-20,45.60,45.71,45.04,45.44,1059100,45.44
2009-08-19,44.45,45.60,44.25,45.29,1313200,45.29
2009-08-18,45.01,45.20,44.68,44.82,958400,44.82
2009-08-17,45.28,45.72,44.61,44.96,1928200,44.96
2009-08-14,46.09,46.12,45.28,45.84,1712000,45.84
2009-08-13,45.69,46.67,45.24,46.33,1900800,46.33
2009-08-12,44.79,46.21,44.41,45.81,1928600,45.81
2009-08-11,44.50,44.98,44.44,44.69,1497900,44.69
2009-08-10,45.10,45.49,44.87,44.89,1230600,44.89
2009-08-07,45.00,45.91,44.99,45.49,2238200,45.49
2009-08-06,44.55,44.92,43.94,44.62,2247700,44.62
2009-08-05,45.66,45.70,44.60,44.73,2268800,44.73
2009-08-04,45.88,46.20,45.27,45.76,3328900,45.76
2009-08-03,45.90,46.46,45.72,46.22,1905900,46.22
2009-07-31,45.88,46.32,45.47,45.53,2047000,45.53
2009-07-30,46.50,47.08,45.78,46.39,3178400,46.39
2009-07-29,45.86,46.48,45.39,46.20,9009000,46.20
2009-07-28,43.01,43.26,42.26,42.91,3999000,42.91
2009-07-27,43.36,43.50,42.85,43.00,2272900,43.00
2009-07-24,42.62,43.45,42.27,43.40,2707000,43.40
2009-07-23,41.86,42.98,41.86,42.73,3269400,42.73
2009-07-22,41.87,42.35,41.62,41.69,1871200,41.69
2009-07-21,41.07,42.12,41.07,42.04,3098100,42.04
2009-07-20,40.14,41.58,40.00,41.48,3723900,41.48
2009-07-17,40.30,40.50,39.59,40.14,2536900,40.14
2009-07-16,40.30,40.57,40.02,40.50,2097200,40.50
2009-07-15,40.13,40.48,39.80,40.18,2448600,40.18
2009-07-14,39.90,40.43,39.79,40.02,1825800,40.02
2009-07-13,39.81,40.27,39.08,40.14,1764300,40.14
2009-07-10,39.95,40.00,39.47,39.70,1522500,39.70
2009-07-09,39.75,39.98,39.23,39.82,1550400,39.82
2009-07-08,39.88,40.44,39.20,39.49,2363100,39.49
2009-07-07,40.33,40.63,39.83,39.84,2179400,39.84
2009-07-06,40.24,40.61,39.85,40.18,2402400,40.18
2009-07-02,39.85,40.85,39.65,40.26,5724300,40.26
2009-07-01,41.76,42.00,40.47,40.75,3976400,40.75
2009-06-30,41.91,41.95,41.28,41.72,3476700,41.72
2009-06-29,41.37,42.10,41.37,41.83,2174200,41.83
2009-06-26,40.88,42.07,40.88,41.92,3412800,41.92
2009-06-25,40.50,41.60,40.18,41.59,2617800,41.59
2009-06-24,40.18,40.90,39.89,40.74,2190900,40.74
2009-06-23,40.07,40.38,39.74,40.11,1664800,40.11
2009-06-22,39.87,40.48,39.60,40.07,2548500,40.07
2009-06-19,40.50,40.50,39.79,39.92,3036700,39.92
2009-06-18,39.82,40.76,39.60,40.54,1911100,40.54
2009-06-17,39.04,40.25,38.27,39.91,2702100,39.91
2009-06-16,39.25,39.25,38.51,39.04,1731800,39.04
2009-06-15,39.60,39.88,38.89,39.09,1495400,39.09
2009-06-12,39.97,40.41,39.63,40.05,1685500,40.05
2009-06-11,39.12,40.90,39.05,40.25,2524400,40.25
2009-06-10,40.27,40.27,38.85,39.40,1412600,39.40
2009-06-09,39.31,39.78,38.86,39.57,1882800,39.57
2009-06-08,39.03,39.61,38.31,38.81,1368000,38.81
2009-06-05,39.81,39.99,38.86,39.23,2014000,39.23
2009-06-04,39.88,40.42,38.89,39.26,3680800,39.26
2009-06-03,39.15,39.95,38.86,39.67,2320700,39.67
2009-06-02,39.05,40.00,38.50,39.29,2032400,39.29
2009-06-01,38.91,39.20,38.55,39.12,2222600,39.12
2009-05-29,37.71,38.78,37.50,38.78,1899200,38.78
2009-05-28,37.82,38.37,37.41,37.85,2039600,37.85
2009-05-27,37.90,38.70,37.56,37.93,2458800,37.93
2009-05-26,36.07,38.20,36.03,38.20,1928700,38.20
2009-05-22,36.82,37.65,36.81,37.35,1850800,37.35
2009-05-21,36.91,37.40,36.51,36.81,1866400,36.81
2009-05-20,37.68,38.44,37.42,37.56,2580200,37.56
2009-05-19,36.87,37.87,36.34,37.80,2045900,37.80
2009-05-18,36.41,37.07,36.30,37.06,1589600,37.06
2009-05-15,36.20,37.04,35.77,36.21,1471300,36.21
2009-05-14,36.18,36.65,35.80,36.34,1886200,36.34
2009-05-13,36.50,36.90,35.78,35.87,1965800,35.87
2009-05-12,36.12,36.96,35.94,36.50,2027900,36.50
2009-05-11,36.19,36.87,35.68,36.16,1514400,36.16
2009-05-08,35.40,37.02,35.40,36.85,2697700,36.85
2009-05-07,36.20,36.96,35.45,35.60,2780900,35.60
2009-05-06,37.40,37.40,35.86,36.20,2067700,36.20
2009-05-05,36.60,36.88,36.28,36.63,2589300,36.63
2009-05-04,36.89,37.48,36.53,37.16,2554200,37.16
2009-05-01,36.78,37.19,36.45,36.80,2305800,36.80
2009-04-30,36.75,38.12,36.53,37.30,5278200,37.30
2009-04-29,35.57,37.87,35.35,36.85,8903500,36.85
2009-04-28,30.48,32.55,30.48,32.03,5643900,32.03
2009-04-27,30.51,31.18,30.51,30.81,3684700,30.81
2009-04-24,30.44,30.91,30.06,30.71,3601800,30.71
