Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,23.51,23.60,23.36,23.39,5132800,22.02
2009-12-30,23.47,23.69,23.39,23.53,4635300,22.15
2009-12-29,23.71,23.74,23.52,23.61,4503100,22.23
2009-12-28,23.70,23.85,23.49,23.65,5692300,22.27
2009-12-24,23.52,23.68,23.47,23.65,3338600,22.27
2009-12-23,23.88,23.95,23.31,23.56,14383800,22.18
2009-12-22,23.90,24.50,23.81,23.86,17401900,22.47
2009-12-21,23.69,24.00,23.67,23.84,7558200,22.45
2009-12-18,23.81,23.81,23.48,23.62,18193300,22.24
2009-12-17,23.51,23.97,23.51,23.69,13647200,22.31
2009-12-16,24.05,24.22,23.67,23.69,15213500,22.31
2009-12-15,23.95,24.08,23.85,24.00,13216900,22.60
2009-12-14,23.96,24.26,23.96,24.17,18617400,22.76
2009-12-11,23.26,23.90,23.15,23.88,19077500,22.48
2009-12-10,22.80,23.27,22.80,23.09,11644600,21.74
2009-12-09,22.91,22.91,22.53,22.81,11442600,21.48
2009-12-08,22.58,22.79,22.31,22.71,12111900,21.38
2009-12-07,22.83,23.00,22.64,22.78,9302900,21.45
2009-12-04,22.76,23.15,22.61,22.88,13239800,21.54
2009-12-03,22.70,22.73,22.37,22.48,11753300,21.17
2009-12-02,22.46,22.80,22.45,22.65,11129800,21.33
2009-12-01,22.09,22.69,22.02,22.58,17239500,21.26
2009-11-30,21.95,22.14,21.55,21.81,10674000,20.54
2009-11-27,21.57,22.20,21.45,21.96,5806900,20.68
2009-11-25,22.04,22.24,21.91,22.15,7700900,20.86
2009-11-24,21.95,22.10,21.84,22.01,13404400,20.72
2009-11-23,21.47,22.03,21.47,21.88,16228100,20.60
2009-11-20,21.39,21.61,21.15,21.35,12593900,20.10
2009-11-19,21.49,21.60,21.16,21.49,13200300,20.23
2009-11-18,21.35,21.72,21.25,21.59,13487800,20.33
2009-11-17,21.60,21.69,20.90,21.48,15744700,20.22
2009-11-16,21.88,22.23,21.59,21.74,25807100,20.47
2009-11-13,21.62,21.93,21.40,21.85,17585200,20.57
2009-11-12,21.25,21.69,21.25,21.47,17345600,20.22
2009-11-11,21.19,21.46,21.01,21.30,19021100,20.06
2009-11-10,21.20,21.49,20.94,21.01,15444200,19.78
2009-11-09,21.03,21.30,20.89,21.25,14602000,20.01
2009-11-06,20.22,21.06,20.22,20.94,27174300,19.72
2009-11-05,19.64,20.19,19.62,20.07,12327900,18.90
2009-11-04,19.53,19.90,19.34,19.51,14021600,18.37
2009-11-03,19.53,19.80,19.15,19.45,17817600,18.31
2009-11-02,19.60,20.00,19.34,19.58,12994800,18.44
2009-10-30,20.00,20.10,19.46,19.57,19405200,18.43
2009-10-29,19.80,20.10,19.53,19.98,14692500,18.81
2009-10-28,19.99,20.07,19.49,19.50,17836400,18.36
2009-10-27,20.36,20.42,19.88,19.93,21423700,18.77
2009-10-26,20.74,20.94,20.28,20.34,16922100,19.15
2009-10-23,21.17,21.31,20.65,20.71,17631300,19.50
2009-10-22,20.77,21.23,20.50,21.17,18710400,19.93
2009-10-21,21.34,21.69,20.76,20.76,28537400,19.55
2009-10-20,21.73,21.90,21.33,21.39,10759100,20.14
2009-10-19,21.36,21.81,21.33,21.76,11391800,20.49
2009-10-16,21.53,21.55,21.15,21.36,11405400,20.11
2009-10-15,21.65,21.75,21.33,21.65,11666900,20.38
2009-10-14,21.66,21.99,21.66,21.73,17717900,20.46
2009-10-13,21.02,21.55,20.84,21.45,18071500,20.11
2009-10-12,21.05,21.35,20.96,21.01,10092500,19.70
2009-10-09,20.77,20.95,20.52,20.94,17089300,19.63
2009-10-08,20.70,20.95,20.50,20.78,15740400,19.48
2009-10-07,20.59,20.73,20.15,20.20,15144200,18.94
2009-10-06,20.65,20.87,20.36,20.68,18792400,19.39
2009-10-05,20.26,20.57,20.07,20.46,15603200,19.18
2009-10-02,20.10,20.21,19.94,20.03,19365900,18.78
2009-10-01,21.05,21.05,20.36,20.36,17532200,19.09
2009-09-30,21.29,21.35,20.76,20.94,12404200,19.63
2009-09-29,21.26,21.49,21.17,21.21,8732400,19.89
2009-09-28,21.11,21.48,21.05,21.25,8242900,19.92
2009-09-25,21.09,21.22,20.89,21.05,14175000,19.74
2009-09-24,21.60,21.74,21.32,21.39,16353700,20.06
2009-09-23,21.43,22.06,21.25,21.53,23684800,20.19
2009-09-22,21.71,21.82,20.93,21.07,23918700,19.76
2009-09-21,21.84,22.37,21.60,21.95,13044800,20.58
2009-09-18,21.74,22.06,21.72,21.97,13641800,20.60
2009-09-17,21.69,21.97,21.50,21.66,13622400,20.31
2009-09-16,21.32,21.74,21.25,21.60,12479800,20.25
2009-09-15,21.45,21.52,20.88,21.21,17213100,19.89
2009-09-14,21.26,21.46,21.10,21.36,8143500,20.03
2009-09-11,21.93,21.95,21.34,21.43,10675400,20.09
2009-09-10,21.78,21.94,21.63,21.86,9882000,20.50
2009-09-09,21.76,21.82,21.54,21.72,10432100,20.36
2009-09-08,21.89,21.93,21.66,21.77,11099200,20.41
2009-09-04,21.37,21.65,21.23,21.62,8820600,20.27
2009-09-03,20.87,21.32,20.80,21.31,9293300,19.98
2009-09-02,20.81,20.96,20.55,20.86,10583400,19.56
2009-09-01,21.26,21.61,20.66,20.86,15016400,19.56
2009-08-31,21.55,21.61,21.27,21.50,8610800,20.16
2009-08-28,21.81,21.95,21.34,21.70,10567900,20.35
2009-08-27,21.66,21.90,21.36,21.70,12831100,20.35
2009-08-26,20.94,21.96,20.91,21.59,17144800,20.24
2009-08-25,21.13,21.24,20.81,21.07,35281800,19.76
2009-08-24,21.17,21.42,20.66,20.72,13778600,19.43
2009-08-21,20.52,21.22,20.48,21.16,18461600,19.84
2009-08-20,20.27,20.47,20.14,20.39,18285000,19.12
2009-08-19,19.84,20.27,19.69,20.22,30199500,18.96
2009-08-18,20.63,20.67,19.87,19.99,41510400,18.74
2009-08-17,20.43,22.29,20.25,20.47,41075300,19.19
2009-08-14,23.28,23.41,22.57,22.83,11454100,21.41
2009-08-13,22.93,23.36,22.43,23.31,13547600,21.86
2009-08-12,23.23,23.48,22.73,22.85,15725100,21.42
2009-08-11,23.31,23.45,22.99,23.26,8601300,21.81
2009-08-10,23.73,23.75,23.00,23.33,10188500,21.87
2009-08-07,22.90,24.09,22.81,23.85,12829500,22.36
2009-08-06,22.54,23.00,22.41,22.73,9711900,21.31
2009-08-05,22.62,22.84,22.24,22.47,9297700,21.07
2009-08-04,22.70,22.95,22.52,22.61,12678600,21.20
2009-08-03,22.71,22.80,22.31,22.74,9872800,21.32
2009-07-31,22.14,22.68,22.10,22.46,10292000,21.06
2009-07-30,21.74,22.57,21.74,22.15,11685900,20.77
2009-07-29,21.51,22.00,21.40,21.64,7103900,20.29
2009-07-28,21.18,21.64,21.09,21.61,7585000,20.26
2009-07-27,21.72,22.00,21.02,21.28,12478600,19.95
2009-07-24,21.50,22.06,21.35,22.00,10519500,20.63
2009-07-23,20.75,21.90,20.55,21.65,17840900,20.30
2009-07-22,20.45,20.97,20.41,20.75,9107500,19.46
2009-07-21,20.77,20.85,20.22,20.56,9460300,19.28
2009-07-20,20.49,20.76,20.40,20.75,8550800,19.46
2009-07-17,20.13,20.56,20.10,20.42,15579700,19.15
2009-07-16,19.95,20.19,19.65,20.10,10552000,18.85
2009-07-15,19.68,20.06,19.46,20.03,10369500,18.78
2009-07-14,19.25,19.64,19.12,19.57,10000500,18.26
2009-07-13,18.84,19.31,18.69,19.26,15193800,17.98
2009-07-10,18.80,19.08,18.70,18.85,8945000,17.59
2009-07-09,18.98,19.10,18.62,18.95,11440000,17.69
2009-07-08,18.68,18.95,18.43,18.85,21406200,17.59
2009-07-07,18.86,18.88,18.57,18.63,9649000,17.39
2009-07-06,18.60,19.05,18.52,18.87,11814500,17.61
2009-07-02,19.25,19.43,18.51,18.62,13313900,17.38
2009-07-01,19.48,19.73,19.34,19.51,8192800,18.21
2009-06-30,19.44,19.65,19.02,19.41,11183400,18.12
2009-06-29,19.33,19.75,19.18,19.47,12944500,18.17
2009-06-26,18.83,19.62,18.76,19.22,20434100,17.94
2009-06-25,18.14,19.01,18.12,18.87,13558100,17.61
2009-06-24,18.41,18.55,18.02,18.18,17091100,16.97
2009-06-23,18.69,18.74,18.19,18.31,11995600,17.09
2009-06-22,18.60,19.03,18.03,18.66,13926500,17.42
2009-06-19,18.55,18.96,18.53,18.78,16475000,17.53
2009-06-18,19.05,19.13,18.40,18.41,19927800,17.18
2009-06-17,19.02,19.37,18.55,19.02,19347700,17.75
2009-06-16,19.79,19.85,19.03,19.10,12527900,17.83
2009-06-15,19.66,19.76,19.50,19.66,9750800,18.35
2009-06-12,19.86,19.93,19.54,19.85,11532300,18.53
2009-06-11,20.35,20.54,19.91,19.95,13325200,18.62
2009-06-10,20.93,20.99,20.08,20.37,14603000,19.01
2009-06-09,20.16,20.71,20.09,20.46,16328000,19.10
2009-06-08,20.07,20.37,19.63,20.11,11315700,18.77
2009-06-05,20.34,20.41,19.71,20.04,11059500,18.70
2009-06-04,20.32,20.40,19.65,20.09,10345400,18.75
2009-06-03,20.36,20.67,20.03,20.30,11302000,18.95
2009-06-02,20.08,20.76,19.81,20.59,12236900,19.22
2009-06-01,19.23,20.36,19.23,20.18,17693200,18.83
2009-05-29,19.19,19.34,18.58,19.01,18123500,17.74
2009-05-28,19.82,19.93,18.76,19.02,19222400,17.75
