Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,39.61,39.63,39.21,39.21,802800,39.21
2009-12-30,38.74,39.54,38.74,39.48,1081700,39.48
2009-12-29,38.60,38.81,38.19,38.81,1370700,38.81
2009-12-28,38.94,39.08,38.24,38.44,920400,38.44
2009-12-24,38.98,38.98,38.70,38.91,252300,38.91
2009-12-23,38.91,39.21,38.65,38.72,1322200,38.72
2009-12-22,39.25,39.80,38.84,38.89,1270600,38.89
2009-12-21,38.24,39.43,38.24,39.16,1287900,39.16
2009-12-18,38.20,38.55,37.87,38.03,3045600,38.03
2009-12-17,38.94,38.94,38.06,38.08,1332000,38.08
2009-12-16,38.94,39.58,38.80,39.03,1567100,39.03
2009-12-15,39.08,39.08,38.43,38.90,1092800,38.90
2009-12-14,38.46,38.99,38.08,38.93,1460100,38.93
2009-12-11,38.69,39.15,37.86,38.04,1989500,38.04
2009-12-10,38.53,39.20,38.46,38.60,1374900,38.60
2009-12-09,38.55,38.59,38.00,38.43,1632700,38.43
2009-12-08,38.05,38.86,37.57,38.61,1980700,38.61
2009-12-07,38.32,38.52,37.74,38.23,2021500,38.23
2009-12-04,38.17,38.60,37.46,38.20,3033900,38.20
2009-12-03,36.98,38.17,36.85,37.79,4236400,37.79
2009-12-02,34.76,37.06,34.72,36.81,3756700,36.81
2009-12-01,34.06,35.21,34.06,34.95,2436700,34.95
2009-11-30,34.07,34.38,33.55,33.99,1355200,33.99
2009-11-27,33.99,34.84,33.57,34.49,568700,34.49
2009-11-25,34.85,35.18,34.74,34.95,945100,34.95
2009-11-24,34.80,35.01,34.31,34.66,1390900,34.66
2009-11-23,34.55,35.37,34.48,34.75,1447600,34.75
2009-11-20,34.01,34.49,33.89,34.02,1805800,34.02
2009-11-19,35.09,35.09,34.09,34.30,1767200,34.30
2009-11-18,36.67,36.76,35.59,35.64,1758600,35.64
2009-11-17,36.28,36.78,35.94,36.76,1760000,36.76
2009-11-16,35.82,36.40,35.74,36.27,1261100,36.27
2009-11-13,35.15,36.02,35.06,35.55,1760800,35.55
2009-11-12,35.56,36.09,35.12,35.18,1048400,35.18
2009-11-11,35.17,36.13,35.16,35.62,1243700,35.62
2009-11-10,34.93,35.60,34.65,34.83,2102600,34.83
2009-11-09,34.29,34.99,34.29,34.80,1773000,34.80
2009-11-06,33.91,34.73,33.49,34.14,1370100,34.14
2009-11-05,33.74,34.40,33.57,34.09,1825600,34.09
2009-11-04,33.44,34.08,33.25,33.30,1546300,33.30
2009-11-03,33.61,33.61,32.74,33.25,2360500,33.25
2009-11-02,33.93,34.52,33.21,34.03,2806500,34.03
2009-10-30,34.78,34.83,33.65,33.72,3955100,33.72
2009-10-29,33.75,35.17,33.59,35.14,3388100,35.14
2009-10-28,34.74,34.90,33.40,33.47,2885600,33.47
2009-10-27,36.11,36.57,34.51,34.65,2366200,34.65
2009-10-26,36.58,36.95,35.52,35.84,2112100,35.84
2009-10-23,37.29,37.42,36.05,36.33,2760700,36.33
2009-10-22,36.86,37.46,36.19,37.10,5239500,37.10
2009-10-21,36.72,37.19,35.84,35.85,4044000,35.85
2009-10-20,36.84,37.81,36.38,37.00,2974700,37.00
2009-10-19,36.42,37.23,36.15,36.82,2490500,36.82
2009-10-16,37.22,37.33,35.80,36.46,3680100,36.46
2009-10-15,37.09,37.45,36.58,37.41,3497100,37.41
2009-10-14,38.00,38.00,36.95,37.83,6556900,37.83
2009-10-13,38.51,38.51,37.68,37.92,7602700,37.92
2009-10-12,36.55,38.04,36.38,37.91,6018000,37.91
2009-10-09,35.23,36.38,35.15,36.19,4277200,36.19
2009-10-08,34.56,34.80,33.59,34.61,2975000,34.61
2009-10-07,34.20,34.27,33.74,34.07,2823200,34.07
2009-10-06,33.64,34.84,33.50,34.36,2233700,34.36
2009-10-05,32.36,33.75,32.36,33.43,3104400,33.43
2009-10-02,32.58,33.06,32.17,32.50,1933900,32.50
2009-10-01,33.92,34.30,32.66,32.86,2622900,32.86
2009-09-30,33.73,34.73,33.59,34.16,3103800,34.16
2009-09-29,34.19,34.46,33.49,33.57,1239600,33.57
2009-09-28,33.94,34.83,33.72,34.24,1630000,34.24
2009-09-25,33.65,34.17,33.47,33.75,1374600,33.75
2009-09-24,34.54,34.67,33.28,33.98,2117300,33.98
2009-09-23,35.06,35.44,34.42,34.43,1929100,34.43
2009-09-22,34.22,34.88,33.97,34.72,1517100,34.72
2009-09-21,33.99,34.53,33.72,34.04,1576000,34.04
2009-09-18,33.32,34.34,33.30,34.07,2288300,34.07
2009-09-17,34.16,34.54,33.05,33.05,2447600,33.05
2009-09-16,34.69,34.69,33.85,34.22,2569600,34.22
2009-09-15,35.04,35.39,34.16,34.35,3798400,34.35
2009-09-14,34.35,35.39,34.31,35.21,3423900,35.21
2009-09-11,34.98,35.05,34.16,34.76,3148900,34.76
2009-09-10,33.32,35.05,33.30,34.99,4037800,34.99
2009-09-09,32.29,33.59,31.95,33.44,3758700,33.44
2009-09-08,32.29,32.57,31.72,32.23,2753100,32.23
2009-09-04,31.25,31.54,30.96,31.54,2418400,31.54
2009-09-03,30.22,30.71,29.88,30.65,1422700,30.65
2009-09-02,30.10,30.50,29.79,30.16,1741600,30.16
2009-09-01,30.60,31.67,30.04,30.11,2638900,30.11
2009-08-31,31.50,31.50,30.60,30.70,2027500,30.70
2009-08-28,31.08,31.91,30.87,31.33,1989400,31.33
2009-08-27,30.31,30.73,29.84,30.64,1507900,30.64
2009-08-26,29.50,30.79,29.50,30.67,2288200,30.67
2009-08-25,29.52,30.13,29.37,29.92,1599600,29.92
2009-08-24,29.95,30.40,29.39,29.51,1503100,29.51
2009-08-21,29.68,30.05,29.03,29.95,1292200,29.95
2009-08-20,29.21,29.72,29.17,29.41,1477100,29.41
2009-08-19,28.54,29.35,28.48,29.27,1646000,29.27
2009-08-18,28.42,29.07,28.40,29.06,2057700,29.06
2009-08-17,28.61,28.78,28.05,28.29,1895500,28.29
2009-08-14,29.97,30.12,28.88,29.17,2351700,29.17
2009-08-13,29.95,30.34,29.41,30.31,2592300,30.31
2009-08-12,28.47,30.05,28.47,29.83,3559300,29.83
2009-08-11,28.95,29.36,28.35,28.40,2315500,28.40
2009-08-10,29.35,29.63,28.60,28.97,1733000,28.97
2009-08-07,30.05,30.20,29.30,29.41,2309600,29.41
2009-08-06,29.92,30.39,29.35,29.60,1730100,29.60
2009-08-05,30.10,30.58,29.76,29.91,2676500,29.91
2009-08-04,30.31,30.49,29.98,30.16,2565100,30.16
2009-08-03,30.60,30.91,30.14,30.57,2767800,30.57
2009-07-31,30.04,30.91,29.86,30.06,4045100,30.06
2009-07-30,33.17,33.57,29.59,29.84,7170100,29.84
2009-07-29,32.41,32.49,31.69,32.16,2768400,32.16
2009-07-28,32.54,33.17,32.12,32.47,2786700,32.47
2009-07-27,31.94,32.89,31.77,32.89,2115300,32.89
2009-07-24,32.04,32.30,31.50,32.02,2338200,32.02
2009-07-23,31.77,32.50,31.04,32.45,2330600,32.45
2009-07-22,30.65,31.85,30.35,31.46,2553800,31.46
2009-07-21,30.55,30.78,29.96,30.78,2417200,30.78
2009-07-20,30.01,30.74,30.01,30.54,1615600,30.54
2009-07-17,29.73,30.24,29.13,30.21,2318900,30.21
2009-07-16,29.20,30.00,28.98,29.87,2680000,29.87
2009-07-15,28.73,29.58,28.65,29.32,5545800,29.32
2009-07-14,27.80,28.57,27.73,28.33,3528200,28.33
2009-07-13,26.46,27.76,25.92,27.75,3759900,27.75
2009-07-10,26.52,27.11,25.88,26.28,3593500,26.28
2009-07-09,26.52,27.09,26.38,26.69,3384200,26.69
2009-07-08,26.42,26.72,25.51,26.10,2911400,26.10
2009-07-07,27.19,27.79,26.20,26.22,3834100,26.22
2009-07-06,27.17,27.83,26.76,27.39,4564000,27.39
2009-07-02,26.25,27.16,25.94,26.95,5212600,26.95
2009-07-01,26.44,26.91,26.17,26.35,4734300,26.35
2009-06-30,25.60,26.05,25.33,26.00,3985000,26.00
2009-06-29,24.44,25.49,24.43,25.44,2772400,25.44
2009-06-26,24.56,25.33,24.49,24.77,1547300,24.77
2009-06-25,24.18,24.80,23.80,24.75,2035500,24.75
2009-06-24,23.52,24.47,23.51,24.23,2845200,24.23
2009-06-23,24.24,24.24,23.50,23.65,3334200,23.65
2009-06-22,24.38,24.76,24.05,24.05,2884900,24.05
2009-06-19,24.84,24.98,24.40,24.57,2312300,24.57
2009-06-18,24.66,24.87,24.18,24.45,1679600,24.45
2009-06-17,24.86,24.92,23.43,24.66,2962400,24.66
2009-06-16,24.96,25.15,24.10,24.19,2229200,24.19
2009-06-15,25.15,25.34,24.23,24.76,2607500,24.76
2009-06-12,25.74,26.02,24.81,25.64,1991000,25.64
2009-06-11,26.30,26.54,25.59,25.76,2223500,25.76
2009-06-10,26.64,26.72,25.80,26.08,2737000,26.08
2009-06-09,25.66,26.67,25.64,26.37,2336300,26.37
2009-06-08,25.36,25.70,24.86,25.40,2153800,25.40
2009-06-05,26.44,26.62,25.50,25.68,4732700,25.68
2009-06-04,26.47,27.34,26.45,27.00,2308900,27.00
2009-06-03,27.17,27.17,26.28,26.54,2942000,26.54
2009-06-02,28.12,28.24,27.14,27.37,1901000,27.37
2009-06-01,26.29,28.51,26.29,28.36,3306700,28.36
2009-05-29,25.93,26.21,25.32,26.19,2254600,26.19
2009-05-28,26.24,26.24,25.05,25.98,3059700,25.98
2009-05-27,25.34,26.42,25.03,25.60,2267500,25.60
2009-05-26,24.17,25.89,24.14,25.49,3177400,25.49
2009-05-22,25.45,25.48,24.47,24.51,3105400,24.51
2009-05-21,25.82,26.17,24.96,25.41,3488500,25.41
2009-05-20,26.61,27.07,25.82,26.00,2331000,26.00
2009-05-19,25.30,26.63,25.15,26.22,2791700,26.22
2009-05-18,25.15,25.76,24.56,25.72,2207400,25.72
2009-05-15,24.60,25.06,24.23,24.39,1570600,24.39
2009-05-14,24.52,25.30,24.52,24.64,2619600,24.64
2009-05-13,25.00,25.21,24.18,24.31,2380600,24.31
2009-05-12,26.19,26.47,24.53,25.19,3215500,25.19
2009-05-11,24.94,26.21,24.80,25.83,2936300,25.83
2009-05-08,26.80,27.18,24.97,25.60,5197700,25.60
2009-05-07,28.11,28.30,26.34,26.73,3462000,26.73
2009-05-06,27.80,28.06,26.90,27.99,3146300,27.99
2009-05-05,29.13,29.13,27.47,27.64,3685400,27.64
2009-05-04,27.70,29.23,27.40,28.90,3954100,28.90
2009-05-01,27.99,28.08,27.10,27.47,2332600,27.47
2009-04-30,27.09,28.55,26.75,27.88,3399900,27.88
2009-04-29,26.51,27.25,25.92,26.72,2488800,26.72
2009-04-28,26.69,27.20,25.83,26.42,3688800,26.42
2009-04-27,25.44,27.48,25.30,27.00,6575100,27.00
2009-04-24,24.57,25.91,24.42,25.69,3795200,25.69
2009-04-23,25.46,25.63,23.91,24.82,5446200,24.82
2009-04-22,25.25,26.89,24.90,25.80,4638400,25.80
2009-04-21,25.61,26.48,24.68,25.33,4895800,25.33
2009-04-20,27.14,27.16,25.72,25.91,3420400,25.91
2009-04-17,26.83,28.07,26.27,27.81,3526700,27.81
2009-04-16,26.13,27.03,25.53,26.88,2911300,26.88
2009-04-15,25.58,25.66,24.62,25.62,3479500,25.62
2009-04-14,25.90,27.44,24.67,26.04,8907700,26.04
2009-04-13,25.29,25.71,24.66,25.30,4000200,25.30
2009-04-09,24.28,25.96,24.28,25.56,3738100,25.56
2009-04-08,23.99,24.12,23.25,24.07,2437000,24.07
2009-04-07,24.46,24.46,23.23,23.51,2762500,23.51
2009-04-06,25.49,25.49,24.39,24.90,2506100,24.90
2009-04-03,24.57,25.80,24.18,25.65,2963100,25.65
2009-04-02,23.93,25.08,23.82,24.55,3080600,24.55
2009-04-01,22.41,23.64,22.17,23.43,2419700,23.43
2009-03-31,22.51,23.39,22.51,22.77,3731300,22.77
2009-03-30,23.37,23.40,22.01,22.38,3816200,22.38
2009-03-27,24.02,24.62,23.74,24.03,3252800,24.03
2009-03-26,24.40,25.47,23.86,25.47,5258700,25.47
2009-03-25,24.39,25.29,23.23,23.86,3976100,23.86
2009-03-24,24.36,24.75,23.71,24.11,3795600,24.11
2009-03-23,23.70,25.00,23.57,25.00,3855300,25.00
2009-03-20,24.01,25.18,22.79,23.24,4880000,23.24
2009-03-19,24.35,24.99,23.92,24.50,4540100,24.50
2009-03-18,23.05,24.49,22.79,24.45,4967300,24.45
2009-03-17,22.66,23.22,22.26,23.22,2674300,23.22
2009-03-16,23.61,23.90,22.36,22.57,4568000,22.57
2009-03-13,22.39,23.69,22.10,23.35,4833200,23.35
2009-03-12,21.02,22.49,20.69,22.26,4071900,22.26
2009-03-11,20.28,21.19,20.00,21.00,3427700,21.00
2009-03-10,19.19,20.50,19.19,20.36,3271600,20.36
2009-03-09,19.24,20.09,18.88,19.16,3463500,19.16
2009-03-06,19.58,19.68,18.65,19.29,4073200,19.29
2009-03-05,19.30,20.06,19.13,19.32,2190000,19.32
2009-03-04,19.20,20.38,19.01,19.75,3807700,19.75
2009-03-03,18.52,19.12,18.24,18.81,4031300,18.81
2009-03-02,19.32,19.65,18.32,18.42,3183600,18.42
2009-02-27,19.76,20.38,19.40,19.56,4457900,19.56
2009-02-26,20.99,21.68,19.99,20.21,4443400,20.21
2009-02-25,19.56,21.07,19.07,20.47,5623300,20.47
2009-02-24,18.56,19.75,18.56,19.63,3553000,19.63
2009-02-23,19.57,19.80,18.43,18.56,3250500,18.56
2009-02-20,19.08,20.04,18.58,19.59,3704300,19.59
2009-02-19,20.05,20.11,19.02,19.03,2556900,19.03
2009-02-18,20.06,20.34,19.28,19.84,3243700,19.84
2009-02-17,20.58,21.01,19.88,19.98,2697800,19.98
2009-02-13,20.85,22.03,20.85,21.69,3528900,21.69
2009-02-12,20.16,21.23,19.86,20.86,4491500,20.86
2009-02-11,21.01,21.12,19.98,20.37,2920800,20.37
2009-02-10,21.34,22.49,20.69,20.86,3769300,20.86
2009-02-09,21.67,22.13,21.21,21.57,1828200,21.57
2009-02-06,21.24,21.83,20.78,21.78,2608500,21.78
2009-02-05,19.44,21.20,19.32,20.91,3427700,20.91
2009-02-04,20.00,20.71,19.56,20.07,3335000,20.07
2009-02-03,19.77,19.96,19.09,19.85,4308800,19.85
2009-02-02,20.00,20.50,19.06,19.68,5478100,19.68
2009-01-30,20.85,21.58,20.00,20.21,4359300,20.21
2009-01-29,21.72,22.33,20.15,21.10,9082000,21.10
2009-01-28,22.96,24.28,22.67,23.89,4056100,23.89
2009-01-27,21.70,22.75,21.60,22.42,1811500,22.42
2009-01-26,21.85,22.57,21.43,21.78,2870900,21.78
2009-01-23,20.32,22.34,20.22,21.91,3913800,21.91
2009-01-22,20.69,21.39,19.95,20.56,3004600,20.56
2009-01-21,21.15,21.40,20.08,21.19,3189900,21.19
2009-01-20,21.90,22.36,20.89,20.89,3297300,20.89
2009-01-16,21.75,22.46,21.15,22.17,3627400,22.17
2009-01-15,20.34,21.50,19.75,21.13,4188500,21.13
2009-01-14,21.17,21.50,20.33,20.45,2427700,20.45
2009-01-13,21.93,22.69,21.20,21.63,3387300,21.63
2009-01-12,23.35,23.42,21.89,22.28,3176900,22.28
2009-01-09,23.43,23.59,22.61,23.50,3068700,23.50
2009-01-08,22.61,23.48,22.24,23.35,2588500,23.35
2009-01-07,22.98,23.07,21.90,22.66,2590700,22.66
2009-01-06,22.36,23.68,21.80,23.36,3135000,23.36
2009-01-05,21.62,22.34,21.44,21.99,1900100,21.99
2009-01-02,21.47,22.18,20.65,22.04,2620900,22.04
2008-12-31,21.70,21.79,21.03,21.28,2419400,21.28
2008-12-30,20.85,22.00,20.77,21.76,2537600,21.76
2008-12-29,21.04,21.08,20.49,20.78,1539200,20.78
2008-12-26,21.01,21.01,20.62,20.87,766700,20.87
2008-12-24,20.77,20.95,20.69,20.87,764300,20.87
2008-12-23,21.47,21.56,20.37,20.79,2143800,20.79
2008-12-22,22.06,22.06,20.83,21.43,2323400,21.43
2008-12-19,22.30,23.20,21.52,22.06,4105400,22.06
2008-12-18,22.94,23.20,21.46,21.91,2835300,21.91
