Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,27.73,27.98,27.23,27.25,1536400,24.88
2009-12-30,27.98,28.01,27.54,27.64,2211300,25.24
2009-12-29,27.92,28.19,27.92,28.01,2046900,25.58
2009-12-28,28.11,28.11,27.75,27.85,1934000,25.43
2009-12-24,28.10,28.14,27.55,27.93,750800,25.50
2009-12-23,28.07,28.11,27.77,27.97,2440200,25.54
2009-12-22,28.03,28.18,27.75,27.95,2720900,25.52
2009-12-21,28.03,28.25,27.93,28.06,2162300,25.62
2009-12-18,27.84,28.16,27.46,28.00,3074600,25.57
2009-12-17,27.57,28.04,27.49,27.82,2267900,25.40
2009-12-16,27.98,28.15,27.66,27.90,2660600,25.48
2009-12-15,27.53,28.00,27.49,27.81,2479300,25.40
2009-12-14,27.19,27.73,26.93,27.72,2654900,25.31
2009-12-11,27.14,27.24,26.89,27.08,2094100,24.73
2009-12-10,26.89,27.26,26.89,27.02,2193400,24.67
2009-12-09,26.78,27.05,26.49,26.77,4022500,24.45
2009-12-08,26.48,26.95,26.09,26.89,5220200,24.55
2009-12-07,27.08,27.39,26.62,26.78,4202400,24.45
2009-12-04,26.45,27.24,26.31,27.17,7757400,24.81
2009-12-03,25.68,26.02,25.39,25.82,5765400,23.58
2009-12-02,25.89,26.12,25.47,25.66,3789400,23.43
2009-12-01,25.92,26.07,25.67,25.76,3336400,23.52
2009-11-30,25.19,25.72,24.98,25.72,4105900,23.49
2009-11-27,25.16,25.63,24.66,25.26,1634800,23.07
2009-11-25,25.77,26.15,25.48,25.93,4255900,23.68
2009-11-24,26.13,26.28,25.47,25.55,4331700,23.33
2009-11-23,26.69,26.84,26.08,26.25,2678600,23.97
2009-11-20,26.37,26.52,25.89,26.13,3761800,23.86
2009-11-19,26.81,26.90,26.28,26.40,3555300,24.11
2009-11-18,27.15,27.31,26.77,26.99,2124400,24.65
2009-11-17,27.60,27.69,27.10,27.37,2652900,24.99
2009-11-16,27.09,27.80,27.09,27.72,3072000,25.24
2009-11-13,26.90,27.27,26.67,26.96,2800900,24.55
2009-11-12,27.18,27.35,26.61,26.74,3138400,24.34
2009-11-11,26.94,27.43,26.82,27.19,3300900,24.75
2009-11-10,26.76,27.08,26.46,26.90,2332500,24.49
2009-11-09,26.41,27.02,26.27,26.88,4476800,24.47
2009-11-06,25.91,26.20,25.70,26.13,2850800,23.79
