Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,13.89,14.00,13.79,13.81,2405800,12.83
2009-12-30,13.97,13.99,13.70,13.93,2213800,12.94
2009-12-29,14.13,14.16,13.77,14.01,2204700,13.01
2009-12-28,14.48,14.48,13.99,14.08,1552900,13.08
2009-12-24,14.20,14.36,14.15,14.36,698500,13.34
2009-12-23,13.94,14.15,13.85,14.13,2787100,13.12
2009-12-22,13.83,13.97,13.76,13.86,4070900,12.87
2009-12-21,13.51,13.87,13.51,13.75,3052300,12.77
2009-12-18,13.79,14.07,13.37,13.39,5222600,12.44
2009-12-17,13.81,13.90,13.66,13.72,2178500,12.74
2009-12-16,13.84,14.04,13.63,13.95,2915000,12.96
2009-12-15,13.61,13.77,13.46,13.56,2113600,12.59
2009-12-14,13.68,13.79,13.49,13.71,1662400,12.73
2009-12-11,13.80,13.80,13.35,13.55,2419100,12.58
2009-12-10,13.54,13.76,13.44,13.54,2450800,12.57
2009-12-09,13.62,13.65,13.19,13.47,2559800,12.51
2009-12-08,13.80,13.90,13.49,13.55,9580500,12.58
2009-12-07,14.51,14.64,13.84,13.91,4597300,12.92
2009-12-04,14.48,14.67,14.15,14.60,4857400,13.56
2009-12-03,14.05,14.31,13.97,14.18,4898500,13.17
2009-12-02,13.95,14.30,13.83,14.01,3341200,13.01
2009-12-01,13.75,14.33,13.75,13.91,6667500,12.92
2009-11-30,13.46,13.79,13.26,13.58,3640200,12.61
2009-11-27,13.44,13.84,13.24,13.53,1630800,12.57
2009-11-25,14.19,14.20,13.89,14.09,2732700,13.09
2009-11-24,14.41,14.42,13.99,14.05,2782300,13.05
2009-11-23,14.28,14.89,14.24,14.39,4240700,13.36
2009-11-20,14.21,14.30,13.80,14.04,3673300,13.04
2009-11-19,14.50,14.50,14.07,14.34,4176000,13.32
2009-11-18,14.58,14.69,14.35,14.66,3714500,13.62
2009-11-17,14.62,14.70,14.44,14.68,3289200,13.63
2009-11-16,14.09,14.87,14.01,14.64,5425500,13.60
2009-11-13,13.37,14.09,13.29,14.01,6596000,13.01
2009-11-12,13.56,13.75,13.32,13.36,4034400,12.41
2009-11-11,13.39,13.66,13.30,13.58,3810300,12.61
2009-11-10,13.04,13.40,12.98,13.28,3751900,12.33
2009-11-09,12.76,13.29,12.76,13.20,3578400,12.26
2009-11-06,12.27,12.63,12.19,12.60,3960100,11.70
2009-11-05,11.93,12.42,11.93,12.38,3470800,11.50
2009-11-04,12.13,12.33,11.82,11.82,5088500,10.98
2009-11-03,11.64,12.16,11.62,12.02,5630800,11.16
2009-11-02,11.68,12.15,11.44,11.65,6358100,10.82
2009-10-30,12.37,12.51,11.58,11.75,9424200,10.91
2009-10-29,12.23,12.73,12.15,12.41,5863600,11.53
2009-10-28,13.13,13.13,12.11,12.14,7823800,11.27
2009-10-27,13.80,13.95,12.91,13.08,8241900,12.15
2009-10-26,13.52,14.25,13.39,13.61,6162900,12.64
2009-10-23,13.86,14.06,13.30,13.54,5238100,12.57
2009-10-22,13.11,13.94,12.96,13.80,5358700,12.82
2009-10-21,13.59,13.84,12.99,13.00,4420700,12.07
2009-10-20,13.78,13.78,13.40,13.62,3291200,12.65
2009-10-19,13.76,13.99,13.65,13.79,3497300,12.81
2009-10-16,14.19,14.35,13.62,13.70,4325900,12.72
2009-10-15,13.68,13.81,13.62,13.77,2799900,12.79
2009-10-14,13.58,13.77,13.49,13.75,3737200,12.77
2009-10-13,13.09,13.47,12.99,13.35,3341700,12.40
2009-10-12,13.06,13.38,13.06,13.16,2552200,12.22
2009-10-09,12.99,13.11,12.81,12.88,2297400,11.96
2009-10-08,12.74,13.38,12.62,12.99,3548000,12.06
2009-10-07,12.62,12.68,12.39,12.55,3990600,11.66
2009-10-06,12.76,13.04,12.51,12.63,2960300,11.66
2009-10-05,12.19,12.81,12.14,12.63,3808700,11.66
2009-10-02,12.35,12.35,11.87,12.10,5155600,11.17
2009-10-01,12.93,12.93,12.46,12.52,5002200,11.56
