Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,53.78,53.87,52.77,52.82,1269000,47.00
2009-12-30,53.33,53.71,53.17,53.70,1083100,47.78
2009-12-29,53.38,53.72,53.28,53.39,1101500,47.51
2009-12-28,53.02,53.55,52.70,53.42,1449000,47.54
2009-12-24,53.00,53.35,52.87,52.91,898100,47.08
2009-12-23,53.75,54.01,52.78,52.95,4412900,47.12
2009-12-22,54.50,54.78,53.76,53.82,1716000,47.89
2009-12-21,54.52,55.08,54.43,54.50,1524800,48.50
2009-12-18,54.62,54.92,54.00,54.62,2805000,48.60
2009-12-17,54.75,54.91,54.11,54.26,2122500,48.28
2009-12-16,55.52,55.86,54.76,54.86,2303400,48.82
2009-12-15,55.80,55.90,55.15,55.40,1924500,49.30
2009-12-14,56.45,56.57,55.52,55.77,2863100,49.63
2009-12-11,55.18,56.39,54.97,56.25,3510300,50.05
2009-12-10,53.89,55.05,53.87,55.03,3497700,48.97
2009-12-09,53.53,53.77,53.40,53.69,2091000,47.78
2009-12-08,52.86,53.39,52.34,53.29,1992800,47.42
2009-12-07,52.87,53.28,52.70,52.96,1666200,47.13
2009-12-04,53.39,53.77,52.10,52.75,2599900,46.94
2009-12-03,53.41,53.77,52.93,53.00,2742500,47.16
2009-12-02,52.89,53.57,52.76,53.32,1853300,47.45
2009-12-01,52.11,53.06,52.11,52.89,2397200,47.06
2009-11-30,51.58,52.18,51.55,51.97,2797900,46.25
2009-11-27,51.88,52.21,51.35,51.58,992600,45.90
2009-11-25,52.14,52.65,51.96,52.48,1889200,46.70
2009-11-24,51.82,52.10,51.30,52.10,2598000,46.36
2009-11-23,51.34,52.24,51.34,52.01,2779100,45.86
2009-11-20,50.85,51.17,50.58,51.11,1856900,45.07
2009-11-19,51.50,51.54,50.56,50.86,1770400,44.85
2009-11-18,51.45,51.67,51.09,51.58,2215900,45.48
2009-11-17,52.06,52.16,51.27,51.54,2304600,45.45
2009-11-16,51.69,52.21,51.67,51.99,2199300,45.84
2009-11-13,51.08,51.50,50.50,51.14,1985000,45.09
2009-11-12,51.30,51.60,50.74,50.79,2854100,44.78
2009-11-11,52.01,52.15,51.13,51.27,4079400,45.21
2009-11-10,50.58,50.94,50.41,50.61,1652600,44.63
2009-11-09,50.14,50.84,49.83,50.84,1981400,44.83
2009-11-06,50.12,50.15,49.40,49.76,2586000,43.88
2009-11-05,50.24,50.64,49.84,50.23,2276900,44.29
2009-11-04,49.39,50.68,49.39,49.87,3395600,43.97
2009-11-03,48.83,49.37,48.78,49.21,2808700,43.39
2009-11-02,49.30,49.49,48.55,49.04,3358900,43.24
2009-10-30,50.40,50.44,49.00,49.10,4359500,43.29
2009-10-29,50.34,50.84,49.87,50.09,4229700,44.17
2009-10-28,50.56,50.89,50.00,50.12,3767800,44.19
2009-10-27,51.20,52.07,48.78,50.81,8171300,44.80
2009-10-26,52.80,53.34,51.79,52.13,4575700,45.97
2009-10-23,53.52,53.67,52.50,52.63,2969300,46.41
2009-10-22,53.57,53.90,52.95,53.56,3899500,47.23
2009-10-21,53.68,54.77,53.34,53.90,3649800,47.53
2009-10-20,54.75,54.75,53.29,53.48,3377000,47.16
2009-10-19,53.68,54.98,53.33,54.70,2905500,48.23
2009-10-16,53.72,53.88,53.12,53.50,2512400,47.17
2009-10-15,53.05,53.92,53.05,53.75,3799400,47.39
2009-10-14,53.00,53.41,52.33,52.99,3637200,46.72
2009-10-13,53.15,53.27,52.61,53.01,2824500,46.74
2009-10-12,53.46,53.59,53.12,53.30,1980400,47.00
