Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,44.32,44.97,44.32,44.57,1721800,20.20
2009-12-30,44.16,44.56,44.04,44.36,1035200,20.10
2009-12-29,44.50,44.60,44.11,44.25,1218600,20.05
2009-12-28,44.23,44.41,44.08,44.33,1224200,20.09
2009-12-24,43.99,44.24,43.85,44.01,386800,19.95
2009-12-23,43.23,43.91,43.15,43.87,1412400,19.88
2009-12-22,43.65,43.71,43.17,43.32,1500800,19.63
2009-12-21,43.99,43.99,42.04,43.39,1582800,19.66
2009-12-18,43.15,43.39,42.68,42.74,2080000,19.37
2009-12-17,42.93,43.18,42.59,42.98,1107200,19.48
2009-12-16,43.24,43.39,42.95,43.15,1221600,19.56
2009-12-15,42.69,43.04,42.45,43.00,1365200,19.49
2009-12-14,42.71,43.13,42.20,42.72,2177200,19.36
2009-12-11,41.60,42.56,40.98,42.39,3808000,19.21
2009-12-10,41.42,41.74,41.11,41.59,2465200,18.85
2009-12-09,41.22,41.22,40.50,41.12,1763200,18.64
2009-12-08,41.27,41.33,40.66,41.14,1034200,18.64
2009-12-07,40.79,41.64,40.75,41.45,1279400,18.79
2009-12-04,41.11,41.16,40.39,40.79,914800,18.49
2009-12-03,40.74,41.00,40.46,40.54,1014400,18.37
2009-12-02,40.21,40.57,40.07,40.56,1196400,18.38
2009-12-01,40.34,40.34,39.70,40.18,1719800,18.21
2009-11-30,39.77,40.16,39.61,40.02,1793000,18.14
2009-11-27,39.69,39.93,39.20,39.68,273400,17.98
2009-11-25,40.00,40.38,39.69,40.36,1819800,18.29
2009-11-24,39.69,39.95,39.36,39.87,560400,18.07
2009-11-23,39.58,40.25,39.46,39.71,1148400,18.00
2009-11-20,39.05,39.20,38.66,39.08,1299200,17.71
2009-11-19,39.52,39.54,38.80,39.12,1185000,17.73
2009-11-18,40.22,40.25,39.65,39.73,1119800,18.01
2009-11-17,39.92,40.17,39.82,40.12,1073000,18.18
2009-11-16,39.35,40.20,39.25,40.10,1680200,18.17
2009-11-13,38.52,39.22,38.18,39.03,1111000,17.69
2009-11-12,38.79,38.94,38.21,38.28,810800,17.35
2009-11-11,39.21,39.38,38.47,38.80,993600,17.58
2009-11-10,38.45,39.06,38.45,39.00,887400,17.68
2009-11-09,38.02,38.55,37.87,38.51,906800,17.45
2009-11-06,37.76,38.01,37.31,37.62,1219800,17.05
2009-11-05,37.19,38.08,37.03,38.07,1325600,17.25
2009-11-04,37.46,37.57,36.86,36.86,1415200,16.71
2009-11-03,36.01,37.00,35.53,36.93,1321400,16.74
2009-11-02,36.26,36.71,35.74,36.17,1777600,16.39
2009-10-30,36.94,37.22,36.00,36.21,1320000,16.41
2009-10-29,36.67,37.30,36.42,37.15,1472000,16.84
2009-10-28,36.96,37.47,36.35,36.38,1326000,16.49
2009-10-27,36.86,38.25,36.61,37.73,2637800,16.91
2009-10-26,38.14,38.92,37.34,37.41,1691200,16.77
2009-10-23,38.49,38.68,37.80,37.98,816200,17.02
2009-10-22,38.64,38.96,37.92,38.38,1318800,17.20
2009-10-21,38.93,39.53,38.71,38.78,1172200,17.38
2009-10-20,38.76,39.09,38.44,38.94,1251800,17.45
2009-10-19,38.02,38.75,37.73,38.61,733400,17.30
2009-10-16,37.90,38.22,37.72,37.86,1087200,16.97
