Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,24.47,24.63,24.02,24.04,1241700,22.24
2009-12-30,24.53,24.59,24.26,24.35,1228300,22.53
2009-12-29,25.14,25.29,24.55,24.63,1590000,22.79
2009-12-28,25.51,25.63,24.91,24.97,1610300,23.10
2009-12-24,25.80,25.83,25.41,25.46,657600,23.56
2009-12-23,25.28,25.56,25.06,25.43,2058800,23.53
2009-12-22,24.14,25.21,24.14,25.21,2680100,23.33
2009-12-21,23.89,24.30,23.60,24.23,3323500,22.42
2009-12-18,23.77,24.04,23.50,23.72,3585200,21.95
2009-12-17,23.86,24.10,23.45,23.71,3573800,21.94
2009-12-16,23.49,24.40,23.47,24.02,2732200,22.22
2009-12-15,23.68,23.97,23.21,23.31,3118300,21.57
2009-12-14,23.60,24.28,23.52,23.87,2231200,22.09
2009-12-11,23.07,23.64,22.99,23.60,1878400,21.84
2009-12-10,23.27,23.47,22.98,23.07,3291500,21.35
2009-12-09,23.21,23.45,22.70,23.10,2386800,21.37
2009-12-08,23.02,23.41,22.97,23.28,2373100,21.54
2009-12-07,23.83,24.23,23.25,23.33,4986100,21.59
2009-12-04,23.15,24.12,22.36,24.09,11600700,22.29
2009-12-03,26.06,26.67,22.20,22.52,17184600,20.84
2009-12-02,25.39,26.02,25.16,25.98,3063100,24.04
2009-12-01,25.63,25.78,25.25,25.41,2556200,23.51
2009-11-30,25.09,25.43,24.72,25.39,2838600,23.49
2009-11-27,24.96,25.57,24.67,25.00,1558500,23.13
2009-11-25,26.06,26.49,25.91,26.18,2077100,24.22
2009-11-24,26.10,26.16,25.51,26.01,1840700,24.07
2009-11-23,26.54,26.54,25.87,26.08,1819000,24.13
2009-11-20,25.15,25.89,25.15,25.78,2921300,23.85
2009-11-19,26.74,27.01,26.11,26.20,2363100,24.24
2009-11-18,27.12,27.35,26.81,27.01,1479400,24.99
2009-11-17,26.57,27.15,26.39,27.12,2525200,25.09
2009-11-16,26.04,26.88,25.93,26.76,2971400,24.76
2009-11-13,25.84,26.02,25.33,25.73,1715000,23.81
2009-11-12,25.83,26.03,25.42,25.54,3404400,23.63
