Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,10.03,10.14,9.94,10.00,4614900,10.00
2009-12-30,9.92,10.08,9.82,10.05,4060600,10.05
2009-12-29,9.86,10.00,9.70,9.97,4049000,9.97
2009-12-28,10.16,10.18,9.81,9.87,4766500,9.87
2009-12-24,10.15,10.19,10.04,10.15,1868600,10.15
2009-12-23,10.01,10.17,9.96,10.06,11006000,10.06
2009-12-22,9.49,10.03,9.40,9.86,11880400,9.86
2009-12-21,9.37,9.46,9.23,9.42,6737200,9.42
2009-12-18,9.28,9.49,9.15,9.28,9024600,9.28
2009-12-17,9.22,9.33,9.11,9.22,5695800,9.22
2009-12-16,9.06,9.38,8.97,9.34,8900400,9.34
2009-12-15,8.92,9.03,8.84,8.89,6629400,8.89
2009-12-14,8.91,8.97,8.74,8.93,5503900,8.93
2009-12-11,8.87,8.89,8.72,8.83,12258900,8.83
2009-12-10,9.00,9.05,8.74,8.84,10073800,8.84
2009-12-09,9.01,9.05,8.81,8.93,5336700,8.93
2009-12-08,8.99,9.13,8.85,8.88,6376200,8.88
2009-12-07,9.04,9.17,8.92,9.04,5817300,9.04
2009-12-04,9.25,9.35,9.02,9.07,9169800,9.07
2009-12-03,9.33,9.43,9.05,9.07,6557000,9.07
2009-12-02,9.43,9.54,9.18,9.31,4813800,9.31
2009-12-01,9.20,9.42,9.19,9.31,5523100,9.31
2009-11-30,9.14,9.21,9.08,9.14,6101500,9.14
2009-11-27,9.09,9.24,9.00,9.11,3194200,9.11
2009-11-25,9.32,9.48,9.27,9.41,3877700,9.41
2009-11-24,9.54,9.56,9.21,9.30,8532100,9.30
2009-11-23,9.60,9.83,9.48,9.56,6582200,9.56
2009-11-20,9.42,9.61,9.30,9.46,9130500,9.46
2009-11-19,9.98,9.98,9.65,9.82,6403300,9.82
2009-11-18,9.89,10.13,9.67,10.04,11124400,10.04
2009-11-17,9.76,9.80,9.49,9.60,8362000,9.60
2009-11-16,9.91,10.00,9.73,9.82,5837700,9.82
2009-11-13,9.78,10.00,9.61,9.69,7612100,9.69
2009-11-12,10.30,10.30,9.74,9.78,9587500,9.78
2009-11-11,9.75,10.32,9.72,10.23,14497000,10.23
2009-11-10,9.85,9.95,9.39,9.46,8676500,9.46
2009-11-09,9.83,9.87,9.50,9.80,9485600,9.80
2009-11-06,9.47,9.89,9.40,9.65,10428800,9.65
2009-11-05,9.79,9.98,9.05,9.66,16050100,9.66
2009-11-04,9.12,9.93,9.00,9.55,14169500,9.55
2009-11-03,8.95,9.40,8.87,9.23,8628200,9.23
2009-11-02,9.13,9.27,8.66,9.01,9755600,9.01
2009-10-30,9.27,9.34,8.92,9.01,7503200,9.01
2009-10-29,9.37,9.53,9.14,9.33,8434100,9.33
2009-10-28,9.62,9.62,9.04,9.10,9233200,9.10
2009-10-27,9.78,9.87,9.51,9.58,7266100,9.58
2009-10-26,10.11,10.26,9.58,9.70,8251200,9.70
2009-10-23,10.59,10.65,9.98,10.08,9266200,10.08
2009-10-22,9.83,10.58,9.61,10.44,10373600,10.44
2009-10-21,10.12,10.31,9.78,9.80,7255200,9.80
2009-10-20,10.52,10.53,10.01,10.08,9296400,10.08
2009-10-19,10.80,10.87,10.52,10.61,4348600,10.61
2009-10-16,10.74,10.85,10.60,10.70,6431300,10.70
2009-10-15,10.89,10.99,10.79,10.84,4240600,10.84
2009-10-14,10.90,11.00,10.74,10.95,7355300,10.95
2009-10-13,10.32,10.88,10.28,10.59,6944900,10.59
2009-10-12,10.59,10.64,10.30,10.35,3727200,10.35
2009-10-09,10.50,10.72,10.27,10.54,4659800,10.54
2009-10-08,10.19,10.75,10.19,10.49,8768000,10.49
2009-10-07,10.55,10.55,9.94,10.06,9094900,10.06
2009-10-06,10.58,10.84,10.37,10.46,6050300,10.46
2009-10-05,10.41,10.67,10.26,10.40,4640700,10.40
2009-10-02,10.49,10.60,10.24,10.39,5953400,10.39
2009-10-01,10.94,10.98,10.51,10.62,9071700,10.62
2009-09-30,11.41,11.45,10.79,10.99,9921600,10.99
2009-09-29,11.49,11.57,11.27,11.37,4800500,11.37
2009-09-28,11.23,11.40,11.11,11.26,3085100,11.26
2009-09-25,11.33,11.62,11.12,11.18,5871400,11.18
2009-09-24,11.97,12.29,11.38,11.52,10636900,11.52
2009-09-23,12.33,12.43,11.87,11.89,15333300,11.89
2009-09-22,12.70,12.78,12.30,12.41,5456900,12.41
2009-09-21,12.59,12.75,12.27,12.55,5584400,12.55
2009-09-18,12.92,13.19,12.69,12.71,8745300,12.71
2009-09-17,13.17,13.48,12.51,12.73,7796500,12.73
2009-09-16,12.62,13.15,12.54,13.10,7500300,13.10
2009-09-15,12.14,12.57,12.10,12.46,6116500,12.46
2009-09-14,12.14,12.23,11.98,12.11,5636000,12.11
2009-09-11,12.63,12.63,12.10,12.30,5119500,12.30
2009-09-10,12.39,12.63,12.19,12.57,3075800,12.57
2009-09-09,12.29,12.45,12.09,12.38,5727000,12.38
2009-09-08,12.47,12.50,12.12,12.36,4381700,12.36
2009-09-04,12.20,12.35,12.00,12.34,3999700,12.34
2009-09-03,11.91,12.25,11.82,12.21,5639200,12.21
2009-09-02,12.20,12.34,11.76,11.92,7702800,11.92
2009-09-01,12.71,13.12,12.23,12.30,8198700,12.30
2009-08-31,12.98,12.99,12.65,12.78,6754200,12.78
2009-08-28,13.21,13.42,12.88,13.16,6595300,13.16
2009-08-27,13.15,13.33,12.47,13.13,9412900,13.13
2009-08-26,13.22,13.59,12.92,13.32,7638700,13.32
2009-08-25,12.86,13.40,12.82,13.06,9469800,13.06
2009-08-24,12.77,13.08,12.52,12.62,7533000,12.62
2009-08-21,12.50,12.98,12.46,12.67,8934700,12.67
2009-08-20,12.18,12.43,12.15,12.39,9317800,12.39
2009-08-19,12.08,12.36,11.96,12.27,7028300,12.27
2009-08-18,12.38,12.60,12.07,12.33,11366100,12.33
2009-08-17,11.92,12.55,11.81,12.32,7964500,12.32
2009-08-14,12.73,12.81,12.13,12.49,5764200,12.49
2009-08-13,12.89,12.97,12.40,12.74,6584300,12.74
2009-08-12,12.61,13.19,12.59,12.86,9543000,12.86
2009-08-11,12.10,12.41,11.74,12.32,13158700,12.32
2009-08-10,12.59,12.61,12.17,12.28,7190900,12.28
2009-08-07,12.24,12.99,12.12,12.64,13789200,12.64
2009-08-06,12.00,12.17,11.76,11.88,8081700,11.88
2009-08-05,11.69,12.02,11.28,11.93,10543100,11.93
2009-08-04,11.23,11.93,10.63,11.68,17956800,11.68
2009-08-03,11.47,11.89,11.41,11.76,9912100,11.76
2009-07-31,11.04,11.48,10.91,11.37,8040800,11.37
2009-07-30,10.83,11.25,10.74,11.05,9581300,11.05
2009-07-29,10.72,10.83,10.48,10.74,5826700,10.74
2009-07-28,10.36,10.92,10.34,10.78,8788500,10.78
2009-07-27,9.84,10.72,9.63,10.59,9928200,10.59
2009-07-24,9.72,9.82,9.40,9.75,4007500,9.75
2009-07-23,9.45,9.95,9.33,9.78,7814900,9.78
2009-07-22,8.90,9.47,8.87,9.37,8130600,9.37
2009-07-21,9.16,9.34,8.92,8.96,5013800,8.96
2009-07-20,9.15,9.45,9.12,9.21,4325400,9.21
2009-07-17,9.30,9.34,9.05,9.14,6880700,9.14
2009-07-16,8.82,9.09,8.58,9.02,4427400,9.02
2009-07-15,8.59,8.73,8.48,8.68,3290700,8.68
2009-07-14,8.20,8.44,8.01,8.35,4901500,8.35
2009-07-13,8.15,8.20,7.90,8.14,6121900,8.14
2009-07-10,8.13,8.25,7.92,8.14,4747200,8.14
2009-07-09,7.96,8.27,7.96,8.23,5989800,8.23
2009-07-08,8.11,8.18,7.84,7.92,6037100,7.92
2009-07-07,8.21,8.28,8.09,8.09,4598900,8.09
2009-07-06,8.46,8.55,8.20,8.32,5839400,8.32
2009-07-02,8.91,8.91,8.52,8.52,3383700,8.52
2009-07-01,8.91,9.10,8.79,8.96,4390100,8.96
2009-06-30,8.97,9.11,8.76,8.83,6997000,8.83
2009-06-29,8.83,8.99,8.61,8.97,6474700,8.97
2009-06-26,9.04,9.11,8.74,8.76,6415900,8.76
2009-06-25,8.46,9.01,8.46,8.96,6434400,8.96
2009-06-24,8.65,8.99,8.40,8.47,8505700,8.47
2009-06-23,8.94,8.96,8.59,8.65,8504100,8.65
2009-06-22,8.66,8.95,8.66,8.77,5409200,8.77
2009-06-19,8.67,8.86,8.62,8.78,7910000,8.78
2009-06-18,8.80,8.89,8.48,8.57,6503900,8.57
2009-06-17,8.68,9.01,8.42,8.86,8124100,8.86
2009-06-16,8.83,8.98,8.54,8.68,7218800,8.68
2009-06-15,8.74,8.75,8.54,8.61,4951700,8.61
2009-06-12,8.87,8.94,8.63,8.82,6032800,8.82
2009-06-11,9.34,9.42,8.83,8.87,12222500,8.87
2009-06-10,9.75,9.77,9.25,9.41,7111800,9.41
2009-06-09,9.22,9.72,9.10,9.56,10398600,9.56
2009-06-08,8.66,9.17,8.64,9.05,9233200,9.05
2009-06-05,8.83,9.06,8.55,8.80,13188900,8.80
2009-06-04,8.72,8.72,8.30,8.54,6458600,8.54
2009-06-03,9.05,9.05,8.45,8.59,8927200,8.59
2009-06-02,8.69,9.13,8.61,8.97,10238000,8.97
2009-06-01,9.09,9.09,8.60,8.67,12163000,8.67
2009-05-29,8.81,9.09,8.61,8.80,9335900,8.80
2009-05-28,9.64,9.65,8.44,8.67,18848400,8.67
2009-05-27,9.64,10.04,9.36,9.40,9833100,9.40
2009-05-26,9.35,9.74,9.16,9.61,9463000,9.61
2009-05-22,9.40,9.47,9.00,9.36,6639700,9.36
2009-05-21,9.38,9.51,9.03,9.25,9871000,9.25
2009-05-20,10.16,10.56,9.42,9.52,13194500,9.52
2009-05-19,10.16,10.46,9.83,10.03,11600300,10.03
2009-05-18,9.94,10.37,9.72,10.30,11049600,10.30
2009-05-15,9.96,10.14,9.48,9.63,9652900,9.63
2009-05-14,9.88,10.24,9.50,9.75,11763600,9.75
2009-05-13,10.49,10.49,9.77,9.87,10693300,9.87
2009-05-12,11.31,11.42,10.33,10.71,10474500,10.71
2009-05-11,11.24,11.47,10.88,11.23,7575400,11.23
2009-05-08,11.08,11.54,10.67,11.47,10789200,11.47
2009-05-07,11.57,11.59,10.50,10.90,12975300,10.90
2009-05-06,12.07,12.16,10.50,11.31,29031900,11.31
2009-05-05,12.15,12.40,11.82,12.30,10747700,12.30
2009-05-04,11.49,12.25,11.25,12.16,8066400,12.16
2009-05-01,11.38,11.70,10.95,11.14,6972600,11.14
2009-04-30,12.11,12.25,11.38,11.51,11205000,11.51
2009-04-29,11.75,12.19,11.49,11.86,7953800,11.86
2009-04-28,11.66,11.77,11.29,11.50,8737200,11.50
2009-04-27,11.75,12.45,11.69,11.97,9386100,11.97
2009-04-24,11.19,12.20,11.18,11.99,10141600,11.99
2009-04-23,11.19,11.49,10.15,11.17,10739800,11.17
2009-04-22,10.93,11.89,10.66,11.03,9911700,11.03
2009-04-21,10.44,11.14,10.34,11.05,9473500,11.05
2009-04-20,11.21,11.41,10.57,10.66,7735100,10.66
2009-04-17,11.21,11.94,11.16,11.64,9760500,11.64
2009-04-16,11.01,11.32,10.60,11.19,10124600,11.19
2009-04-15,10.09,11.10,10.00,10.75,12641900,10.75
2009-04-14,10.07,10.54,9.92,10.19,8650000,10.19
2009-04-13,9.90,10.31,9.82,10.21,7244000,10.21
2009-04-09,9.92,10.36,9.67,10.11,13985300,10.11
2009-04-08,10.55,10.60,9.33,9.64,39762800,9.64
2009-04-07,11.25,11.34,10.73,10.77,5543900,10.77
2009-04-06,11.24,11.61,10.99,11.57,5535900,11.57
2009-04-03,11.38,11.58,11.00,11.54,7658900,11.54
2009-04-02,11.54,11.68,11.11,11.39,10284900,11.39
2009-04-01,10.69,11.50,10.46,11.23,6458700,11.23
2009-03-31,11.13,11.16,10.43,10.93,6800400,10.93
2009-03-30,11.05,11.07,10.73,11.02,8548100,11.02
2009-03-27,11.29,11.61,11.07,11.40,7454100,11.40
2009-03-26,11.29,11.86,11.29,11.50,10353600,11.50
2009-03-25,11.00,12.33,10.67,11.12,12854600,11.12
2009-03-24,10.90,11.22,10.69,10.87,5807200,10.87
2009-03-23,10.23,11.08,9.90,11.08,6643700,11.08
2009-03-20,10.35,10.39,9.65,9.80,6678900,9.80
2009-03-19,11.25,11.29,10.28,10.33,6660900,10.33
2009-03-18,10.09,11.40,9.65,10.95,10296100,10.95
2009-03-17,9.72,10.17,9.37,10.16,6014400,10.16
2009-03-16,10.13,10.29,9.47,9.52,5114000,9.52
2009-03-13,10.19,10.29,9.47,10.00,4721600,10.00
2009-03-12,9.13,10.07,8.90,10.02,6285800,10.02
2009-03-11,9.51,9.57,8.98,9.19,4677600,9.19
2009-03-10,8.31,9.49,8.31,9.38,9890700,9.38
2009-03-09,7.76,8.58,7.71,8.08,8211300,8.08
2009-03-06,8.28,8.43,7.74,7.90,9084700,7.90
2009-03-05,8.04,8.37,8.00,8.18,7609300,8.18
2009-03-04,8.36,8.50,7.96,8.33,7450800,8.33
2009-03-03,8.70,8.84,8.01,8.08,8289700,8.08
2009-03-02,8.65,9.42,8.41,8.54,9155800,8.54
2009-02-27,9.27,9.87,9.06,9.18,7838000,9.18
2009-02-26,10.00,10.29,9.50,9.56,8103500,9.56
2009-02-25,9.83,10.18,9.30,9.86,10567700,9.86
2009-02-24,9.03,10.36,8.95,9.90,10970400,9.90
2009-02-23,8.87,9.20,8.61,8.76,9145400,8.76
2009-02-20,8.38,9.01,8.25,8.71,11853800,8.71
2009-02-19,9.67,9.81,8.72,8.73,11094200,8.73
2009-02-18,10.16,10.22,9.31,9.51,8063900,9.51
