Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,5.32,5.34,5.18,5.29,9583700,5.19
2009-12-30,5.31,5.37,5.27,5.32,10377600,5.21
2009-12-29,5.36,5.39,5.34,5.36,8039500,5.25
2009-12-28,5.43,5.48,5.32,5.35,9044900,5.24
2009-12-24,5.39,5.46,5.36,5.43,3305200,5.32
2009-12-23,5.52,5.54,5.36,5.38,7642600,5.27
2009-12-22,5.49,5.54,5.47,5.54,8637300,5.43
2009-12-21,5.48,5.49,5.44,5.48,11594700,5.37
2009-12-18,5.39,5.50,5.34,5.45,25628200,5.34
2009-12-17,5.25,5.51,5.22,5.33,16413500,5.22
2009-12-16,5.38,5.45,5.30,5.33,19343900,5.22
2009-12-15,5.50,5.58,5.33,5.34,22634400,5.23
2009-12-14,5.58,5.60,5.50,5.58,14594400,5.47
2009-12-11,5.56,5.58,5.49,5.58,10874400,5.46
2009-12-10,5.58,5.60,5.46,5.53,19940800,5.41
2009-12-09,5.71,5.71,5.54,5.56,15592300,5.44
2009-12-08,5.52,5.73,5.46,5.69,26151500,5.57
2009-12-07,5.65,5.67,5.54,5.64,27671600,5.52
2009-12-04,5.70,5.72,5.56,5.71,29569200,5.59
2009-12-03,5.93,5.98,5.48,5.50,36072400,5.38
2009-12-02,5.80,5.98,5.78,5.85,30304700,5.72
2009-12-01,5.91,5.99,5.66,5.78,34446800,5.66
2009-11-30,5.59,5.87,5.59,5.86,31663200,5.73
2009-11-27,5.57,5.76,5.50,5.58,16437100,5.46
2009-11-25,5.82,5.85,5.75,5.80,19397300,5.67
2009-11-24,5.68,5.85,5.57,5.74,28998900,5.62
2009-11-23,5.51,5.82,5.41,5.69,36944000,5.57
2009-11-20,5.31,5.52,5.29,5.45,35099900,5.33
2009-11-19,5.33,5.44,5.29,5.35,39438100,5.23
2009-11-18,5.23,5.57,5.10,5.39,56042900,5.27
2009-11-17,4.92,5.27,4.88,5.18,38180700,5.07
2009-11-16,4.90,5.04,4.85,4.93,29667600,4.82
2009-11-13,4.78,4.89,4.74,4.83,23893300,4.73
2009-11-12,4.82,4.96,4.74,4.77,34436600,4.67
2009-11-11,4.85,5.00,4.79,4.82,23008200,4.72
2009-11-10,4.93,5.00,4.76,4.83,20804000,4.73
2009-11-09,4.84,4.98,4.74,4.96,31464600,4.85
2009-11-06,4.71,4.90,4.68,4.75,24253200,4.65
2009-11-05,4.74,4.87,4.61,4.81,30675200,4.71
2009-11-04,4.97,5.02,4.65,4.67,31342400,4.57
2009-11-03,4.73,4.96,4.65,4.84,34751400,4.74
2009-11-02,4.91,5.04,4.71,4.78,38485000,4.68
2009-10-30,5.15,5.17,4.80,4.84,41091800,4.74
2009-10-29,4.96,5.21,4.94,5.18,46967600,5.07
2009-10-28,5.12,5.13,4.79,4.82,58697900,4.72
2009-10-27,5.05,5.24,4.92,5.07,45645500,4.96
2009-10-26,5.52,5.59,5.04,5.10,48627200,4.99
2009-10-23,5.90,5.90,5.45,5.53,41539800,5.41
2009-10-22,5.74,5.86,5.55,5.81,35075700,5.68
2009-10-21,5.68,6.02,5.68,5.71,43310700,5.59
2009-10-20,5.54,6.11,5.51,5.81,84135300,5.68
2009-10-19,5.88,5.90,5.65,5.70,31722600,5.58
2009-10-16,5.98,6.04,5.83,5.83,26271800,5.70
2009-10-15,6.03,6.20,5.94,6.09,35311700,5.96
2009-10-14,6.08,6.18,5.92,6.09,52926800,5.96
2009-10-13,6.03,6.12,5.91,5.96,34364600,5.83
2009-10-12,5.99,6.09,5.95,6.00,15915600,5.87
2009-10-09,5.94,5.97,5.87,5.95,19185600,5.82
2009-10-08,6.12,6.16,5.93,5.94,26485300,5.81
2009-10-07,5.86,6.01,5.77,6.00,20706300,5.87
2009-10-06,6.11,6.23,5.83,5.90,38988400,5.77
2009-10-05,5.91,6.07,5.86,5.96,27108000,5.83
2009-10-02,5.75,6.13,5.57,5.79,36211500,5.67
2009-10-01,6.16,6.29,5.91,5.97,43100000,5.84
2009-09-30,6.50,6.54,6.05,6.21,47949300,6.08
2009-09-29,6.63,6.72,6.44,6.45,34630800,6.31
2009-09-28,6.39,6.58,6.35,6.58,23837000,6.44
2009-09-25,6.21,6.42,6.20,6.36,27796200,6.22
2009-09-24,6.63,6.67,6.21,6.37,39934400,6.23
2009-09-23,6.90,6.91,6.57,6.57,28920900,6.43
2009-09-22,6.71,6.86,6.61,6.81,38885900,6.66
2009-09-21,6.13,6.66,6.12,6.53,42629900,6.39
2009-09-18,6.34,6.38,6.02,6.13,48860800,6.00
2009-09-17,6.41,6.81,6.13,6.27,68204500,6.13
2009-09-16,6.09,6.73,5.98,6.39,80536800,6.25
2009-09-15,5.60,6.20,5.50,6.06,68683800,5.93
2009-09-14,5.42,5.52,5.33,5.52,22909100,5.39
2009-09-11,5.61,5.65,5.47,5.51,21438800,5.38
2009-09-10,5.65,5.67,5.53,5.60,17469200,5.47
2009-09-09,5.61,5.69,5.52,5.66,23552600,5.53
2009-09-08,5.70,5.74,5.52,5.60,20003300,5.47
2009-09-04,5.27,5.56,5.25,5.53,29040800,5.40
2009-09-03,5.33,5.43,5.19,5.23,41649800,5.11
2009-09-02,5.44,5.50,5.16,5.19,49530900,5.07
2009-09-01,5.78,6.01,5.51,5.54,55743500,5.41
2009-08-31,5.87,5.95,5.78,5.86,34671500,5.72
2009-08-28,6.04,6.08,5.89,5.97,27695800,5.83
2009-08-27,5.86,5.95,5.64,5.92,40537000,5.78
2009-08-26,5.89,6.00,5.73,5.84,43023800,5.70
2009-08-25,5.88,5.99,5.72,5.83,44400900,5.69
2009-08-24,6.02,6.11,5.65,5.70,49706800,5.57
2009-08-21,5.63,5.91,5.59,5.86,52353200,5.72
2009-08-20,5.47,5.65,5.36,5.49,42430400,5.36
2009-08-19,5.34,5.80,5.27,5.51,38734200,5.38
2009-08-18,5.35,5.57,5.28,5.44,42514200,5.31
2009-08-17,5.30,5.46,5.20,5.25,42876400,5.13
2009-08-14,5.38,5.80,5.26,5.64,90586900,5.51
2009-08-13,5.19,5.28,4.93,5.20,66286700,5.08
2009-08-12,4.71,4.87,4.66,4.82,29488000,4.71
2009-08-11,4.94,4.95,4.70,4.76,34391500,4.65
2009-08-10,4.97,5.09,4.80,4.97,36374500,4.85
2009-08-07,4.75,5.00,4.70,4.93,42904400,4.81
2009-08-06,4.84,4.88,4.56,4.60,49824800,4.49
2009-08-05,4.65,4.81,4.58,4.73,46393000,4.62
2009-08-04,4.38,4.73,4.30,4.58,45954000,4.47
2009-08-03,4.33,4.52,4.28,4.44,38427200,4.34
2009-07-31,4.24,4.46,4.18,4.42,33580900,4.32
2009-07-30,4.02,4.28,4.00,4.23,55067800,4.13
2009-07-29,3.92,4.03,3.84,3.89,27424900,3.80
2009-07-28,4.03,4.05,3.88,3.91,26472600,3.82
2009-07-27,3.71,4.06,3.69,4.02,52668900,3.93
