Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,43.30,43.58,42.71,42.71,2186000,20.67
2009-12-30,43.23,43.60,43.09,43.35,2592200,20.98
2009-12-29,42.99,43.57,42.83,43.49,3869000,21.04
2009-12-28,42.51,42.98,42.51,42.82,4143800,20.72
2009-12-24,42.83,43.15,42.40,42.51,1141800,20.57
2009-12-23,42.81,43.35,42.62,42.88,3993600,20.75
2009-12-22,43.75,43.75,42.63,42.82,5897600,20.72
2009-12-21,42.88,44.18,42.88,43.70,9089200,21.15
2009-12-18,44.26,44.54,42.90,42.90,56113800,20.76
2009-12-17,44.46,44.57,44.01,44.34,3771000,21.46
2009-12-16,45.39,45.69,44.75,44.83,5545200,21.69
2009-12-15,44.79,45.56,44.64,45.26,4585800,21.90
2009-12-14,44.25,44.94,44.17,44.91,6836200,21.73
2009-12-11,43.86,44.17,43.23,43.53,3094400,21.06
2009-12-10,42.99,44.12,42.99,43.71,2973800,21.15
2009-12-09,43.32,43.52,42.80,42.94,2955800,20.78
2009-12-08,43.58,43.92,43.00,43.55,3227200,21.07
2009-12-07,43.69,44.28,43.45,43.86,1801800,21.22
2009-12-04,43.85,44.39,43.43,43.63,4770600,21.11
2009-12-03,44.58,44.80,43.74,43.75,6186000,21.12
2009-12-02,44.29,44.93,44.14,44.34,2278000,21.40
2009-12-01,44.18,44.61,44.01,44.39,3547400,21.43
2009-11-30,44.21,44.56,43.50,43.98,4199800,21.23
2009-11-27,43.87,44.95,43.26,44.29,1234000,21.38
2009-11-25,43.80,45.00,43.80,44.92,3054000,21.68
2009-11-24,44.29,44.51,43.95,44.28,3126400,21.37
2009-11-23,44.10,44.72,43.85,43.95,4285600,21.21
2009-11-20,44.88,44.95,43.71,43.81,6263800,21.15
2009-11-19,45.20,45.49,44.44,44.85,7830800,21.65
2009-11-18,45.59,46.31,45.45,46.07,3604400,22.24
2009-11-17,46.23,46.56,45.05,45.59,3753400,22.01
2009-11-16,46.11,46.58,45.89,46.24,2388800,22.32
2009-11-13,45.99,46.40,45.54,46.01,2285400,22.21
2009-11-12,46.93,47.22,45.73,45.80,3412200,22.11
2009-11-11,46.77,47.36,46.43,46.74,2870400,22.56
2009-11-10,46.28,46.49,46.09,46.30,3635200,22.35
2009-11-09,45.99,46.47,45.57,46.28,2613600,22.34
2009-11-06,45.53,45.85,44.55,45.62,3021000,22.02
2009-11-05,45.02,45.86,44.59,45.54,4260000,21.98
2009-11-04,45.69,45.92,44.73,44.88,3160600,21.66
2009-11-03,44.58,45.27,43.97,45.25,3255600,21.84
2009-11-02,44.29,45.22,44.07,44.79,4065600,21.62
2009-10-30,44.32,45.25,43.87,44.01,4713600,21.24
2009-10-29,44.04,44.83,43.73,44.60,2483800,21.53
2009-10-28,45.14,45.40,43.76,43.79,4279000,21.14
2009-10-27,45.90,46.32,44.83,45.05,4582200,21.74
2009-10-26,46.05,47.03,45.90,45.94,2872400,22.17
2009-10-23,46.41,46.78,45.73,46.12,2116000,22.26
2009-10-22,45.62,46.99,45.60,46.56,3290400,22.47
2009-10-21,45.65,46.59,45.38,45.39,3298600,21.91
2009-10-20,46.47,46.47,45.63,45.88,1984000,22.15
2009-10-19,45.92,46.59,45.44,46.47,2689800,22.43
2009-10-16,45.27,46.22,44.62,45.72,4044200,22.07
2009-10-15,46.03,46.42,45.18,45.44,4505400,21.93
2009-10-14,46.20,46.68,45.96,46.38,3951800,22.39
2009-10-13,45.50,46.47,45.25,46.08,3625000,22.24
2009-10-12,45.54,45.96,45.17,45.59,4925000,22.01
2009-10-09,46.72,46.94,44.89,45.20,11143400,21.82
2009-10-08,49.44,50.50,46.71,46.99,11350400,22.68
2009-10-07,48.20,48.64,47.60,48.30,3452200,23.31
2009-10-06,46.82,48.47,46.70,48.46,4637600,23.39
2009-10-05,46.75,46.78,45.99,46.58,3104200,22.48
2009-10-02,46.66,46.88,45.90,46.01,3699400,22.21
2009-10-01,47.77,47.83,46.56,46.59,4390600,22.49
2009-09-30,48.29,48.29,47.18,47.77,2456600,23.06
2009-09-29,48.05,48.58,47.77,48.09,2833400,23.21
2009-09-28,46.89,48.24,46.89,48.17,2230000,23.25
2009-09-25,47.30,47.54,46.75,47.03,3055200,22.70
2009-09-24,47.21,47.52,46.94,47.22,1489400,22.79
2009-09-23,48.27,48.27,47.16,47.16,2213600,22.76
2009-09-22,47.98,48.50,47.68,48.00,2609800,23.17
2009-09-21,47.00,47.98,46.89,47.91,3111200,23.13
2009-09-18,47.73,47.74,47.12,47.39,3548000,22.87
2009-09-17,47.90,48.24,47.30,47.38,3860000,22.87
2009-09-16,47.35,48.00,47.08,47.99,2862800,23.16
2009-09-15,47.53,47.92,46.68,47.44,3010600,22.90
2009-09-14,46.30,47.56,46.24,47.52,2356000,22.94
2009-09-11,47.00,47.43,46.35,46.55,2448600,22.47
2009-09-10,47.51,47.66,46.66,47.15,2958400,22.76
2009-09-09,46.49,47.63,46.35,47.51,4073400,22.93
2009-09-08,47.20,47.33,46.09,46.47,3175000,22.43
2009-09-04,46.73,47.42,45.94,46.99,2529200,22.68
2009-09-03,45.40,46.55,45.40,46.50,3979600,22.44
2009-09-02,45.04,45.39,44.67,45.21,3473800,21.82
2009-09-01,46.36,46.84,45.18,45.22,4882400,21.83
2009-08-31,47.20,47.20,46.25,46.64,3342200,22.46
2009-08-28,47.06,47.28,46.49,47.14,3582800,22.70
2009-08-27,46.30,46.75,45.75,46.67,2664600,22.47
2009-08-26,46.84,47.29,46.20,46.27,3223600,22.28
2009-08-25,46.25,47.31,46.02,46.90,3241400,22.58
2009-08-24,46.92,47.04,45.94,45.98,2515200,22.14
2009-08-21,45.88,47.05,45.88,46.80,4438000,22.54
2009-08-20,45.69,46.53,45.40,46.40,6532200,22.34
2009-08-19,43.38,44.76,43.27,44.64,3770200,21.50
2009-08-18,44.31,44.42,43.12,43.56,3213800,20.98
2009-08-17,43.89,44.20,43.38,43.95,3329400,21.16
2009-08-14,44.86,45.37,44.16,44.40,2469800,21.38
2009-08-13,44.93,45.44,44.40,45.21,2995200,21.77
2009-08-12,44.62,45.49,44.44,45.09,2738200,21.71
2009-08-11,44.48,44.87,44.10,44.44,2790800,21.40
2009-08-10,45.50,45.50,44.14,44.48,2850400,21.42
2009-08-07,44.80,45.95,44.18,45.49,4764600,21.91
2009-08-06,43.90,44.78,42.85,43.97,6176800,21.17
2009-08-05,42.31,42.70,41.64,42.56,6139600,20.49
2009-08-04,43.64,43.84,41.97,42.14,6863400,20.29
2009-08-03,43.20,43.74,42.56,43.72,4298400,21.05
2009-07-31,44.40,44.88,44.03,44.07,2684600,21.22
2009-07-30,44.77,45.75,44.29,44.34,2962400,21.35
2009-07-29,43.95,44.74,43.93,44.40,2893800,21.38
2009-07-28,43.81,44.49,43.60,44.17,4378400,21.27
2009-07-27,44.26,44.48,43.41,44.06,2448000,21.22
2009-07-24,43.70,44.58,43.42,44.49,3122800,21.42
2009-07-23,43.75,44.70,43.46,44.00,4866000,21.19
2009-07-22,43.05,44.49,43.05,43.91,3803000,21.14
2009-07-21,43.46,43.77,42.69,43.42,4706200,20.91
2009-07-20,43.29,43.80,42.69,43.71,4989800,21.05
2009-07-17,43.73,43.73,43.09,43.42,3853200,20.91
2009-07-16,42.91,43.71,42.72,43.62,3866800,21.01
2009-07-15,42.00,43.15,41.62,43.14,6293000,20.77
2009-07-14,41.32,41.93,41.07,41.84,4862600,20.15
2009-07-13,40.75,41.68,40.24,41.60,5193800,20.03
2009-07-10,40.97,41.33,40.41,40.84,5860400,19.67
2009-07-09,41.33,41.85,40.76,41.16,8282400,19.82
2009-07-08,39.01,40.72,38.93,40.55,8245800,19.53
2009-07-07,38.76,39.01,38.46,38.88,6003200,18.72
2009-07-06,37.74,38.71,37.51,38.62,4083000,18.60
2009-07-02,38.15,38.51,37.73,37.89,3470400,18.25
2009-07-01,38.97,38.97,38.14,38.51,3352800,18.54
2009-06-30,38.89,39.22,38.29,38.60,3850800,18.59
