Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,52.09,52.48,51.52,51.52,1528000,46.47
2009-12-30,52.33,52.74,52.07,52.18,2193500,47.07
2009-12-29,52.77,53.00,52.66,52.72,1862200,47.28
2009-12-28,52.44,52.79,52.44,52.79,2233200,47.34
2009-12-24,52.15,52.47,52.15,52.25,1092100,46.86
2009-12-23,52.48,52.69,51.15,52.00,2596800,46.63
2009-12-22,53.08,53.46,52.37,52.55,2088800,47.12
2009-12-21,52.40,53.27,52.40,52.96,1566400,47.49
2009-12-18,52.63,52.76,52.00,52.45,3501300,47.04
2009-12-17,52.80,52.90,52.28,52.52,2106500,47.10
2009-12-16,53.47,53.48,52.90,53.02,2659900,47.55
2009-12-15,53.46,53.61,51.51,53.34,2419100,47.83
2009-12-14,52.84,53.84,52.84,53.44,2509600,47.92
2009-12-11,52.33,52.94,52.33,52.74,1873300,47.30
2009-12-10,51.94,52.64,51.90,52.23,2721100,46.84
2009-12-09,51.92,51.92,51.03,51.80,3328300,46.45
2009-12-08,52.48,52.61,51.77,52.36,2371800,46.95
2009-12-07,52.51,52.90,52.44,52.79,2336800,47.34
2009-12-04,51.78,52.82,51.78,52.65,3486500,47.21
2009-12-03,52.00,52.20,51.44,51.54,3116400,46.22
2009-12-02,51.54,51.99,51.40,51.90,2330600,46.54
2009-12-01,51.75,52.00,51.49,51.80,3389900,46.45
2009-11-30,51.51,51.99,51.12,51.53,3289200,46.21
2009-11-27,51.40,51.95,50.86,51.63,1485400,46.30
2009-11-25,51.45,52.05,51.31,52.02,2417900,46.65
2009-11-24,51.37,51.75,51.05,51.65,3034500,46.32
2009-11-23,50.75,51.62,50.65,51.44,3119200,46.13
2009-11-20,49.80,50.69,49.80,50.59,3039100,45.37
2009-11-19,50.28,50.30,49.52,49.83,2817000,44.69
2009-11-18,50.27,50.69,50.04,50.41,2856700,45.21
2009-11-17,49.64,50.32,49.52,50.21,3078400,45.03
2009-11-16,49.15,49.97,49.08,49.80,2366200,44.66
2009-11-13,48.49,49.24,48.49,49.03,1718900,43.97
2009-11-12,48.85,48.94,48.34,48.56,2198900,43.55
2009-11-11,48.47,49.13,48.47,48.85,2884000,43.81
2009-11-10,47.99,48.55,47.99,48.36,2664700,43.37
2009-11-09,47.64,48.17,47.64,48.17,2485900,43.20
2009-11-06,46.87,47.64,46.87,47.57,2354900,42.66
2009-11-05,46.50,47.16,46.48,47.08,2373300,42.22
2009-11-04,45.87,46.85,45.72,46.23,3300400,41.46
2009-11-03,45.61,45.87,45.11,45.75,2741800,41.03
2009-11-02,45.27,45.89,45.04,45.73,3465800,41.01
2009-10-30,45.81,46.18,45.25,45.28,3770100,40.61
2009-10-29,45.87,46.01,45.07,45.87,4420000,41.13
2009-10-28,46.05,46.35,45.58,45.61,3307000,40.90
2009-10-27,46.00,46.67,45.99,46.02,3537300,41.27
2009-10-26,46.48,46.96,45.78,46.01,3638100,41.26
2009-10-23,46.84,47.51,46.33,46.43,4149300,41.64
2009-10-22,45.43,47.40,45.13,46.82,6372900,41.99
2009-10-21,45.49,46.14,45.02,45.18,6074600,40.52
2009-10-20,46.88,46.88,45.38,45.54,6155000,40.84
2009-10-19,46.68,47.35,46.55,47.15,2903400,42.28
2009-10-16,46.38,46.85,46.14,46.55,3279900,41.74
2009-10-15,46.78,46.88,46.28,46.60,2175100,41.79
2009-10-14,46.21,47.07,46.12,46.92,3775300,42.08
2009-10-13,45.71,46.19,45.56,45.97,2820100,41.22
2009-10-12,46.16,46.23,45.70,45.86,2598500,41.13
2009-10-09,45.54,46.16,45.54,46.11,2402600,41.35
2009-10-08,45.88,46.09,45.48,45.59,3089600,40.88
2009-10-07,46.47,46.50,45.45,45.78,3676400,41.05
2009-10-06,46.42,46.62,46.12,46.55,3643600,41.74
2009-10-05,46.06,46.36,45.82,46.12,2094800,41.36
2009-10-02,46.07,46.51,45.87,46.01,2499700,41.26
2009-10-01,47.92,47.92,46.53,46.67,3571400,41.57
2009-09-30,48.14,48.27,47.17,47.97,2956900,42.73
2009-09-29,48.08,48.48,47.95,48.30,2363000,43.03
2009-09-28,47.76,48.27,47.63,48.00,2023500,42.76
2009-09-25,47.23,47.70,47.07,47.59,3232800,42.39
2009-09-24,48.00,48.16,47.30,47.38,2433400,42.21
2009-09-23,47.69,48.64,47.50,48.10,3700600,42.85
2009-09-22,47.95,47.95,47.36,47.64,2160900,42.44
2009-09-21,48.18,48.39,47.46,47.79,3349600,42.57
2009-09-18,47.78,48.36,47.52,48.33,4555900,43.05
2009-09-17,46.11,48.05,45.84,47.72,5916600,42.51
2009-09-16,46.28,46.47,45.80,46.17,3288100,41.13
2009-09-15,46.21,46.23,45.74,46.09,2706900,41.06
2009-09-14,46.43,46.50,46.05,46.13,2891500,41.09
2009-09-11,46.17,46.73,45.78,46.56,4089000,41.48
2009-09-10,46.31,46.33,45.80,46.22,3196700,41.17
2009-09-09,46.33,46.99,46.20,46.44,2807200,41.37
2009-09-08,46.76,46.85,45.92,46.29,3421700,41.24
2009-09-04,45.92,46.82,45.92,46.56,2213500,41.48
2009-09-03,46.34,46.64,45.39,45.88,4761000,40.87
2009-09-02,46.44,46.56,46.06,46.28,2677500,41.23
2009-09-01,46.29,47.14,45.70,46.56,3773500,41.48
2009-08-31,47.14,47.34,46.88,47.18,2132600,42.03
2009-08-28,47.88,47.88,47.15,47.32,2403900,42.15
2009-08-27,47.53,48.23,47.34,47.76,3486300,42.54
2009-08-26,47.72,47.86,47.28,47.60,3337000,42.40
2009-08-25,48.27,48.29,47.65,47.69,3309200,42.48
2009-08-24,48.39,48.40,47.87,47.99,5168400,42.75
2009-08-21,47.12,48.45,46.88,48.22,4436200,42.95
2009-08-20,47.37,47.37,46.55,46.95,3434000,41.82
2009-08-19,46.99,47.50,46.77,47.25,3092600,42.09
2009-08-18,47.24,47.50,47.09,47.24,2384300,42.08
2009-08-17,47.06,47.30,46.46,47.13,3016900,41.98
2009-08-14,47.59,47.77,46.95,47.53,3206600,42.34
2009-08-13,47.82,47.82,47.22,47.59,2587000,42.39
2009-08-12,46.75,47.96,46.57,47.70,2177600,42.49
2009-08-11,46.19,46.99,46.18,46.70,1935400,41.60
2009-08-10,47.09,47.15,46.41,47.11,1964700,41.97
2009-08-07,46.66,47.52,46.52,47.15,2847400,42.00
2009-08-06,47.08,47.14,46.13,46.56,3393300,41.48
2009-08-05,47.71,47.75,46.98,47.07,2901000,41.93
2009-08-04,47.73,47.95,47.34,47.63,2084900,42.43
2009-08-03,47.36,48.00,46.70,47.84,2959700,42.62
2009-07-31,47.46,47.83,46.88,46.95,3206400,41.82
2009-07-30,46.75,47.84,46.71,47.42,3962600,42.24
2009-07-29,46.07,46.66,45.77,46.57,2096600,41.48
2009-07-28,45.34,46.36,45.17,46.30,2492100,41.24
2009-07-27,45.30,45.68,44.82,45.58,2209000,40.60
2009-07-24,45.64,46.29,45.09,45.39,3125800,40.43
2009-07-23,44.75,46.00,44.54,45.75,4383500,40.75
2009-07-22,44.78,45.42,44.70,44.99,2650500,40.08
2009-07-21,45.00,45.09,44.14,44.88,3183300,39.98
2009-07-20,45.03,45.20,44.30,45.14,2133000,40.21
2009-07-17,45.38,45.38,44.62,44.94,2891200,40.03
2009-07-16,45.11,45.80,44.98,45.50,3667000,40.53
2009-07-15,44.52,44.77,44.30,44.52,3144000,39.66
2009-07-14,43.38,44.40,43.30,44.23,3230600,39.40
2009-07-13,42.85,43.66,42.23,43.58,2223500,38.82
2009-07-10,42.14,42.80,42.05,42.68,2384200,38.02
2009-07-09,42.33,42.38,41.90,42.27,1958000,37.65
2009-07-08,42.15,42.40,41.94,42.17,3569600,37.57
2009-07-07,43.19,43.25,42.01,42.08,2454500,37.48
2009-07-06,42.91,43.47,42.60,43.32,2916000,38.59
2009-07-02,44.34,44.36,42.99,43.01,2387200,38.31
2009-07-01,44.54,45.04,44.49,44.89,2398200,39.71
2009-06-30,45.44,45.44,44.30,44.43,2775000,39.31
2009-06-29,44.52,45.55,44.49,45.40,3324100,40.16
2009-06-26,44.99,45.05,44.36,44.50,4571500,39.37
2009-06-25,44.16,45.15,44.16,45.12,2969400,39.92
2009-06-24,45.05,45.07,44.13,44.22,3170800,39.12
2009-06-23,45.38,45.38,44.45,44.75,3201700,39.59
2009-06-22,45.86,45.86,45.13,45.37,3057200,40.14
2009-06-19,45.86,46.20,45.55,46.08,5063700,40.76
2009-06-18,45.39,46.24,45.35,45.91,2970800,40.61
2009-06-17,44.78,45.57,44.78,45.31,2140200,40.08
2009-06-16,44.77,45.15,44.67,44.85,3494000,39.68
2009-06-15,44.99,45.20,44.58,45.00,4433300,39.81
2009-06-12,45.57,45.69,44.93,45.31,3442800,40.08
2009-06-11,45.70,46.40,45.67,45.67,4761000,40.40
2009-06-10,45.10,45.66,44.91,45.60,3345400,40.34
2009-06-09,45.86,46.00,44.74,44.98,4605400,39.79
2009-06-08,46.21,46.24,44.95,45.95,2634700,40.65
2009-06-05,45.73,46.46,45.31,46.22,3461000,40.89
2009-06-04,45.00,45.05,44.45,45.02,4081500,39.83
2009-06-03,45.30,45.36,44.65,44.82,3468100,39.65
2009-06-02,45.69,45.88,44.82,45.52,3803100,40.27
2009-06-01,44.70,45.96,44.65,45.88,3121300,40.59
2009-05-29,44.79,44.94,43.90,44.65,3392100,39.50
2009-05-28,44.08,44.89,43.75,44.69,2576300,39.54
2009-05-27,44.62,44.92,44.17,44.20,3526200,39.10
2009-05-26,43.47,44.86,43.47,44.58,4314400,39.44
2009-05-22,43.84,43.89,43.37,43.47,2231600,38.46
2009-05-21,44.33,44.88,43.40,43.68,3710300,38.64
2009-05-20,44.65,45.50,44.46,44.72,4729500,39.56
2009-05-19,44.87,45.60,44.35,44.44,5048700,39.31
2009-05-18,45.27,45.49,44.05,45.13,5777200,39.92
2009-05-15,46.75,46.89,45.76,46.07,3837000,40.76
2009-05-14,47.17,47.98,46.60,47.02,3807600,41.60
2009-05-13,47.24,47.62,46.72,47.20,3469300,41.76
2009-05-12,47.85,48.12,47.40,47.87,3746500,42.35
2009-05-11,47.76,48.08,47.18,47.66,3021900,42.16
2009-05-08,47.86,48.34,47.48,48.27,3943600,42.70
2009-05-07,48.01,48.25,47.07,47.47,4495600,41.99
2009-05-06,47.95,47.95,47.00,47.61,3871600,42.12
2009-05-05,46.83,47.72,46.78,47.53,3077600,42.05
2009-05-04,45.75,46.97,45.64,46.97,5112200,41.55
2009-05-01,45.12,46.00,45.12,45.67,2996000,40.40
2009-04-30,46.49,46.65,44.84,45.23,5877400,40.01
2009-04-29,45.07,46.57,44.94,46.16,3389600,40.84
2009-04-28,44.54,45.68,43.81,44.92,3441600,39.74
2009-04-27,43.63,45.74,43.63,44.93,4193100,39.75
2009-04-24,43.93,44.15,43.11,43.82,7207000,38.77
2009-04-23,44.50,44.93,42.61,44.04,5836900,38.96
2009-04-22,41.35,42.17,40.75,41.30,3561300,36.54
2009-04-21,41.50,41.72,40.77,41.09,3792800,36.35
2009-04-20,42.30,42.41,41.13,41.23,4048000,36.47
2009-04-17,43.47,43.84,42.40,42.51,4958800,37.61
2009-04-16,41.99,43.52,41.99,43.28,3501300,38.29
2009-04-15,41.73,42.52,41.73,42.21,3280700,37.34
2009-04-14,41.80,42.45,41.42,42.03,3243400,37.18
2009-04-13,42.01,42.57,41.46,42.07,2511900,37.22
2009-04-09,42.63,43.19,42.17,42.49,3857600,37.59
2009-04-08,41.10,41.82,40.73,41.76,5077500,36.94
2009-04-07,40.89,41.90,40.41,40.88,5055000,36.16
2009-04-06,38.10,41.72,38.00,41.66,7184100,36.85
2009-04-03,39.62,39.84,38.03,38.47,4925800,34.03
2009-04-02,40.02,40.78,39.41,40.12,3379700,35.22
2009-04-01,38.94,39.67,38.55,39.43,3136800,34.61
2009-03-31,39.16,39.73,38.62,38.94,5019500,34.18
2009-03-30,38.81,39.33,38.25,38.80,3796300,34.06
2009-03-27,39.63,39.87,39.05,39.40,4434800,34.59
2009-03-26,38.45,40.16,38.20,40.10,8451800,35.20
2009-03-25,36.30,37.50,36.25,37.23,5899300,32.68
2009-03-24,35.05,36.41,35.03,36.03,10691200,31.63
2009-03-23,35.90,35.90,35.13,35.30,7282600,30.99
2009-03-20,36.38,36.46,35.19,35.35,6591900,31.03
2009-03-19,36.73,36.73,35.85,36.21,3991000,31.79
2009-03-18,35.32,36.63,34.86,36.33,4754700,31.89
2009-03-17,34.83,35.39,34.05,35.39,3380900,31.07
2009-03-16,34.00,35.46,33.71,34.64,5441100,30.41
2009-03-13,35.10,35.10,33.50,33.82,6029300,29.69
2009-03-12,33.60,35.33,33.20,34.84,6144700,30.58
2009-03-11,34.75,34.99,33.52,33.57,4524000,29.47
2009-03-10,34.27,34.67,33.56,34.61,5267000,30.38
2009-03-09,34.50,34.62,33.64,33.81,5182000,29.68
2009-03-06,36.01,36.60,34.31,34.88,6324700,30.62
2009-03-05,36.65,37.10,35.62,35.79,5086100,31.42
2009-03-04,36.86,38.13,35.96,37.40,4880700,32.83
2009-03-03,37.71,38.02,36.43,36.45,7824900,32.00
2009-03-02,38.93,39.27,37.60,37.71,7766200,33.10
2009-02-27,41.64,41.64,39.89,39.97,7468000,35.09
2009-02-26,43.37,43.80,41.93,42.05,5243600,36.91
2009-02-25,44.59,44.86,43.01,43.02,4670700,37.76
2009-02-24,44.09,45.20,43.97,44.86,4297200,39.38
2009-02-23,45.89,45.89,43.79,43.84,3948100,38.48
2009-02-20,45.80,46.35,44.96,45.56,4010400,39.99
2009-02-19,46.39,46.76,46.03,46.38,4127300,40.71
2009-02-18,45.26,46.73,45.26,46.13,3427500,40.49
2009-02-17,45.47,46.30,45.09,45.60,4085200,40.03
2009-02-13,46.75,47.34,46.64,46.74,2918200,41.03
2009-02-12,46.22,46.69,45.43,46.64,3462200,40.94
2009-02-11,47.16,47.50,46.27,46.98,2675800,41.24
2009-02-10,47.82,48.41,46.54,46.84,3160800,41.12
2009-02-09,47.87,48.50,47.32,48.41,2760500,42.50
2009-02-06,49.16,49.35,47.72,47.80,4366800,41.96
2009-02-05,48.38,49.38,47.90,49.04,3587300,43.05
2009-02-04,48.32,49.19,48.00,48.60,3349700,42.66
2009-02-03,48.92,49.08,46.99,48.32,3966100,42.42
2009-02-02,50.02,50.19,47.85,48.69,4269700,42.74
2009-01-30,50.32,51.60,50.27,50.62,3564200,44.43
2009-01-29,49.62,51.25,49.24,50.30,3800000,44.15
2009-01-28,50.50,51.41,49.33,49.67,4802200,43.60
2009-01-27,50.63,50.63,49.56,49.78,3895000,43.70
2009-01-26,50.30,50.86,49.93,50.37,3375400,44.22
2009-01-23,50.75,51.37,50.02,50.38,3937100,44.22
2009-01-22,51.28,51.91,50.24,51.54,4316700,45.24
2009-01-21,52.04,52.04,50.49,51.71,2870900,45.39
2009-01-20,52.56,53.00,51.32,51.46,2877700,45.17
2009-01-16,52.30,52.99,51.76,52.67,4206400,46.23
2009-01-15,50.99,52.25,50.06,51.97,4225400,45.62
2009-01-14,48.95,52.05,48.34,50.95,6339400,44.72
2009-01-13,51.34,51.34,48.71,49.29,3785600,43.27
2009-01-12,50.62,50.80,49.77,50.54,2829900,44.36
2009-01-09,50.84,51.63,49.86,50.52,3067100,44.35
2009-01-08,50.80,50.83,49.79,50.17,3048600,44.04
2009-01-07,51.53,51.53,50.32,50.90,2517300,44.68
2009-01-06,52.49,52.75,51.52,51.79,2400100,45.46
2009-01-05,51.89,52.70,51.69,52.49,2903500,46.08
2009-01-02,51.19,52.21,50.46,52.00,1753500,45.65
2008-12-31,50.66,51.58,50.66,51.04,1709600,44.80
2008-12-30,49.34,50.75,49.24,50.67,1608800,44.48
2008-12-29,49.34,49.95,49.01,49.08,1703400,42.84
2008-12-26,49.38,49.53,49.08,49.31,635900,43.04
2008-12-24,49.10,49.35,48.68,49.08,480100,42.84
2008-12-23,49.31,49.69,48.81,48.95,2228000,42.72
2008-12-22,49.59,49.59,48.16,49.00,3139500,42.77
2008-12-19,50.24,51.21,49.51,49.63,4536700,43.32
2008-12-18,50.57,52.04,49.91,50.20,3443900,43.81
2008-12-17,50.44,51.25,50.07,50.49,2865100,44.07
2008-12-16,50.19,50.80,49.05,50.67,3964900,44.23
2008-12-15,51.26,51.41,49.41,49.94,2940100,43.59
2008-12-12,49.39,51.13,49.37,50.80,2609400,44.34
2008-12-11,51.37,52.14,49.84,50.23,3204500,43.84
2008-12-10,51.64,52.44,51.28,51.74,3718400,45.16
2008-12-09,50.59,52.33,50.27,51.31,3641700,44.78
2008-12-08,50.48,51.87,50.13,50.93,3598900,44.45
2008-12-05,48.41,49.71,46.77,49.55,3735600,43.25
2008-12-04,49.88,50.42,47.43,48.28,3918000,42.14
2008-12-03,48.12,50.68,47.18,50.62,4595800,44.18
2008-12-02,46.70,48.90,46.15,48.90,4014000,42.68
2008-12-01,47.73,48.16,46.00,46.16,3241600,40.29
2008-11-28,46.83,48.80,46.39,48.80,1423600,42.59
2008-11-26,45.55,47.23,45.00,47.14,2814000,41.14
2008-11-25,47.10,48.28,45.17,45.77,5008500,39.95
2008-11-24,48.62,48.99,45.73,46.43,5893800,40.52
2008-11-21,45.68,48.03,44.11,47.94,5921600,41.84
2008-11-20,45.27,47.52,45.04,45.51,6301300,39.72
2008-11-19,47.26,48.23,45.80,45.85,3660800,40.02
2008-11-18,46.79,47.50,46.00,47.31,4868100,41.29
2008-11-17,47.26,48.26,46.90,46.92,3828900,40.95
2008-11-14,48.43,50.35,47.68,47.91,3984000,41.82
2008-11-13,48.42,49.51,46.80,49.41,6283400,43.13
2008-11-12,48.77,49.66,47.99,48.07,4795000,41.96
2008-11-11,49.25,50.70,49.25,49.54,4644300,43.24
2008-11-10,49.75,50.29,49.41,49.95,3572600,43.60
2008-11-07,48.77,49.75,48.16,49.00,3215300,42.77
2008-11-06,50.44,50.56,48.00,48.54,4188400,42.37
2008-11-05,49.98,51.18,49.24,49.69,3184800,43.37
2008-11-04,50.58,51.51,49.76,50.73,4056400,44.28
2008-11-03,50.86,51.02,49.19,49.68,3411600,43.36
2008-10-31,49.00,51.91,48.59,51.11,3729400,44.61
2008-10-30,48.88,50.36,47.59,49.30,4854300,43.03
2008-10-29,48.13,50.14,47.49,47.58,4420900,41.53
2008-10-28,44.25,48.97,43.95,48.75,5579300,42.55
2008-10-27,42.11,45.45,41.82,43.46,4887200,37.93
2008-10-24,43.01,45.75,42.67,43.40,4329500,37.88
2008-10-23,45.34,47.49,43.55,46.84,6589000,40.88
2008-10-22,44.22,44.65,43.08,44.15,4709300,38.53
2008-10-21,47.15,47.15,44.62,44.72,3017100,39.03
2008-10-20,45.09,48.00,44.54,47.69,3002100,41.62
2008-10-17,44.87,47.12,44.48,44.82,6345500,39.12
2008-10-16,45.00,46.73,43.37,45.73,5297000,39.91
2008-10-15,48.36,48.61,44.77,45.07,3364300,39.34
2008-10-14,49.64,51.64,48.00,49.27,4187000,43.00
2008-10-13,46.77,48.30,44.81,48.19,4351600,42.06
2008-10-10,43.89,46.64,41.81,45.65,9470800,39.84
2008-10-09,49.26,49.60,45.40,45.59,5315600,39.79
2008-10-08,50.33,51.32,47.00,49.76,4710000,43.43
2008-10-07,51.00,52.80,49.64,51.25,5772900,44.73
2008-10-06,52.20,52.76,50.23,51.38,5101600,44.84
2008-10-03,53.11,54.52,52.80,53.17,3707900,46.41
2008-10-02,53.53,53.88,52.37,52.70,3073400,45.75
2008-10-01,53.50,54.13,52.60,54.00,3082500,46.88
2008-09-30,54.20,54.40,52.67,53.51,3166800,46.46
2008-09-29,55.24,56.20,52.74,53.70,5233700,46.62
2008-09-26,55.38,56.48,55.07,56.06,2941800,48.67
2008-09-25,56.13,56.88,55.60,56.16,1999800,48.76
2008-09-24,56.68,56.68,55.49,55.82,2249600,48.46
