Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,42.07,42.25,41.10,41.17,353100,38.19
2009-12-30,42.54,42.80,41.15,42.23,668000,39.18
2009-12-29,42.97,43.20,42.56,42.74,449900,39.65
2009-12-28,43.52,43.57,42.45,42.94,303800,39.84
2009-12-24,43.50,43.86,43.37,43.46,56500,40.32
2009-12-23,43.23,43.40,42.73,43.32,179400,40.19
2009-12-22,44.17,44.17,43.03,43.22,387900,40.10
2009-12-21,43.31,44.25,43.31,43.96,408700,40.78
2009-12-18,43.14,43.73,42.99,43.06,497400,39.95
2009-12-17,42.55,43.36,42.10,42.78,510400,39.69
2009-12-16,43.42,43.42,42.76,42.86,368700,39.76
2009-12-15,42.63,43.49,42.63,43.00,517000,39.89
2009-12-14,42.08,43.10,41.83,42.99,655500,39.88
2009-12-11,41.62,41.96,41.38,41.70,382800,38.69
2009-12-10,41.85,42.40,41.50,41.57,409400,38.56
2009-12-09,41.46,41.64,40.93,41.62,370000,38.61
2009-12-08,41.75,41.84,40.84,41.56,562800,38.56
2009-12-07,42.53,42.56,41.86,42.03,488100,38.99
2009-12-04,41.66,42.70,41.50,42.53,1012100,39.46
2009-12-03,41.41,41.94,40.72,40.79,476800,37.84
2009-12-02,41.08,41.60,41.00,41.42,345900,38.43
2009-12-01,41.00,41.41,40.89,41.14,523900,38.17
2009-11-30,40.50,41.23,40.13,40.54,1008100,37.61
2009-11-27,40.06,40.98,40.06,40.60,473900,37.67
2009-11-25,41.34,41.79,41.32,41.60,543600,38.59
2009-11-24,42.10,42.10,41.09,41.55,642100,38.55
2009-11-23,41.93,42.92,41.75,41.95,934700,38.92
2009-11-20,42.00,42.47,40.94,41.16,1057700,38.18
2009-11-19,42.92,43.03,41.91,42.22,772800,39.17
2009-11-18,43.24,43.45,42.86,43.28,775300,40.15
2009-11-17,43.53,43.81,42.65,43.15,867600,40.03
2009-11-16,43.60,44.24,43.41,43.89,1120000,40.72
2009-11-13,43.16,43.69,42.73,43.34,802400,40.21
2009-11-12,44.22,44.50,42.94,43.00,790600,39.89
2009-11-11,44.22,45.05,43.58,44.49,728800,41.04
2009-11-10,43.15,43.88,42.61,43.60,644900,40.22
2009-11-09,42.60,43.65,42.40,43.52,654400,40.15
2009-11-06,41.50,42.50,41.50,42.26,707800,38.98
2009-11-05,41.81,42.31,41.23,42.31,889900,39.03
2009-11-04,41.80,41.99,41.07,41.19,818400,38.00
2009-11-03,40.77,41.67,40.32,41.58,1110400,38.36
2009-11-02,40.77,41.73,40.22,40.68,1306400,37.53
2009-10-30,41.94,42.54,40.38,40.55,1158100,37.41
2009-10-29,41.31,41.91,41.04,41.71,1280000,38.48
2009-10-28,42.96,43.08,40.92,41.00,1581600,37.82
2009-10-27,44.13,44.83,42.60,42.83,1807500,39.51
2009-10-26,44.70,45.99,43.90,44.23,1256100,40.80
2009-10-23,44.95,45.94,44.37,44.49,1533300,41.04
2009-10-22,44.14,44.95,43.02,44.54,1760000,41.09
2009-10-21,46.14,46.19,44.98,45.27,1595800,41.76
2009-10-20,45.21,46.58,44.68,46.25,1658600,42.67
2009-10-19,44.93,46.28,43.50,45.21,1930800,41.71
2009-10-16,43.65,45.00,42.92,44.75,1339200,41.28
2009-10-15,43.70,44.29,43.32,43.68,1116900,40.29
2009-10-14,42.47,44.19,42.31,43.98,1220500,40.57
2009-10-13,42.05,42.74,41.11,41.60,913900,38.38
2009-10-12,39.07,43.10,38.95,42.48,2506700,39.19
2009-10-09,38.32,38.76,37.90,38.67,391400,35.67
2009-10-08,38.60,38.89,37.92,38.25,646400,35.29
2009-10-07,37.78,38.37,37.55,37.99,602400,35.05
2009-10-06,38.31,38.74,37.62,37.83,437700,34.90
2009-10-05,36.79,37.82,36.54,37.80,550900,34.87
2009-10-02,36.85,36.89,35.91,36.53,594600,33.70
2009-10-01,38.90,39.07,36.56,37.22,1122100,34.34
2009-09-30,39.90,40.04,38.50,39.06,648300,36.03
2009-09-29,39.82,40.44,39.46,39.83,548200,36.74
2009-09-28,38.80,39.75,38.61,39.50,468900,36.44
2009-09-25,38.50,39.09,37.91,38.70,809900,35.70
2009-09-24,40.53,40.54,38.29,38.58,1391800,35.59
2009-09-23,41.34,41.45,40.23,40.28,620000,37.16
2009-09-22,41.58,41.99,40.87,41.34,449000,38.14
2009-09-21,40.85,41.54,40.08,41.35,498600,38.15
2009-09-18,41.43,41.76,40.71,41.19,550800,38.00
2009-09-17,41.61,42.75,40.72,41.06,725000,37.88
2009-09-16,42.85,42.85,41.00,41.67,1287100,38.44
2009-09-15,42.94,43.18,42.17,42.53,644600,39.23
2009-09-14,41.95,42.90,41.70,42.82,730800,39.50
2009-09-11,42.47,42.72,41.49,42.51,872200,39.22
2009-09-10,40.66,42.09,40.37,42.06,1138100,38.80
2009-09-09,38.69,40.64,38.64,40.51,891500,37.37
2009-09-08,38.40,38.85,38.07,38.80,519500,35.79
2009-09-04,37.51,38.35,37.09,38.12,351200,35.17
2009-09-03,37.26,37.63,36.49,37.51,615400,34.60
2009-09-02,36.64,37.55,36.17,37.32,687000,34.43
2009-09-01,37.81,38.93,36.67,36.81,802700,33.96
2009-08-31,38.47,38.92,37.49,38.00,657500,35.05
2009-08-28,39.65,40.14,38.52,39.09,470700,36.06
2009-08-27,39.12,39.55,37.98,39.24,603700,36.20
2009-08-26,40.12,40.25,38.90,39.10,731900,36.07
2009-08-25,39.99,40.92,39.54,40.23,595000,37.11
2009-08-24,40.11,40.60,39.27,39.47,620900,36.41
2009-08-21,39.20,40.00,38.67,39.90,752500,36.81
2009-08-20,38.72,38.94,38.33,38.59,560200,35.60
