Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,29.44,30.10,28.96,28.99,8611600,28.99
2009-12-30,28.48,29.35,28.31,29.30,9435300,29.30
2009-12-29,29.59,29.70,28.35,28.53,13471400,28.53
2009-12-28,30.25,31.18,29.20,29.62,16983400,29.62
2009-12-24,28.39,30.14,28.27,30.13,10076300,30.13
2009-12-23,27.76,28.49,27.75,28.27,12120000,28.27
2009-12-22,26.75,27.54,26.65,27.44,10046000,27.44
2009-12-21,25.35,26.81,25.31,26.63,13502400,26.63
2009-12-18,24.78,25.38,24.47,25.08,22583200,25.08
2009-12-17,24.25,24.66,23.90,24.62,8319100,24.62
2009-12-16,24.05,24.55,23.82,24.39,6380300,24.39
2009-12-15,23.28,24.14,23.27,23.82,7613000,23.82
2009-12-14,23.10,23.63,23.03,23.56,5008100,23.56
2009-12-11,22.92,23.14,22.70,22.92,5103300,22.92
2009-12-10,22.78,22.95,22.51,22.73,4956200,22.73
2009-12-09,22.25,22.75,21.86,22.74,5716200,22.74
2009-12-08,21.99,22.76,21.93,22.42,5086300,22.42
2009-12-07,21.78,22.36,21.68,22.11,3086900,22.11
2009-12-04,21.90,22.28,21.43,21.94,6506900,21.94
2009-12-03,21.65,21.98,21.38,21.43,5811400,21.43
2009-12-02,20.85,21.76,20.75,21.59,10705200,21.59
2009-12-01,19.82,20.98,19.82,20.86,8860800,20.86
2009-11-30,19.66,19.86,19.18,19.72,5492700,19.72
2009-11-27,19.68,19.91,19.25,19.66,2603700,19.66
2009-11-25,19.85,20.46,19.83,20.31,5180900,20.31
2009-11-24,20.31,20.40,19.77,19.82,5510800,19.82
2009-11-23,20.49,20.69,20.23,20.34,4488500,20.34
2009-11-20,19.94,20.29,19.81,20.24,5821300,20.24
2009-11-19,20.87,20.87,20.00,20.12,9014400,20.12
2009-11-18,21.47,21.60,21.04,21.16,5433000,21.16
2009-11-17,21.50,21.75,21.26,21.59,3689800,21.59
2009-11-16,22.02,22.15,21.41,21.59,6852600,21.59
2009-11-13,21.54,21.95,21.30,21.95,5539400,21.95
2009-11-12,21.31,21.64,21.10,21.41,5683000,21.41
2009-11-11,21.58,22.00,21.26,21.31,5838800,21.31
2009-11-10,21.81,21.81,21.24,21.32,5146000,21.32
2009-11-09,21.08,21.94,20.92,21.82,7091800,21.82
2009-11-06,20.67,20.97,20.35,20.82,5694300,20.82
2009-11-05,20.65,21.04,20.35,20.97,8107400,20.97
2009-11-04,20.69,20.90,20.41,20.49,8881400,20.49
2009-11-03,20.05,20.42,19.61,20.31,10712500,20.31
2009-11-02,20.75,21.37,20.36,20.86,7939300,20.86
2009-10-30,21.89,22.44,20.41,20.48,10293600,20.48
2009-10-29,22.01,22.38,21.45,21.92,9584800,21.92
2009-10-28,22.02,22.34,21.30,21.62,13480100,21.62
2009-10-27,23.90,24.38,22.36,22.69,14056000,22.69
2009-10-26,22.20,24.61,22.12,24.01,24640100,24.01
2009-10-23,23.28,23.28,22.05,22.12,8407600,22.12
2009-10-22,23.72,23.76,22.45,22.85,17254700,22.85
2009-10-21,22.55,24.25,22.49,23.53,34914800,23.53
2009-10-20,21.89,22.10,21.06,21.48,18115500,21.48
2009-10-19,21.29,21.57,20.85,21.46,5203800,21.46
2009-10-16,21.68,21.86,20.67,20.98,9523800,20.98
2009-10-15,22.20,22.38,21.70,22.00,6319500,22.00
2009-10-14,21.67,22.55,21.49,22.48,10754300,22.48
2009-10-13,21.08,21.39,20.90,21.18,7013800,21.18
2009-10-12,21.14,21.35,20.65,21.02,8911700,21.02
2009-10-09,21.43,21.67,21.24,21.44,9226600,21.44
2009-10-08,21.54,21.74,21.16,21.24,5678000,21.24
2009-10-07,21.22,21.71,21.11,21.29,4451900,21.29
2009-10-06,21.21,21.45,20.89,21.42,6965300,21.42
2009-10-05,20.44,21.00,20.05,20.94,6781300,20.94
2009-10-02,20.09,20.54,19.62,20.09,6345500,20.09
2009-10-01,21.77,21.94,20.37,20.40,9470200,20.40
2009-09-30,21.75,22.15,21.20,21.70,7532800,21.70
2009-09-29,22.48,22.50,21.75,21.76,6049400,21.76
2009-09-28,21.45,22.34,21.36,22.34,6031400,22.34
2009-09-25,21.66,21.76,21.23,21.25,8968500,21.25
2009-09-24,22.66,22.80,21.65,21.83,8238400,21.83
2009-09-23,22.96,23.11,22.51,22.58,5709400,22.58
2009-09-22,23.19,23.20,22.80,22.88,6005100,22.88
2009-09-21,22.75,23.14,22.50,22.93,8463700,22.93
2009-09-18,22.65,22.95,22.25,22.84,12050900,22.84
2009-09-17,21.32,21.89,21.00,21.66,10267200,21.66
2009-09-16,21.26,21.35,20.83,21.20,11417100,21.20
2009-09-15,20.26,20.73,20.01,20.63,6306900,20.63
2009-09-14,19.55,20.43,19.38,20.38,9550200,20.38
2009-09-11,19.67,19.76,19.31,19.75,5446200,19.75
2009-09-10,19.27,19.65,19.11,19.61,5651100,19.61
2009-09-09,18.85,19.55,18.62,19.32,12616100,19.32
2009-09-08,17.70,18.25,17.55,18.21,5266100,18.21
2009-09-04,16.95,17.48,16.94,17.46,4026100,17.46
2009-09-03,16.99,17.14,16.63,16.99,5944200,16.99
2009-09-02,16.76,17.22,16.65,16.70,5224100,16.70
2009-09-01,17.63,18.20,16.77,16.83,7143800,16.83
2009-08-31,17.73,17.91,17.42,17.70,3196100,17.70
2009-08-28,18.18,18.46,17.80,18.03,5734900,18.03
2009-08-27,17.48,17.73,16.87,17.73,4756700,17.73
2009-08-26,17.85,17.93,17.44,17.68,4685900,17.68
2009-08-25,17.24,17.95,17.19,17.80,7556400,17.80
2009-08-24,16.94,17.49,16.88,17.12,5504300,17.12
2009-08-21,16.98,16.99,16.60,16.88,6325700,16.88
2009-08-20,16.67,16.92,16.61,16.75,2466300,16.75
2009-08-19,16.34,16.84,16.23,16.71,4109000,16.71
2009-08-18,16.49,16.74,16.44,16.59,3777200,16.59
2009-08-17,16.39,16.52,16.22,16.44,5614000,16.44
2009-08-14,17.25,17.25,16.62,16.88,4291600,16.88
2009-08-13,17.41,17.45,16.81,17.23,7991000,17.23
2009-08-12,16.92,17.46,16.75,17.24,6039400,17.24
2009-08-11,17.00,17.03,16.56,16.75,6381600,16.75
2009-08-10,17.62,17.78,17.03,17.15,5297100,17.15
2009-08-07,17.73,18.10,17.61,17.84,3955300,17.84
2009-08-06,17.86,18.10,17.55,17.68,4601000,17.68
