Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,24.62,24.96,24.43,24.55,1606500,22.95
2009-12-30,23.96,24.67,23.82,24.50,1207200,22.90
2009-12-29,24.10,24.10,23.96,23.98,1591400,22.41
2009-12-28,24.15,24.37,23.99,24.08,1216400,22.51
2009-12-24,23.94,24.20,23.85,24.15,591600,22.57
2009-12-23,23.80,23.98,23.70,23.95,1692100,22.39
2009-12-22,23.69,23.87,23.57,23.80,1913700,22.25
2009-12-21,23.45,23.83,23.45,23.74,1483200,22.19
2009-12-18,23.28,23.63,23.19,23.26,2934900,21.74
2009-12-17,23.50,23.56,23.02,23.09,2117600,21.58
2009-12-16,23.85,23.93,23.50,23.52,2228900,21.98
2009-12-15,23.82,23.95,23.64,23.69,1835900,22.14
2009-12-14,24.01,24.19,23.77,23.83,2147000,22.27
2009-12-11,23.51,24.09,23.51,23.92,3491900,22.36
2009-12-10,23.75,23.95,23.49,23.49,2060400,21.81
2009-12-09,23.06,23.74,22.99,23.68,3167000,21.98
2009-12-08,23.48,23.68,22.51,23.06,2576300,21.41
2009-12-07,23.64,24.06,23.62,23.83,2108300,22.12
2009-12-04,23.99,24.09,23.35,23.80,3259600,22.09
2009-12-03,23.77,23.99,23.62,23.70,1741600,22.00
2009-12-02,23.74,23.93,23.62,23.79,2340000,22.08
2009-12-01,23.48,23.82,23.35,23.72,4598900,22.02
2009-11-30,23.45,23.46,22.85,23.21,2518100,21.55
2009-11-27,23.24,23.59,23.00,23.46,518400,21.78
2009-11-25,23.66,23.79,23.51,23.76,1705400,22.06
2009-11-24,24.00,24.16,23.48,23.65,1842200,21.95
2009-11-23,24.00,24.55,23.90,24.01,2093700,22.29
2009-11-20,23.73,24.10,23.69,23.84,1731700,22.13
2009-11-19,24.10,24.23,23.69,23.98,1568900,22.26
2009-11-18,24.50,24.64,24.02,24.39,2242600,22.64
2009-11-17,24.26,24.65,23.78,24.60,2972300,22.84
2009-11-16,24.34,24.96,24.13,24.35,2748200,22.60
2009-11-13,23.63,24.13,23.63,24.12,2576800,22.39
2009-11-12,23.71,23.98,23.58,23.68,2177000,21.98
2009-11-11,23.07,23.86,23.07,23.59,2858300,21.90
2009-11-10,22.68,23.45,22.68,22.94,4040600,21.30
2009-11-09,23.05,23.26,22.73,22.95,2733800,21.30
2009-11-06,22.82,23.32,22.71,22.77,2314500,21.14
2009-11-05,22.78,23.47,22.58,22.99,3146400,21.34
2009-11-04,23.80,23.95,22.45,22.51,3766600,20.90
2009-11-03,21.36,21.82,21.03,21.71,1974800,20.15
2009-11-02,21.33,21.60,21.01,21.44,2360700,19.90
2009-10-30,22.07,22.25,21.04,21.25,3355700,19.73
2009-10-29,21.52,22.19,21.46,22.05,2026700,20.47
2009-10-28,21.98,21.98,21.28,21.40,2818800,19.87
2009-10-27,22.75,22.75,22.08,22.15,2010400,20.56
2009-10-26,22.92,23.43,22.43,22.64,2269400,21.02
