Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,19.08,19.08,18.72,18.81,2005800,18.60
2009-12-30,18.90,19.10,18.90,19.02,1542700,18.81
2009-12-29,19.20,19.28,18.95,19.01,1641700,18.80
2009-12-28,19.45,19.54,19.12,19.25,1943100,19.04
2009-12-24,19.60,19.65,19.37,19.40,522800,19.18
2009-12-23,19.33,19.65,19.33,19.55,2302700,19.33
2009-12-22,19.41,19.48,19.11,19.39,2280000,19.17
2009-12-21,18.76,19.42,18.75,19.27,5485000,19.06
2009-12-18,18.98,19.22,18.50,18.67,5474200,18.46
2009-12-17,19.37,19.44,18.98,18.98,2049600,18.77
2009-12-16,19.71,19.83,19.42,19.57,4115300,19.35
2009-12-15,19.87,20.19,19.64,19.72,1875800,19.50
2009-12-14,20.19,20.59,19.90,20.05,1986900,19.83
2009-12-11,19.58,20.00,19.53,19.88,2816000,19.66
2009-12-10,19.80,19.91,19.35,19.45,2746800,19.23
2009-12-09,19.57,19.77,19.37,19.62,2361200,19.40
2009-12-08,19.66,19.80,19.12,19.60,3334600,19.36
2009-12-07,20.24,20.29,19.67,19.73,3160400,19.49
2009-12-04,20.41,20.68,19.78,20.23,3087000,19.99
2009-12-03,20.63,20.67,20.06,20.11,2308900,19.87
2009-12-02,20.50,20.75,20.28,20.62,2936200,20.37
2009-12-01,20.38,20.75,20.05,20.45,3267100,20.20
2009-11-30,19.96,20.10,19.75,20.05,3101900,19.81
2009-11-27,19.84,20.30,19.64,20.08,1810600,19.84
2009-11-25,20.43,20.77,20.30,20.73,2369100,20.48
2009-11-24,20.10,20.42,19.98,20.37,3426900,20.12
2009-11-23,19.90,20.21,19.75,20.09,3788200,19.85
2009-11-20,20.00,20.01,19.41,19.64,5398400,19.40
2009-11-19,19.95,20.27,19.36,20.18,4325100,19.94
2009-11-18,20.27,20.38,20.06,20.23,2327100,19.99
2009-11-17,20.24,20.46,19.94,20.40,2146200,20.15
2009-11-16,19.95,20.65,19.95,20.43,4044100,20.18
2009-11-13,20.00,20.09,19.66,19.81,3939900,19.57
2009-11-12,20.44,20.46,19.85,19.96,2704700,19.72
2009-11-11,20.89,21.00,20.27,20.49,4509700,20.24
2009-11-10,19.78,20.69,19.74,20.59,6412800,20.34
2009-11-09,19.51,20.10,19.44,19.92,4134200,19.68
2009-11-06,18.82,19.50,18.80,19.33,3296700,19.10
2009-11-05,18.88,19.16,18.42,19.13,3831400,18.90
2009-11-04,18.91,19.14,18.61,18.75,4377700,18.52
2009-11-03,17.88,18.54,17.55,18.51,4744200,18.29
2009-11-02,18.09,18.46,17.71,18.12,4758200,17.90
2009-10-30,18.91,18.91,17.70,17.78,5367400,17.56
2009-10-29,18.71,19.06,18.26,19.01,4565500,18.78
2009-10-28,19.31,19.74,18.31,18.43,7242300,18.21
2009-10-27,19.29,20.28,18.94,19.67,14224400,19.43
2009-10-26,19.11,19.75,18.22,18.36,7009400,18.14
2009-10-23,19.67,19.70,18.97,19.13,3523400,18.90
2009-10-22,19.02,19.68,18.76,19.64,4251100,19.40
2009-10-21,19.22,19.98,18.93,18.96,5718900,18.73
2009-10-20,20.02,20.05,19.15,19.32,4686300,19.09
2009-10-19,19.85,20.19,19.69,20.08,2940000,19.84
2009-10-16,20.09,20.39,19.55,19.92,3997000,19.68
2009-10-15,20.03,20.34,19.61,20.34,4445000,20.09
2009-10-14,19.54,20.15,19.39,20.07,5257600,19.83
