Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,30.95,31.15,30.45,30.48,5354200,29.29
2009-12-30,30.85,31.01,30.60,31.01,5806300,29.80
2009-12-29,31.09,31.46,30.72,30.85,9200000,29.65
2009-12-28,31.53,31.84,31.08,31.39,7968700,30.17
2009-12-24,31.89,31.90,31.25,31.68,4963400,30.45
2009-12-23,32.23,32.65,31.52,31.62,9500100,30.39
2009-12-22,32.39,32.51,32.18,32.32,10356400,31.06
2009-12-21,31.97,33.25,31.92,32.17,24416000,30.92
2009-12-18,31.88,32.00,31.08,31.54,15694400,30.31
2009-12-17,32.09,32.33,31.31,31.82,14802800,30.58
2009-12-16,31.50,32.32,31.41,32.20,34897200,30.95
2009-12-15,30.90,31.38,30.88,31.32,28990900,30.10
2009-12-14,30.88,31.24,30.76,30.95,20357700,29.74
2009-12-11,30.43,31.04,30.40,30.48,19072800,29.29
2009-12-10,28.72,30.72,28.54,30.31,27521700,29.13
2009-12-09,28.88,29.60,28.13,28.50,19103600,27.39
2009-12-08,28.16,28.92,28.07,28.46,15897400,27.35
2009-12-07,27.54,28.47,27.52,28.30,11281000,27.20
2009-12-04,27.65,28.05,27.30,27.46,11814700,26.39
2009-12-03,28.27,28.46,27.30,27.33,15325700,26.27
2009-12-02,28.72,28.80,28.16,28.29,11500500,27.19
2009-12-01,29.00,29.19,28.63,28.70,9705800,27.58
2009-11-30,29.44,29.49,28.50,28.67,12634400,27.55
2009-11-27,28.99,29.64,28.70,29.44,5456500,28.29
2009-11-25,29.58,29.74,29.37,29.54,8060900,28.39
2009-11-24,29.33,29.69,28.85,29.56,7241100,28.41
2009-11-23,28.94,29.58,28.93,29.08,9622100,27.95
2009-11-20,28.30,28.77,28.30,28.56,9008200,27.45
2009-11-19,28.66,28.72,27.87,28.63,6991000,27.51
2009-11-18,28.97,29.11,28.65,28.87,7327600,27.75
2009-11-17,28.96,29.18,28.79,28.97,6103400,27.84
2009-11-16,29.23,29.50,28.95,29.15,8281300,28.01
2009-11-13,28.88,29.35,28.85,29.08,6267600,27.95
2009-11-12,29.43,29.43,28.69,28.76,8428600,27.64
2009-11-11,28.99,29.43,28.66,29.37,8794200,28.23
2009-11-10,29.00,29.18,28.62,28.97,8063300,27.84
2009-11-09,28.31,29.24,28.20,29.13,11751800,28.00
2009-11-06,28.10,28.74,27.80,28.67,11891400,27.55
2009-11-05,27.95,28.38,27.67,28.21,11991700,27.11
2009-11-04,27.62,28.96,27.62,27.87,22424700,26.78
2009-11-03,26.58,27.00,26.26,26.91,11443700,25.86
2009-11-02,26.02,26.61,25.64,26.42,8189400,25.39
2009-10-30,26.32,26.79,25.90,25.95,11745700,24.94
2009-10-29,26.06,26.59,26.00,26.47,13044200,25.44
2009-10-28,26.29,26.51,25.81,25.88,11505700,24.87
2009-10-27,25.30,26.80,25.19,26.50,20485300,25.47
2009-10-26,25.93,26.19,25.29,25.31,14347500,24.32
2009-10-23,26.10,26.22,25.60,25.85,8293000,24.84
2009-10-22,25.05,26.00,25.02,25.71,13756100,24.71
2009-10-21,25.97,26.07,25.03,25.12,11959800,24.14
2009-10-20,25.68,26.52,25.50,25.96,21392200,24.95
2009-10-19,24.57,24.99,24.41,24.92,10270400,23.95
2009-10-16,24.71,24.96,24.33,24.45,12367000,23.50
2009-10-15,24.77,24.91,24.38,24.55,11123600,23.59
2009-10-14,24.62,24.93,24.35,24.87,9801800,23.90
2009-10-13,25.17,25.17,23.96,24.29,19003700,23.34
2009-10-12,24.81,25.52,24.81,25.23,13952400,24.25
2009-10-09,24.45,25.05,24.41,24.67,16555000,23.71
2009-10-08,24.29,24.43,23.50,24.16,24531700,23.22
2009-10-07,24.42,25.34,24.40,25.05,12081700,24.07
2009-10-06,24.46,24.59,23.82,24.38,11192200,23.43
2009-10-05,24.38,24.50,23.95,24.04,12436800,23.10
2009-10-02,24.68,24.91,23.95,24.28,11219600,23.33
2009-10-01,24.89,25.64,24.70,24.79,17202100,23.82
2009-09-30,25.15,25.60,24.52,25.04,22933900,24.06
2009-09-29,25.92,26.44,24.94,25.68,23216300,24.68
2009-09-28,25.44,26.09,25.36,25.80,8795400,24.79
2009-09-25,26.01,26.18,25.13,25.34,16839100,24.35
2009-09-24,26.73,27.04,25.98,26.03,13992100,25.02
2009-09-23,27.85,27.85,26.63,26.68,15226100,25.64
2009-09-22,28.72,28.78,27.51,27.58,12943800,26.51
2009-09-21,28.45,28.94,28.22,28.59,8258400,27.48
2009-09-18,28.89,29.26,28.41,28.58,15698600,27.47
2009-09-17,29.45,29.88,29.13,29.34,11461300,28.20
2009-09-16,27.95,29.34,27.81,29.29,14119100,28.15
2009-09-15,28.82,28.83,27.66,27.70,13570400,26.62
2009-09-14,28.85,29.17,28.43,28.76,7354500,27.64
2009-09-11,29.12,29.41,28.77,29.07,5430600,27.94
2009-09-10,28.15,29.18,28.05,29.11,9136500,27.98
2009-09-09,28.02,28.44,27.70,28.40,10975000,27.29
2009-09-08,28.99,29.00,27.59,27.84,13752600,26.76
2009-09-04,28.80,29.25,28.55,28.88,5837100,27.75
2009-09-03,28.94,29.10,28.03,28.87,10479600,27.75
2009-09-02,27.37,29.13,27.36,28.66,14380400,27.54
2009-09-01,27.94,28.47,27.27,27.33,10171000,26.27
2009-08-31,27.97,28.79,27.70,28.00,7603900,26.91
2009-08-28,29.10,29.13,27.98,28.18,9074200,27.08
2009-08-27,28.82,29.21,28.52,28.94,7784000,27.81
2009-08-26,29.83,29.84,28.81,28.93,10143100,27.80
2009-08-25,29.77,30.00,29.18,29.92,10207500,28.75
2009-08-24,29.09,29.72,28.55,29.69,11908000,28.53
2009-08-21,28.72,29.05,28.27,28.92,8182700,27.79
2009-08-20,28.06,28.94,28.02,28.39,8741100,27.28
2009-08-19,27.75,28.29,27.61,28.18,7561900,27.08
2009-08-18,28.38,28.48,27.80,28.18,8269600,27.08
2009-08-17,27.72,29.67,27.72,28.48,14909500,27.37
2009-08-14,28.08,28.49,27.61,28.06,6718400,26.97
2009-08-13,27.64,28.42,27.19,28.37,7858600,27.26
2009-08-12,27.76,28.12,27.50,27.79,6901500,26.71
2009-08-11,27.06,27.96,26.80,27.82,11762400,26.74
2009-08-10,26.47,27.14,26.18,27.07,7705000,26.02
2009-08-07,26.08,26.65,25.99,26.51,8506500,25.48
2009-08-06,26.27,26.45,25.42,25.98,11043400,24.97
2009-08-05,26.88,26.89,26.04,26.18,7892500,25.16
2009-08-04,27.19,27.48,26.50,26.93,8508800,25.88
2009-08-03,28.34,28.40,27.07,27.36,12181300,26.29
2009-07-31,28.08,28.36,27.74,28.06,8317500,26.97
2009-07-30,28.84,29.01,27.75,28.10,13690200,27.01
2009-07-29,28.53,29.60,28.20,28.41,17007300,27.30
2009-07-28,27.78,29.71,27.46,29.08,17732800,27.95
2009-07-27,27.09,28.20,27.06,27.62,7030300,26.54
2009-07-24,27.23,27.53,26.00,27.32,7961000,26.26
2009-07-23,26.25,27.34,26.04,27.05,9955300,26.00
2009-07-22,25.61,26.60,25.37,26.00,11307100,24.99
2009-07-21,25.48,25.87,24.95,25.59,12851000,24.59
2009-07-20,25.25,25.25,24.36,24.84,8006700,23.87
2009-07-17,25.26,25.50,24.79,25.09,9050100,24.11
2009-07-16,24.80,25.55,24.32,25.25,11892400,24.27
2009-07-15,25.06,25.09,24.15,24.91,12532300,23.94
2009-07-14,25.57,25.73,24.61,24.77,9708400,23.80
2009-07-13,24.72,25.12,24.27,25.01,5801600,24.04
2009-07-10,24.90,25.40,24.39,24.67,5621200,23.71
2009-07-09,24.88,25.60,24.22,24.94,8967800,23.97
2009-07-08,25.26,25.36,23.91,24.67,11864900,23.71
