Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,37.19,37.19,36.68,36.72,2806100,34.26
2009-12-30,37.00,37.18,36.90,37.13,2822400,34.64
2009-12-29,37.26,37.44,37.16,37.23,2939500,34.73
2009-12-28,37.51,37.63,37.06,37.30,3166200,34.80
2009-12-24,37.44,37.51,37.30,37.48,1719200,34.97
2009-12-23,36.77,37.58,36.77,37.44,6216900,34.93
2009-12-22,36.85,36.97,36.49,36.97,7588900,34.49
2009-12-21,37.29,37.29,35.10,36.61,17653700,34.15
2009-12-18,37.28,37.28,35.65,36.64,17558200,34.18
2009-12-17,38.02,38.07,37.25,37.31,9743000,34.81
2009-12-16,38.09,38.59,37.76,38.24,7155800,35.67
2009-12-15,38.15,38.28,37.80,37.86,5904300,35.32
2009-12-14,38.84,38.99,38.13,38.21,5502600,35.65
2009-12-11,38.39,38.88,38.34,38.81,5091500,36.21
2009-12-10,38.40,38.75,38.22,38.34,7117900,35.77
2009-12-09,36.91,38.29,36.91,38.23,9244200,35.67
2009-12-08,37.40,37.62,36.90,37.08,7220300,34.59
2009-12-07,37.80,38.12,37.58,37.68,4416500,35.15
2009-12-04,38.00,38.62,37.69,37.86,6641600,35.32
2009-12-03,38.09,38.21,37.77,37.80,5835700,35.26
2009-12-02,37.32,38.21,37.25,38.20,15755800,35.64
2009-12-01,39.00,39.45,38.80,39.37,5743700,36.73
2009-11-30,39.44,39.44,38.56,38.89,5294400,36.28
2009-11-27,38.64,39.05,38.53,39.01,3069700,36.39
2009-11-25,39.37,39.45,39.03,39.23,3306800,36.60
2009-11-24,39.44,39.69,39.23,39.40,3615500,36.76
2009-11-23,39.15,39.80,39.12,39.42,4766900,36.78
2009-11-20,38.75,39.05,38.59,38.97,6374500,36.36
2009-11-19,38.92,39.24,38.39,39.03,8198900,36.41
2009-11-18,39.25,39.39,38.71,39.06,7433300,36.44
2009-11-17,38.92,39.46,38.92,39.35,4239000,36.71
2009-11-16,39.43,39.63,39.16,39.40,5770100,36.76
2009-11-13,39.06,39.51,38.91,39.38,4631400,36.74
2009-11-12,39.14,39.51,38.95,39.12,6190600,36.50
2009-11-11,39.79,39.91,39.07,39.36,6849500,36.59
2009-11-10,39.84,40.00,39.32,39.60,8904100,36.81
2009-11-09,39.78,40.07,39.54,40.04,7823000,37.22
