Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,446.08,447.68,439.44,439.60,30000,398.85
2009-12-30,443.32,444.75,439.67,443.46,18700,402.35
2009-12-29,445.00,446.12,443.36,445.10,12900,403.84
2009-12-28,445.00,445.73,439.25,445.00,23600,403.75
2009-12-24,441.32,445.92,441.32,445.71,8000,404.39
2009-12-23,441.78,444.35,441.32,442.27,21900,401.27
2009-12-22,439.00,444.62,439.00,441.82,37500,400.86
2009-12-21,440.22,444.84,438.53,440.50,34700,399.67
2009-12-18,435.75,450.00,426.81,438.47,92600,397.82
2009-12-17,438.90,440.87,434.20,434.60,79400,394.31
2009-12-16,428.00,442.13,427.00,440.50,64300,399.67
2009-12-15,428.71,430.69,422.79,424.25,45300,384.92
2009-12-14,420.53,433.10,420.00,429.82,46200,389.98
2009-12-11,411.79,420.09,411.79,419.76,40800,380.85
2009-12-10,412.00,415.31,409.75,414.12,49000,375.73
2009-12-09,408.06,410.98,400.71,408.50,40800,370.63
2009-12-08,409.68,413.04,403.64,409.66,58400,371.69
2009-12-07,411.75,417.99,408.80,409.53,68200,371.57
2009-12-04,418.90,425.00,411.10,411.75,71800,373.58
2009-12-03,411.88,415.83,411.00,411.33,76200,373.20
2009-12-02,410.50,415.96,408.87,410.95,54200,372.86
2009-12-01,415.40,420.68,407.01,409.65,74600,371.68
2009-11-30,409.67,413.93,407.75,413.61,44100,375.27
2009-11-27,414.00,414.00,405.85,410.42,13000,372.37
2009-11-25,414.00,420.81,412.06,417.76,32500,379.03
2009-11-24,418.66,418.66,409.00,410.01,50700,372.00
2009-11-23,421.20,423.90,415.04,415.91,34300,377.36
2009-11-20,422.04,423.05,411.59,414.30,40800,375.90
2009-11-19,430.00,430.00,418.67,422.40,27800,383.24
2009-11-18,434.42,438.07,429.02,430.79,38700,390.86
2009-11-17,434.51,437.17,430.01,435.96,31300,395.55
2009-11-16,425.01,435.00,425.01,433.84,40500,393.62
