Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,20.33,20.67,20.13,20.17,1007000,19.04
2009-12-30,20.41,20.49,20.15,20.40,1234000,19.25
2009-12-29,20.61,20.66,20.41,20.58,964000,19.42
2009-12-28,20.91,20.94,20.33,20.48,1639300,19.33
2009-12-24,21.03,21.03,20.71,20.83,292800,19.66
2009-12-23,21.11,21.25,20.65,20.96,1346700,19.78
2009-12-22,21.15,21.19,20.79,20.98,1315400,19.80
2009-12-21,21.01,21.24,20.79,21.07,1397200,19.89
2009-12-18,20.87,21.05,20.60,20.89,2993300,19.72
2009-12-17,20.91,21.15,20.70,20.77,1835800,19.60
2009-12-16,20.83,21.45,20.77,21.20,2921000,20.01
2009-12-15,20.52,21.06,20.40,20.61,1904200,19.45
2009-12-14,20.15,20.69,20.11,20.66,1381000,19.50
2009-12-11,20.17,20.36,19.92,20.02,1629200,18.90
2009-12-10,20.28,20.48,19.92,20.01,1964800,18.89
2009-12-09,20.30,20.45,19.79,20.20,3057600,19.07
2009-12-08,20.27,20.51,20.13,20.30,2884400,19.16
2009-12-07,20.44,20.69,20.14,20.49,3466100,19.34
2009-12-04,19.49,20.70,19.43,20.55,6085800,19.40
2009-12-03,19.08,19.64,19.02,19.27,2473200,18.19
2009-12-02,19.10,19.18,18.65,18.97,2539900,17.90
2009-12-01,18.93,19.07,18.46,18.95,2409100,17.89
2009-11-30,18.52,18.80,18.42,18.57,2478000,17.53
2009-11-27,18.40,18.88,18.05,18.56,943700,17.52
2009-11-25,18.79,19.15,18.73,19.00,1329300,17.93
2009-11-24,19.02,19.06,18.61,18.83,1932900,17.77
2009-11-23,19.25,19.53,18.96,19.06,1568900,17.99
2009-11-20,18.87,19.23,18.62,18.99,1767300,17.92
2009-11-19,19.44,19.46,18.80,19.09,2297000,17.98
2009-11-18,19.55,19.79,19.43,19.56,2961500,18.42
2009-11-17,19.43,19.76,19.18,19.70,2386100,18.55
2009-11-16,19.18,19.98,19.14,19.53,3345600,18.39
2009-11-13,18.84,19.21,18.77,18.94,2926400,17.84
2009-11-12,19.22,19.35,18.68,18.81,2628600,17.72
2009-11-11,18.88,19.35,18.79,19.25,3590100,18.13
2009-11-10,18.59,18.79,18.11,18.66,3164800,17.57
2009-11-09,18.10,18.74,18.06,18.61,3089400,17.53
2009-11-06,17.72,18.06,17.58,17.94,3654400,16.90
2009-11-05,17.33,17.82,17.20,17.79,2482700,16.76
2009-11-04,17.53,17.87,17.00,17.07,3883800,16.08
2009-11-03,16.59,17.48,16.40,17.39,4812900,16.38
2009-11-02,17.11,17.50,16.40,16.91,3170400,15.93
2009-10-30,17.85,17.93,16.88,17.05,4720000,16.06
2009-10-29,17.11,17.95,17.11,17.85,4731100,16.81
2009-10-28,17.28,17.62,16.39,16.59,6289700,15.63
2009-10-27,17.20,17.27,16.47,16.69,4791600,15.72
2009-10-26,17.22,17.64,16.95,17.17,5348200,16.17
2009-10-23,17.90,17.91,17.19,17.20,2006300,16.20
2009-10-22,17.32,17.79,16.86,17.69,1956000,16.66
2009-10-21,17.66,18.16,17.26,17.30,2021200,16.29
2009-10-20,18.10,18.25,17.47,17.69,4212900,16.66
2009-10-19,17.99,18.24,17.67,18.13,2418400,17.08
2009-10-16,18.01,18.07,17.64,17.86,2942900,16.82
2009-10-15,18.14,18.27,17.77,18.25,2038400,17.19
2009-10-14,18.14,18.43,18.02,18.28,3898500,17.22
2009-10-13,18.03,18.09,17.71,17.84,1837000,16.80
2009-10-12,17.99,18.34,17.92,18.05,1792700,17.00
2009-10-09,18.08,18.08,17.64,17.92,2035100,16.88
2009-10-08,17.55,18.13,17.41,17.94,5149100,16.90
2009-10-07,17.26,17.95,17.10,17.47,7462000,16.45
2009-10-06,16.00,16.53,15.88,16.26,3802100,15.31
2009-10-05,15.66,16.00,15.51,15.96,3033900,15.03
2009-10-02,15.41,15.75,15.06,15.45,4865400,14.55
2009-10-01,16.18,16.28,15.50,15.57,5005800,14.66
2009-09-30,16.27,16.64,15.83,16.32,4894000,15.37
2009-09-29,15.24,16.26,15.24,16.21,5094200,15.27
2009-09-28,14.70,15.25,14.66,15.24,1906600,14.35
2009-09-25,15.14,15.25,14.71,14.79,2952800,13.93
2009-09-24,15.82,15.97,15.03,15.13,3853000,14.25
2009-09-23,16.09,16.38,15.75,15.77,2310000,14.85
2009-09-22,15.85,16.14,15.76,16.06,2830200,15.13
2009-09-21,15.68,15.87,15.45,15.65,1654700,14.74
2009-09-18,15.87,16.05,15.62,15.87,2620100,14.95
2009-09-17,15.98,16.25,15.51,15.75,3444700,14.83
2009-09-16,16.03,16.42,15.77,16.01,2135800,15.08
2009-09-15,15.95,16.25,15.68,16.19,2201000,15.25
2009-09-14,15.37,15.98,15.24,15.94,2340600,15.01
2009-09-11,15.91,16.11,15.20,15.60,2968300,14.69
2009-09-10,15.72,16.05,15.25,16.01,2370300,15.08
2009-09-09,15.22,15.81,15.07,15.70,2261900,14.79
2009-09-08,14.89,15.28,14.89,15.22,2108000,14.33
2009-09-04,14.51,14.81,14.25,14.75,1019600,13.89
2009-09-03,14.47,14.54,14.12,14.51,1727000,13.67
2009-09-02,14.38,14.52,14.22,14.34,2449800,13.51
2009-09-01,15.24,15.42,14.42,14.45,3406900,13.61
2009-08-31,15.62,15.67,15.09,15.15,2185400,14.27
2009-08-28,15.96,16.21,15.75,15.82,1759700,14.90
2009-08-27,15.74,16.00,15.34,15.85,1706500,14.93
2009-08-26,16.04,16.14,15.77,15.81,1898900,14.89
2009-08-25,15.97,16.44,15.97,16.14,2957100,15.20
2009-08-24,16.33,16.50,15.71,15.82,3050800,14.86
2009-08-21,15.92,16.44,15.87,16.31,2839200,15.32
2009-08-20,15.24,15.96,15.23,15.86,3170400,14.90
2009-08-19,15.02,15.32,14.80,15.28,2366900,14.36
2009-08-18,14.70,15.29,14.70,15.24,2427900,14.32
2009-08-17,15.00,15.10,14.50,14.55,2560700,13.67
2009-08-14,15.78,15.87,15.14,15.46,2221600,14.52
2009-08-13,15.55,15.98,15.25,15.78,3726100,14.82
2009-08-12,15.04,15.65,15.04,15.40,3542200,14.47
2009-08-11,15.03,15.25,14.71,15.11,2580200,14.20
2009-08-10,15.47,15.59,14.86,15.21,6285300,14.29
2009-08-07,14.59,15.63,14.53,15.56,4814900,14.62
2009-08-06,14.85,14.87,14.27,14.39,4007100,13.52
2009-08-05,14.65,14.88,14.32,14.74,3448500,13.85
2009-08-04,14.14,14.83,13.97,14.63,5164300,13.74
2009-08-03,14.24,14.29,13.97,14.24,3900400,13.38
2009-07-31,13.73,14.01,13.69,13.95,3637300,13.11
2009-07-30,13.25,14.00,13.25,13.75,7149100,12.92
2009-07-29,12.80,13.76,12.61,13.01,7056600,12.22
2009-07-28,12.70,12.89,12.39,12.67,3153800,11.90
2009-07-27,12.82,12.87,12.51,12.84,4500200,12.06
2009-07-24,11.91,12.81,11.81,12.70,4899200,11.93
2009-07-23,11.85,12.42,11.68,12.01,5707100,11.28
2009-07-22,11.94,12.20,11.72,11.79,5037000,11.08
2009-07-21,12.17,12.29,11.80,12.10,3934900,11.37
2009-07-20,11.85,12.21,11.80,12.17,3646700,11.43
2009-07-17,11.87,11.99,11.57,11.69,2775700,10.98
2009-07-16,11.41,12.05,11.19,11.94,4450800,11.22
2009-07-15,11.66,11.94,11.50,11.78,4215600,11.07
2009-07-14,11.23,11.60,11.06,11.46,4205900,10.77
2009-07-13,10.65,11.22,10.36,11.21,4593500,10.53
