Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,14.05,14.14,13.92,13.94,9030100,13.01
2009-12-30,13.70,14.10,13.70,14.06,10209300,13.12
2009-12-29,13.83,13.93,13.71,13.74,7450500,12.82
2009-12-28,14.04,14.07,13.75,13.86,9190200,12.93
2009-12-24,13.99,14.01,13.93,14.00,5663500,13.07
2009-12-23,14.09,14.22,13.91,13.95,16898800,13.02
2009-12-22,13.90,14.05,13.88,13.94,13939300,13.01
2009-12-21,13.77,13.86,13.72,13.84,12559500,12.92
2009-12-18,13.46,13.63,13.34,13.62,19238000,12.71
2009-12-17,13.51,13.60,13.35,13.35,11954600,12.46
2009-12-16,13.57,13.99,13.53,13.59,29117200,12.68
2009-12-15,13.47,13.71,13.44,13.53,13025200,12.63
2009-12-14,13.53,13.59,13.31,13.56,14425300,12.65
2009-12-11,13.35,13.57,13.21,13.38,12818900,12.49
2009-12-10,13.49,13.64,13.27,13.31,18145000,12.42
2009-12-09,13.24,13.49,13.14,13.49,17299400,12.59
2009-12-08,13.24,13.40,13.02,13.32,17692500,12.43
2009-12-07,13.23,13.52,13.23,13.25,19519500,12.37
2009-12-04,13.23,13.56,13.05,13.32,20060100,12.43
2009-12-03,13.09,13.27,13.04,13.07,17780600,12.20
2009-12-02,12.89,13.08,12.84,13.00,18043300,12.13
2009-12-01,12.42,12.95,12.40,12.89,33235300,12.03
2009-11-30,12.26,12.34,12.12,12.31,14255500,11.49
2009-11-27,12.10,12.41,12.04,12.29,9014600,11.47
2009-11-25,12.36,12.49,12.30,12.43,7812300,11.60
2009-11-24,12.40,12.42,12.25,12.35,14420500,11.53
2009-11-23,12.41,12.59,12.33,12.40,13601600,11.57
2009-11-20,12.38,12.42,12.20,12.28,22403300,11.46
2009-11-19,12.66,12.69,12.37,12.48,17764800,11.65
2009-11-18,12.95,12.98,12.80,12.86,15122300,12.00
2009-11-17,12.98,13.08,12.85,12.94,18130700,12.08
2009-11-16,12.80,13.06,12.80,13.05,21060700,12.18
2009-11-13,12.86,12.93,12.61,12.72,29700700,11.87
2009-11-12,12.99,13.24,12.78,12.82,26637900,11.96
2009-11-11,13.30,13.41,13.15,13.25,35528500,12.37
2009-11-10,13.25,13.30,12.91,13.00,21536700,12.13
2009-11-09,12.65,13.06,12.57,12.98,22117300,12.11
2009-11-06,12.39,12.58,12.25,12.40,13428500,11.52
2009-11-05,12.13,12.44,12.10,12.40,16583100,11.52
2009-11-04,12.08,12.15,11.93,11.94,21557300,11.09
2009-11-03,12.06,12.10,11.78,11.89,30794800,11.04
2009-11-02,12.22,12.47,12.10,12.30,16789800,11.42
2009-10-30,12.71,12.73,12.16,12.20,19518300,11.33
2009-10-29,12.42,12.77,12.40,12.75,15933600,11.84
2009-10-28,12.56,12.74,11.48,12.37,17465200,11.49
2009-10-27,12.92,13.13,12.60,12.62,15772400,11.72
2009-10-26,12.97,13.24,12.85,12.93,18894300,12.01
2009-10-23,13.24,13.25,12.80,12.95,18521100,12.03
2009-10-22,13.13,13.28,13.01,13.23,18399300,12.29
2009-10-21,13.42,13.67,13.08,13.12,20756100,12.18
2009-10-20,13.54,13.76,13.38,13.47,15018800,12.51
2009-10-19,13.38,13.60,13.26,13.54,15907400,12.57
2009-10-16,13.43,13.51,13.14,13.38,17104500,12.43
2009-10-15,13.69,13.75,13.50,13.59,16347700,12.62
2009-10-14,13.74,13.75,13.41,13.71,30979500,12.73
2009-10-13,13.69,13.70,13.40,13.44,19684800,12.48
