Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,47.00,47.14,46.11,46.18,622800,45.73
2009-12-30,45.94,46.98,45.94,46.97,867000,46.52
2009-12-29,45.99,46.31,45.78,46.17,568900,45.72
2009-12-28,46.53,46.54,45.74,45.90,580500,45.46
2009-12-24,46.38,46.66,46.28,46.61,273900,46.16
2009-12-23,44.68,46.40,44.68,46.26,1666900,45.81
2009-12-22,43.97,44.88,43.80,44.64,2026800,44.21
2009-12-21,43.35,43.99,43.35,43.81,882500,43.39
2009-12-18,42.74,43.23,42.66,43.18,1182600,42.76
2009-12-17,43.00,43.19,42.31,42.58,1199200,42.17
2009-12-16,44.08,44.18,43.34,43.40,1817400,42.98
2009-12-15,43.89,44.57,43.71,44.00,784300,43.57
2009-12-14,43.81,44.19,43.56,44.13,962300,43.70
2009-12-11,44.19,44.19,43.57,43.74,1261900,43.30
2009-12-10,44.43,44.78,43.80,43.82,1314800,43.38
2009-12-09,43.92,44.22,43.48,44.11,904000,43.67
2009-12-08,44.19,44.31,43.51,43.98,972000,43.54
2009-12-07,44.61,45.24,44.30,44.54,776000,44.09
2009-12-04,44.72,45.70,44.06,44.49,1122500,44.04
2009-12-03,44.10,44.59,43.73,44.07,816400,43.63
2009-12-02,42.64,44.15,42.49,44.12,1809900,43.68
2009-12-01,41.69,42.34,41.52,42.26,1145400,41.84
2009-11-30,41.25,41.32,40.56,41.20,1142200,40.79
2009-11-27,41.39,41.84,40.95,41.35,479300,40.94
2009-11-25,42.48,42.72,42.35,42.51,537500,42.08
2009-11-24,42.61,42.74,42.15,42.43,703800,42.01
2009-11-23,42.53,43.17,42.51,42.65,690700,42.22
2009-11-20,42.00,42.25,41.62,42.04,738600,41.62
2009-11-19,43.02,43.15,42.03,42.20,1165200,41.78
2009-11-18,43.38,43.45,43.01,43.11,713200,42.68
2009-11-17,43.09,43.38,43.00,43.32,779000,42.89
2009-11-16,42.62,43.46,42.47,43.19,864800,42.76
2009-11-13,42.36,42.66,41.95,42.27,1140200,41.85
2009-11-12,43.18,43.32,42.23,42.34,1016600,41.92
2009-11-11,43.33,43.60,43.06,43.16,1801900,42.73
2009-11-10,42.89,43.19,42.64,43.14,872500,42.71
2009-11-09,42.13,42.91,42.13,42.90,737700,42.47
2009-11-06,41.74,42.21,41.55,41.93,1006300,41.51
2009-11-05,41.91,42.79,41.79,42.05,1988100,41.63
2009-11-04,41.72,41.97,41.30,41.40,2140400,40.99
2009-11-03,40.78,41.44,40.49,41.36,2417600,40.95
2009-11-02,40.19,41.45,40.16,41.09,2603700,40.68
2009-10-30,41.33,41.60,40.02,40.12,1950100,39.72
2009-10-29,40.47,41.54,40.13,41.42,1272200,41.01
2009-10-28,41.21,41.36,40.10,40.15,1856100,39.75
2009-10-27,41.48,41.75,40.85,41.62,1742300,41.20
2009-10-26,41.54,42.40,41.09,41.45,1772000,41.03
2009-10-23,41.77,42.07,41.01,41.28,1716000,40.87
2009-10-22,40.01,41.62,39.51,41.55,2893900,41.13
2009-10-21,40.97,41.60,39.92,40.00,2245700,39.60
2009-10-20,41.64,41.72,40.86,41.06,1371100,40.65
2009-10-19,40.76,41.70,40.44,41.37,1216500,40.96
2009-10-16,40.77,41.33,40.04,40.81,1587400,40.40
2009-10-15,40.98,41.69,39.61,41.01,3846200,40.60
2009-10-14,39.69,41.33,39.37,41.29,2443500,40.88
2009-10-13,38.70,38.91,38.27,38.36,878400,37.98
2009-10-12,38.40,39.15,38.18,38.86,1467800,38.47
2009-10-09,37.88,38.16,37.50,38.11,1483900,37.73
2009-10-08,37.87,38.07,37.61,37.88,1395300,37.50
2009-10-07,37.00,37.62,36.78,37.55,1604700,37.17
2009-10-06,36.27,37.39,36.25,37.00,1162800,36.63
2009-10-05,35.61,36.00,35.31,36.00,1552700,35.64
2009-10-02,35.75,35.91,35.16,35.47,1214600,35.11
2009-10-01,37.67,37.77,36.01,36.03,1450700,35.67
2009-09-30,37.38,38.08,36.85,37.68,1095100,37.30
2009-09-29,37.40,37.74,37.15,37.45,786300,37.08
2009-09-28,37.43,38.14,37.25,37.52,748900,37.14
2009-09-25,37.57,37.69,37.06,37.27,809800,36.90
2009-09-24,38.68,38.71,37.54,37.80,991800,37.42
2009-09-23,39.27,39.53,38.48,38.50,905000,38.11
2009-09-22,39.31,39.38,38.97,39.13,697400,38.74
2009-09-21,39.41,39.65,39.05,39.25,713900,38.86
2009-09-18,40.07,40.24,39.20,39.37,1165200,38.98
2009-09-17,39.42,40.00,39.39,39.75,1569100,39.35
2009-09-16,38.95,39.67,38.87,39.63,1778300,39.23
2009-09-15,38.54,38.76,38.29,38.69,916100,38.30
2009-09-14,38.06,38.42,37.97,38.39,687800,38.01
2009-09-11,38.32,38.71,38.12,38.42,760000,38.02
2009-09-10,37.76,38.49,37.52,38.49,853400,38.09
2009-09-09,37.19,38.37,36.96,37.75,1215400,37.36
2009-09-08,37.51,37.51,36.36,37.24,1631700,36.85
2009-09-04,35.00,35.43,34.82,35.40,706700,35.03
2009-09-03,34.43,35.02,34.01,35.00,1335700,34.64
2009-09-02,34.31,34.45,33.86,34.27,1603800,33.91
2009-09-01,34.76,35.35,34.19,34.28,1704600,33.92
2009-08-31,35.19,35.29,34.57,34.96,1131400,34.60
2009-08-28,35.00,35.43,34.66,35.32,1753400,34.95
2009-08-27,34.86,34.88,34.02,34.84,1318200,34.48
2009-08-26,33.64,34.62,33.64,34.59,1315500,34.23
2009-08-25,33.92,34.21,33.66,33.75,1047700,33.40
2009-08-24,33.47,34.00,33.43,33.60,1299500,33.25
2009-08-21,33.18,33.47,32.83,33.35,1256200,33.00
2009-08-20,32.26,33.04,32.26,32.96,710400,32.62
2009-08-19,31.87,32.48,31.80,32.30,1137900,31.96
2009-08-18,32.54,32.83,32.27,32.34,1528200,32.00
2009-08-17,33.01,33.10,32.31,32.41,990700,32.07
2009-08-14,34.17,34.24,33.17,33.44,922000,33.09
2009-08-13,34.08,34.45,33.63,34.02,924200,33.67
2009-08-12,32.80,34.28,32.80,33.90,968600,33.55
2009-08-11,33.04,33.30,32.52,32.75,1196900,32.41
2009-08-10,33.25,33.45,33.05,33.28,727900,32.93
2009-08-07,33.44,33.56,32.98,33.33,1981400,32.98
2009-08-06,33.40,33.52,32.96,33.09,869500,32.75
2009-08-05,34.07,34.22,32.91,33.34,1197000,32.99
2009-08-04,34.22,34.35,33.88,34.06,1427000,33.71
2009-08-03,33.61,34.42,33.40,34.37,1375500,34.01
2009-07-31,33.40,33.66,33.14,33.35,1714900,33.00
2009-07-30,33.80,33.86,33.40,33.45,1195900,33.10
2009-07-29,33.83,33.88,33.25,33.39,1534600,33.04
2009-07-28,34.03,34.47,33.66,34.13,589500,33.78
