Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,58.86,58.99,58.51,58.68,1644600,54.42
2009-12-30,58.85,59.09,58.77,58.99,1459500,54.71
2009-12-29,59.11,59.30,58.89,59.21,3060400,54.91
2009-12-28,58.81,59.15,58.56,59.15,1866300,54.86
2009-12-24,58.97,58.97,58.64,58.81,691200,54.54
2009-12-23,58.48,58.95,58.48,58.76,2071400,54.49
2009-12-22,58.59,58.95,58.19,58.66,3199200,54.40
2009-12-21,57.77,58.37,57.47,58.31,4758700,54.08
2009-12-18,57.63,57.75,56.78,57.60,6266000,53.42
2009-12-17,58.34,58.61,57.89,57.98,3637700,53.77
2009-12-16,59.00,59.63,58.36,58.43,5755000,54.19
2009-12-15,58.83,59.10,58.49,59.00,3938300,54.72
2009-12-14,59.67,59.67,58.66,58.94,5396500,54.66
2009-12-11,58.00,59.74,57.69,59.50,9729100,55.18
2009-12-10,55.98,58.47,55.95,58.07,8807400,53.85
2009-12-09,55.21,56.00,55.05,55.91,4037100,51.85
2009-12-08,55.59,55.64,55.09,55.12,5458100,51.12
2009-12-07,56.54,56.91,55.72,56.01,3870600,51.67
2009-12-04,56.78,57.26,56.13,56.69,6040000,52.30
2009-12-03,55.92,57.15,55.79,56.47,5924400,52.10
2009-12-02,55.01,56.04,55.01,55.95,3900100,51.62
2009-12-01,54.68,55.43,54.55,55.22,3964900,50.95
2009-11-30,54.79,54.95,54.41,54.55,4035200,50.33
2009-11-27,54.62,55.26,53.80,54.83,1961800,50.59
2009-11-25,55.49,55.50,54.65,54.75,4033400,50.51
2009-11-24,54.67,55.41,54.50,55.23,3432700,50.96
2009-11-23,54.98,55.20,54.41,54.66,4449400,50.43
2009-11-20,54.71,54.95,54.16,54.33,5732900,50.12
2009-11-19,55.40,55.57,54.89,54.95,5020000,50.70
2009-11-18,55.02,55.79,54.90,55.68,4229600,51.37
2009-11-17,54.84,55.34,54.84,54.94,3012100,50.69
2009-11-16,54.91,55.25,54.54,54.85,4688800,50.60
2009-11-13,54.78,55.25,54.35,54.82,5368000,50.58
2009-11-12,56.86,56.86,54.53,54.76,10976800,50.52
2009-11-11,57.66,57.66,56.82,57.10,3080100,52.68
2009-11-10,56.21,57.50,56.21,57.48,5691000,53.03
2009-11-09,55.33,56.38,55.12,56.29,4112600,51.93
2009-11-06,54.80,55.19,54.34,55.12,2719700,50.85
2009-11-05,54.19,54.88,54.15,54.84,3036700,50.60
2009-11-04,53.71,54.53,53.71,53.97,5129800,49.79
2009-11-03,54.36,54.65,53.71,53.92,2924200,49.75
2009-11-02,54.08,54.77,54.08,54.55,2848500,50.33
2009-10-30,54.13,54.69,53.50,54.06,4298400,49.88
2009-10-29,54.74,54.74,53.65,54.29,4408200,50.09
2009-10-28,54.50,54.98,54.47,54.53,3627100,50.31
2009-10-27,55.21,55.28,54.60,54.61,4182200,50.38
2009-10-26,55.13,55.69,54.82,55.07,2718700,50.81
2009-10-23,55.39,55.48,54.53,55.08,3632900,50.82
2009-10-22,55.18,55.82,54.87,55.59,3690600,51.29
2009-10-21,55.28,55.66,55.24,55.31,4134100,51.03
2009-10-20,55.50,55.70,55.00,55.42,5763200,51.13
2009-10-19,55.21,55.79,54.95,55.49,3964000,51.20
