Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,29.43,29.75,28.98,28.98,1046300,28.98
2009-12-30,29.25,29.53,29.00,29.31,1046700,29.31
2009-12-29,29.19,29.48,29.06,29.40,1825200,29.40
2009-12-28,29.39,29.51,28.86,29.05,1001400,29.05
2009-12-24,29.23,29.43,29.03,29.32,264600,29.32
2009-12-23,29.31,29.55,28.98,29.18,1112900,29.18
2009-12-22,29.62,29.62,29.08,29.31,1628600,29.31
2009-12-21,29.36,29.68,29.28,29.53,1629700,29.53
2009-12-18,29.17,29.55,28.78,29.36,2376800,29.36
2009-12-17,29.24,29.33,28.80,28.86,1493400,28.86
2009-12-16,29.39,29.47,29.15,29.23,1753500,29.23
2009-12-15,28.99,29.41,28.71,29.28,2387100,29.28
2009-12-14,28.88,29.06,28.55,28.99,1952100,28.99
2009-12-11,28.49,28.80,28.28,28.75,2043100,28.75
2009-12-10,28.58,28.93,28.28,28.34,2357100,28.34
2009-12-09,28.53,28.57,28.15,28.43,1936600,28.43
2009-12-08,28.04,28.69,27.72,28.62,3101800,28.62
2009-12-07,28.41,28.64,27.50,28.16,3650900,28.16
2009-12-04,26.87,28.08,26.74,28.08,11430300,28.08
2009-12-03,24.24,24.24,23.49,23.54,2702500,23.54
2009-12-02,23.53,24.23,23.52,23.91,2543200,23.91
2009-12-01,23.25,23.63,23.19,23.46,2024800,23.46
2009-11-30,23.98,24.13,23.04,23.06,2896400,23.06
2009-11-27,23.35,24.16,23.35,24.01,928500,24.01
2009-11-25,24.22,24.27,24.02,24.20,1520700,24.20
2009-11-24,24.06,24.29,23.89,24.06,2331900,24.06
2009-11-23,24.34,24.62,23.85,24.04,2406800,24.04
2009-11-20,24.57,24.73,24.04,24.15,1645500,24.15
2009-11-19,25.19,25.27,24.65,24.72,1276000,24.72
2009-11-18,25.24,25.42,25.12,25.30,1110000,25.30
2009-11-17,25.86,25.86,25.17,25.28,1291800,25.28
2009-11-16,25.72,25.99,25.54,25.86,1322700,25.86
2009-11-13,25.32,25.64,25.12,25.50,986300,25.50
2009-11-12,25.81,25.99,25.25,25.28,763000,25.28
2009-11-11,25.81,26.09,25.52,25.80,1126800,25.80
2009-11-10,25.64,25.88,25.19,25.60,1447600,25.60
2009-11-09,25.19,25.93,25.15,25.86,1849100,25.86
2009-11-06,25.18,25.47,24.75,25.07,1057000,25.07
2009-11-05,25.19,25.98,24.54,25.40,1450400,25.40
2009-11-04,25.29,25.47,24.75,24.81,1468300,24.81
2009-11-03,25.09,25.46,24.82,25.13,1198800,25.13
2009-11-02,25.25,25.63,24.96,25.23,1564700,25.23
2009-10-30,25.75,25.91,25.04,25.05,1411600,25.05
2009-10-29,25.50,25.87,25.36,25.84,1037100,25.84
2009-10-28,25.96,26.21,25.14,25.26,1332400,25.26
2009-10-27,26.54,26.54,25.83,26.00,767500,26.00
2009-10-26,26.25,26.90,26.17,26.40,1287000,26.40
2009-10-23,26.72,26.89,26.14,26.19,903500,26.19
2009-10-22,26.68,26.90,26.37,26.72,1984600,26.72
2009-10-21,27.38,27.63,26.60,26.62,1824600,26.62
2009-10-20,27.88,27.95,27.34,27.52,1619000,27.52
2009-10-19,27.19,28.18,27.16,27.78,1639500,27.78
2009-10-16,27.02,27.37,26.77,27.09,1642100,27.09
2009-10-15,26.60,27.45,26.60,27.42,1999900,27.42
2009-10-14,26.42,26.67,26.15,26.63,1771200,26.63
2009-10-13,26.03,26.36,25.80,26.24,1349700,26.24
2009-10-12,26.42,26.67,25.81,26.01,972900,26.01
2009-10-09,26.56,26.62,26.02,26.34,1298900,26.34
2009-10-08,26.63,26.72,26.30,26.63,1957200,26.63
2009-10-07,26.09,26.47,26.06,26.39,1513000,26.39
2009-10-06,25.64,26.47,25.41,26.42,1802500,26.42
2009-10-05,24.81,25.42,24.71,25.42,1486400,25.42
2009-10-02,25.33,25.48,24.81,24.83,1811800,24.83
2009-10-01,25.93,25.93,25.12,25.55,3223700,25.55
2009-09-30,24.59,25.20,24.43,25.02,2535700,25.02
2009-09-29,24.12,24.56,24.03,24.43,2075500,24.43
2009-09-28,23.97,24.20,23.81,24.12,1329400,24.12
2009-09-25,23.62,23.82,23.30,23.80,1634200,23.80
2009-09-24,24.55,24.55,23.41,23.76,1474600,23.76
2009-09-23,25.20,25.38,24.45,24.46,1046600,24.46
2009-09-22,25.32,25.58,25.01,25.18,1618800,25.18
2009-09-21,24.76,25.23,24.56,25.16,1174300,25.16
2009-09-18,25.18,25.26,24.82,25.02,885500,25.02
2009-09-17,25.00,25.19,24.72,24.92,1039300,24.92
2009-09-16,25.14,25.23,24.86,25.03,1109600,25.03
2009-09-15,25.51,25.60,24.93,25.08,1284200,25.08
2009-09-14,25.51,25.70,25.34,25.55,937800,25.55
2009-09-11,25.98,26.00,25.54,25.76,1552100,25.76
2009-09-10,25.63,26.00,25.36,25.93,1224800,25.93
2009-09-09,25.04,25.73,24.95,25.66,1789700,25.66
2009-09-08,25.05,25.33,24.92,25.04,1337200,25.04
2009-09-04,24.63,24.86,24.47,24.81,1172800,24.81
2009-09-03,24.75,24.92,24.28,24.75,1676300,24.75
2009-09-02,24.84,24.98,24.31,24.57,1499200,24.57
2009-09-01,25.48,25.92,24.86,24.92,1626100,24.92
2009-08-31,25.54,25.88,25.35,25.42,1535500,25.42
2009-08-28,26.01,26.08,25.51,25.79,1523700,25.79
2009-08-27,26.62,26.62,25.71,25.75,2165300,25.75
