Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,69.35,69.88,67.07,67.07,1659900,62.69
2009-12-30,68.87,69.40,68.48,69.31,963800,64.78
2009-12-29,69.91,70.53,69.10,69.22,1009700,64.70
2009-12-28,71.01,71.73,70.04,70.33,1899100,65.27
2009-12-24,70.34,70.98,70.09,70.80,535300,65.71
2009-12-23,69.74,71.29,69.62,69.91,1293900,64.88
2009-12-22,68.78,69.99,68.78,69.63,1303600,64.62
2009-12-21,68.23,69.31,68.13,68.95,1128900,63.99
2009-12-18,68.38,68.86,67.26,68.02,4236000,63.13
2009-12-17,68.80,69.52,68.33,69.15,1408600,64.17
2009-12-16,69.28,69.79,68.64,69.24,1385400,64.26
2009-12-15,68.98,69.40,68.36,68.64,1104700,63.70
2009-12-14,68.29,69.50,67.38,69.33,1216400,64.34
2009-12-11,67.57,67.89,66.85,67.80,1347300,62.92
2009-12-10,67.71,68.40,66.61,66.95,1227300,62.13
2009-12-09,67.63,68.39,67.12,67.45,1330200,62.60
2009-12-08,67.32,69.14,67.02,67.37,1944500,62.52
2009-12-07,69.52,69.91,67.13,67.63,1998700,62.76
2009-12-04,69.73,71.44,68.71,69.98,2452100,64.94
2009-12-03,69.34,70.51,68.53,68.74,2161000,63.79
2009-12-02,67.81,69.30,67.47,68.89,2171400,63.93
2009-12-01,67.45,68.70,67.01,67.97,2066000,63.08
2009-11-30,64.06,67.20,63.76,66.98,2754800,62.16
2009-11-27,63.99,65.13,63.30,63.79,913600,59.20
2009-11-25,65.96,66.76,65.75,65.98,1619100,61.23
2009-11-24,66.87,66.87,65.67,65.88,2307400,61.14
2009-11-23,65.90,67.23,65.90,66.70,1871700,61.90
2009-11-20,65.56,65.80,65.19,65.50,1902100,60.79
2009-11-19,66.82,66.82,65.44,66.08,2119200,61.32
2009-11-18,66.13,67.48,65.66,67.31,1300200,62.47
2009-11-17,67.07,67.38,65.92,65.93,2333400,61.19
2009-11-16,66.18,67.71,65.98,67.48,2147000,62.62
2009-11-13,64.69,65.85,64.58,65.71,1271600,60.98
2009-11-12,64.89,65.30,64.30,64.49,1729900,59.85
2009-11-11,64.19,65.48,64.00,64.98,1606000,60.30
2009-11-10,63.00,64.10,62.62,63.60,1530200,59.02
2009-11-09,60.61,63.51,60.37,63.42,2395800,58.86
2009-11-06,61.42,62.09,59.94,60.06,1665900,55.74
2009-11-05,60.79,62.40,60.53,62.15,1428200,57.68
2009-11-04,62.43,63.24,60.14,60.29,2133000,55.95
2009-11-03,60.18,61.85,60.11,61.70,1724900,57.26
2009-11-02,60.94,62.44,59.08,60.99,2312800,56.60
2009-10-30,60.53,61.20,58.91,60.77,4082700,56.40
2009-10-29,58.24,61.31,58.24,61.09,2697700,56.69
2009-10-28,59.83,61.28,57.19,57.25,3351400,53.13
2009-10-27,62.44,62.69,60.67,60.91,2105300,56.53
2009-10-26,63.94,64.83,62.22,62.34,1917200,57.85
2009-10-23,63.36,63.38,62.32,62.66,2289500,58.15
2009-10-22,61.74,63.48,60.50,63.23,1627100,58.68
2009-10-21,62.40,63.55,61.35,61.45,1907200,57.03
2009-10-20,63.29,63.91,62.30,62.51,2246100,58.01
2009-10-19,63.51,64.03,63.06,63.89,1831400,59.29
2009-10-16,64.83,65.64,63.05,63.14,2086400,58.60
2009-10-15,66.37,66.67,65.54,66.32,1232500,61.55
2009-10-14,65.43,67.25,65.26,66.86,1798700,62.05
2009-10-13,64.89,65.40,64.00,64.36,1189000,59.73
2009-10-12,66.00,66.46,65.07,65.48,1083400,60.77
2009-10-09,64.60,65.71,63.88,65.67,1312500,60.94
2009-10-08,63.40,65.19,63.40,64.58,1582200,59.93
2009-10-07,63.27,63.85,62.05,63.01,1145300,58.48
2009-10-06,64.61,65.15,62.35,63.40,1344000,58.84
2009-10-05,62.15,64.20,61.89,63.77,1864000,59.18
2009-10-02,61.15,63.96,60.51,61.60,2546600,57.17
2009-10-01,65.24,65.52,61.81,61.88,3075000,57.43
2009-09-30,66.07,67.22,64.39,65.55,2358200,60.83
2009-09-29,67.55,68.26,65.48,65.67,2144500,60.94
2009-09-28,64.74,67.50,64.18,67.29,2491200,62.45
2009-09-25,63.94,66.18,63.34,65.60,2382400,60.42
2009-09-24,67.77,68.05,64.32,64.44,2924500,59.35
2009-09-23,70.39,70.67,67.25,67.25,2396600,61.93
2009-09-22,68.69,70.72,68.69,70.51,2207300,64.94
2009-09-21,68.38,69.79,67.42,68.16,1785100,62.77
2009-09-18,70.58,71.44,68.83,70.55,2296700,64.97
2009-09-17,69.95,72.23,68.87,69.89,2572100,64.37
2009-09-16,66.50,70.03,66.50,69.88,3239500,64.36
2009-09-15,65.77,67.76,64.23,66.35,3118800,61.11
2009-09-14,62.90,65.81,62.45,65.66,1773400,60.47
2009-09-11,63.65,64.67,63.00,63.34,2362500,58.33
2009-09-10,62.00,63.71,61.36,63.51,1946200,58.49
2009-09-09,60.88,62.31,60.27,62.21,2017900,57.29
2009-09-08,58.90,60.93,58.66,60.90,2404800,56.09
2009-09-04,57.50,58.31,56.55,58.15,1386800,53.55
2009-09-03,56.78,57.53,55.85,57.45,2397400,52.91
2009-09-02,56.90,57.27,56.05,56.17,1866200,51.73
2009-09-01,60.42,61.08,57.12,57.17,3237400,52.65
2009-08-31,60.44,61.00,59.78,60.58,2315300,55.79
2009-08-28,61.10,61.45,59.89,61.12,1305700,56.29
2009-08-27,59.66,60.83,58.44,60.81,1746700,56.00
2009-08-26,59.73,60.18,59.03,59.77,1630700,55.05
2009-08-25,59.63,60.96,59.33,59.56,2018900,54.85
2009-08-24,59.29,60.70,58.94,59.33,1853700,54.64
2009-08-21,58.39,60.82,58.24,59.40,2094900,54.71
2009-08-20,55.62,58.29,55.11,58.17,2035300,53.57
2009-08-19,54.98,55.82,54.46,55.37,1609400,50.99
2009-08-18,55.20,56.40,54.75,55.69,1759600,51.29
2009-08-17,56.91,56.91,54.61,54.96,2759100,50.62
2009-08-14,58.17,58.53,56.87,58.53,1957400,53.90
2009-08-13,60.04,60.39,58.59,59.27,1842200,54.59
2009-08-12,59.85,61.50,59.13,59.65,2744000,54.94
2009-08-11,61.08,61.19,59.00,59.80,2408500,55.07
