Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,57.60,57.96,56.99,56.99,3859700,53.11
2009-12-30,57.98,58.22,57.75,58.05,3479800,54.10
2009-12-29,58.57,58.74,58.13,58.18,2879300,54.22
2009-12-28,58.50,58.68,58.17,58.51,3789800,54.52
2009-12-24,58.35,58.63,58.19,58.33,1507800,54.36
2009-12-23,58.05,58.57,57.89,58.32,4047700,54.35
2009-12-22,57.56,57.98,57.32,57.89,4280000,53.95
2009-12-21,57.56,57.93,57.30,57.60,5339700,53.68
2009-12-18,58.07,58.10,56.72,57.19,7236400,53.29
2009-12-17,57.93,57.99,57.01,57.53,5700400,53.61
2009-12-16,58.43,58.85,58.00,58.23,6738800,54.26
2009-12-15,58.22,58.44,57.80,58.20,4950100,54.24
2009-12-14,58.00,58.45,57.75,58.30,4585300,54.33
2009-12-11,57.24,57.65,56.64,57.51,5364700,53.59
2009-12-10,56.91,57.27,56.51,56.94,6303900,53.06
2009-12-09,56.36,56.59,55.40,56.18,8552300,52.35
2009-12-08,57.14,57.19,56.25,56.38,6480000,52.54
2009-12-07,58.42,58.42,57.31,57.56,6834500,53.64
2009-12-04,59.13,59.62,57.26,58.30,10448100,54.33
2009-12-03,59.12,60.00,58.00,58.20,7593300,54.24
2009-12-02,59.85,60.08,58.55,58.94,7872000,54.93
2009-12-01,59.24,60.25,59.05,59.68,9823800,55.61
2009-11-30,57.82,58.51,57.31,58.39,9718500,54.41
2009-11-27,57.04,58.33,56.75,57.45,5189600,53.54
2009-11-25,58.02,59.34,57.45,59.04,6236500,55.02
2009-11-24,58.11,58.37,57.24,58.00,6625800,54.05
2009-11-23,58.96,59.83,57.96,58.14,9476000,54.18
2009-11-20,58.10,58.24,57.04,57.95,8698100,54.00
2009-11-19,58.72,58.74,57.60,58.61,8235500,54.62
2009-11-18,59.96,60.14,59.00,59.41,6626100,55.36
2009-11-17,60.05,60.17,59.05,59.88,7096000,55.80
2009-11-16,59.50,60.90,59.25,60.40,8333600,56.29
2009-11-13,58.85,59.25,58.20,58.78,6442100,54.78
2009-11-12,59.83,60.12,58.18,58.57,7588100,54.58
