Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,59.61,59.63,58.73,58.73,811700,55.36
2009-12-30,59.99,60.00,59.40,59.72,656300,56.30
2009-12-29,59.22,59.62,58.95,59.51,857500,56.10
2009-12-28,59.00,59.18,58.52,59.05,556200,55.66
2009-12-24,58.73,58.94,58.19,58.80,241800,55.43
2009-12-23,58.76,58.86,58.03,58.54,644100,55.18
2009-12-22,58.71,58.87,58.37,58.69,732500,55.32
2009-12-21,58.54,59.30,58.29,58.65,824300,55.29
2009-12-18,58.24,58.91,57.72,58.19,2016200,54.85
2009-12-17,58.85,59.03,57.65,57.79,3059400,54.48
2009-12-16,59.80,60.24,59.24,59.35,1186800,55.95
2009-12-15,58.74,60.25,58.41,59.71,1940500,56.29
2009-12-14,58.19,59.15,58.18,59.04,1240100,55.65
2009-12-11,58.00,58.36,57.65,58.10,1065300,54.77
2009-12-10,57.50,57.94,57.38,57.69,864300,54.38
2009-12-09,57.18,57.57,56.69,57.46,923400,54.17
2009-12-08,57.13,57.71,56.59,57.41,1244700,54.12
2009-12-07,57.68,57.89,56.87,57.26,1222700,53.98
2009-12-04,57.86,58.72,57.20,57.83,1153700,54.51
2009-12-03,57.85,58.11,57.15,57.22,1183500,53.94
2009-12-02,56.63,57.84,56.63,57.71,2021000,54.40
2009-12-01,55.95,56.73,55.85,56.58,1990400,53.10
2009-11-30,55.56,56.00,55.14,55.75,1719000,52.32
2009-11-27,55.20,56.32,54.99,55.83,975500,52.40
2009-11-25,56.04,56.69,56.04,56.42,1131400,52.95
2009-11-24,57.12,57.16,55.93,56.59,1982900,53.11
2009-11-23,57.68,58.17,56.96,57.10,1352300,53.59
2009-11-20,56.91,57.54,56.89,57.20,1164900,53.68
2009-11-19,57.69,57.69,56.85,57.35,1086500,53.82
2009-11-18,58.51,58.57,57.64,57.92,924300,54.36
2009-11-17,58.34,58.60,58.02,58.60,1033000,55.00
2009-11-16,57.32,58.73,57.06,58.54,1208500,54.94
2009-11-13,57.67,57.70,57.06,57.16,1217300,53.64
2009-11-12,58.02,58.29,57.43,57.69,1200400,54.14
2009-11-11,57.31,58.23,57.19,58.15,1713600,54.57
2009-11-10,56.40,57.47,56.35,57.24,1579200,53.72
2009-11-09,57.18,57.65,56.70,57.36,1568400,53.83
2009-11-06,56.13,56.69,55.53,56.50,993800,53.02
2009-11-05,54.72,56.20,54.72,56.04,1568500,52.59
2009-11-04,56.04,56.36,54.58,54.69,2090500,51.33
2009-11-03,55.50,56.23,55.19,56.01,1631000,52.57
2009-11-02,55.19,56.00,54.76,55.43,1547100,52.02
2009-10-30,56.17,56.62,54.88,55.11,1703600,51.72
2009-10-29,56.00,56.87,56.00,56.50,1597700,53.02
2009-10-28,57.12,57.12,55.96,56.05,1094500,52.60
2009-10-27,57.00,57.43,56.25,56.49,1564800,53.02
2009-10-26,57.28,58.13,56.59,56.82,1326000,53.33
2009-10-23,58.58,58.77,56.67,57.24,2624300,53.72
2009-10-22,58.65,59.33,57.96,58.99,2435000,55.36
2009-10-21,60.09,60.91,57.90,58.73,4667100,55.12
2009-10-20,60.75,61.69,60.46,61.47,2079300,57.69
2009-10-19,61.22,61.47,60.77,61.20,1510700,57.44
2009-10-16,60.59,61.05,60.19,60.92,1622000,57.17
2009-10-15,60.65,61.22,60.19,60.98,1613400,57.23
2009-10-14,59.74,60.72,59.19,60.72,1619500,56.99
2009-10-13,58.58,59.28,58.50,59.12,1166800,55.48
2009-10-12,58.50,59.06,58.31,58.77,770100,55.16
2009-10-09,57.24,58.48,57.24,58.41,1251900,54.82
2009-10-08,58.00,58.25,57.45,57.78,1171500,54.23
2009-10-07,56.75,57.86,56.31,57.51,1526000,53.97
2009-10-06,57.35,58.41,57.35,57.66,1470200,54.11
2009-10-05,56.35,57.65,56.01,57.65,1408000,54.10
2009-10-02,56.18,56.66,55.77,56.27,1143900,52.81
2009-10-01,57.64,58.08,56.14,56.14,1265500,52.69
2009-09-30,57.74,58.39,56.29,57.75,1375000,54.20
2009-09-29,58.15,58.48,57.21,57.50,898800,53.96
2009-09-28,58.02,58.73,57.84,58.27,656400,54.69
2009-09-25,58.21,58.61,57.32,57.57,965200,54.03
2009-09-24,58.41,58.50,57.36,57.96,1306900,54.40
2009-09-23,58.50,59.46,58.21,58.28,1271300,54.70
2009-09-22,58.78,59.42,58.44,59.10,1038600,55.47
2009-09-21,58.49,59.05,58.10,58.62,1236500,55.01
2009-09-18,59.12,59.21,58.15,58.69,1453100,55.08
2009-09-17,58.74,59.63,58.29,58.69,1273500,55.08
2009-09-16,58.68,58.91,57.65,58.83,1478600,55.21
2009-09-15,58.58,58.76,57.92,58.41,1239100,54.82
2009-09-14,58.43,58.92,58.05,58.60,1131600,55.00
2009-09-11,57.91,58.91,57.69,58.72,1856700,55.11
2009-09-10,56.48,57.50,56.32,57.40,1322400,53.87
2009-09-09,56.84,57.24,56.17,56.62,1438700,53.14
2009-09-08,57.23,57.58,56.68,56.93,917900,53.43
2009-09-04,56.07,57.11,55.82,57.09,1065900,53.58
2009-09-03,55.41,56.05,55.00,56.05,924400,52.60
2009-09-02,54.76,55.77,54.76,55.39,1069600,51.98
2009-09-01,55.98,57.21,55.18,55.37,1284200,51.74
2009-08-31,56.59,56.84,55.62,56.26,1130600,52.57
2009-08-28,57.26,57.85,56.36,56.76,1130000,53.04
2009-08-27,57.24,57.63,56.25,57.05,1190900,53.31
2009-08-26,57.05,58.15,57.05,57.35,1293900,53.59
2009-08-25,57.74,58.34,57.16,57.60,1302600,53.82
2009-08-24,57.50,58.00,57.00,57.47,1363200,53.70
2009-08-21,56.39,57.80,55.26,57.57,2411300,53.79
2009-08-20,55.49,55.93,55.00,55.73,1558200,52.08
2009-08-19,54.07,55.76,54.07,55.60,1483700,51.95
2009-08-18,53.91,55.06,53.91,54.88,1499700,51.28
2009-08-17,54.26,54.70,53.33,53.78,1714100,50.25
2009-08-14,55.27,55.51,54.19,54.77,1138800,51.18
2009-08-13,55.92,56.14,55.13,55.48,1184100,51.84
2009-08-12,54.61,56.02,54.06,55.52,1506000,51.88
2009-08-11,54.15,54.95,53.78,54.66,1265100,51.08
2009-08-10,54.45,54.76,53.71,54.37,1106700,50.80
2009-08-07,53.82,54.98,53.54,54.77,1369700,51.18
2009-08-06,53.48,53.48,52.82,53.00,1471400,49.52
2009-08-05,54.55,54.56,53.00,53.54,1395200,50.03
2009-08-04,54.43,54.90,54.05,54.54,1569100,50.96
2009-08-03,54.52,54.95,54.01,54.79,1572700,51.20
2009-07-31,54.49,55.00,53.93,54.53,1409000,50.95
2009-07-30,54.11,54.89,53.67,54.43,1798500,50.86
2009-07-29,53.35,53.85,52.87,53.32,1407400,49.82
2009-07-28,53.26,53.82,53.01,53.65,1660100,50.13
2009-07-27,52.35,53.83,52.06,53.83,2153300,50.30
2009-07-24,54.15,54.30,53.31,53.97,1758300,50.43
2009-07-23,53.29,54.85,52.71,54.59,1933600,51.01
2009-07-22,53.69,55.00,53.03,53.33,3550700,49.83
2009-07-21,53.34,53.43,51.69,52.41,2056700,48.97
2009-07-20,52.59,53.21,52.17,53.05,1469500,49.57
2009-07-17,52.79,52.79,51.80,52.60,1303300,49.15
2009-07-16,50.34,52.86,50.34,52.54,1834900,49.09
2009-07-15,51.67,51.97,50.79,51.12,2361100,47.77
2009-07-14,50.65,51.26,50.20,51.17,1313600,47.81
2009-07-13,50.47,50.77,49.39,50.58,2044000,47.26
2009-07-10,49.89,51.17,49.89,50.86,920800,47.52
2009-07-09,50.22,50.54,49.67,50.17,947600,46.88
2009-07-08,50.30,50.38,49.06,50.10,1585700,46.81
2009-07-07,51.32,51.38,49.93,50.09,1495500,46.81
2009-07-06,50.88,51.62,50.50,51.55,1167000,48.17
2009-07-02,52.45,52.62,50.80,50.80,1191400,47.47
2009-07-01,52.62,53.21,52.23,52.71,1392200,49.25
2009-06-30,52.59,53.00,51.64,52.15,1399800,48.73
2009-06-29,51.86,53.15,51.14,52.63,1368400,49.18
2009-06-26,51.65,52.10,51.19,51.86,1195000,48.46
2009-06-25,49.90,52.13,49.69,51.99,1358700,48.58
2009-06-24,50.04,51.45,49.85,50.17,1576400,46.88
2009-06-23,49.40,50.34,49.18,49.73,1089300,46.47
2009-06-22,50.04,50.12,48.74,49.40,2291000,46.16
2009-06-19,50.87,51.07,49.99,50.46,1609300,47.15
2009-06-18,49.74,50.58,49.05,50.18,988100,46.89
2009-06-17,49.80,50.09,49.10,49.74,1923800,46.48
2009-06-16,51.45,51.78,49.66,49.76,1545100,46.50
2009-06-15,52.00,52.18,50.52,51.06,1270400,47.71
2009-06-12,53.46,53.58,51.65,52.42,1865200,48.98
2009-06-11,53.62,54.38,53.20,53.82,1159500,50.29
2009-06-10,54.15,54.20,52.80,53.89,1606100,50.36
2009-06-09,53.00,54.02,52.87,53.80,1574700,50.27
2009-06-08,51.95,53.38,51.64,52.90,1815200,49.43
2009-06-05,53.02,53.11,51.83,52.50,1530200,49.06
2009-06-04,52.53,52.53,51.62,52.19,1569400,48.77
2009-06-03,53.09,53.40,52.12,52.56,1639100,49.11
2009-06-02,52.56,54.43,52.56,53.52,1862900,49.79
2009-06-01,51.65,53.50,51.43,52.98,2106800,49.28
2009-05-29,50.68,51.42,49.97,50.82,4109300,47.27
2009-05-28,50.08,50.34,49.00,50.08,2294700,46.59
2009-05-27,50.58,51.01,49.15,49.23,2545100,45.80
2009-05-26,47.90,50.95,47.80,50.95,2476900,47.40
2009-05-22,48.93,49.40,48.22,48.59,1591300,45.20
2009-05-21,51.09,51.09,48.22,48.75,2677800,45.35
2009-05-20,51.54,52.56,50.69,50.88,2217000,47.33
2009-05-19,51.67,52.34,51.44,51.54,1439700,47.94
2009-05-18,50.86,52.02,50.56,52.02,1639100,48.39
2009-05-15,50.62,52.10,50.25,50.73,2288700,47.19
2009-05-14,51.00,51.53,50.18,50.82,1627200,47.27
2009-05-13,51.35,51.62,49.98,50.26,1824100,46.75
2009-05-12,52.61,53.23,51.10,51.95,2092200,48.33
2009-05-11,51.94,52.58,50.56,52.22,1756900,48.58
2009-05-08,54.35,54.38,52.11,52.51,2085000,48.85
2009-05-07,55.15,55.25,52.79,53.37,2041100,49.65
2009-05-06,54.88,55.25,53.71,55.07,1600000,51.23
