Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,49.29,49.29,48.45,48.49,5107800,15.16
2009-12-30,49.06,49.27,48.74,49.12,4065000,15.35
2009-12-29,49.47,49.80,49.11,49.16,4263600,15.37
2009-12-28,50.16,50.38,49.11,49.58,6287700,15.50
2009-12-24,49.99,50.80,49.95,50.40,2804700,15.75
2009-12-23,49.47,49.99,49.11,49.95,3534000,15.61
2009-12-22,49.35,49.62,48.81,49.48,5198400,15.47
2009-12-21,48.93,49.68,48.90,49.17,5547900,15.37
2009-12-18,48.97,49.04,48.10,48.47,9158400,15.15
2009-12-17,49.19,49.35,48.00,48.46,10386900,15.15
2009-12-16,49.92,50.09,49.30,49.82,8411100,15.57
2009-12-15,48.87,49.99,48.78,49.60,7459500,15.50
2009-12-14,49.44,49.65,49.11,49.36,5657100,15.43
2009-12-11,48.99,49.69,48.87,48.94,9397200,15.30
2009-12-10,47.96,48.99,47.79,48.77,10218000,15.24
2009-12-09,47.50,47.61,46.92,47.45,7383300,14.83
2009-12-08,48.92,49.08,47.13,47.52,16414800,14.85
2009-12-07,50.14,50.15,49.04,49.09,11233200,15.34
2009-12-04,48.76,50.17,48.76,50.13,16911300,15.67
2009-12-03,48.96,49.08,48.15,48.25,7380000,15.08
2009-12-02,49.02,49.32,48.39,48.85,5334000,15.27
2009-12-01,47.87,49.37,47.85,48.82,11473200,15.26
2009-11-30,47.39,47.89,47.10,47.48,7006800,14.84
2009-11-27,46.86,47.85,46.50,47.53,5855700,14.86
2009-11-25,48.11,48.53,47.63,48.20,5685000,15.07
2009-11-24,48.41,48.68,47.76,48.00,12168300,14.93
2009-11-23,49.12,49.80,48.37,48.68,12955800,15.15
2009-11-20,48.29,48.75,48.15,48.62,12861000,15.13
2009-11-19,49.72,49.80,48.74,49.14,15057900,15.29
2009-11-18,49.87,50.01,49.50,50.00,8774700,15.56
2009-11-17,49.52,50.15,49.31,50.02,12694800,15.56
2009-11-16,49.21,49.82,49.15,49.60,15678300,15.43
2009-11-13,48.49,49.10,48.49,48.95,14032800,15.23
2009-11-12,48.59,49.05,48.06,48.30,13817700,15.03
2009-11-11,48.43,48.58,47.89,48.22,9238200,15.00
2009-11-10,48.09,48.52,47.48,47.75,11538900,14.86
2009-11-09,48.31,48.76,47.81,48.46,17403900,15.08
2009-11-06,46.37,48.14,46.37,47.69,14778000,14.84
2009-11-05,45.72,46.97,45.66,46.89,12514500,14.59
2009-11-04,46.13,46.36,45.28,45.47,19008600,14.15
2009-11-03,45.72,46.10,45.10,45.97,42224400,14.30
2009-11-02,42.29,43.69,42.20,42.84,17064600,13.33
2009-10-30,43.12,43.71,41.81,42.18,16042800,13.12
2009-10-29,42.54,43.50,42.33,43.20,12913500,13.44
2009-10-28,42.63,43.75,41.88,41.96,18325500,13.05
2009-10-27,43.50,43.94,42.19,42.56,17841900,13.24
2009-10-26,43.69,44.72,43.41,43.53,15107400,13.54
2009-10-23,45.37,45.42,43.02,43.32,28636200,13.48
2009-10-22,45.59,46.08,44.55,45.97,15828900,14.30
2009-10-21,46.31,47.16,45.32,45.46,14546400,14.14
2009-10-20,46.79,46.87,46.14,46.46,12925500,14.45
2009-10-19,46.91,47.01,46.52,46.84,12295200,14.57
2009-10-16,46.19,46.84,45.57,46.77,14672100,14.55
2009-10-15,46.69,47.25,46.00,46.65,12748500,14.51
2009-10-14,46.37,47.25,45.12,47.06,30583200,14.64
2009-10-13,45.08,45.15,43.85,44.28,14572500,13.78
2009-10-12,44.83,45.21,44.54,44.91,11507400,13.97
2009-10-09,44.30,44.46,43.82,44.46,16120800,13.83
2009-10-08,43.49,44.48,43.35,44.13,16188600,13.73
2009-10-07,42.39,42.92,42.06,42.80,10719000,13.32
2009-10-06,42.98,43.58,42.21,42.72,14248800,13.29
2009-10-05,41.96,42.74,41.43,42.60,15221100,13.25
2009-10-02,41.22,42.20,40.67,41.65,12241800,12.96
2009-10-01,41.92,42.42,41.60,41.77,18064500,13.00
2009-09-30,43.17,43.47,41.56,41.86,21518700,13.02
2009-09-29,43.95,44.00,42.88,43.07,10884300,13.40
2009-09-28,43.26,44.20,42.95,43.76,12965100,13.61
2009-09-25,43.88,44.18,42.50,42.82,15552000,13.32
2009-09-24,44.89,45.35,43.41,44.21,14697600,13.75
2009-09-23,46.05,46.25,44.62,44.67,14983500,13.90
2009-09-22,46.26,46.46,45.61,45.85,13639200,14.26
2009-09-21,44.85,46.35,44.54,45.46,17714700,14.14
2009-09-18,45.36,45.79,44.70,45.26,15202800,14.08
2009-09-17,45.56,45.81,44.67,45.12,21732300,14.04
2009-09-16,47.35,47.35,44.82,45.81,26121900,14.25
2009-09-15,46.35,47.11,45.43,46.80,19774500,14.56
2009-09-14,46.47,47.32,46.19,47.08,15783600,14.65
2009-09-11,48.66,48.85,46.21,46.93,26272800,14.60
2009-09-10,46.99,48.34,46.95,48.17,16504500,14.99
2009-09-09,45.93,47.58,45.55,46.93,22253400,14.60
2009-09-08,45.99,46.20,45.39,45.61,16747800,14.19
2009-09-04,44.41,45.70,43.78,45.29,12947100,14.09
2009-09-03,42.47,44.46,41.98,44.42,18885300,13.82
2009-09-02,41.76,42.25,41.10,41.73,11213100,12.98
2009-09-01,42.32,43.36,41.76,41.94,17427300,13.05
2009-08-31,43.28,43.29,42.15,42.50,13374000,13.22
2009-08-28,43.91,44.20,42.94,43.73,11314200,13.61
2009-08-27,42.96,43.73,41.72,43.46,17719800,13.52
2009-08-26,44.44,44.47,42.85,43.05,22288800,13.33
2009-08-25,45.04,45.77,44.40,44.44,14856300,13.76
2009-08-24,45.24,45.80,44.18,44.50,18155400,13.77
2009-08-21,44.59,45.34,44.13,45.06,12080400,13.95
2009-08-20,43.38,44.44,43.16,44.22,13247100,13.69
2009-08-19,42.91,43.89,42.50,43.17,10980600,13.36
2009-08-18,42.99,43.67,42.64,43.43,14153400,13.44
2009-08-17,43.16,43.45,42.06,42.87,15855900,13.27
2009-08-14,44.65,44.94,43.58,44.58,12380400,13.80
2009-08-13,44.47,44.88,43.71,44.84,14514600,13.88
2009-08-12,44.15,44.80,43.71,44.23,19206900,13.69
2009-08-11,42.94,44.72,42.51,44.17,17153700,13.67
2009-08-10,44.31,44.49,43.19,43.36,17263800,13.42
2009-08-07,42.15,44.91,41.80,44.33,28506000,13.72
2009-08-06,41.39,41.56,40.88,41.08,12426000,12.72
2009-08-05,42.19,42.42,40.76,41.28,11744100,12.78
2009-08-04,41.68,42.23,41.28,41.95,15051600,12.98
2009-08-03,40.86,42.38,40.72,41.98,21935100,12.99
2009-07-31,40.32,40.56,39.81,40.12,13053300,12.42
2009-07-30,40.54,41.50,40.32,40.47,15645600,12.53
2009-07-29,38.94,39.81,38.21,39.77,14423700,12.31
2009-07-28,40.32,40.85,39.15,39.69,16438200,12.29
2009-07-27,40.73,41.17,39.95,40.92,12827100,12.67
2009-07-24,40.56,40.97,39.77,40.72,14292000,12.60
2009-07-23,39.20,41.27,39.00,40.84,21600600,12.64
2009-07-22,38.45,40.15,38.01,39.49,20579400,12.22
2009-07-21,39.63,40.00,38.30,38.98,20145900,12.07
2009-07-20,38.05,39.45,38.01,38.94,22815300,12.05
2009-07-17,37.25,38.03,36.80,37.87,17348700,11.72
2009-07-16,36.69,37.30,36.29,37.08,19760700,11.48
2009-07-15,35.82,37.14,35.54,36.95,29867100,11.44
2009-07-14,34.01,34.97,33.77,34.80,29942400,10.77
2009-07-13,32.46,32.56,30.93,32.54,21356100,10.07
2009-07-10,31.74,32.19,31.37,32.03,11200500,9.91
2009-07-09,31.97,32.51,31.70,31.84,13833000,9.86
2009-07-08,31.33,31.80,30.25,31.44,21764100,9.73
2009-07-07,32.31,32.60,31.17,31.25,20022000,9.67
2009-07-06,32.38,32.71,31.95,32.54,19278300,10.07
2009-07-02,33.95,33.99,33.10,33.22,17765700,10.28
2009-07-01,34.77,35.91,34.45,34.63,16212600,10.72
