Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,75.87,75.92,75.19,75.20,1303800,37.39
2009-12-30,75.36,76.17,75.36,75.78,1718200,37.68
2009-12-29,75.60,76.14,75.47,75.80,1846400,37.69
2009-12-28,76.17,76.20,75.43,75.80,1592200,37.67
2009-12-24,76.22,76.42,75.34,76.10,699800,37.82
2009-12-23,75.97,76.00,75.11,75.81,2607200,37.67
2009-12-22,76.26,76.56,75.51,75.64,2405800,37.59
2009-12-21,75.27,76.13,75.27,76.07,4977800,37.80
2009-12-18,74.50,75.27,74.39,75.16,6103200,37.35
2009-12-17,73.23,74.88,72.28,74.45,8227600,37.00
2009-12-16,72.88,73.61,72.46,72.86,3446400,36.21
2009-12-15,72.53,73.36,72.20,72.77,2998200,36.16
2009-12-14,72.42,73.11,72.18,72.89,3028000,36.22
2009-12-11,72.33,72.60,71.88,72.08,2322000,35.82
2009-12-10,71.69,72.51,71.31,72.14,3499400,35.85
2009-12-09,71.42,72.42,71.06,72.28,7201000,35.92
2009-12-08,71.88,71.88,70.76,71.35,3934600,35.45
2009-12-07,72.53,73.13,72.13,72.42,3069400,35.99
2009-12-04,72.09,73.01,71.07,72.43,4455400,35.99
2009-12-03,71.71,72.65,71.38,71.48,2341400,35.52
2009-12-02,72.05,72.74,71.70,71.86,3134800,35.71
2009-12-01,71.34,72.29,71.21,71.91,3684000,35.73
2009-11-30,70.98,71.29,70.28,70.92,4874000,35.24
2009-11-27,70.50,71.80,70.02,71.17,1953400,35.37
2009-11-25,71.61,72.11,71.45,71.98,1669800,35.77
2009-11-24,72.68,72.77,71.45,71.83,4141200,35.69
2009-11-23,72.14,72.83,72.13,72.53,2478200,36.04
2009-11-20,71.54,71.84,71.16,71.68,3303600,35.62
2009-11-19,71.65,72.21,70.97,71.67,2740000,35.61
2009-11-18,73.16,73.35,72.06,72.29,3276600,35.92
2009-11-17,72.96,73.36,72.63,73.36,3840400,36.45
2009-11-16,73.24,73.81,72.69,73.08,3182800,36.31
2009-11-13,72.30,72.96,71.83,72.59,2965000,36.07
2009-11-12,72.55,73.22,72.12,72.28,2444400,35.92
2009-11-11,72.95,72.95,71.90,72.43,2984400,35.99
2009-11-10,72.66,73.37,72.14,72.69,2928000,36.12
2009-11-09,72.17,72.89,72.06,72.55,3470000,36.05
2009-11-06,71.00,72.05,71.00,71.96,3999200,35.76
2009-11-05,70.59,71.87,70.34,71.52,3986000,35.54
2009-11-04,69.24,70.80,69.08,70.00,6028000,34.78
2009-11-03,68.47,68.99,68.02,68.98,4445000,34.28
2009-11-02,68.42,69.42,67.59,68.55,5558800,34.06
2009-10-30,68.86,69.37,67.85,68.23,6994200,33.90
2009-10-29,68.45,69.34,68.10,69.17,5831200,34.37
2009-10-28,68.71,68.81,67.55,67.80,5183800,33.69
2009-10-27,68.97,69.60,68.60,68.82,5953600,34.20
2009-10-26,70.05,70.99,68.79,69.03,6056200,34.30
2009-10-23,71.11,71.23,69.99,70.00,4493200,34.78
2009-10-22,72.49,72.78,70.36,71.13,7248800,35.35
2009-10-21,70.37,71.60,70.31,70.57,4297400,35.07
2009-10-20,70.04,70.77,69.74,70.63,3575200,35.10
2009-10-19,69.25,70.25,68.96,69.98,2991000,34.77
2009-10-16,68.71,69.60,68.45,69.25,3447600,34.41
2009-10-15,69.40,69.85,69.26,69.80,2944800,34.68
2009-10-14,68.99,69.67,68.45,69.65,3880800,34.61
2009-10-13,67.59,68.48,67.31,68.13,4637600,33.85
2009-10-12,68.18,68.34,67.30,67.83,3310000,33.71
2009-10-09,66.51,68.00,66.50,67.84,4397800,33.71
2009-10-08,65.99,66.83,65.97,66.56,3751200,33.07
2009-10-07,65.40,65.71,65.00,65.34,3548000,32.47
2009-10-06,65.55,66.50,65.34,65.52,4254600,32.56
2009-10-05,64.84,65.50,64.40,65.04,4664800,32.32
2009-10-02,64.89,65.28,64.39,64.74,4690000,32.17
2009-10-01,66.94,67.00,65.22,65.29,5507600,32.44
2009-09-30,67.52,67.76,66.08,67.32,5141600,33.45
2009-09-29,67.35,67.64,66.77,67.38,4035600,33.48
2009-09-28,66.48,67.53,66.14,67.11,2595600,33.35
2009-09-25,66.44,66.89,65.83,66.11,5409000,32.85
2009-09-24,67.91,68.12,66.52,66.69,4660200,33.14
2009-09-23,68.33,68.71,67.54,67.76,3644800,33.67
2009-09-22,67.90,68.58,67.71,68.33,4035200,33.94
2009-09-21,67.51,68.16,67.43,67.66,3117000,33.61
2009-09-18,68.81,69.00,68.11,68.15,5672600,33.85
2009-09-17,68.34,68.71,67.96,68.61,3921800,34.08
2009-09-16,67.82,68.39,67.48,68.34,3923800,33.94
2009-09-15,68.14,68.14,67.18,67.93,4368800,33.74
2009-09-14,66.80,68.16,66.37,67.94,5859400,33.75
2009-09-11,67.41,67.82,66.94,67.44,4192400,33.50
2009-09-10,66.61,67.40,66.19,67.40,4996800,33.48
2009-09-09,66.26,66.62,65.68,66.57,6731800,33.07
2009-09-08,66.37,66.60,64.71,65.87,7430200,32.72
2009-09-04,64.23,66.12,64.23,65.76,8933400,32.66
2009-09-03,63.50,64.64,63.11,64.15,10960400,31.86
2009-09-02,61.59,62.84,61.26,62.13,10112600,30.86
2009-09-01,60.34,61.67,60.20,60.42,5177800,30.01
2009-08-31,61.22,61.40,60.14,60.71,5675200,30.15
2009-08-28,63.05,63.05,61.36,61.59,5376600,30.59
2009-08-27,62.64,62.82,61.65,62.45,3371000,31.02
2009-08-26,62.50,62.75,61.83,62.38,3288400,30.98
