Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,32.27,32.75,32.22,32.25,19651700,30.90
2009-12-30,32.31,32.38,32.10,32.28,6692500,30.93
2009-12-29,32.05,32.48,32.01,32.38,6242100,31.02
2009-12-28,32.24,32.36,31.80,31.91,7981600,30.57
2009-12-24,32.02,32.34,31.94,32.29,3557400,30.94
2009-12-23,32.31,32.47,32.04,32.43,6567900,31.07
2009-12-22,32.31,32.50,32.22,32.31,9162000,30.96
2009-12-21,32.05,32.49,31.99,32.40,7702900,31.04
2009-12-18,32.08,32.17,31.58,31.95,15229700,30.61
2009-12-17,32.17,32.29,31.65,31.93,14592500,30.59
2009-12-16,32.20,32.59,32.20,32.43,11940200,31.07
2009-12-15,31.70,32.33,31.61,32.18,15183800,30.83
2009-12-14,31.92,32.08,31.81,31.83,9230700,30.50
2009-12-11,31.49,31.83,31.37,31.70,15481000,30.37
2009-12-10,30.85,31.53,30.75,31.30,13609600,29.99
2009-12-09,30.93,30.93,30.52,30.70,9267900,29.08
2009-12-08,30.87,30.98,30.45,30.68,8703000,29.06
2009-12-07,30.93,31.24,30.82,31.00,12451500,29.36
2009-12-04,30.68,31.10,30.42,30.84,14406400,29.21
2009-12-03,30.80,30.97,30.30,30.33,9511700,28.73
2009-12-02,30.56,30.87,30.50,30.79,11386300,29.16
2009-12-01,30.44,30.77,30.44,30.73,9318200,29.11
2009-11-30,30.23,30.37,29.95,30.22,10260500,28.62
2009-11-27,30.07,30.50,29.80,30.35,5688000,28.75
2009-11-25,30.24,30.75,30.00,30.61,10274900,28.99
2009-11-24,30.46,30.53,30.10,30.23,7829700,28.63
2009-11-23,30.31,30.76,30.31,30.48,8046300,28.87
2009-11-20,30.07,30.25,29.85,30.01,9205600,28.43
2009-11-19,30.26,30.40,29.92,30.21,8148500,28.62
2009-11-18,30.68,30.78,30.30,30.67,7843500,29.05
2009-11-17,30.27,30.93,30.25,30.87,10173600,29.24
2009-11-16,30.12,30.88,30.03,30.70,12891200,29.08
2009-11-13,29.75,30.53,29.71,30.44,29084900,28.83
2009-11-12,29.40,29.46,28.90,29.05,18282100,27.52
2009-11-11,29.21,29.47,29.11,29.29,11551800,27.74
2009-11-10,29.01,29.30,28.95,29.12,16938200,27.58
2009-11-09,28.67,29.07,28.23,29.00,12643300,27.47
2009-11-06,28.79,29.00,28.34,28.56,11862600,27.05
2009-11-05,28.23,29.10,28.23,29.00,12129800,27.47
2009-11-04,28.12,28.73,27.90,28.03,12832900,26.55
2009-11-03,27.26,27.73,27.10,27.62,12044500,26.16
2009-11-02,27.38,27.86,27.01,27.41,13301400,25.96
2009-10-30,28.14,28.31,27.28,27.37,12957000,25.93
2009-10-29,27.46,28.16,27.18,28.14,13171500,26.65
2009-10-28,28.07,28.16,27.23,27.24,14359600,25.80
2009-10-27,28.63,28.93,28.01,28.17,11176400,26.68
2009-10-26,28.87,29.47,28.42,28.65,13255900,27.14
2009-10-23,29.36,29.47,28.69,28.89,9778300,27.36
2009-10-22,29.07,29.57,28.85,29.44,7547900,27.89
2009-10-21,29.33,29.96,29.20,29.23,9611300,27.69
2009-10-20,29.73,29.73,28.99,29.35,10377800,27.80
2009-10-19,29.40,29.98,29.20,29.87,12627300,28.29
2009-10-16,29.02,29.52,28.81,29.40,12048800,27.85
2009-10-15,28.73,29.25,28.70,29.23,8734100,27.69
2009-10-14,28.69,29.00,28.48,28.91,9541600,27.38
2009-10-13,28.60,28.79,28.36,28.41,9426400,26.91
2009-10-12,28.71,29.15,28.49,28.64,6960000,27.13
2009-10-09,28.67,28.76,28.45,28.64,7091600,27.13
2009-10-08,28.27,28.99,28.25,28.67,10366700,27.16
2009-10-07,28.29,28.45,27.96,28.17,6861400,26.68
2009-10-06,27.83,28.33,27.67,28.18,11016400,26.69
2009-10-05,27.16,27.77,27.00,27.67,10263300,26.21
2009-10-02,27.05,27.27,26.84,27.21,14635300,25.77
2009-10-01,27.76,27.76,27.00,27.36,16124900,25.92
2009-09-30,27.93,28.00,27.25,27.46,18600700,26.01
2009-09-29,28.26,28.44,27.94,27.94,8057800,26.46
2009-09-28,27.77,28.38,27.72,28.23,8633100,26.74
2009-09-25,28.00,28.02,27.53,27.62,13628000,26.16
2009-09-24,28.13,28.32,27.65,27.97,11950300,26.49
2009-09-23,28.49,28.60,28.04,28.08,11057300,26.60
2009-09-22,28.13,28.40,28.01,28.38,9578900,26.88
2009-09-21,28.12,28.18,27.66,28.00,10935700,26.52
2009-09-18,28.57,28.68,28.25,28.44,14104800,26.94
2009-09-17,28.31,28.53,28.14,28.46,13941400,26.96
2009-09-16,28.31,28.46,28.10,28.37,10020300,26.87
2009-09-15,28.00,28.37,27.83,28.29,10712200,26.80
2009-09-14,28.19,28.29,27.79,28.08,12298300,26.60
2009-09-11,28.35,28.42,28.01,28.42,14221600,26.92
2009-09-10,26.96,28.37,26.96,28.36,21856400,26.86
2009-09-09,26.29,26.99,26.15,26.95,19096600,25.53
2009-09-08,26.31,26.36,26.09,26.28,12399400,24.89
2009-09-04,25.45,26.03,25.35,25.90,11638500,24.53
2009-09-03,25.59,25.63,25.25,25.44,11087600,24.10
2009-09-02,25.63,25.65,25.26,25.40,14833200,24.06
2009-09-01,25.89,26.67,25.59,25.68,26083200,24.32
2009-08-31,26.49,26.97,25.75,26.04,29465600,24.67
2009-08-28,27.08,27.08,26.59,26.84,9270100,25.42
2009-08-27,27.10,27.11,26.51,27.01,9044600,25.58
2009-08-26,26.72,27.20,26.59,27.00,10588200,25.57
2009-08-25,26.98,27.30,26.80,26.87,11427900,25.45
2009-08-24,26.99,27.12,26.73,26.80,9356400,25.39
2009-08-21,26.05,26.86,25.87,26.79,13723300,25.38
2009-08-20,25.53,25.99,25.47,25.89,10030200,24.52
2009-08-19,25.00,25.60,25.00,25.48,11145500,24.13
2009-08-18,25.23,25.28,24.95,25.20,9701200,23.87
2009-08-17,25.38,25.54,24.89,25.09,9396100,23.77
2009-08-14,26.23,26.47,25.54,25.86,8901400,24.49
2009-08-13,26.28,26.35,25.71,26.26,10621800,24.87
2009-08-12,25.91,26.47,25.75,26.22,9024000,24.84
2009-08-11,26.33,26.41,25.77,25.90,8745200,24.53
2009-08-10,26.42,26.54,26.14,26.44,8199100,25.04
2009-08-07,25.63,26.83,25.60,26.69,14579100,25.28
2009-08-06,25.35,25.62,25.07,25.37,9145200,24.03
2009-08-05,25.64,25.70,24.99,25.27,12043000,23.94
2009-08-04,25.35,25.66,25.24,25.64,10073700,24.29
2009-08-03,25.52,25.61,25.36,25.52,18161500,24.17
2009-07-31,25.39,25.64,25.04,25.12,25054700,23.79
2009-07-30,26.38,26.70,26.19,26.22,17084100,24.84
2009-07-29,26.18,26.64,25.78,25.89,11834300,24.52
2009-07-28,26.57,26.59,26.09,26.37,10791500,24.98
2009-07-27,26.55,26.68,26.22,26.45,9796800,25.05
2009-07-24,26.63,26.82,26.17,26.58,8818000,25.18
2009-07-23,25.45,26.84,25.31,26.80,17220100,25.39
2009-07-22,25.09,25.60,24.99,25.38,8490700,24.04
2009-07-21,25.39,25.54,24.96,25.20,13081600,23.87
2009-07-20,24.98,25.43,24.77,25.37,13801500,24.03
2009-07-17,24.81,24.83,24.43,24.51,10516600,23.22
2009-07-16,24.54,24.99,24.36,24.79,15463500,23.48
2009-07-15,23.37,24.13,23.37,24.08,12112800,22.81
2009-07-14,22.72,23.21,22.66,23.11,10361500,21.89
2009-07-13,22.49,22.78,22.07,22.70,8433300,21.50
2009-07-10,22.29,22.72,22.23,22.41,11076000,21.23
2009-07-09,22.38,22.64,22.10,22.53,9779600,21.34
2009-07-08,22.68,22.84,22.05,22.24,14542800,21.07
2009-07-07,23.11,23.22,22.50,22.53,15263700,21.34
2009-07-06,22.68,23.14,22.60,23.09,14452200,21.87
2009-07-02,23.18,23.45,22.57,22.84,15561200,21.63
2009-07-01,23.50,23.93,23.39,23.45,8102100,22.21
2009-06-30,23.70,23.75,23.04,23.33,10805200,22.10
2009-06-29,23.50,23.84,23.31,23.66,7735600,22.41
2009-06-26,23.42,23.56,23.15,23.43,12086600,22.19
2009-06-25,22.86,23.73,22.78,23.55,11652800,22.31
2009-06-24,23.08,23.48,22.78,22.90,10006700,21.69
2009-06-23,22.72,23.07,22.55,22.88,9802300,21.67
2009-06-22,23.19,23.33,22.63,22.66,12356600,21.46
2009-06-19,23.89,24.12,23.38,23.53,13805600,22.29
2009-06-18,23.76,23.97,23.51,23.72,9313800,22.47
2009-06-17,23.43,23.95,23.36,23.68,8615100,22.43
2009-06-16,24.31,24.43,23.37,23.49,13346200,22.25
2009-06-15,24.78,24.78,24.04,24.25,7871500,22.97
2009-06-12,25.03,25.39,24.52,25.06,7332400,23.74
2009-06-11,25.15,25.64,25.10,25.23,9577300,23.90
2009-06-10,25.47,25.52,24.82,25.10,11791200,23.77
2009-06-09,25.18,25.49,25.08,25.33,8534800,23.99
2009-06-08,24.94,25.55,24.63,25.33,10700200,23.99
2009-06-05,25.48,25.55,24.85,24.95,10980400,23.63
2009-06-04,25.01,25.22,24.81,25.14,11521800,23.81
2009-06-03,24.86,25.16,24.75,25.08,10892000,23.76
2009-06-02,25.09,25.46,24.88,25.13,9792900,23.80
2009-06-01,24.83,25.26,24.75,25.03,11990000,23.71
2009-05-29,24.14,24.25,23.50,24.22,11215600,22.94
2009-05-28,24.07,24.40,23.49,23.99,12314700,22.72
2009-05-27,24.44,24.72,23.77,23.87,14981300,22.61
2009-05-26,23.47,24.61,23.38,24.54,16299800,23.24
2009-05-22,23.25,24.00,23.05,23.70,11099100,22.45
2009-05-21,23.08,23.30,22.93,23.23,12632300,22.00
2009-05-20,24.00,24.28,23.41,23.55,10524200,22.31
2009-05-19,24.25,24.40,23.75,23.82,11906400,22.56
2009-05-18,23.62,24.26,23.55,24.21,9355300,22.93
2009-05-15,23.45,24.22,23.27,23.41,20991800,22.17
2009-05-14,23.65,23.97,23.27,23.48,11893400,22.24
2009-05-13,23.89,23.99,23.43,23.60,14055900,22.35
2009-05-12,24.90,24.90,23.90,24.32,15536900,23.04
2009-05-11,25.11,25.17,24.68,24.71,14656600,23.41
2009-05-08,25.70,26.00,25.00,25.46,18172900,24.12
2009-05-07,25.80,26.17,24.98,25.33,23981600,23.99
2009-05-06,24.95,26.29,24.66,25.87,49777100,24.50
2009-05-05,22.69,23.34,22.66,23.15,16806900,21.93
2009-05-04,22.01,22.90,21.84,22.86,17603700,21.65
2009-05-01,21.76,21.98,21.12,21.94,15718000,20.78
2009-04-30,21.28,22.57,21.15,21.90,36593300,20.74
2009-04-29,19.68,21.43,19.47,21.01,28270400,19.90
2009-04-28,19.60,19.79,19.31,19.51,23172500,18.48
2009-04-27,19.62,20.15,19.60,19.74,17855500,18.70
2009-04-24,19.84,20.46,19.56,20.26,16599400,19.19
2009-04-23,19.42,19.73,19.16,19.63,14190400,18.59
2009-04-22,19.30,19.74,19.00,19.40,15812000,18.38
2009-04-21,19.22,19.51,19.15,19.47,11611000,18.44
2009-04-20,20.00,20.01,19.23,19.41,14272900,18.39
2009-04-17,20.57,20.70,20.08,20.38,14911100,19.30
2009-04-16,19.90,20.64,19.72,20.51,15449300,19.43
2009-04-15,19.12,19.80,19.04,19.73,12706700,18.69
2009-04-14,19.35,19.39,18.80,19.02,14315900,18.02
2009-04-13,19.60,19.69,19.27,19.53,14907400,18.50
2009-04-09,19.83,20.07,19.60,19.88,13841800,18.83
2009-04-08,19.19,19.55,19.00,19.36,12438100,18.34
2009-04-07,19.38,19.38,19.03,19.12,11623500,18.11
2009-04-06,19.78,20.00,19.35,19.62,11280900,18.58
2009-04-03,19.91,20.39,19.78,20.00,18478000,18.94
2009-04-02,19.25,20.50,19.15,20.21,25194100,19.14
2009-04-01,17.92,18.82,17.84,18.79,12933600,17.80
2009-03-31,18.06,18.49,17.82,18.16,14683400,17.20
2009-03-30,18.12,18.26,17.54,17.85,13150500,16.91
2009-03-27,18.81,18.95,18.40,18.59,13962400,17.61
2009-03-26,18.68,19.14,18.40,19.06,15556800,18.05
2009-03-25,18.34,18.88,17.86,18.53,16019200,17.55
2009-03-24,18.09,18.70,18.04,18.29,16570800,17.32
2009-03-23,17.83,18.92,17.74,18.92,15830500,17.92
2009-03-20,17.80,17.98,17.08,17.45,17766600,16.53
2009-03-19,18.15,18.30,17.48,17.70,17370100,16.77
2009-03-18,17.72,18.37,17.50,18.11,16190600,17.15
2009-03-17,17.20,17.83,17.16,17.82,11424200,16.88
2009-03-16,17.27,17.69,17.12,17.21,18963300,16.30
2009-03-13,17.64,17.64,17.01,17.13,17520000,16.23
2009-03-12,16.80,17.49,16.57,17.43,16768100,16.51
2009-03-11,16.76,16.98,16.38,16.59,14956900,15.71
2009-03-10,15.23,16.62,15.14,16.61,24287100,15.73
2009-03-09,15.48,16.24,15.46,15.59,14569200,14.77
2009-03-06,15.84,16.42,15.32,15.83,20629300,14.99
2009-03-05,16.50,16.60,15.85,15.99,17038600,15.15
2009-03-04,16.52,17.22,16.09,16.94,15800100,16.05
2009-03-03,16.16,16.69,15.99,16.36,19551300,15.50
2009-03-02,16.48,16.55,15.90,16.05,17103200,15.20
2009-02-27,16.68,17.13,16.42,16.77,18621000,15.88
2009-02-26,17.54,17.60,16.84,16.86,12636900,15.97
2009-02-25,17.78,17.80,17.03,17.36,16146500,16.44
2009-02-24,17.11,18.15,16.97,17.92,16498400,16.97
2009-02-23,17.71,17.84,16.92,16.97,15134700,16.07
2009-02-20,17.25,17.88,17.13,17.53,22969800,16.60
2009-02-19,17.78,18.01,17.22,17.69,19575900,16.76
2009-02-18,17.95,18.01,17.53,17.63,18669100,16.70
2009-02-17,18.07,18.11,17.72,17.84,21996100,16.90
2009-02-13,18.72,18.90,18.40,18.52,11804200,17.54
2009-02-12,18.33,18.88,18.03,18.83,20367000,17.84
2009-02-11,18.95,18.98,18.26,18.50,19154300,17.52
2009-02-10,19.28,19.44,18.64,18.76,22253200,17.77
2009-02-09,19.82,19.82,19.10,19.44,15404300,18.41
2009-02-06,18.76,19.64,18.65,19.45,20471300,18.42
2009-02-05,18.87,19.30,18.17,18.71,34993800,17.72
2009-02-04,19.59,20.09,18.71,19.00,48826100,18.00
2009-02-03,20.78,20.79,19.76,20.62,27402700,19.53
2009-02-02,20.08,20.50,19.84,20.20,16499500,19.13
2009-01-30,21.31,21.65,20.51,20.68,15484400,19.59
2009-01-29,21.93,22.02,21.12,21.25,11295500,20.13
2009-01-28,21.64,22.40,21.60,22.28,13079500,21.10
2009-01-27,20.91,21.50,20.85,21.25,12696600,20.13
2009-01-26,21.08,21.42,20.50,20.86,10840400,19.76
2009-01-23,20.43,20.97,19.98,20.61,15436900,19.52
2009-01-22,20.79,21.20,20.47,20.97,16007900,19.86
2009-01-21,20.84,21.31,20.46,21.23,17181900,20.11
2009-01-20,21.46,21.66,20.15,20.24,19725000,19.17
2009-01-16,21.67,22.14,20.78,21.46,16294800,20.33
2009-01-15,20.80,21.61,19.95,21.36,18169700,20.23
2009-01-14,20.93,21.20,20.42,20.80,15482600,19.70
2009-01-13,21.52,21.93,21.03,21.20,15502200,20.08
2009-01-12,22.30,22.48,21.61,21.86,11259800,20.71
2009-01-09,23.12,23.12,22.23,22.31,11489700,21.13
2009-01-08,23.10,23.22,22.51,22.90,12588900,21.69
2009-01-07,23.89,23.89,22.92,23.18,12300700,21.96
2009-01-06,23.81,24.83,23.80,24.31,12070800,23.03
