Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,48.56,48.95,48.30,48.30,1182400,16.10
2009-12-30,48.76,48.99,48.36,48.68,2402000,16.23
2009-12-29,48.81,49.00,48.59,48.68,1976000,16.23
2009-12-28,49.00,49.19,48.70,48.90,1214000,16.30
2009-12-24,48.91,49.21,48.70,49.03,271200,16.34
2009-12-23,48.90,49.36,48.78,49.02,2364000,16.34
2009-12-22,48.94,48.99,48.38,48.79,2565200,16.26
2009-12-21,48.90,49.75,48.74,48.82,2027400,16.27
2009-12-18,48.55,48.99,48.11,48.91,4480000,16.30
2009-12-17,47.94,48.43,47.64,48.21,2568600,16.07
2009-12-16,48.55,48.93,48.01,48.22,3155600,16.07
2009-12-15,48.17,48.62,47.98,48.43,2347600,16.14
2009-12-14,48.77,49.02,47.96,48.38,3004800,16.13
2009-12-11,48.33,48.97,48.18,48.91,2657400,16.30
2009-12-10,48.01,48.42,47.76,48.12,2385600,16.04
2009-12-09,48.10,48.25,47.56,48.02,6268200,16.01
2009-12-08,47.18,48.22,46.82,47.98,5899600,15.99
2009-12-07,46.81,47.33,46.59,47.23,4384800,15.74
2009-12-04,47.20,48.17,46.64,46.79,7118000,15.60
2009-12-03,49.11,49.11,46.88,47.06,8246400,15.69
2009-12-02,48.70,49.09,48.63,48.79,3742800,16.26
2009-12-01,49.01,49.36,48.53,48.70,5660800,16.23
2009-11-30,50.38,50.64,48.80,48.97,5903200,16.32
2009-11-27,50.38,51.48,50.11,50.58,1505400,16.86
2009-11-25,51.17,51.39,50.52,51.07,4269200,17.02
2009-11-24,51.00,52.20,50.53,51.33,10887000,17.11
2009-11-23,49.32,49.68,48.72,49.10,4726000,16.37
2009-11-20,48.79,48.98,48.52,48.93,2264800,16.31
2009-11-19,49.11,49.23,48.29,48.75,2872200,16.25
2009-11-18,49.13,49.52,49.10,49.35,2136800,16.45
2009-11-17,49.05,49.38,48.73,49.16,3028000,16.39
2009-11-16,47.81,49.50,47.55,49.28,5353600,16.43
2009-11-13,48.19,49.26,48.02,49.07,4591200,16.36
2009-11-12,49.46,49.52,48.06,48.20,2616600,16.07
2009-11-11,49.33,49.58,48.81,49.32,3343200,16.44
2009-11-10,49.68,49.76,48.68,49.30,2346000,16.43
2009-11-09,48.86,49.77,48.45,49.65,3525200,16.55
2009-11-06,48.26,48.78,47.53,48.78,5089200,16.26
2009-11-05,48.21,48.61,47.46,48.32,4542600,16.11
2009-11-04,47.15,47.55,46.14,47.29,3865600,15.76
2009-11-03,47.19,47.86,46.70,47.00,3744600,15.67
2009-11-02,45.81,47.82,45.76,47.70,8777200,15.90
2009-10-30,45.73,45.94,44.70,45.13,5669600,15.04
2009-10-29,45.96,46.24,45.42,45.76,3335600,15.25
2009-10-28,46.01,46.61,45.47,45.70,4494600,15.23
2009-10-27,47.18,47.20,45.57,45.92,3579200,15.31
2009-10-26,47.28,47.70,46.78,47.04,3975000,15.68
2009-10-23,47.87,48.12,47.35,47.55,3313200,15.85
2009-10-22,47.24,48.44,47.02,47.96,5939200,15.99
2009-10-21,48.67,48.97,47.27,47.27,3180800,15.76
2009-10-20,49.38,49.41,48.78,48.91,2769000,16.30
2009-10-19,48.94,49.50,48.45,49.38,2823600,16.46
