Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,14.94,15.10,14.80,14.80,1024700,14.80
2009-12-30,14.88,15.07,14.81,14.90,1532200,14.90
2009-12-29,15.17,15.32,14.84,15.04,1402800,15.04
2009-12-28,15.41,15.49,15.03,15.13,1674600,15.13
2009-12-24,15.24,15.46,15.19,15.30,626000,15.30
2009-12-23,15.05,15.20,14.72,15.18,2176300,15.18
2009-12-22,14.78,14.96,14.70,14.96,2264100,14.96
2009-12-21,14.62,14.81,14.55,14.66,1902200,14.66
2009-12-18,14.39,14.57,14.27,14.52,4489100,14.52
2009-12-17,14.38,14.50,13.96,14.13,4081000,14.13
2009-12-16,14.27,14.65,14.17,14.55,4185500,14.55
2009-12-15,13.89,14.28,13.77,14.16,3538400,14.16
2009-12-14,13.80,14.02,13.63,13.88,3788400,13.88
2009-12-11,13.50,13.59,13.21,13.32,4654800,13.32
2009-12-10,13.03,13.51,13.03,13.47,5350600,13.47
2009-12-09,13.31,13.37,12.78,12.87,6080400,12.87
2009-12-08,13.60,13.66,13.27,13.30,5117800,13.30
2009-12-07,13.76,14.06,13.66,13.84,6228500,13.84
2009-12-04,13.62,14.06,13.42,13.79,8739400,13.79
2009-12-03,13.19,13.57,13.11,13.52,9247300,13.52
2009-12-02,13.53,13.55,13.14,13.18,4448800,13.18
2009-12-01,13.37,13.56,13.19,13.51,5972900,13.51
2009-11-30,13.36,13.58,13.10,13.27,7219100,13.27
2009-11-27,13.39,13.67,13.24,13.39,2865500,13.39
2009-11-25,13.62,14.26,13.45,14.12,5934800,14.12
2009-11-24,13.37,13.61,13.14,13.56,6211800,13.56
2009-11-23,13.69,13.86,13.27,13.48,5000600,13.48
2009-11-20,13.11,13.29,12.89,13.27,5206300,13.27
2009-11-19,13.40,13.43,13.07,13.15,5472500,13.15
2009-11-18,13.58,13.78,13.38,13.48,4254300,13.48
2009-11-17,14.01,14.03,13.53,13.63,4398900,13.63
2009-11-16,13.86,14.41,13.70,14.12,5881500,14.12
2009-11-13,13.60,13.80,13.36,13.63,5612800,13.63
2009-11-12,13.53,14.13,13.50,13.59,9764700,13.59
2009-11-11,13.40,13.72,13.28,13.56,6980600,13.56
2009-11-10,13.45,13.54,13.12,13.27,6006300,13.27
2009-11-09,13.08,13.54,13.08,13.51,6893600,13.51
2009-11-06,12.76,12.99,12.62,12.85,7431100,12.85
2009-11-05,13.61,13.61,12.75,12.94,9973000,12.94
2009-11-04,13.11,13.77,13.11,13.40,11237700,13.40
2009-11-03,12.93,13.04,12.51,12.90,10324500,12.90
2009-11-02,13.01,13.72,12.68,13.09,15937500,13.09
2009-10-30,15.27,15.32,14.46,14.60,3742400,14.60
2009-10-29,15.10,15.38,14.94,15.38,3420000,15.38
2009-10-28,15.61,15.72,14.72,14.78,4060500,14.78
2009-10-27,15.96,16.19,15.64,15.75,3128800,15.75
2009-10-26,16.58,17.03,15.88,15.94,2784900,15.94
2009-10-23,16.88,17.00,16.31,16.40,3633400,16.40
2009-10-22,16.78,16.84,16.18,16.79,4230200,16.79
2009-10-21,16.39,17.39,16.31,16.90,5745900,16.90
2009-10-20,16.10,16.65,16.03,16.54,6269800,16.54
2009-10-19,15.71,16.08,15.63,16.05,2606200,16.05
2009-10-16,15.83,15.88,15.48,15.71,3199700,15.71
2009-10-15,15.83,16.05,15.73,15.90,4386800,15.90
2009-10-14,15.82,16.00,15.68,15.93,2763200,15.93
2009-10-13,15.47,15.64,15.08,15.51,2488100,15.51
2009-10-12,15.45,15.86,15.33,15.39,2007700,15.39
2009-10-09,15.09,15.40,15.02,15.28,3229800,15.28
