Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,49.10,49.17,48.47,48.48,675700,48.48
2009-12-30,48.93,49.46,48.87,49.11,486000,49.11
2009-12-29,48.90,49.13,48.66,48.96,598300,48.96
2009-12-28,48.80,48.90,48.39,48.86,403600,48.86
2009-12-24,48.68,48.90,48.50,48.83,413300,48.83
2009-12-23,48.41,48.74,48.04,48.65,807400,48.65
2009-12-22,48.22,48.52,47.99,48.36,893000,48.36
2009-12-21,47.69,48.42,47.69,48.22,1177100,48.22
2009-12-18,47.26,47.63,46.99,47.63,2226100,47.63
2009-12-17,47.18,47.28,45.16,47.05,1317700,47.05
2009-12-16,47.28,47.77,47.18,47.47,843100,47.47
2009-12-15,47.35,47.92,47.20,47.28,1028500,47.28
2009-12-14,47.32,47.67,47.26,47.59,854300,47.59
2009-12-11,47.87,47.87,46.75,47.04,865600,47.04
2009-12-10,46.71,47.16,46.44,46.69,765200,46.69
2009-12-09,46.57,46.76,46.00,46.67,1215700,46.67
2009-12-08,46.71,46.98,46.18,46.74,1131000,46.74
2009-12-07,46.92,47.51,46.92,47.01,1583000,47.01
2009-12-04,47.05,47.54,46.49,47.08,1260400,47.08
2009-12-03,47.40,47.59,46.34,46.37,1261200,46.37
2009-12-02,47.41,47.85,47.19,47.44,1098700,47.44
2009-12-01,46.61,47.57,46.41,47.48,1653800,47.48
2009-11-30,46.18,46.33,45.55,46.24,1315700,46.24
2009-11-27,46.30,46.98,46.14,46.29,758300,46.29
2009-11-25,47.28,47.37,46.80,47.30,1277200,47.30
2009-11-24,47.79,47.91,46.88,46.92,1724800,46.92
2009-11-23,47.91,48.36,47.44,47.91,1551400,47.91
2009-11-20,47.35,47.81,47.05,47.25,1336700,47.25
2009-11-19,48.31,48.48,47.47,47.76,1008300,47.76
2009-11-18,48.48,48.95,48.05,48.68,1216800,48.68
2009-11-17,48.61,48.84,48.19,48.73,1189600,48.73
2009-11-16,47.85,48.69,47.72,48.56,859800,48.56
2009-11-13,47.98,48.01,47.24,47.83,1953800,47.83
2009-11-12,48.46,48.84,47.69,47.77,915500,47.77
2009-11-11,48.37,48.88,48.09,48.51,760500,48.51
2009-11-10,48.35,48.70,48.18,48.48,885700,48.48
2009-11-09,47.64,48.64,47.61,48.64,1018000,48.64
2009-11-06,47.64,47.78,47.06,47.58,871700,47.58
