Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,15.00,15.15,14.81,14.85,2159400,13.65
2009-12-30,15.00,15.02,14.80,15.02,3862900,13.80
2009-12-29,15.30,15.54,15.00,15.06,3203400,13.84
2009-12-28,15.70,15.99,15.11,15.23,3721300,14.00
2009-12-24,15.43,15.75,15.43,15.63,2313400,14.36
2009-12-23,14.76,15.49,14.75,15.42,10863600,14.17
2009-12-22,13.93,14.41,13.85,14.41,5662600,13.24
2009-12-21,14.14,14.25,13.94,14.03,8645200,12.89
2009-12-18,14.17,14.42,13.82,13.98,5554500,12.85
2009-12-17,13.80,14.38,13.60,14.15,7607000,13.00
2009-12-16,13.95,14.14,13.73,13.90,8718500,12.77
2009-12-15,13.81,14.07,13.76,13.90,6445800,12.77
2009-12-14,13.40,14.15,13.40,13.83,9375700,12.71
2009-12-11,12.81,13.29,12.71,13.16,7916200,12.09
2009-12-10,12.02,13.34,12.02,12.84,14859800,11.80
2009-12-09,11.79,12.22,11.45,12.00,9735100,11.03
2009-12-08,11.05,12.00,11.02,11.80,18027100,10.81
2009-12-07,10.26,11.09,10.26,11.09,8678500,10.16
2009-12-04,10.19,10.35,9.75,10.29,6904400,9.42
2009-12-03,9.94,10.20,9.83,9.85,5316800,9.02
2009-12-02,10.04,10.09,9.63,9.87,6962700,9.04
2009-12-01,10.05,10.18,9.68,10.01,6680800,9.17
2009-11-30,10.26,10.38,9.72,9.89,10924300,9.06
2009-11-27,10.07,10.45,9.80,10.32,1921100,9.45
2009-11-25,10.49,10.79,10.42,10.62,2707800,9.73
2009-11-24,10.55,10.65,10.34,10.45,3722300,9.57
2009-11-23,10.70,11.02,10.44,10.47,5659700,9.59
2009-11-20,10.74,10.83,10.33,10.38,4302300,9.51
2009-11-19,11.34,11.34,10.80,10.89,3747500,9.97
2009-11-18,11.41,11.50,11.21,11.47,4662400,10.50
2009-11-17,11.49,11.58,11.17,11.41,4761400,10.45
2009-11-16,10.86,11.53,10.81,11.50,5185900,10.53
2009-11-13,10.88,11.08,10.73,10.80,6476500,9.89
2009-11-12,11.18,11.39,10.69,10.75,7183200,9.85
2009-11-11,11.38,11.49,10.99,11.23,4648600,10.28
2009-11-10,11.26,11.41,10.85,11.12,5525100,10.18
2009-11-09,10.71,11.17,10.69,11.16,5884400,10.22
2009-11-06,10.32,10.62,10.23,10.52,5363700,9.63
2009-11-05,10.16,10.74,10.14,10.68,8010900,9.78
2009-11-04,10.59,10.66,10.06,10.14,7498300,9.29
2009-11-03,9.76,10.62,9.68,10.54,12324500,9.65
2009-11-02,9.87,10.24,9.53,9.76,9334600,8.94
2009-10-30,10.89,10.95,9.73,9.82,11378200,8.99
2009-10-29,10.51,11.14,10.39,10.98,12841200,10.06
2009-10-28,11.54,11.54,10.32,10.40,15253900,9.52
2009-10-27,12.19,12.50,11.57,11.57,9549500,10.60
2009-10-26,13.22,13.41,12.13,12.28,10349800,11.25
2009-10-23,14.05,14.06,13.18,13.22,5643200,12.11
2009-10-22,13.83,14.01,13.45,13.94,7409800,12.77
2009-10-21,13.59,14.16,13.49,13.76,8141800,12.60
2009-10-20,14.11,14.18,13.56,13.68,10124600,12.53
2009-10-19,13.46,14.12,13.04,14.06,12416500,12.88
2009-10-16,13.20,13.36,12.78,13.00,7591800,11.91
2009-10-15,13.28,13.39,12.87,13.19,7011700,12.08
2009-10-14,13.37,13.62,13.15,13.48,8193600,12.35
2009-10-13,13.22,13.66,12.98,13.15,18100000,12.04
2009-10-12,13.53,13.54,12.95,13.24,11916000,12.13
2009-10-09,13.41,13.77,13.34,13.60,4890500,12.46
2009-10-08,13.13,13.64,13.10,13.59,7360800,12.45
2009-10-07,12.81,13.10,12.59,13.00,6543700,11.91
2009-10-06,12.70,13.18,12.48,12.89,16590700,11.81
2009-10-05,11.84,12.63,11.73,12.62,10614700,11.56
2009-10-02,11.80,11.93,11.49,11.84,12277400,10.84
2009-10-01,12.50,12.50,11.63,12.15,13885600,11.13
2009-09-30,11.70,12.90,11.70,12.51,23595900,11.46
2009-09-29,11.85,12.04,11.27,11.74,26613900,10.75
2009-09-28,9.48,10.16,9.32,9.98,5769700,9.14
2009-09-25,9.28,9.53,9.16,9.38,4363700,8.59
2009-09-24,9.99,10.10,9.17,9.36,8518200,8.57
2009-09-23,10.19,10.29,9.88,9.92,9213100,9.09
2009-09-22,9.66,10.37,9.47,10.14,10125100,9.29
2009-09-21,9.68,9.96,9.40,9.74,7067300,8.92
2009-09-18,9.87,9.99,9.72,9.81,5363000,8.98
2009-09-17,9.91,10.73,9.61,9.74,12244600,8.92
2009-09-16,9.06,10.32,9.03,9.99,14131800,9.15
2009-09-15,8.65,9.16,8.51,9.06,9046900,8.30
2009-09-14,8.20,8.74,8.05,8.68,9543500,7.95
2009-09-11,8.51,8.86,8.33,8.36,10219900,7.66
2009-09-10,8.17,8.49,8.10,8.48,9682300,7.77
2009-09-09,8.04,8.20,7.98,8.11,8981600,7.43
2009-09-08,8.23,8.38,7.96,7.96,8940300,7.25
2009-09-04,7.96,8.16,7.93,8.11,5793900,7.39
2009-09-03,8.14,8.27,7.66,7.95,6992000,7.24
2009-09-02,8.26,8.26,7.78,7.95,7107100,7.24
2009-09-01,8.60,8.88,8.20,8.29,8792200,7.55
2009-08-31,8.98,9.00,8.40,8.64,9181800,7.87
2009-08-28,8.94,9.22,8.91,9.11,11246500,8.30
2009-08-27,8.52,8.78,8.40,8.77,7982100,7.99
2009-08-26,8.33,8.77,8.26,8.67,14163200,7.90
2009-08-25,8.27,8.44,8.21,8.35,6033700,7.61
2009-08-24,8.19,8.38,8.07,8.17,6502700,7.44
2009-08-21,8.06,8.29,8.06,8.16,7513300,7.44
2009-08-20,7.81,8.00,7.81,7.98,7991400,7.27
2009-08-19,7.65,7.89,7.61,7.77,7408900,7.08
2009-08-18,7.82,8.10,7.81,7.88,8365400,7.18
2009-08-17,7.88,7.91,7.47,7.72,8159700,7.03
2009-08-14,8.25,8.26,7.95,8.17,7407400,7.44
2009-08-13,8.00,8.19,7.79,8.10,8182500,7.38
2009-08-12,7.67,8.07,7.59,7.92,9619400,7.22
2009-08-11,8.15,8.18,7.60,7.66,8796100,6.98
2009-08-10,7.77,8.33,7.60,8.13,8096100,7.41
2009-08-07,7.46,8.11,7.36,7.74,14526500,7.05
2009-08-06,7.62,7.78,7.25,7.32,8902400,6.67
2009-08-05,7.51,7.72,7.27,7.59,7609700,6.92
2009-08-04,7.89,7.89,7.42,7.48,11113300,6.82
2009-08-03,7.10,7.98,7.07,7.95,11846300,7.24
2009-07-31,6.62,7.22,6.46,7.00,10149400,6.38
2009-07-30,6.35,6.80,6.26,6.65,9586300,6.06
2009-07-29,6.35,6.45,6.21,6.26,5401700,5.70
2009-07-28,6.48,6.52,6.25,6.48,7176600,5.90
2009-07-27,5.89,6.61,5.69,6.52,9950000,5.94
2009-07-24,5.79,5.83,5.51,5.80,7259500,5.29
2009-07-23,5.22,6.17,5.22,5.68,20678300,5.18
2009-07-22,4.87,5.41,4.81,5.25,12211300,4.78
2009-07-21,5.05,5.18,4.83,4.95,8224300,4.51
2009-07-20,4.81,5.14,4.80,5.05,7572900,4.60
2009-07-17,4.66,4.85,4.51,4.78,9799000,4.36
2009-07-16,4.49,4.76,4.31,4.56,11035800,4.16
2009-07-15,4.12,4.59,3.96,4.50,23633100,4.10
2009-07-14,3.33,3.69,3.30,3.49,6508000,3.18
2009-07-13,3.16,3.32,3.16,3.32,5990200,3.03
2009-07-10,3.12,3.23,3.10,3.19,2332600,2.91
2009-07-09,3.18,3.27,3.14,3.19,5678200,2.91
2009-07-08,3.30,3.33,3.14,3.18,4030000,2.90
2009-07-07,3.37,3.37,3.17,3.20,5057500,2.92
2009-07-06,3.26,3.48,3.25,3.32,3120300,3.03
2009-07-02,3.65,3.65,3.30,3.30,3745000,3.01
2009-07-01,3.58,3.73,3.46,3.66,2880900,3.34
2009-06-30,3.71,3.86,3.56,3.57,4633600,3.25
2009-06-29,3.74,3.85,3.63,3.76,3435100,3.43
2009-06-26,3.70,3.87,3.64,3.73,3207200,3.40
2009-06-25,3.58,3.70,3.50,3.67,3336200,3.34
2009-06-24,3.59,3.73,3.51,3.53,4209300,3.22
2009-06-23,3.52,3.65,3.46,3.53,4856800,3.22
2009-06-22,3.54,3.66,3.50,3.51,4728300,3.20
2009-06-19,3.83,3.91,3.59,3.59,5614500,3.27
2009-06-18,3.81,3.83,3.55,3.69,6265600,3.36
2009-06-17,3.89,4.03,3.75,3.85,4085300,3.51
2009-06-16,4.11,4.18,3.93,3.99,5882400,3.64
2009-06-15,4.19,4.23,4.08,4.10,2934100,3.74
2009-06-12,4.25,4.27,4.15,4.22,2597500,3.85
2009-06-11,4.41,4.41,4.22,4.28,3887400,3.90
2009-06-10,4.40,4.45,4.22,4.30,4351100,3.92
2009-06-09,4.32,4.44,4.22,4.36,3690500,3.97
2009-06-08,4.25,4.39,4.15,4.30,3379700,3.92
2009-06-05,4.45,4.55,4.22,4.22,5321100,3.85
2009-06-04,4.29,4.33,4.16,4.24,4287600,3.86
2009-06-03,4.61,4.81,4.04,4.13,10758300,3.76
2009-06-02,5.05,5.16,4.50,4.66,7141500,4.21
2009-06-01,4.83,5.29,4.77,5.07,6767500,4.58
2009-05-29,4.99,5.15,4.74,4.77,10759700,4.31
2009-05-28,5.19,5.19,4.65,4.96,6743000,4.48
2009-05-27,5.03,5.17,4.89,5.04,8011200,4.55
2009-05-26,4.59,5.09,4.38,5.02,10140600,4.54
2009-05-22,4.48,4.66,4.47,4.56,2072800,4.12
2009-05-21,4.69,4.69,4.39,4.47,5946300,4.04
2009-05-20,4.62,5.03,4.62,4.70,5458400,4.25
2009-05-19,4.58,4.75,4.37,4.56,5701200,4.12
2009-05-18,4.40,4.56,4.25,4.56,6441300,4.12
2009-05-15,4.42,4.67,4.22,4.36,7591100,3.94
2009-05-14,4.27,4.53,4.14,4.41,8655000,3.98
2009-05-13,4.84,4.88,4.25,4.27,9495400,3.86
2009-05-12,5.38,5.70,4.61,4.93,10196400,4.45
2009-05-11,5.37,5.46,5.07,5.35,7168600,4.83
2009-05-08,4.93,5.53,4.71,5.48,11364100,4.95
2009-05-07,5.43,5.83,4.41,4.78,14981600,4.32
2009-05-06,5.02,6.16,5.00,5.35,26978000,4.83
2009-05-05,4.45,4.97,4.40,4.93,16188700,4.45
2009-05-04,4.28,4.74,4.15,4.47,7274200,4.04
2009-05-01,3.86,4.72,3.86,4.37,9170200,3.95
2009-04-30,3.88,4.27,3.86,3.91,7629500,3.53
2009-04-29,3.50,4.05,3.50,3.81,7251800,3.44
2009-04-28,3.37,3.54,3.30,3.40,4939900,3.07
2009-04-27,3.41,3.64,3.30,3.47,6842500,3.13
2009-04-24,3.11,3.51,3.11,3.45,10523900,3.12
2009-04-23,3.28,3.39,3.00,3.13,8051300,2.83
2009-04-22,3.13,3.37,3.03,3.16,9020100,2.85
2009-04-21,3.19,3.35,2.99,3.09,8410900,2.79
2009-04-20,3.69,3.69,3.10,3.19,7890300,2.88
2009-04-17,3.55,3.98,3.17,3.76,12638700,3.40
2009-04-16,4.02,4.20,3.47,3.60,13705100,3.25
2009-04-15,3.30,3.50,3.11,3.49,9330900,3.15
2009-04-14,4.05,4.05,3.05,3.27,17329200,2.95
2009-04-13,3.83,5.04,3.45,4.06,24843400,3.67
2009-04-09,2.85,3.86,2.70,3.75,15858100,3.39
2009-04-08,2.74,2.79,2.60,2.69,4576000,2.43
2009-04-07,3.04,3.04,2.60,2.69,6259300,2.43
2009-04-06,2.59,2.86,2.45,2.75,8695900,2.48
2009-04-03,2.48,2.58,2.23,2.55,4398300,2.30
2009-04-02,2.43,2.45,2.33,2.43,4264800,2.20
2009-04-01,2.15,2.32,2.10,2.29,2835000,2.07
2009-03-31,2.35,2.35,2.16,2.20,4795800,1.99
2009-03-30,2.51,2.62,2.25,2.26,7020200,2.04
2009-03-27,2.50,2.73,2.40,2.57,4104800,2.32
2009-03-26,2.41,2.53,2.38,2.51,4197200,2.27
2009-03-25,2.33,2.57,2.29,2.36,6318400,2.13
2009-03-24,2.35,2.56,2.25,2.32,7209700,2.10
2009-03-23,2.30,2.35,2.13,2.35,5740200,2.12
2009-03-20,2.26,2.31,2.04,2.14,11108200,1.93
2009-03-19,2.50,2.58,2.24,2.25,4923000,2.03
2009-03-18,2.43,2.66,2.36,2.46,6704500,2.22
2009-03-17,2.45,2.46,2.28,2.44,5706900,2.20
2009-03-16,2.27,2.91,2.23,2.40,11282700,2.17
2009-03-13,2.23,2.43,2.05,2.14,9413600,1.93
2009-03-12,1.99,2.20,1.93,2.17,5818400,1.96
2009-03-11,2.15,2.23,1.96,1.99,5266200,1.80
2009-03-10,2.00,2.23,1.85,1.99,12207900,1.80
2009-03-09,2.12,2.19,1.93,1.95,5374800,1.76
2009-03-06,2.17,2.20,1.91,2.20,11172400,1.99
2009-03-05,2.30,2.36,2.06,2.11,11227900,1.91
2009-03-04,2.30,2.48,2.19,2.37,8897200,2.14
2009-03-03,2.95,2.96,2.21,2.22,15637300,1.97
2009-03-02,3.13,3.16,2.92,2.92,5991600,2.59
2009-02-27,3.43,3.56,3.22,3.24,5824700,2.87
2009-02-26,3.85,3.93,3.50,3.57,6910600,3.17
2009-02-25,4.13,4.13,3.52,3.75,9005500,3.33
2009-02-24,3.61,4.22,3.50,4.08,8724600,3.62
2009-02-23,3.74,3.91,3.60,3.66,5746700,3.25
2009-02-20,3.80,3.88,3.62,3.70,11002300,3.28
2009-02-19,4.04,4.28,3.75,3.86,7718000,3.42
2009-02-18,4.08,4.22,3.92,4.06,5939800,3.60
2009-02-17,4.10,4.12,3.93,4.02,5847100,3.57
2009-02-13,4.53,4.67,4.17,4.19,5026300,3.72
2009-02-12,4.56,4.70,4.27,4.54,5388900,4.03
2009-02-11,4.66,4.74,4.46,4.59,4630000,4.07
2009-02-10,4.87,5.03,4.51,4.57,7806700,4.05
2009-02-09,4.85,4.99,4.68,4.85,4560000,4.30
2009-02-06,4.88,5.11,4.77,4.91,6695800,4.36
2009-02-05,4.61,4.94,4.50,4.80,7186600,4.26
2009-02-04,4.97,5.13,4.75,4.75,9467300,4.21
2009-02-03,5.28,5.28,4.82,4.96,14317500,4.40
2009-02-02,5.83,5.83,5.04,5.31,11276800,4.71
2009-01-30,7.22,7.25,5.64,5.77,16387400,5.12
2009-01-29,7.36,7.36,6.88,6.90,6900000,6.12
2009-01-28,7.09,7.52,7.09,7.33,3295800,6.50
2009-01-27,6.83,7.18,6.76,7.04,4552000,6.25
2009-01-26,6.73,7.30,6.73,6.88,3197700,6.10
2009-01-23,6.59,7.13,6.49,6.82,5750600,6.05
2009-01-22,7.21,7.36,6.66,6.77,6983200,6.01
2009-01-21,7.23,7.40,6.78,7.33,8602400,6.50
2009-01-20,7.58,7.68,6.89,7.02,7365100,6.23
2009-01-16,7.60,7.73,7.31,7.59,8598200,6.73
