Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,32.37,32.57,32.06,32.06,891100,29.02
2009-12-30,32.14,32.44,32.00,32.43,746300,29.35
2009-12-29,32.40,32.43,32.09,32.10,770700,29.05
2009-12-28,32.24,32.36,32.11,32.29,675800,29.23
2009-12-24,32.10,32.19,31.89,32.17,345300,29.12
2009-12-23,31.82,32.15,31.75,32.11,759800,29.06
2009-12-22,32.22,32.25,31.82,31.89,1286900,28.86
2009-12-21,31.99,32.47,31.91,32.00,1412400,28.96
2009-12-18,31.61,31.77,31.38,31.62,1800800,28.62
2009-12-17,31.37,31.70,31.04,31.53,1189500,28.54
2009-12-16,31.71,32.04,31.53,31.63,1341900,28.63
2009-12-15,31.12,31.77,30.99,31.50,2000400,28.51
2009-12-14,30.99,31.32,30.87,31.17,1739100,28.21
2009-12-11,30.68,30.94,30.46,30.83,1239600,27.90
2009-12-10,30.33,30.82,30.33,30.49,1609300,27.60
2009-12-09,30.39,30.39,29.68,30.21,2248200,27.34
2009-12-08,30.87,30.87,30.35,30.40,1435100,27.52
2009-12-07,30.28,31.18,30.28,30.83,1934600,27.90
2009-12-04,30.35,30.73,29.81,30.18,1512300,27.32
2009-12-03,30.46,30.74,30.06,30.09,1296600,27.23
2009-12-02,30.17,30.71,30.10,30.51,2064400,27.61
2009-12-01,29.92,30.21,29.91,30.05,2076800,27.20
2009-11-30,29.49,29.67,29.25,29.65,2606600,26.84
2009-11-27,29.25,29.49,29.00,29.34,769700,26.56
2009-11-25,29.11,29.70,29.08,29.59,1267100,26.78
2009-11-24,29.33,29.44,28.94,29.02,1743700,26.27
2009-11-23,29.71,30.18,29.08,29.25,2501700,26.47
2009-11-20,29.40,29.40,28.95,29.10,2070600,26.34
2009-11-19,29.94,29.99,29.13,29.37,2097600,26.58
2009-11-18,30.13,30.32,29.83,29.96,2282800,27.12
2009-11-17,30.29,30.29,29.76,29.86,1760300,27.03
2009-11-16,29.37,30.15,29.30,30.15,2998800,27.29
2009-11-13,28.99,29.25,28.88,29.10,2343700,26.34
2009-11-12,29.30,29.45,28.83,28.90,2066000,26.16
2009-11-11,28.99,29.37,28.87,29.22,2255200,26.45
2009-11-10,28.73,28.89,28.57,28.81,2010800,26.08
2009-11-09,28.54,29.00,28.39,28.75,4651300,26.02
2009-11-06,27.77,28.00,27.59,27.91,1963800,25.26
2009-11-05,27.92,28.11,27.64,27.73,1768700,25.10
2009-11-04,27.78,28.05,27.54,27.76,2049100,25.13
2009-11-03,27.58,27.79,27.24,27.65,1941200,25.03
2009-11-02,27.23,27.71,26.82,27.65,2849600,25.03
2009-10-30,27.49,27.67,26.95,27.27,2963100,24.68
2009-10-29,27.15,27.59,27.06,27.50,1679100,24.89
2009-10-28,27.84,27.94,27.01,27.12,2800100,24.37
2009-10-27,28.21,28.28,27.66,27.73,2068700,24.91
2009-10-26,28.15,28.72,28.13,28.19,1889800,25.33
2009-10-23,28.59,28.59,27.98,28.03,1764000,25.18
2009-10-22,28.22,28.53,27.84,28.38,2186500,25.50
2009-10-21,28.19,28.60,28.11,28.13,2622600,25.27
2009-10-20,28.51,28.51,27.91,28.11,2303800,25.25
2009-10-19,29.70,29.80,28.03,28.42,6066800,25.53
2009-10-16,28.64,29.68,28.54,29.52,4746800,26.52
2009-10-15,28.28,28.80,28.28,28.69,1512000,25.78
2009-10-14,28.61,28.72,28.32,28.48,1676000,25.59
2009-10-13,28.10,28.53,28.10,28.38,1153000,25.50
2009-10-12,28.30,28.61,28.14,28.14,2646800,25.28
2009-10-09,28.05,28.19,27.83,28.18,1542000,25.32
2009-10-08,27.70,28.20,27.66,28.01,1511100,25.17
2009-10-07,27.68,27.82,27.37,27.48,1591100,24.69
2009-10-06,27.30,27.74,27.24,27.65,1962500,24.84
2009-10-05,27.16,27.28,26.95,27.22,1799800,24.46
2009-10-02,27.11,27.20,26.93,27.07,2096600,24.32
2009-10-01,27.64,27.73,27.24,27.26,2724900,24.49
2009-09-30,27.63,27.81,27.12,27.75,2526600,24.93
2009-09-29,27.38,27.76,27.28,27.53,1789600,24.73
2009-09-28,27.35,27.63,27.14,27.20,2024000,24.44
2009-09-25,27.33,27.38,26.98,27.18,1896700,24.42
2009-09-24,28.05,28.05,27.21,27.31,2849000,24.54
2009-09-23,28.60,28.67,27.81,27.88,2707000,25.05
2009-09-22,28.69,28.78,28.23,28.40,2128700,25.52
2009-09-21,28.81,28.81,28.47,28.50,1395800,25.61
2009-09-18,28.92,29.36,28.76,28.90,2685100,25.96
2009-09-17,28.75,28.98,28.52,28.75,2461100,25.83
2009-09-16,28.66,29.04,28.66,28.81,2851800,25.88
2009-09-15,28.71,28.88,28.47,28.60,2404900,25.70
2009-09-14,28.26,28.75,28.12,28.75,2328200,25.83
2009-09-11,28.52,28.60,28.22,28.37,1590700,25.49
2009-09-10,28.70,28.70,28.28,28.44,2299600,25.55
2009-09-09,28.89,28.91,28.37,28.60,2471700,25.70
2009-09-08,28.85,29.09,28.67,28.81,2430700,25.88
2009-09-04,28.44,28.74,28.35,28.69,2285300,25.78
2009-09-03,27.78,28.48,27.66,28.43,3291200,25.54
2009-09-02,27.85,28.00,27.63,27.70,2483900,24.89
2009-09-01,28.28,28.75,27.66,27.88,4244600,25.05
2009-08-31,28.41,28.45,27.89,28.39,3403000,25.51
2009-08-28,28.26,28.40,28.08,28.33,2670700,25.45
2009-08-27,27.71,28.28,27.62,28.11,2629500,25.25
2009-08-26,27.72,28.00,27.55,27.83,2195100,25.00
2009-08-25,27.36,27.85,27.22,27.78,2104700,24.96
2009-08-24,27.05,27.38,26.97,27.25,2905100,24.48
2009-08-21,26.01,27.01,26.01,27.01,2231600,24.27
2009-08-20,26.08,26.19,25.82,25.93,1853000,23.30
2009-08-19,25.93,26.21,25.72,26.11,1534500,23.46
2009-08-18,26.11,26.30,25.90,26.09,1658300,23.44
2009-08-17,26.42,26.42,25.93,26.00,2021800,23.36
2009-08-14,27.01,27.02,26.44,26.61,1393600,23.91
2009-08-13,26.56,26.98,26.29,26.91,1804700,24.18
2009-08-12,26.57,26.87,26.31,26.40,1972100,23.72
2009-08-11,26.70,26.72,26.36,26.55,1517700,23.85
2009-08-10,27.13,27.13,26.50,26.76,2102100,24.04
2009-08-07,26.52,27.07,26.38,26.97,1521000,24.23
2009-08-06,26.34,26.47,26.05,26.19,1702000,23.53
2009-08-05,26.30,26.62,25.91,26.17,1734000,23.51
2009-08-04,26.24,26.37,26.15,26.37,1908300,23.69
2009-08-03,26.88,26.88,26.14,26.24,2404600,23.57
2009-07-31,26.15,26.97,26.15,26.50,2434500,23.81
2009-07-30,26.48,26.66,26.11,26.16,1917300,23.50
2009-07-29,25.95,26.40,25.87,26.29,1884700,23.44
2009-07-28,26.10,26.21,25.86,26.02,1505900,23.20
2009-07-27,26.53,26.60,25.66,26.25,2096400,23.40
2009-07-24,26.53,26.65,25.95,26.49,2425600,23.62
2009-07-23,26.15,26.61,25.95,26.61,2513200,23.73
2009-07-22,26.33,26.54,25.81,26.17,2294400,23.33
2009-07-21,26.45,26.77,25.93,26.38,2101400,23.52
2009-07-20,26.47,26.85,25.93,26.45,5697300,23.58
2009-07-17,24.90,25.60,24.90,25.38,3938400,22.63
2009-07-16,24.40,24.84,24.30,24.77,2053200,22.08
2009-07-15,24.08,24.53,23.90,24.49,1907900,21.84
2009-07-14,23.69,23.92,23.35,23.86,2167100,21.27
2009-07-13,23.26,23.79,22.92,23.69,2330800,21.12
2009-07-10,23.12,23.32,22.92,23.19,2014400,20.68
2009-07-09,23.31,23.37,22.92,23.17,2009400,20.66
2009-07-08,23.00,23.22,22.79,23.17,2035600,20.66
2009-07-07,23.46,23.52,23.00,23.04,1577200,20.54
2009-07-06,23.78,24.00,23.27,23.57,2090700,21.01
2009-07-02,24.44,24.63,23.87,23.88,2073800,21.29
2009-07-01,24.40,24.79,24.26,24.63,1518500,21.96
2009-06-30,24.62,24.76,24.09,24.24,2264400,21.61
2009-06-29,24.63,24.76,23.91,24.47,3039000,21.82
2009-06-26,24.47,24.75,24.17,24.47,2133500,21.82
2009-06-25,23.80,24.48,23.53,24.40,2100400,21.76
2009-06-24,24.11,24.45,23.59,23.77,2019200,21.19
2009-06-23,24.55,24.55,23.75,23.97,2585200,21.37
2009-06-22,25.00,25.06,24.30,24.30,2377900,21.67
2009-06-19,25.42,25.46,25.01,25.14,2265500,22.41
2009-06-18,24.87,25.09,24.61,24.77,1492300,22.08
2009-06-17,24.39,25.13,24.28,24.80,2227900,22.11
2009-06-16,24.92,25.04,24.28,24.28,2062800,21.65
2009-06-15,25.08,25.33,24.41,24.64,2734900,21.97
2009-06-12,25.49,25.65,24.74,25.09,3272700,22.37
2009-06-11,26.06,26.39,25.87,26.03,2403800,23.21
2009-06-10,25.65,26.52,25.45,25.99,4205100,23.17
2009-06-09,25.50,25.59,25.06,25.45,2226700,22.69
2009-06-08,25.49,25.51,24.92,25.37,2546200,22.62
2009-06-05,25.90,25.90,25.16,25.40,2411000,22.65
2009-06-04,25.81,25.81,24.95,25.65,2733500,22.87
2009-06-03,26.26,26.26,25.17,25.55,3170300,22.78
2009-06-02,26.20,26.49,25.77,26.01,2789600,23.19
2009-06-01,25.55,26.29,25.43,26.02,4312300,23.20
2009-05-29,23.81,25.41,23.76,25.41,4583800,22.66
2009-05-28,23.50,23.91,22.98,23.76,3686100,21.18
2009-05-27,23.73,23.73,23.05,23.17,3658000,20.66
2009-05-26,22.66,23.87,22.66,23.58,3039200,21.02
2009-05-22,23.05,23.50,22.58,22.74,2116100,20.27
2009-05-21,23.17,23.19,22.27,22.58,2563300,20.13
2009-05-20,24.12,24.44,23.33,23.45,2480100,20.91
2009-05-19,24.06,24.26,23.52,24.01,2239100,21.41
2009-05-18,23.13,23.91,23.03,23.91,3342100,21.32
2009-05-15,23.04,23.34,22.46,22.93,4785200,20.44
2009-05-14,23.68,24.06,23.03,23.12,2606000,20.61
2009-05-13,24.59,24.65,23.39,23.50,3589300,20.95
2009-05-12,25.59,25.61,24.60,24.83,2185200,22.14
2009-05-11,25.63,25.91,25.13,25.41,2696800,22.66
2009-05-08,26.57,26.90,25.65,26.06,3020500,23.24
2009-05-07,28.06,28.17,26.27,26.48,3343300,23.61
2009-05-06,28.62,29.06,27.46,27.78,2330000,24.77
2009-05-05,27.80,28.67,27.51,28.56,2799100,25.46
2009-05-04,27.00,27.87,26.87,27.84,3812100,24.82
2009-05-01,26.62,27.06,25.83,26.85,4400400,23.94
2009-04-30,28.86,28.89,26.40,26.66,4806600,23.77
2009-04-29,27.79,28.93,27.74,28.59,1735800,25.49
2009-04-28,27.13,28.12,27.00,27.71,1479800,24.53
2009-04-27,27.57,27.94,27.17,27.40,1752700,24.25
2009-04-24,27.64,28.25,27.35,27.75,1402600,24.56
2009-04-23,27.67,27.69,26.81,27.37,1977000,24.23
2009-04-22,26.53,28.26,26.42,27.68,3578600,24.50
2009-04-21,26.33,26.60,26.01,26.46,3380700,23.42
2009-04-20,27.49,29.23,26.81,27.16,3410800,24.04
2009-04-17,26.39,28.02,26.34,27.91,3413800,24.70
2009-04-16,25.77,26.39,25.56,26.19,2055700,23.18
2009-04-15,25.69,26.12,25.26,25.55,1508000,22.62
2009-04-14,26.32,26.50,25.63,25.69,1732000,22.74
2009-04-13,26.78,26.84,26.33,26.69,915400,23.63
2009-04-09,26.55,26.86,26.27,26.86,1257900,23.78
2009-04-08,25.66,26.30,25.66,26.11,1986900,23.11
2009-04-07,26.52,26.70,25.61,25.69,1380300,22.74
2009-04-06,26.62,26.95,26.25,26.83,1650800,23.75
2009-04-03,26.49,26.74,26.09,26.74,1817200,23.67
2009-04-02,25.45,26.89,25.45,26.37,2393500,23.34
2009-04-01,24.93,25.35,24.76,25.24,2185200,22.34
2009-03-31,25.48,25.57,24.75,25.07,2333100,22.19
2009-03-30,24.87,25.33,24.29,24.93,3388600,22.07
2009-03-27,25.13,25.75,25.13,25.46,2385800,22.54
2009-03-26,24.25,25.56,24.14,25.26,3335700,22.36
2009-03-25,23.09,24.33,23.09,24.06,2839300,21.30
2009-03-24,23.46,23.70,22.87,22.92,2727400,20.29
2009-03-23,23.41,23.81,23.17,23.79,2306400,21.06
2009-03-20,23.71,23.95,23.19,23.30,1973200,20.62
2009-03-19,23.86,23.86,23.27,23.70,1619800,20.98
2009-03-18,23.33,23.94,22.87,23.70,2748500,20.98
2009-03-17,22.72,23.19,22.49,23.19,1939000,20.53
2009-03-16,23.41,23.46,22.70,22.78,2430100,20.16
2009-03-13,23.21,23.40,22.88,23.25,1957300,20.58
2009-03-12,21.98,23.18,21.84,23.08,2145100,20.43
2009-03-11,22.32,22.63,21.90,22.06,2506300,19.53
2009-03-10,21.59,22.44,21.32,22.35,2676500,19.78
2009-03-09,21.92,22.12,21.14,21.32,2772900,18.87
2009-03-06,21.94,22.36,21.43,22.07,3479300,19.54
2009-03-05,21.98,22.57,21.79,22.00,5132600,19.47
2009-03-04,22.58,22.81,21.60,22.42,4462200,19.85
2009-03-03,22.80,22.97,22.12,22.24,5406600,19.69
2009-03-02,22.74,23.00,22.33,22.51,3455900,19.93
2009-02-27,22.32,23.53,22.12,22.89,3298900,20.26
2009-02-26,23.13,23.47,22.47,22.58,2849000,19.99
2009-02-25,22.73,23.45,22.17,22.99,4359600,20.35
2009-02-24,22.71,23.04,22.36,22.87,3616300,20.24
2009-02-23,23.20,23.35,22.41,22.50,3189800,19.92
2009-02-20,23.00,23.55,22.80,23.20,5298400,20.54
2009-02-19,23.46,24.03,23.01,23.13,3623700,20.47
2009-02-18,23.70,23.70,23.02,23.33,2935600,20.65
2009-02-17,23.47,23.85,21.68,23.51,3163800,20.81
2009-02-13,24.05,24.36,23.74,23.80,2154700,21.07
2009-02-12,23.84,24.15,23.18,24.01,3410700,21.25
2009-02-11,24.18,24.31,23.92,24.17,2872400,21.39
2009-02-10,24.79,25.12,24.16,24.23,3590100,21.45
2009-02-09,23.57,25.49,23.57,25.07,5320800,22.19
2009-02-06,23.20,23.77,23.01,23.54,2859600,20.84
2009-02-05,22.54,23.57,22.39,23.32,4561000,20.64
2009-02-04,22.41,22.72,21.90,22.59,1881100,20.00
2009-02-03,22.01,22.68,21.70,22.54,2746700,19.95
2009-02-02,22.47,22.55,21.68,21.93,6743000,19.41
2009-01-30,25.52,25.52,24.03,24.13,2414300,21.36
2009-01-29,26.13,26.53,25.29,25.50,1665800,22.39
2009-01-28,26.21,26.67,26.06,26.62,1332700,23.38
2009-01-27,25.96,26.31,25.70,26.06,1101200,22.89
2009-01-26,25.92,26.48,25.46,25.94,1128400,22.78
2009-01-23,25.71,26.25,25.48,25.84,1332900,22.69
2009-01-22,26.38,26.57,25.75,26.19,1904500,23.00
2009-01-21,26.07,26.96,25.79,26.95,2419700,23.67
2009-01-20,26.56,26.95,25.80,25.84,1938200,22.69
2009-01-16,27.05,27.09,26.33,26.89,1464000,23.62
2009-01-15,26.35,27.13,25.95,26.85,1743400,23.58
2009-01-14,26.69,26.74,26.06,26.47,1761500,23.25
2009-01-13,27.11,27.46,26.55,26.99,2181800,23.70
2009-01-12,27.91,28.14,26.99,27.20,2014300,23.89
2009-01-09,28.85,28.85,27.85,27.98,1683200,24.57
2009-01-08,29.32,29.44,28.05,28.90,2623200,25.38
2009-01-07,28.64,29.74,28.42,29.61,3111700,26.00
2009-01-06,29.43,29.69,28.67,29.28,2099100,25.71
2009-01-05,29.64,29.74,28.82,29.42,1887500,25.84
2009-01-02,29.36,29.91,28.71,29.60,1253400,26.00
2008-12-31,29.09,29.32,28.82,29.17,1314800,25.62
2008-12-30,28.39,29.04,28.14,29.02,1677200,25.49
2008-12-29,29.01,29.18,28.10,28.30,1683000,24.85
2008-12-26,29.03,29.30,28.72,29.04,515200,25.50
2008-12-24,29.50,29.67,28.88,29.13,472300,25.58
2008-12-23,28.62,29.69,28.46,28.99,1672300,25.46
2008-12-22,29.17,29.46,28.40,28.81,2349600,25.30
2008-12-19,28.93,29.59,28.49,29.17,2285100,25.62
2008-12-18,29.49,29.59,28.22,28.63,1816300,25.14
2008-12-17,29.00,29.54,28.35,28.96,1881600,25.43
2008-12-16,27.41,28.95,27.26,28.87,2688700,25.35
2008-12-15,27.36,27.56,26.69,27.31,1876300,23.98
2008-12-12,27.00,27.35,26.55,27.04,1594700,23.75
2008-12-11,28.27,28.35,27.16,27.37,1524200,24.04
2008-12-10,28.13,28.50,27.69,28.07,1469200,24.65
2008-12-09,28.37,28.88,28.00,28.07,1562000,24.65
2008-12-08,28.31,29.08,27.15,28.61,2126100,25.13
2008-12-05,26.46,28.03,26.34,27.84,1796100,24.45
2008-12-04,26.58,27.65,26.49,26.97,1598000,23.69
2008-12-03,25.93,27.29,25.75,27.11,1796400,23.81
2008-12-02,25.75,26.41,25.11,26.41,2110400,23.19
2008-12-01,26.43,26.60,25.50,25.50,2247700,22.39
2008-11-28,27.19,27.40,26.50,26.80,834700,23.54
