Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,132.41,132.85,130.75,130.90,4223400,124.22
2009-12-30,131.23,132.68,130.68,132.57,3867000,125.80
2009-12-29,132.28,132.37,131.80,131.85,4184200,125.12
2009-12-28,130.99,132.31,130.72,132.31,5800400,125.55
2009-12-24,129.89,130.57,129.48,130.57,4265100,123.90
2009-12-23,129.70,130.00,129.30,130.00,4127600,123.36
2009-12-22,129.30,129.98,129.19,129.93,5535500,123.29
2009-12-21,127.80,128.94,127.68,128.65,4772500,122.08
2009-12-18,127.97,128.39,127.00,127.91,9106600,121.38
2009-12-17,128.00,128.56,127.12,127.40,5909500,120.89
2009-12-16,128.74,129.60,128.35,128.71,6372500,122.14
2009-12-15,129.46,129.86,127.94,128.49,7862600,121.93
2009-12-14,129.65,129.98,129.60,129.93,5201300,123.29
2009-12-11,129.01,129.77,128.71,129.68,6597200,123.06
2009-12-10,128.13,129.47,128.09,129.34,7077800,122.73
2009-12-09,126.70,128.39,126.11,128.39,6071900,121.83
2009-12-08,126.97,127.35,126.16,126.80,5351400,120.32
2009-12-07,126.88,127.53,126.59,127.04,4144400,120.55
2009-12-04,128.40,128.90,126.00,127.25,7068500,120.75
2009-12-03,127.60,128.47,127.25,127.55,5760000,121.04
2009-12-02,127.32,128.39,127.16,127.21,4597900,120.71
2009-12-01,127.29,128.39,126.85,127.94,6578600,121.41
2009-11-30,125.12,126.60,124.92,126.35,6302700,119.90
2009-11-27,124.59,126.62,124.26,125.70,3319200,119.28
2009-11-25,127.88,128.22,127.08,127.28,3967700,120.78
2009-11-24,127.90,128.32,127.14,127.93,4816500,121.40
2009-11-23,127.70,128.94,127.65,128.20,7003500,121.65
2009-11-20,127.17,127.69,126.46,126.96,5354200,120.48
2009-11-19,127.28,127.84,126.51,127.54,5308400,121.03
2009-11-18,128.05,128.35,127.55,128.15,3970100,121.61
2009-11-17,127.43,128.65,127.40,128.63,1027500,122.06
2009-11-16,127.17,128.24,127.03,128.21,7822500,121.66
2009-11-13,126.41,127.80,126.27,127.03,4979700,120.54
2009-11-12,126.61,127.65,126.11,126.26,5345400,119.81
2009-11-11,126.55,127.30,125.94,127.19,6530800,120.69
2009-11-10,125.30,127.05,125.17,126.91,6444500,120.43
2009-11-09,123.92,126.00,123.49,126.00,7764600,119.57
2009-11-06,122.51,123.49,122.23,123.49,4979600,117.18
2009-11-05,122.12,123.50,122.00,123.10,6701800,116.29
2009-11-04,121.46,122.50,121.16,121.29,6353300,114.58
2009-11-03,119.53,121.19,119.53,121.16,5706800,114.46
2009-11-02,120.77,121.93,119.50,120.56,7049400,113.89
2009-10-30,122.63,123.25,120.48,120.61,7711700,113.94
2009-10-29,122.15,123.03,121.60,122.87,6309400,116.07
2009-10-28,120.47,121.68,119.87,121.50,8780400,114.78
2009-10-27,120.18,122.14,119.15,120.65,9445400,113.98
2009-10-26,120.61,122.44,119.55,120.11,6538500,113.47
2009-10-23,122.95,123.06,120.00,120.36,6799200,113.70
2009-10-22,120.75,123.00,120.34,122.69,6027000,115.90
2009-10-21,122.18,124.11,120.86,120.87,7171000,114.19
2009-10-20,123.36,123.50,121.50,122.82,8780700,116.03
2009-10-19,121.76,123.36,121.61,123.06,7514100,116.25
2009-10-16,123.15,123.70,121.25,121.64,19216900,114.91
2009-10-15,127.56,128.00,126.32,127.98,11904600,120.90
2009-10-14,127.71,128.61,126.60,128.35,9545500,121.25
2009-10-13,126.22,127.39,126.20,127.02,7581300,119.99
2009-10-12,125.44,127.10,125.20,127.04,7730500,120.01
2009-10-09,122.43,126.00,122.30,125.93,13123100,118.97
2009-10-08,122.52,122.98,121.85,122.29,6498000,115.53
2009-10-07,121.12,122.85,120.94,122.78,5872000,115.99
2009-10-06,120.39,121.59,120.22,121.35,6659100,114.64
2009-10-05,118.90,120.18,118.13,119.75,5673300,113.13
2009-10-02,117.40,119.66,117.26,119.02,7581900,112.44
2009-10-01,119.39,119.61,117.56,117.90,7067500,111.38
2009-09-30,119.18,120.00,117.55,119.61,7733300,112.99
2009-09-29,119.36,119.94,118.60,118.81,6748800,112.24
2009-09-28,120.52,122.00,118.94,119.33,8248600,112.73
2009-09-25,120.27,121.65,120.10,121.08,5187900,114.38
2009-09-24,120.69,121.65,120.40,120.94,5426800,114.25
2009-09-23,121.26,122.74,120.71,120.82,5538100,114.14
2009-09-22,122.09,122.11,120.98,121.61,5564700,114.88
2009-09-21,121.03,122.08,120.88,121.57,4515100,114.85
2009-09-18,122.45,122.88,121.62,122.11,9935800,115.36
2009-09-17,121.14,122.78,121.05,121.88,8392600,115.14
2009-09-16,119.50,122.00,119.30,121.82,11236700,115.08
2009-09-15,118.78,119.45,118.16,119.35,6536000,112.75
2009-09-14,117.00,118.99,116.94,118.88,4758600,112.31
2009-09-11,117.80,119.25,117.47,118.05,5893700,111.52
2009-09-10,116.99,117.83,116.75,117.67,4889400,111.16
2009-09-09,117.03,117.67,116.16,116.76,5248100,110.30
2009-09-08,117.94,118.17,116.63,117.16,5797500,110.68
2009-09-04,116.58,117.50,116.21,117.46,3451700,110.96
2009-09-03,116.55,116.73,115.15,116.33,4936200,109.90
2009-09-02,116.34,117.24,116.00,116.09,5178800,109.67
2009-09-01,117.67,118.93,116.50,116.69,6303800,110.24
2009-08-31,117.10,118.06,116.92,118.05,5439400,111.52
2009-08-28,120.10,120.23,117.77,118.22,6235700,111.68
2009-08-27,118.73,119.59,117.85,119.43,4356900,112.82
2009-08-26,118.64,119.85,117.51,119.47,4515500,112.86
2009-08-25,119.25,120.15,118.71,118.83,4652200,112.26
2009-08-24,119.92,120.88,119.10,119.32,6363400,112.72
2009-08-21,119.65,120.01,118.55,119.90,8306800,113.27
2009-08-20,118.44,119.41,118.10,118.95,4841700,112.37
2009-08-19,116.36,118.77,116.12,118.57,4837900,112.01
2009-08-18,116.81,118.00,116.73,117.63,4286200,111.12
2009-08-17,116.69,117.44,116.21,116.86,5349600,110.40
2009-08-14,119.29,119.74,117.62,118.57,4796400,112.01
2009-08-13,119.28,119.78,118.63,119.58,5489200,112.97
2009-08-12,117.60,119.96,117.42,119.29,6289700,112.69
2009-08-11,118.03,118.50,117.32,117.79,4844500,111.28
2009-08-10,118.17,119.19,117.97,118.70,3981300,112.14
2009-08-07,118.11,119.91,118.11,119.33,5763200,112.73
2009-08-06,118.31,118.40,116.70,117.38,6003100,110.89
2009-08-05,118.52,119.00,117.86,118.47,5025800,111.40
2009-08-04,119.17,119.80,119.02,119.60,4993500,112.46
2009-08-03,118.88,119.96,118.69,119.92,6108200,112.76
2009-07-31,117.56,118.99,117.56,117.93,5329600,110.89
2009-07-30,118.00,119.37,117.67,117.86,6803100,110.82
2009-07-29,116.36,117.28,116.05,117.26,5100900,110.26
2009-07-28,116.63,117.52,116.34,117.28,5782900,110.28
2009-07-27,116.95,117.92,116.57,117.63,5069200,110.61
2009-07-24,116.68,118.15,116.63,117.64,6261000,110.62
2009-07-23,115.06,118.00,115.06,117.06,8461400,110.07
2009-07-22,116.18,117.20,115.09,115.57,8813400,108.67
2009-07-21,115.87,117.04,115.38,117.04,8301700,110.05
2009-07-20,114.53,116.88,114.39,116.44,10682500,109.49
2009-07-17,113.41,115.53,113.16,115.42,20188900,108.53
2009-07-16,106.84,110.97,106.79,110.64,14997900,104.04
2009-07-15,104.75,107.22,104.60,107.22,8699100,100.82
2009-07-14,103.42,103.62,102.52,103.25,5413500,97.09
2009-07-13,101.28,103.65,100.19,103.62,9494300,97.43
2009-07-10,100.97,101.72,99.80,100.83,7465900,94.81
2009-07-09,101.12,102.78,100.85,102.08,6153200,95.99
2009-07-08,100.29,101.17,99.50,100.68,7380800,94.67
2009-07-07,101.34,101.96,100.03,100.19,6685600,94.21
2009-07-06,101.57,102.23,100.47,101.65,6522500,95.58
2009-07-02,103.80,103.91,101.73,101.73,7026700,95.66
2009-07-01,105.00,106.27,104.73,104.84,5537300,98.58
2009-06-30,105.69,106.03,103.81,104.42,7512600,98.19
2009-06-29,105.99,106.18,105.16,105.83,4681800,99.51
2009-06-26,106.50,106.50,105.05,105.68,5127900,99.37
2009-06-25,103.70,106.79,103.51,106.06,6900600,99.73
2009-06-24,105.39,106.48,103.72,104.15,6395200,97.93
2009-06-23,104.75,104.87,103.79,104.44,5152600,98.21
2009-06-22,105.18,105.88,104.23,104.52,7295400,98.28
2009-06-19,106.31,106.65,105.50,105.89,13559000,99.57
