Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,41.65,41.66,41.12,41.14,382800,38.62
2009-12-30,41.50,41.74,41.43,41.52,216800,38.98
2009-12-29,41.52,41.57,41.30,41.47,266400,38.93
2009-12-28,41.46,41.60,41.20,41.36,174700,38.83
2009-12-24,41.28,41.54,41.18,41.38,56600,38.84
2009-12-23,40.80,41.24,40.66,41.16,276200,38.64
2009-12-22,40.79,41.07,40.56,40.77,271200,38.27
2009-12-21,40.58,41.08,40.43,40.79,325100,38.29
2009-12-18,41.02,41.08,40.12,40.42,694200,37.94
2009-12-17,41.30,41.30,40.69,40.82,478300,38.32
2009-12-16,41.64,42.00,41.49,41.75,423200,38.96
2009-12-15,41.57,41.95,41.35,41.46,458500,38.69
2009-12-14,41.43,41.89,41.17,41.85,415300,39.05
2009-12-11,41.65,41.87,41.10,41.20,496800,38.44
2009-12-10,41.98,42.03,41.26,41.37,513700,38.60
2009-12-09,41.31,41.68,41.03,41.59,493100,38.81
2009-12-08,41.60,41.68,41.17,41.26,487700,38.50
2009-12-07,41.28,41.95,41.22,41.66,567600,38.87
2009-12-04,41.30,42.58,40.51,41.15,671600,38.40
2009-12-03,41.05,41.48,40.48,40.53,354800,37.82
2009-12-02,41.13,41.52,40.96,41.22,316900,38.46
2009-12-01,40.87,41.19,40.75,41.02,396300,38.28
2009-11-30,40.27,40.77,40.01,40.72,491800,38.00
2009-11-27,40.32,40.77,40.00,40.32,154300,37.62
2009-11-25,40.77,41.31,40.55,41.20,295900,38.44
2009-11-24,40.95,41.12,40.34,40.62,291600,37.90
2009-11-23,40.91,41.46,40.67,40.86,278900,38.13
2009-11-20,40.27,40.64,40.20,40.46,391500,37.75
2009-11-19,40.98,40.98,40.28,40.48,349000,37.77
2009-11-18,41.51,41.67,41.07,41.33,262000,38.57
2009-11-17,41.39,41.70,41.31,41.59,311600,38.81
2009-11-16,41.15,41.61,41.12,41.41,394500,38.64
2009-11-13,40.80,41.11,40.42,40.87,392500,38.14
2009-11-12,40.92,41.34,40.48,40.68,559700,37.96
2009-11-11,41.50,41.50,40.72,40.92,595900,38.18
2009-11-10,40.90,41.41,40.84,41.23,500700,38.47
2009-11-09,40.42,41.00,40.42,40.97,748400,38.23
2009-11-06,40.10,40.83,40.03,40.25,723200,37.56
2009-11-05,39.72,40.46,39.72,40.30,852000,37.60
2009-11-04,39.66,40.25,39.14,39.40,814500,36.76
2009-11-03,38.22,39.08,38.10,38.86,638000,36.26
2009-11-02,38.17,38.57,37.84,38.51,530400,35.93
2009-10-30,38.56,38.84,38.07,38.09,745400,35.54
2009-10-29,38.19,38.81,38.10,38.72,636500,36.13
2009-10-28,38.92,38.99,37.74,37.85,487800,35.32
2009-10-27,39.08,39.58,38.88,38.90,594300,36.30
2009-10-26,39.72,40.26,38.97,39.10,464100,36.48
2009-10-23,40.26,40.27,39.34,39.65,417800,37.00
2009-10-22,39.69,40.53,39.53,40.24,484500,37.55
2009-10-21,40.32,40.78,39.68,39.77,699400,37.11
2009-10-20,38.86,39.20,38.66,39.15,477900,36.53
2009-10-19,39.08,39.08,38.62,38.97,828300,36.36
2009-10-16,38.85,39.09,38.58,39.05,593500,36.44
2009-10-15,38.96,39.09,38.73,39.06,400300,36.45
2009-10-14,39.07,39.12,38.39,39.00,463700,36.39
2009-10-13,38.64,38.82,38.48,38.68,517100,36.09
2009-10-12,38.70,39.24,38.65,38.77,674800,36.18
2009-10-09,38.59,38.78,38.24,38.72,281000,36.13
2009-10-08,38.24,38.66,38.02,38.60,357200,36.02
2009-10-07,37.47,37.78,37.10,37.73,266200,35.21
2009-10-06,37.50,37.93,37.21,37.64,304400,35.12
2009-10-05,36.98,37.12,36.68,37.09,391600,34.61
2009-10-02,36.67,37.43,36.67,36.85,407500,34.39
2009-10-01,37.78,37.92,37.23,37.24,944600,34.75
2009-09-30,37.88,38.40,37.58,37.93,642200,35.39
2009-09-29,38.06,38.40,37.59,37.76,835100,35.23
2009-09-28,37.05,38.09,36.99,38.09,358900,35.54
2009-09-25,37.33,37.38,36.71,36.93,604400,34.46
2009-09-24,38.22,38.35,37.24,37.40,499200,34.90
2009-09-23,38.86,39.21,38.00,38.07,789800,35.52
2009-09-22,39.18,39.19,38.56,38.89,309100,36.29
2009-09-21,38.82,39.17,38.55,38.90,342500,36.30
2009-09-18,38.72,39.50,38.52,39.15,636400,36.53
2009-09-17,38.70,39.12,38.45,38.52,355300,35.94
2009-09-16,38.44,39.01,38.00,39.01,299900,36.17
2009-09-15,37.78,38.30,37.46,38.25,298700,35.46
2009-09-14,36.88,38.10,35.76,37.91,542900,35.15
2009-09-11,37.28,37.50,36.72,37.22,372000,34.51
2009-09-10,36.79,37.44,36.45,37.36,460900,34.64
2009-09-09,35.82,36.96,35.82,36.76,715900,34.08
2009-09-08,35.52,35.94,35.17,35.78,415900,33.17
2009-09-04,35.01,35.18,34.44,35.18,316700,32.62
2009-09-03,34.92,34.97,34.38,34.94,307600,32.39
2009-09-02,34.91,35.12,34.50,34.86,412400,32.32
2009-09-01,35.50,35.88,34.82,34.91,478300,32.37
2009-08-31,35.71,35.93,35.47,35.62,357500,33.02
2009-08-28,36.22,36.36,35.64,36.14,284300,33.51
2009-08-27,35.98,36.29,35.54,36.07,267400,33.44
2009-08-26,35.91,36.41,35.75,36.08,356300,33.45
2009-08-25,36.21,36.53,35.88,35.90,297900,33.28
2009-08-24,36.49,36.78,36.04,36.10,382800,33.47
2009-08-21,35.52,36.31,35.34,36.31,645800,33.66
2009-08-20,35.31,35.34,34.72,35.23,638600,32.66
2009-08-19,35.39,35.67,35.14,35.36,1105900,32.78
2009-08-18,35.68,35.95,35.41,35.73,370500,33.13
2009-08-17,36.08,36.16,35.40,35.66,407500,33.06
2009-08-14,37.38,37.40,36.37,36.69,310900,34.02
2009-08-13,36.85,37.52,36.76,37.33,431800,34.61
2009-08-12,36.15,37.00,36.11,36.72,310400,34.04
2009-08-11,36.21,36.50,35.94,36.28,395700,33.64
2009-08-10,36.82,36.86,36.28,36.36,447900,33.71
2009-08-07,36.52,37.17,36.16,36.88,771900,34.19
2009-08-06,35.95,36.50,35.55,36.07,662700,33.44
2009-08-05,36.66,36.77,34.91,35.89,979000,33.27
2009-08-04,35.68,36.95,35.52,36.42,868500,33.77
2009-08-03,35.36,35.94,35.20,35.81,485500,33.20
2009-07-31,34.59,35.54,34.53,35.26,574300,32.69
2009-07-30,34.54,35.09,34.46,34.64,575800,32.12
2009-07-29,34.30,34.43,33.95,34.05,729400,31.57
2009-07-28,34.35,34.53,33.99,34.50,612200,31.99
2009-07-27,34.40,34.51,34.08,34.37,491600,31.87
2009-07-24,34.09,34.47,33.68,34.47,492000,31.96
2009-07-23,33.80,34.47,33.66,34.23,751100,31.74
2009-07-22,33.56,34.21,33.56,33.72,701500,31.26
2009-07-21,33.79,34.10,33.16,33.71,522400,31.25
2009-07-20,33.37,33.64,33.01,33.60,539700,31.15
2009-07-17,33.09,33.35,32.87,33.16,550600,30.74
2009-07-16,32.69,33.26,32.60,33.19,655200,30.77
2009-07-15,32.32,32.74,32.25,32.73,531400,30.35
2009-07-14,31.78,31.97,31.43,31.92,472500,29.59
2009-07-13,31.12,31.78,30.75,31.78,693700,29.46
2009-07-10,31.12,31.40,30.71,31.21,694800,28.94
2009-07-09,31.66,31.66,30.97,31.22,558900,28.95
2009-07-08,31.61,31.78,31.21,31.42,583500,29.13
2009-07-07,32.31,32.50,31.62,31.63,830900,29.33
2009-07-06,31.50,32.38,31.50,32.31,542500,29.96
2009-07-02,32.40,32.40,31.65,31.65,495300,29.34
2009-07-01,32.71,33.16,32.58,32.71,444800,30.33
2009-06-30,32.72,32.91,32.27,32.72,852400,30.34
2009-06-29,32.36,33.06,32.31,32.86,462000,30.47
2009-06-26,32.23,32.62,31.93,32.39,603000,30.03
2009-06-25,31.70,32.30,31.33,32.26,722700,29.91
