Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,17.63,17.84,17.37,17.37,2961400,16.59
2009-12-30,17.79,17.86,17.60,17.67,2702100,16.88
2009-12-29,17.63,17.91,17.37,17.83,2976900,17.03
2009-12-28,17.56,17.76,17.42,17.56,3098800,16.78
2009-12-24,17.24,17.50,17.15,17.42,1415900,16.64
2009-12-23,17.12,17.37,16.75,17.06,4983200,16.30
2009-12-22,16.01,17.18,15.76,17.18,11292200,16.41
2009-12-21,15.09,15.33,14.95,15.02,5063300,14.35
2009-12-18,14.79,15.06,14.54,14.80,4549900,14.14
2009-12-17,14.31,14.52,14.09,14.42,3171700,13.78
2009-12-16,14.45,14.61,14.40,14.46,1975200,13.81
2009-12-15,14.41,14.86,14.31,14.38,3986300,13.74
2009-12-14,14.25,14.60,14.08,14.46,2857600,13.81
2009-12-11,14.07,14.27,13.90,14.06,1894200,13.43
2009-12-10,13.89,14.06,13.71,14.03,3162900,13.40
2009-12-09,13.27,13.81,13.18,13.70,4206500,13.09
2009-12-08,13.16,13.36,13.00,13.25,2590200,12.66
2009-12-07,12.94,13.39,12.93,13.25,3065700,12.66
2009-12-04,13.12,13.35,12.81,12.94,4836000,12.36
2009-12-03,13.11,13.34,12.81,12.86,4281600,12.29
2009-12-02,13.09,13.23,13.00,13.10,3523800,12.52
2009-12-01,13.40,13.64,13.24,13.27,2921800,12.68
2009-11-30,13.30,13.36,13.01,13.31,2620600,12.72
2009-11-27,13.07,13.51,12.77,13.34,1238100,12.74
2009-11-25,13.39,13.67,13.34,13.53,1666300,12.93
2009-11-24,13.87,13.93,13.33,13.37,3035400,12.77
2009-11-23,13.92,14.10,13.79,13.93,2181500,13.31
2009-11-20,13.60,13.77,13.50,13.63,2244800,13.02
2009-11-19,14.11,14.11,13.43,13.75,3015200,13.14
2009-11-18,14.40,14.50,14.18,14.23,2079600,13.59
2009-11-17,14.41,14.51,14.28,14.42,2384200,13.78
2009-11-16,14.58,14.58,14.33,14.52,4034300,13.87
2009-11-13,14.48,14.59,14.32,14.48,2014700,13.83
2009-11-12,14.69,14.71,14.37,14.45,2643400,13.81
2009-11-11,14.87,15.00,14.65,14.70,3473800,13.98
2009-11-10,14.74,14.99,14.50,14.77,2605000,14.04
2009-11-09,14.53,14.91,14.47,14.83,2793200,14.10
2009-11-06,14.05,14.58,14.00,14.29,2999100,13.59
2009-11-05,13.85,14.36,13.77,14.24,4550300,13.54
2009-11-04,13.81,13.93,13.60,13.63,3390400,12.96
2009-11-03,13.53,13.59,13.31,13.54,4861500,12.87
2009-11-02,13.42,13.93,13.32,13.70,4232700,13.03
2009-10-30,14.30,14.30,13.33,13.38,4720600,12.72
2009-10-29,13.94,14.39,13.85,14.27,3946700,13.57
2009-10-28,14.52,14.65,13.66,13.69,5644500,13.02
2009-10-27,15.01,15.29,14.60,14.65,5332800,13.93
2009-10-26,15.02,15.40,14.94,15.00,7606400,14.26
2009-10-23,15.05,15.21,14.81,14.96,3769800,14.22
2009-10-22,14.86,15.01,14.57,14.88,2919500,14.15
2009-10-21,14.97,15.45,14.90,14.96,3333000,14.22
2009-10-20,15.33,15.33,14.87,15.12,2972800,14.38
2009-10-19,14.81,15.34,14.81,15.18,3645600,14.43
2009-10-16,15.07,15.17,14.58,14.78,4078600,14.05
2009-10-15,15.26,15.28,15.00,15.20,2820200,14.45
2009-10-14,14.90,15.42,14.77,15.38,5903200,14.62
2009-10-13,14.57,14.73,14.36,14.64,4799300,13.92
2009-10-12,14.50,14.69,14.41,14.56,3217100,13.84
2009-10-09,14.03,14.38,13.90,14.35,2360200,13.64
2009-10-08,14.02,14.30,13.82,13.95,5353100,13.26
2009-10-07,13.82,13.97,13.64,13.92,4389200,13.24
2009-10-06,13.70,14.06,13.64,13.88,7193600,13.20
2009-10-05,13.06,13.68,12.98,13.60,6652900,12.93
2009-10-02,12.63,13.03,12.51,12.94,6166200,12.30
2009-10-01,13.41,13.46,12.89,12.89,8136300,12.26
2009-09-30,13.04,13.55,12.93,13.41,14504200,12.75
2009-09-29,12.47,12.53,12.07,12.28,7081700,11.68
2009-09-28,11.97,12.52,11.93,12.38,3325000,11.77
2009-09-25,12.39,12.41,11.54,11.87,6613100,11.29
2009-09-24,12.92,12.92,12.51,12.53,5395400,11.91
2009-09-23,12.35,13.18,12.35,12.69,5543000,12.07
2009-09-22,12.47,12.49,12.33,12.34,2717100,11.73
2009-09-21,12.30,12.46,12.17,12.40,3519100,11.79
2009-09-18,12.05,12.41,11.90,12.41,9255000,11.80
2009-09-17,12.16,12.56,11.91,11.91,3913500,11.32
2009-09-16,12.00,12.48,12.00,12.20,5188900,11.60
2009-09-15,11.89,12.24,11.84,11.89,3763900,11.31
2009-09-14,11.67,11.91,11.45,11.91,2629200,11.32
2009-09-11,11.80,11.88,11.55,11.77,1750200,11.19
2009-09-10,11.83,11.96,11.70,11.78,2838200,11.20
2009-09-09,11.11,12.00,11.03,11.83,4434000,11.25
2009-09-08,11.21,11.32,11.02,11.12,4300900,10.57
2009-09-04,10.74,11.09,10.58,11.08,2743500,10.54
2009-09-03,10.55,10.73,10.51,10.72,2614500,10.19
2009-09-02,10.92,10.93,10.41,10.56,4842900,10.04
2009-09-01,10.77,11.28,10.62,10.95,5624500,10.41
2009-08-31,11.10,11.14,10.81,10.95,3007700,10.41
2009-08-28,10.99,11.24,10.96,11.16,2895800,10.61
2009-08-27,10.70,10.81,10.49,10.81,1995000,10.28
2009-08-26,10.62,10.89,10.52,10.63,1727000,10.11
2009-08-25,10.72,11.09,10.60,10.80,2699200,10.27
2009-08-24,10.77,10.97,10.51,10.56,3584500,10.04
2009-08-21,10.23,10.78,9.99,10.71,4800800,10.18
2009-08-20,9.70,9.94,9.56,9.66,2952700,9.18
2009-08-19,9.64,9.82,9.50,9.72,2365800,9.24
2009-08-18,9.42,9.79,9.36,9.74,2131600,9.26
2009-08-17,9.65,9.65,9.26,9.33,2066300,8.87
2009-08-14,10.11,10.12,9.69,9.87,1411100,9.38
2009-08-13,10.34,10.35,9.93,10.06,2198200,9.57
2009-08-12,9.75,10.36,9.72,10.27,2925500,9.70
2009-08-11,9.57,9.83,9.54,9.75,1970400,9.21
2009-08-10,9.79,9.87,9.49,9.64,1615600,9.10
2009-08-07,9.66,9.85,9.53,9.79,2076100,9.25
