Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,64.29,64.42,63.66,63.71,1212600,56.43
2009-12-30,64.35,64.75,64.25,64.39,1044000,57.03
2009-12-29,64.36,64.83,64.26,64.41,1235700,57.05
2009-12-28,64.06,64.39,63.87,64.38,951100,57.02
2009-12-24,64.40,64.54,63.75,64.01,656200,56.69
2009-12-23,64.48,64.48,63.95,64.24,1589900,56.90
2009-12-22,64.66,64.83,63.90,64.23,1663800,56.89
2009-12-21,63.51,64.73,63.51,64.49,1890200,57.12
2009-12-18,64.29,64.47,62.78,63.33,3551200,56.09
2009-12-17,64.95,64.95,64.00,64.09,2500200,56.76
2009-12-16,65.23,65.63,64.84,64.96,1972900,57.53
2009-12-15,65.16,65.28,64.75,65.01,2009700,57.58
2009-12-14,65.00,65.32,64.87,65.03,1810400,57.60
2009-12-11,64.98,65.24,64.58,64.71,2806800,57.31
2009-12-10,64.27,65.06,64.04,64.61,2529900,57.22
2009-12-09,64.31,64.37,63.41,64.12,3641700,56.79
2009-12-08,64.99,65.16,64.49,64.91,2207500,57.49
2009-12-07,65.44,65.44,64.57,65.19,2771400,57.74
2009-12-04,66.57,66.81,65.72,65.87,2462700,58.34
2009-12-03,66.91,66.93,65.91,66.03,1957300,58.48
2009-12-02,66.42,67.03,66.26,66.79,2167400,59.15
2009-12-01,66.58,66.99,66.40,66.82,2106600,58.65
2009-11-30,65.69,66.27,65.16,65.97,2336800,57.90
2009-11-27,65.24,66.20,64.76,65.56,1167400,57.54
2009-11-25,65.89,66.10,65.72,66.01,1882600,57.94
2009-11-24,65.85,65.99,65.17,65.76,1865900,57.72
2009-11-23,64.98,66.07,64.96,65.68,2813800,57.65
2009-11-20,64.71,64.90,64.29,64.75,1752600,56.83
2009-11-19,64.83,64.93,64.18,64.75,1653500,56.83
2009-11-18,65.13,65.91,64.51,65.13,3331000,57.17
2009-11-17,64.56,65.38,64.56,65.28,2630800,57.30
2009-11-16,64.07,64.83,64.02,64.83,2859900,56.90
2009-11-13,63.66,64.04,63.14,64.04,2555700,56.21
2009-11-12,63.93,64.14,63.38,63.58,1821500,55.81
2009-11-11,64.42,64.49,63.65,64.01,2562400,56.18
2009-11-10,64.07,64.45,63.86,64.26,1967600,56.40
2009-11-09,63.71,64.14,63.43,64.10,3103800,56.26
2009-11-06,63.19,63.71,62.89,63.71,2155700,55.92
2009-11-05,63.10,63.68,62.72,63.55,2960000,55.78
2009-11-04,62.09,63.00,62.09,62.65,3297800,54.99
2009-11-03,62.50,62.50,61.53,62.00,2665500,54.42
