Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,24.49,24.75,24.25,24.25,1214400,24.25
2009-12-30,24.46,24.58,24.22,24.46,968900,24.46
2009-12-29,24.54,24.63,24.35,24.40,867100,24.40
2009-12-28,24.30,24.71,24.25,24.50,1728400,24.50
2009-12-24,24.24,24.42,24.03,24.23,577900,24.23
2009-12-23,24.06,24.30,23.79,24.25,1528200,24.25
2009-12-22,24.08,24.25,23.96,23.99,1818600,23.99
2009-12-21,23.59,24.16,23.51,24.03,2970100,24.03
2009-12-18,23.06,23.40,22.27,23.35,7724400,23.35
2009-12-17,21.59,21.96,21.47,21.82,2714900,21.82
2009-12-16,21.27,21.83,21.25,21.77,2049000,21.77
2009-12-15,21.48,21.51,21.07,21.17,2388800,21.17
2009-12-14,21.20,21.72,21.05,21.49,3176800,21.49
2009-12-11,20.78,21.10,20.61,20.99,2429100,20.99
2009-12-10,20.45,20.87,20.35,20.60,1874700,20.60
2009-12-09,20.35,20.38,19.92,20.31,1511500,20.31
2009-12-08,20.28,20.40,19.90,20.34,1800100,20.34
2009-12-07,19.92,20.50,19.92,20.30,1766100,20.30
2009-12-04,19.91,20.45,19.68,19.97,1493800,19.97
2009-12-03,20.11,20.26,19.60,19.63,1666500,19.63
2009-12-02,20.19,20.53,20.04,20.17,1181600,20.17
2009-12-01,20.13,20.40,19.96,20.16,1308800,20.16
2009-11-30,20.10,20.21,19.47,19.88,1770400,19.88
2009-11-27,19.66,20.14,19.36,19.99,766000,19.99
2009-11-25,20.10,20.50,20.00,20.32,1592500,20.32
2009-11-24,20.24,20.36,19.97,20.00,1385900,20.00
2009-11-23,20.35,20.63,20.00,20.24,1181700,20.24
2009-11-20,20.09,20.41,19.60,20.10,1511300,20.10
2009-11-19,20.25,20.36,19.88,20.16,1254200,20.16
2009-11-18,20.87,20.95,20.47,20.58,1144200,20.58
2009-11-17,21.22,21.33,20.64,20.94,979700,20.94
2009-11-16,21.23,21.42,20.89,21.27,1459000,21.27
2009-11-13,20.84,21.06,20.45,20.96,1160900,20.96
2009-11-12,21.02,21.23,20.66,20.80,1327600,20.80
2009-11-11,21.35,21.62,20.98,21.10,1523400,21.10
2009-11-10,21.17,21.34,20.88,21.18,2291600,21.18
2009-11-09,21.33,21.37,21.06,21.25,1296400,21.25
2009-11-06,20.61,21.28,20.54,20.94,1481800,20.94
2009-11-05,20.42,20.90,20.15,20.89,1951100,20.89
2009-11-04,20.16,20.59,19.94,20.30,3345600,20.30
2009-11-03,19.63,20.00,19.24,19.93,2049300,19.93
2009-11-02,19.84,20.04,19.26,19.72,2535900,19.72
2009-10-30,20.62,20.75,19.42,19.67,3775600,19.67
2009-10-29,20.11,20.91,20.06,20.68,2959100,20.68
2009-10-28,21.06,21.30,19.86,19.97,3644800,19.97
2009-10-27,22.11,22.21,21.07,21.11,2722100,21.11
2009-10-26,22.30,22.92,22.09,22.20,1295500,22.20
2009-10-23,22.86,22.96,22.20,22.32,2032400,22.32
2009-10-22,22.24,22.80,21.93,22.70,4167100,22.70
2009-10-21,22.18,23.07,22.07,22.21,4092100,22.21
2009-10-20,22.44,22.44,21.88,22.20,3462600,22.20
2009-10-19,21.85,22.15,21.70,21.98,2358000,21.98
2009-10-16,21.39,21.96,21.31,21.87,2880300,21.87
2009-10-15,21.39,21.64,21.18,21.64,1848100,21.64
2009-10-14,20.93,21.52,20.93,21.51,2642900,21.51
2009-10-13,20.45,20.74,20.29,20.71,1784600,20.71
2009-10-12,20.51,20.85,20.35,20.51,1573700,20.51
2009-10-09,20.38,20.57,20.19,20.46,1410800,20.46
2009-10-08,20.50,20.86,20.32,20.47,2664300,20.47
2009-10-07,20.28,20.69,20.17,20.38,4711700,20.38
2009-10-06,19.93,20.40,19.88,20.39,2851700,20.39
2009-10-05,19.37,19.93,19.26,19.81,2787500,19.81
2009-10-02,19.33,19.63,18.91,19.34,3679400,19.34
2009-10-01,20.75,20.79,19.47,19.57,5573100,19.57
2009-09-30,20.91,21.08,20.20,20.90,2831400,20.90
2009-09-29,21.05,21.14,20.70,20.82,3367600,20.82
2009-09-28,20.32,21.20,20.23,21.05,3008900,21.05
2009-09-25,20.04,20.49,19.84,20.32,2801500,20.32
2009-09-24,20.54,20.54,19.74,20.29,3958600,20.29
2009-09-23,21.65,21.65,20.52,20.55,3333700,20.55
2009-09-22,20.50,21.46,20.10,21.20,14966200,21.20
2009-09-21,18.91,19.41,18.68,19.33,3925200,19.33
2009-09-18,18.96,19.16,18.66,19.06,2974900,19.06
2009-09-17,19.42,19.49,18.72,18.79,2853200,18.79
2009-09-16,19.43,20.01,19.27,19.53,3438400,19.53
2009-09-15,18.10,19.43,18.01,19.42,5594000,19.42
2009-09-14,17.79,17.99,17.56,17.99,1380800,17.99
2009-09-11,18.06,18.19,17.87,17.96,2052100,17.96
2009-09-10,17.92,18.15,17.71,18.07,1642300,18.07
2009-09-09,17.67,18.11,17.54,17.89,1575500,17.89
2009-09-08,17.49,17.71,17.39,17.71,1811800,17.71
2009-09-04,17.21,17.50,17.08,17.28,1088400,17.28
2009-09-03,17.03,17.30,16.84,17.30,1643900,17.30
2009-09-02,16.78,17.19,16.64,16.98,2836100,16.98
2009-09-01,17.16,17.66,16.80,16.85,2755800,16.85
2009-08-31,17.34,17.43,17.15,17.31,2363200,17.31
2009-08-28,17.29,17.59,17.18,17.56,2589700,17.56
2009-08-27,16.94,17.28,16.71,17.12,1675100,17.12
2009-08-26,17.14,17.60,17.01,17.01,1934000,17.01
2009-08-25,16.62,17.38,16.57,17.21,1853400,17.21
2009-08-24,17.23,17.33,16.50,16.55,1637900,16.55
2009-08-21,16.85,17.31,16.73,17.14,1671400,17.14
2009-08-20,16.48,16.75,16.36,16.68,1536100,16.68
2009-08-19,16.16,16.72,16.04,16.55,1046300,16.55
2009-08-18,16.12,16.47,15.92,16.39,1747200,16.39
2009-08-17,16.36,16.50,15.96,16.03,2608200,16.03
2009-08-14,17.23,17.31,16.46,16.67,3206000,16.67
2009-08-13,16.90,17.40,16.73,17.31,2301400,17.31
2009-08-12,16.91,17.32,16.91,16.99,1992900,16.99
2009-08-11,17.24,17.44,16.93,16.99,3422500,16.99
2009-08-10,17.33,17.35,16.94,17.34,3164000,17.34
2009-08-07,16.53,17.53,16.41,17.40,3510900,17.40
2009-08-06,16.30,16.66,16.19,16.30,2249700,16.30
2009-08-05,16.61,16.65,16.09,16.30,1988800,16.30
2009-08-04,16.50,16.75,16.44,16.56,2256900,16.56
2009-08-03,16.29,16.69,16.07,16.65,1923300,16.65
2009-07-31,15.93,16.37,15.75,16.13,2834600,16.13
2009-07-30,15.93,16.62,15.91,16.03,2758400,16.03
2009-07-29,15.83,16.02,15.55,15.73,2263900,15.73
2009-07-28,15.86,16.05,15.50,15.99,2293500,15.99
2009-07-27,16.31,16.33,15.79,15.92,2963100,15.92
2009-07-24,16.32,16.40,15.98,16.38,2469600,16.38
2009-07-23,15.76,16.72,15.54,16.51,4580700,16.51
2009-07-22,15.26,16.00,15.19,15.78,2739400,15.78
2009-07-21,15.34,15.35,14.98,15.35,3150600,15.35
2009-07-20,15.20,15.42,14.91,15.22,3063900,15.22
2009-07-17,15.33,15.49,14.98,15.06,2773900,15.06
2009-07-16,15.23,15.50,14.81,15.37,4061200,15.37
2009-07-15,14.58,15.33,14.54,15.27,7925600,15.27
2009-07-14,14.25,14.47,14.11,14.46,8221000,14.46
2009-07-13,13.59,14.10,13.21,14.00,4194400,14.00
2009-07-10,13.48,13.75,13.40,13.55,2648000,13.55
2009-07-09,13.62,13.85,13.46,13.56,2397200,13.56
2009-07-08,13.48,13.74,13.06,13.50,2837600,13.50
