Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,36.10,36.15,35.66,35.71,4821400,30.59
2009-12-30,35.85,36.17,35.82,36.17,3457600,30.99
2009-12-29,36.21,36.36,35.99,36.01,3629300,30.85
2009-12-28,36.19,36.35,35.99,36.21,3104000,31.02
2009-12-24,36.00,36.10,35.80,36.08,1410500,30.91
2009-12-23,36.35,36.47,35.89,35.94,5578300,30.79
2009-12-22,36.43,36.68,35.96,36.11,5231200,30.94
2009-12-21,35.85,36.53,35.72,36.24,6356000,31.05
2009-12-18,35.48,35.78,35.33,35.72,9838300,30.60
2009-12-17,35.68,35.76,35.32,35.45,5318600,30.37
2009-12-16,35.94,36.06,35.71,35.71,7272500,30.59
2009-12-15,35.58,35.79,35.23,35.75,6072400,30.63
2009-12-14,35.24,35.81,35.11,35.62,6539000,30.52
2009-12-11,35.24,35.39,34.47,34.97,12559000,29.96
2009-12-10,35.79,36.04,34.76,35.02,21928200,30.00
2009-12-09,36.50,36.75,36.23,36.56,6549500,31.32
2009-12-08,37.02,37.33,36.44,36.51,7180900,31.28
2009-12-07,37.43,37.78,37.03,37.07,5677300,31.76
2009-12-04,37.76,38.00,37.25,37.39,5001100,32.03
2009-12-03,37.49,37.99,37.31,37.40,6362400,32.04
2009-12-02,37.09,37.66,37.09,37.51,6618300,32.14
2009-12-01,36.82,37.48,36.67,37.09,6762200,31.78
2009-11-30,36.98,37.00,36.57,36.73,6680700,31.47
2009-11-27,36.91,37.04,36.46,36.90,3040500,31.61
2009-11-25,37.44,37.54,37.20,37.40,5113500,32.04
2009-11-24,36.89,37.40,36.72,37.30,8028200,31.96
2009-11-23,36.63,37.18,36.63,36.80,5129200,31.53
2009-11-20,36.04,36.70,36.00,36.59,7319900,31.35
2009-11-19,36.07,36.21,35.26,36.12,7071700,30.95
2009-11-18,36.00,36.22,35.53,36.21,5744200,31.02
2009-11-17,35.89,35.95,35.58,35.94,4780700,30.79
2009-11-16,35.39,36.06,35.25,35.89,7371200,30.75
2009-11-13,35.09,35.52,34.95,35.36,5019100,30.29
2009-11-12,35.02,35.40,34.91,34.98,5226600,29.97
2009-11-11,35.31,35.40,34.86,35.19,6164200,30.15
2009-11-10,34.75,35.34,34.69,35.25,6043400,30.20
2009-11-09,34.76,35.38,34.61,35.32,5819100,29.84
2009-11-06,34.39,34.53,34.16,34.50,9027300,29.15
2009-11-05,34.14,34.60,34.01,34.43,4852300,29.09
2009-11-04,33.82,34.38,33.65,33.98,5766000,28.71
2009-11-03,33.90,34.00,33.38,33.54,7223300,28.34
2009-11-02,34.19,34.19,33.82,34.05,7000200,28.77
2009-10-30,34.07,34.33,33.70,34.01,8669400,28.73
2009-10-29,34.15,34.15,33.70,34.14,7201100,28.84
2009-10-28,34.16,34.37,34.00,34.00,7898000,28.72
2009-10-27,34.00,34.43,33.88,34.18,6637400,28.88
2009-10-26,34.05,34.40,33.73,33.91,8003700,28.65
2009-10-23,34.23,34.28,33.80,33.96,7867500,28.69
2009-10-22,33.97,34.13,33.45,34.10,10035000,28.81
2009-10-21,35.40,35.51,33.48,33.66,17840300,28.44
2009-10-20,35.19,35.63,34.84,35.24,12117400,29.77
2009-10-19,34.72,35.55,34.56,35.28,9515500,29.81
2009-10-16,34.26,34.58,34.26,34.44,6747500,29.10
2009-10-15,33.79,34.51,33.75,34.50,6888400,29.15
2009-10-14,33.59,34.08,33.38,33.92,6773600,28.66
2009-10-13,33.81,33.85,33.30,33.36,5376800,28.18
2009-10-12,33.90,34.06,33.75,33.87,4233800,28.61
2009-10-09,33.39,33.89,33.14,33.78,5442700,28.54
2009-10-08,33.23,33.52,33.19,33.36,5007700,28.18
2009-10-07,33.00,33.12,32.85,33.12,5456500,27.98
2009-10-06,32.65,33.18,32.52,33.02,4829000,27.90
2009-10-05,32.61,32.66,32.27,32.47,5052900,27.43
2009-10-02,32.50,32.65,32.30,32.51,5759000,27.47
2009-10-01,32.97,33.03,32.60,32.65,6639300,27.58
2009-09-30,33.52,33.52,32.75,33.03,6579000,27.91
2009-09-29,33.18,33.55,32.92,33.42,9277100,28.23
2009-09-28,32.73,33.35,32.73,33.04,5600500,27.91
2009-09-25,32.38,32.87,32.38,32.68,6311700,27.61
2009-09-24,32.57,32.73,32.30,32.40,6937400,27.37
2009-09-23,32.85,32.85,32.45,32.45,6428500,27.42
2009-09-22,32.94,33.02,32.69,32.77,6737400,27.69
2009-09-21,33.00,33.03,32.75,32.86,4607600,27.76
2009-09-18,33.00,33.07,32.83,32.86,9311900,27.76
2009-09-17,32.80,32.96,32.68,32.74,7067600,27.66
2009-09-16,32.86,32.95,32.68,32.87,6122600,27.77
2009-09-15,33.23,33.23,32.71,32.75,7476100,27.67
2009-09-14,33.32,33.33,33.01,33.13,8473700,27.99
