Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,5.98,6.05,5.90,6.01,5879000,6.01
2009-12-30,6.01,6.01,5.89,6.00,4063400,6.00
2009-12-29,6.00,6.06,5.82,5.96,5403300,5.96
2009-12-28,6.04,6.11,5.95,6.00,6030100,6.00
2009-12-24,5.97,6.14,5.97,6.03,2644800,6.03
2009-12-23,5.94,6.05,5.88,5.99,7122700,5.99
2009-12-22,5.88,6.00,5.87,5.90,7201700,5.90
2009-12-21,5.60,5.97,5.60,5.96,10623500,5.96
2009-12-18,5.53,5.68,5.51,5.61,8993400,5.61
2009-12-17,5.57,5.61,5.41,5.47,5039400,5.47
2009-12-16,5.53,5.70,5.50,5.60,3918700,5.60
2009-12-15,5.67,5.67,5.51,5.53,7062700,5.53
2009-12-14,5.59,5.65,5.54,5.64,3031800,5.64
2009-12-11,5.59,5.59,5.46,5.57,4755500,5.57
2009-12-10,5.55,5.66,5.49,5.57,6628900,5.57
2009-12-09,5.54,5.62,5.50,5.57,8686300,5.57
2009-12-08,5.62,5.71,5.54,5.55,9022400,5.55
2009-12-07,5.76,5.79,5.66,5.68,5017500,5.68
2009-12-04,5.76,5.83,5.57,5.76,9147000,5.76
2009-12-03,5.65,5.70,5.59,5.62,3823100,5.62
2009-12-02,5.54,5.69,5.54,5.63,5065700,5.63
2009-12-01,5.40,5.60,5.38,5.58,7315500,5.58
2009-11-30,5.44,5.48,5.27,5.29,7363200,5.29
2009-11-27,5.37,5.48,5.30,5.42,2709100,5.42
2009-11-25,5.47,5.55,5.38,5.53,4327500,5.53
2009-11-24,5.45,5.55,5.38,5.45,5564500,5.45
2009-11-23,5.55,5.60,5.44,5.50,4480700,5.50
2009-11-20,5.48,5.51,5.35,5.47,5304800,5.47
2009-11-19,5.49,5.57,5.38,5.51,11066500,5.51
2009-11-18,5.86,5.88,5.69,5.70,4343800,5.70
2009-11-17,5.71,5.86,5.70,5.85,5772500,5.85
2009-11-16,5.51,5.81,5.50,5.79,13897200,5.79
2009-11-13,5.49,5.62,5.46,5.59,4072900,5.59
2009-11-12,5.54,5.61,5.47,5.53,4745400,5.53
2009-11-11,5.54,5.67,5.49,5.56,5812100,5.56
2009-11-10,5.44,5.53,5.33,5.50,6893800,5.50
2009-11-09,5.27,5.48,5.25,5.46,6715900,5.46
2009-11-06,5.09,5.24,5.07,5.22,6733200,5.22
2009-11-05,5.19,5.22,5.04,5.20,7451000,5.20
2009-11-04,5.09,5.15,5.01,5.09,11196300,5.09
2009-11-03,5.11,5.11,4.88,4.99,12036200,4.99
