Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,19.57,19.60,19.22,19.24,1374400,14.38
2009-12-30,19.53,19.60,19.42,19.53,1968900,14.60
2009-12-29,19.71,19.75,19.57,19.57,1714500,14.63
2009-12-28,19.69,19.83,19.45,19.54,1294400,14.61
2009-12-24,19.52,19.62,19.39,19.53,630700,14.60
2009-12-23,19.91,20.08,19.47,19.50,3020900,14.58
2009-12-22,19.39,19.85,19.21,19.82,3997100,14.82
2009-12-21,18.93,19.37,18.81,19.27,2184900,14.41
2009-12-18,18.91,18.97,18.39,18.90,3802200,14.13
2009-12-17,18.63,19.00,18.63,18.79,2637500,14.05
2009-12-16,19.08,19.16,18.79,18.98,2632400,14.19
2009-12-15,18.84,19.12,18.72,18.91,2686400,14.14
2009-12-14,18.95,19.01,18.69,19.01,2457000,14.21
2009-12-11,18.64,18.74,18.45,18.66,2562500,13.95
2009-12-10,17.85,18.50,17.83,18.36,3859700,13.73
2009-12-09,17.87,17.96,17.59,17.84,3203800,13.34
2009-12-08,18.13,18.32,17.93,18.05,3366700,13.49
2009-12-07,18.10,18.63,18.10,18.22,3917900,13.62
2009-12-04,18.54,18.54,17.97,18.32,5700600,13.70
2009-12-03,17.70,18.47,17.70,18.15,8055700,13.57
2009-12-02,17.50,17.96,17.47,17.77,4806600,13.28
2009-12-01,17.20,17.60,16.59,17.55,6388900,13.12
2009-11-30,17.04,17.04,16.28,16.59,4750100,12.40
2009-11-27,16.81,17.35,16.77,16.92,2129800,12.65
2009-11-25,16.68,17.53,16.68,17.50,4378100,13.08
2009-11-24,17.21,17.23,16.62,16.64,7637700,12.44
2009-11-23,17.39,17.70,17.12,17.23,3471000,12.77
2009-11-20,17.60,17.92,17.15,17.25,4588700,12.78
2009-11-19,18.23,18.30,17.48,17.68,4895000,13.10
2009-11-18,17.94,18.27,17.78,18.27,5284400,13.54
2009-11-17,18.29,18.50,17.84,18.03,3450200,13.36
2009-11-16,18.21,18.64,18.21,18.37,4674400,13.61
2009-11-13,17.76,18.20,17.70,18.09,5043000,13.41
2009-11-12,18.32,18.40,17.67,17.74,5109400,13.15
2009-11-11,18.97,19.00,18.16,18.38,4651300,13.62
2009-11-10,18.65,18.86,18.46,18.73,1932400,13.88
2009-11-09,18.28,18.76,18.11,18.73,2638900,13.88
2009-11-06,17.69,18.20,17.62,18.18,2833500,13.47
2009-11-05,17.86,17.89,17.37,17.89,4768200,13.26
2009-11-04,17.90,18.15,17.65,17.78,4706400,13.18
2009-11-03,17.71,18.13,17.52,17.95,5373200,13.30
2009-11-02,17.72,18.08,17.46,17.89,5153900,13.26
2009-10-30,18.15,18.27,17.57,17.60,7221400,13.04
2009-10-29,17.20,18.36,17.16,18.24,8265300,13.52
2009-10-28,17.88,17.97,16.92,17.06,7642400,12.64
2009-10-27,18.30,18.54,17.55,17.91,12807900,13.27
2009-10-26,19.27,19.99,19.22,19.49,7731400,14.44
2009-10-23,19.57,19.75,19.19,19.22,5542400,14.24
2009-10-22,18.78,19.59,18.53,19.42,4555900,14.39
2009-10-21,19.01,19.75,18.74,18.79,7103200,13.92
2009-10-20,19.44,19.60,18.92,19.07,4307200,14.13
2009-10-19,18.90,19.49,18.84,19.43,3295600,14.40
2009-10-16,18.91,19.01,18.45,18.83,4300500,13.95
2009-10-15,19.18,19.47,18.86,19.05,3887200,14.12
2009-10-14,18.60,19.36,18.50,19.34,6188500,14.33
2009-10-13,18.61,18.73,18.38,18.46,4050800,13.68
2009-10-12,18.52,18.81,18.50,18.63,4818900,13.81
2009-10-09,18.00,18.32,18.00,18.26,3668100,13.53
2009-10-08,18.35,18.64,18.04,18.53,5961000,13.73
2009-10-07,17.86,18.24,17.74,17.83,5001100,13.21
2009-10-06,17.42,18.19,17.41,17.92,10139300,13.28
2009-10-05,16.23,17.39,16.03,17.38,8481800,12.88
2009-10-02,16.42,16.53,16.08,16.13,5951400,11.95
2009-10-01,16.85,17.04,16.42,16.65,3973800,12.34
2009-09-30,17.20,17.29,16.64,16.99,4522700,12.59
2009-09-29,17.20,17.37,17.05,17.15,3151500,12.71
2009-09-28,17.18,17.27,17.01,17.20,4264100,12.75
2009-09-25,17.48,17.65,17.01,17.06,8984000,12.64
2009-09-24,17.47,17.62,17.17,17.45,9311900,12.93
2009-09-23,17.36,17.73,17.21,17.39,10494300,12.89
2009-09-22,17.20,17.53,17.09,17.28,7114400,12.81
2009-09-21,16.71,17.23,16.51,17.10,5646600,12.67
2009-09-18,16.61,16.92,16.46,16.86,3950100,12.49
2009-09-17,16.55,16.78,16.25,16.50,4691100,12.23
2009-09-16,16.16,16.57,16.06,16.57,5040500,12.28
2009-09-15,15.84,16.28,15.80,16.11,5279100,11.94
2009-09-14,15.32,15.97,15.20,15.85,4810400,11.75
2009-09-11,15.74,15.92,15.39,15.43,5339300,11.43
2009-09-10,15.83,15.86,15.45,15.71,3872200,11.64
2009-09-09,15.52,15.75,15.38,15.73,4394000,11.66
2009-09-08,15.53,15.73,15.29,15.47,5767400,11.46
2009-09-04,15.51,15.67,15.28,15.36,4693300,11.38
2009-09-03,14.97,15.62,14.97,15.53,5960400,11.51
2009-09-02,14.65,15.07,14.62,14.72,4155000,10.91
2009-09-01,14.80,15.29,14.70,14.75,5304600,10.93
2009-08-31,14.98,15.10,14.70,14.92,4671800,11.06
2009-08-28,15.37,15.45,14.98,15.08,3549800,11.18
2009-08-27,15.48,15.48,14.96,15.25,3259700,11.30
2009-08-26,15.27,15.68,15.16,15.28,3153800,11.32
2009-08-25,15.06,15.80,15.05,15.45,4877700,11.34
2009-08-24,15.38,15.47,15.04,15.08,3825400,11.07
2009-08-21,15.07,15.50,14.76,15.35,8107200,11.26
2009-08-20,14.90,15.10,14.10,14.35,6631700,10.53
2009-08-19,13.79,14.60,13.79,14.58,5590200,10.70
2009-08-18,13.96,14.22,13.77,13.97,3053900,10.25
2009-08-17,13.87,13.96,13.68,13.92,4270800,10.22
2009-08-14,14.61,14.61,14.02,14.18,3648200,10.41
2009-08-13,14.63,14.72,14.18,14.49,3802400,10.63
2009-08-12,14.38,14.97,14.38,14.70,4542100,10.79
2009-08-11,14.57,14.57,14.13,14.38,3083300,10.55
2009-08-10,14.95,14.97,14.32,14.56,5130900,10.69
2009-08-07,14.66,15.12,14.48,14.96,6774000,10.98
2009-08-06,13.31,14.75,13.23,14.39,10028100,10.56
2009-08-05,12.92,12.92,12.56,12.74,3198100,9.35
2009-08-04,13.11,13.21,12.79,12.87,2517500,9.44
2009-08-03,13.06,13.20,12.85,13.18,3488800,9.67
2009-07-31,12.84,13.03,12.65,12.94,3944300,9.50
2009-07-30,12.51,13.12,12.51,12.74,4659200,9.35
2009-07-29,12.31,12.66,12.18,12.36,3034700,9.07
2009-07-28,12.13,12.54,12.13,12.47,3047200,9.15
2009-07-27,12.57,12.59,12.22,12.34,3324400,9.06
2009-07-24,12.44,12.75,12.25,12.59,2422100,9.24
2009-07-23,12.03,12.71,11.92,12.52,4991800,9.19
2009-07-22,11.72,12.18,11.67,12.03,3526800,8.83
2009-07-21,12.02,12.02,11.43,11.77,4567600,8.64
2009-07-20,11.76,12.03,11.62,11.84,4556000,8.69
2009-07-17,11.36,11.69,11.36,11.67,2647600,8.56
2009-07-16,11.48,11.57,11.22,11.51,3929700,8.45
2009-07-15,11.27,11.67,11.16,11.58,4637400,8.50
2009-07-14,10.92,11.15,10.69,11.12,6270500,8.16
2009-07-13,10.59,10.94,10.37,10.93,4010500,8.02
2009-07-10,10.71,11.00,10.44,10.58,6088700,7.76
2009-07-09,11.02,11.02,10.28,10.89,10304200,7.99
2009-07-08,11.53,11.60,10.92,11.34,7314400,8.32
2009-07-07,11.52,11.57,11.29,11.46,7626500,8.41
2009-07-06,11.49,11.81,11.33,11.50,5151200,8.44
2009-07-02,11.90,12.24,11.57,11.57,4012600,8.49
2009-07-01,12.06,12.65,11.96,12.29,5811200,9.02
2009-06-30,12.06,12.27,11.77,11.97,3446400,8.78
2009-06-29,11.73,12.14,11.59,12.07,4519500,8.86
2009-06-26,11.67,12.00,11.58,11.70,2397000,8.59
2009-06-25,11.44,11.92,11.30,11.88,3625700,8.72
2009-06-24,11.41,11.63,11.31,11.45,3278500,8.40
2009-06-23,11.44,11.52,11.14,11.30,3906600,8.29
2009-06-22,11.73,11.80,11.41,11.50,4970900,8.44
2009-06-19,12.01,12.11,11.66,11.84,8364200,8.69
2009-06-18,11.88,11.98,11.59,11.80,2204200,8.66
2009-06-17,11.91,12.07,11.46,11.86,5041600,8.70
2009-06-16,12.57,12.57,11.74,11.83,5731000,8.68
2009-06-15,12.65,12.73,12.32,12.51,3794800,9.18
2009-06-12,12.32,12.83,12.00,12.81,5233500,9.40
2009-06-11,12.47,12.72,12.25,12.28,4871200,9.01
2009-06-10,12.91,13.06,12.37,12.59,4987100,9.24
2009-06-09,12.69,12.98,12.62,12.80,4130700,9.39
2009-06-08,13.03,13.15,12.55,12.81,5317900,9.40
2009-06-05,12.89,13.11,12.45,12.92,6523300,9.48
2009-06-04,13.13,13.13,12.27,12.82,6463300,9.41
2009-06-03,13.28,13.45,13.01,13.28,3721000,9.64
2009-06-02,13.38,13.73,13.25,13.44,4135800,9.75
2009-06-01,12.78,13.63,12.55,13.55,5959500,9.83
2009-05-29,12.41,12.57,12.08,12.51,5173400,9.08
2009-05-28,12.73,12.84,12.12,12.38,4349300,8.98
2009-05-27,12.40,13.09,12.32,12.63,5905200,9.16
2009-05-26,11.87,12.60,11.66,12.48,6323200,9.06
2009-05-22,11.81,12.21,11.55,12.02,3795900,8.72
2009-05-21,11.51,12.14,11.04,11.76,6472500,8.53
2009-05-20,12.05,12.58,11.64,11.66,4740100,8.46
2009-05-19,11.83,12.20,11.68,11.95,3832800,8.67
2009-05-18,11.12,11.87,11.12,11.83,3680100,8.58
2009-05-15,10.94,11.67,10.93,11.01,4901800,7.99
2009-05-14,11.11,11.66,10.68,11.13,6345000,8.08
2009-05-13,11.28,11.40,10.91,11.07,6298000,8.03
2009-05-12,11.53,11.86,11.19,11.50,7694900,8.34
2009-05-11,12.33,12.34,11.42,11.53,6861600,8.37
2009-05-08,12.24,12.46,11.82,12.38,6525600,8.98
2009-05-07,13.12,13.29,11.69,12.00,8095900,8.71
2009-05-06,12.86,13.22,12.49,13.21,7849600,9.58
2009-05-05,12.17,12.81,11.93,12.70,5100800,9.21
2009-05-04,11.33,12.25,11.12,12.21,5159700,8.86
2009-05-01,11.39,11.47,10.90,11.10,5360100,8.05
2009-04-30,11.12,11.70,11.11,11.42,3993000,8.29
2009-04-29,10.97,11.65,10.85,11.21,3984500,8.13
2009-04-28,10.59,11.13,10.51,10.90,2725900,7.91
2009-04-27,10.87,11.13,10.61,10.79,2701500,7.83
2009-04-24,10.80,11.26,10.58,11.05,3554700,8.02
2009-04-23,10.97,10.98,10.12,10.68,5242400,7.75
2009-04-22,10.01,11.35,9.99,10.73,5633600,7.79
2009-04-21,10.02,10.79,9.79,10.66,4295100,7.73
2009-04-20,10.62,10.62,9.86,10.04,4019200,7.28
2009-04-17,10.57,10.94,10.56,10.82,3006400,7.85
2009-04-16,10.38,10.89,10.24,10.73,3943500,7.79
2009-04-15,9.99,10.38,9.81,10.38,4058100,7.53
2009-04-14,10.22,10.29,9.85,10.04,3493400,7.28
2009-04-13,9.75,10.43,9.75,10.29,5134800,7.47
2009-04-09,9.85,10.67,9.71,10.67,4918800,7.74
