Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,31.46,31.68,31.21,31.22,2603600,17.56
2009-12-30,31.23,31.50,31.12,31.47,2832200,17.70
2009-12-29,31.55,31.65,31.20,31.31,2821000,17.61
2009-12-28,31.89,31.97,31.32,31.46,2381500,17.70
2009-12-24,31.60,31.74,31.50,31.65,1121500,17.81
2009-12-23,31.63,31.75,31.40,31.51,3003800,17.73
2009-12-22,31.59,31.68,31.29,31.54,3969400,17.74
2009-12-21,31.16,31.42,31.06,31.29,3881000,17.60
2009-12-18,31.31,31.35,30.58,30.91,7709300,17.39
2009-12-17,31.30,31.30,30.85,30.91,4531700,17.39
2009-12-16,31.39,31.65,31.18,31.47,7243000,17.70
2009-12-15,31.60,31.70,31.16,31.25,5670800,17.58
2009-12-14,32.26,32.37,31.43,31.45,6010600,17.69
2009-12-11,31.31,31.55,31.03,31.30,6537600,17.61
2009-12-10,31.33,31.51,30.93,31.14,6084500,17.52
2009-12-09,31.33,31.33,30.60,31.05,6849900,17.47
2009-12-08,31.61,31.65,30.83,30.94,5779200,17.41
2009-12-07,31.64,32.22,31.41,31.84,6530400,17.91
2009-12-04,32.66,32.95,31.56,31.63,9252000,17.79
2009-12-03,32.38,32.66,32.07,32.15,5032000,18.09
2009-12-02,32.80,32.85,32.25,32.38,5417600,18.22
2009-12-01,32.80,33.29,32.80,32.86,5837600,18.49
2009-11-30,32.65,32.97,32.36,32.62,4730700,18.35
2009-11-27,32.27,32.86,32.13,32.63,3308800,18.36
2009-11-25,33.14,33.63,32.96,33.53,4136900,18.86
2009-11-24,33.08,33.32,32.63,33.00,5313400,18.57
2009-11-23,33.71,33.86,32.94,33.09,5064400,18.62
2009-11-20,33.24,33.31,32.46,33.02,9941000,18.58
2009-11-19,34.27,34.27,33.07,33.33,7461200,18.75
2009-11-18,34.98,35.10,34.41,34.70,5128600,19.52
2009-11-17,34.86,35.01,34.57,34.90,4823200,19.63
2009-11-16,34.87,35.30,34.72,35.17,5445000,19.79
2009-11-13,34.33,34.86,34.07,34.65,4472100,19.36
2009-11-12,34.72,35.14,34.17,34.38,5622000,19.21
2009-11-11,35.05,35.30,34.64,34.96,4797300,19.53
2009-11-10,34.51,34.98,34.36,34.94,4843000,19.52
2009-11-09,34.21,34.64,34.03,34.59,4701700,19.33
2009-11-06,33.26,33.87,33.02,33.68,6428100,18.82
2009-11-05,32.92,33.67,32.76,33.63,6198600,18.79
2009-11-04,32.77,33.25,32.61,32.75,6478000,18.30
2009-11-03,31.71,32.64,31.38,32.39,5430300,18.10
2009-11-02,32.19,32.52,31.55,31.97,7718300,17.86
2009-10-30,33.24,33.35,31.62,31.97,8265900,17.86
2009-10-29,32.84,33.54,32.78,33.40,4995700,18.66
2009-10-28,33.51,33.51,32.35,32.42,6337800,18.11
2009-10-27,33.73,34.12,33.35,33.62,5110800,18.78
2009-10-26,34.14,35.03,33.38,33.48,5578600,18.70
2009-10-23,34.88,34.96,33.82,34.01,5730600,19.00
2009-10-22,34.69,34.69,34.00,34.58,6703500,19.32
2009-10-21,34.69,35.71,34.66,34.73,7375100,19.40
2009-10-20,35.40,35.46,34.29,34.91,4792400,19.50
2009-10-19,34.91,35.41,34.53,35.27,4673900,19.70
2009-10-16,34.86,35.00,34.25,34.88,6884700,19.49
2009-10-15,33.75,35.06,33.53,35.05,9700400,19.58
2009-10-14,33.91,34.00,33.58,33.89,6218500,18.93
2009-10-13,32.88,33.17,32.33,33.10,5825700,18.49
2009-10-12,32.77,33.10,32.63,32.71,3770700,18.27
2009-10-09,32.39,32.65,32.05,32.32,5651900,18.06
2009-10-08,32.16,32.90,32.10,32.56,8423900,18.19
2009-10-07,31.85,32.23,31.45,31.97,4597600,17.86
2009-10-06,31.74,32.40,31.51,31.92,7386100,17.83
2009-10-05,30.51,31.27,30.50,30.93,7147000,17.28
2009-10-02,30.39,31.00,30.39,30.48,6874900,17.03
2009-10-01,31.87,31.98,30.91,30.98,6185900,17.31
2009-09-30,32.42,32.42,31.50,31.90,7389000,17.82
2009-09-29,32.37,32.53,31.91,32.10,4274500,17.93
2009-09-28,31.70,32.51,31.70,32.42,4117100,18.11
2009-09-25,31.91,32.44,31.40,31.64,7135700,17.68
2009-09-24,32.66,32.92,31.93,32.03,7129400,17.89
2009-09-23,33.24,33.58,32.64,32.68,4800300,18.26
2009-09-22,33.60,33.74,33.19,33.49,3695500,18.71
2009-09-21,32.98,33.63,32.72,33.15,4859000,18.52
2009-09-18,34.04,34.30,33.40,33.53,5135500,18.73
2009-09-17,33.65,34.60,33.55,33.88,6654300,18.93
2009-09-16,33.10,34.14,33.02,33.85,7207100,18.91
2009-09-15,32.78,33.01,32.52,32.94,6397600,18.40
2009-09-14,31.81,32.75,31.65,32.69,5623600,18.26
2009-09-11,32.70,32.74,31.91,32.25,4775900,18.02
2009-09-10,31.74,32.37,31.55,32.29,5898800,18.04
2009-09-09,31.62,31.95,31.34,31.69,3944000,17.70
2009-09-08,31.33,31.79,31.21,31.51,6343500,17.60
2009-09-04,30.31,30.91,30.14,30.74,5083700,17.17
2009-09-03,30.34,30.74,30.14,30.40,4046000,16.98
2009-09-02,30.27,30.54,30.06,30.29,4087700,16.92
2009-09-01,30.69,31.32,30.20,30.33,5413400,16.95
2009-08-31,31.08,31.18,30.47,30.87,4100100,17.25
2009-08-28,31.82,31.87,31.11,31.51,3586000,17.60
2009-08-27,31.50,31.74,30.78,31.61,3499400,17.66
2009-08-26,31.16,31.94,31.00,31.79,4603900,17.76
2009-08-25,31.96,32.18,31.30,31.48,4241900,17.59
2009-08-24,32.02,32.30,31.73,31.91,4095400,17.83
2009-08-21,31.27,31.90,31.25,31.84,5020800,17.79
2009-08-20,30.65,31.15,30.50,30.89,4188000,17.26
2009-08-19,29.74,31.00,29.50,30.65,5517000,17.12
2009-08-18,29.68,30.29,29.63,30.09,4936800,16.81
2009-08-17,30.22,30.24,29.55,29.66,4832800,16.57
2009-08-14,31.61,31.67,30.72,31.02,4248000,17.20
2009-08-13,30.77,31.56,30.54,31.53,6421800,17.48
2009-08-12,29.64,30.88,29.64,30.58,5982200,16.95
2009-08-11,30.46,30.46,29.81,29.93,5129400,16.59
2009-08-10,30.34,30.72,30.34,30.64,4783200,16.99
2009-08-07,31.37,31.42,30.53,30.65,7420600,16.99
2009-08-06,31.69,31.77,30.86,31.01,6024200,17.19
2009-08-05,32.39,32.71,31.35,31.52,9261200,17.47
2009-08-04,32.38,32.70,32.05,32.47,6068100,18.00
2009-08-03,32.51,33.17,32.44,32.64,9015300,18.09
2009-07-31,31.77,32.31,31.53,32.25,6127200,17.88
2009-07-30,31.70,32.35,31.61,31.94,5140800,17.71
2009-07-29,31.60,31.70,30.79,31.22,6195900,17.31
2009-07-28,32.09,32.47,31.77,32.32,5732100,17.92
2009-07-27,32.17,32.58,31.90,32.51,5423400,18.02
2009-07-24,31.67,32.19,31.50,32.15,4347700,17.82
2009-07-23,30.68,31.85,30.59,31.79,5476100,17.62
2009-07-22,30.51,31.25,30.49,30.73,6941800,17.04
2009-07-21,31.20,31.42,30.55,31.05,5329600,17.21
2009-07-20,30.68,30.99,30.24,30.81,5441100,17.08
2009-07-17,30.11,30.53,29.79,30.26,6756800,16.78
2009-07-16,29.88,30.27,29.45,30.14,7025800,16.71
2009-07-15,29.98,30.35,29.85,30.26,8169700,16.78
2009-07-14,29.30,29.61,28.95,29.42,6048500,16.31
2009-07-13,28.22,29.05,27.86,28.98,6805900,16.07
2009-07-10,28.12,28.53,27.73,28.33,6124100,15.71
2009-07-09,28.36,28.98,28.14,28.67,5176700,15.89
2009-07-08,28.34,28.76,27.48,28.03,7680300,15.54
2009-07-07,28.65,28.99,28.15,28.23,6763500,15.65
2009-07-06,28.17,28.80,27.51,28.76,9855600,15.94
2009-07-02,29.67,29.79,28.81,29.00,6969200,16.08
2009-07-01,30.52,30.90,30.23,30.30,5056700,16.80
2009-06-30,30.08,30.50,29.64,30.13,7682100,16.70
2009-06-29,29.77,30.15,29.47,29.81,7681000,16.53
2009-06-26,29.35,29.65,29.12,29.52,6263200,16.36
2009-06-25,29.25,29.65,28.87,29.45,7334500,16.33
2009-06-24,29.09,29.61,28.94,29.17,6064300,16.17
2009-06-23,29.07,29.28,28.39,28.87,7587200,16.00
2009-06-22,30.13,30.18,28.59,28.77,9010400,15.95
2009-06-19,31.34,31.40,30.32,30.64,8043300,16.99
2009-06-18,30.87,31.10,30.50,30.86,5323400,17.11
2009-06-17,31.12,31.25,30.36,30.90,6076200,17.13
2009-06-16,31.85,32.10,31.24,31.40,6056600,17.41
2009-06-15,31.88,32.01,31.04,31.58,5382500,17.51
2009-06-12,32.18,32.52,31.93,32.42,5648900,17.97
2009-06-11,32.69,33.36,32.39,32.84,7201300,18.21
2009-06-10,33.14,33.20,32.14,32.69,5780800,18.12
2009-06-09,32.72,32.87,32.14,32.73,5977000,18.14
2009-06-08,31.36,32.81,31.18,32.45,8348600,17.99
2009-06-05,31.95,32.07,30.68,31.70,9684400,17.57
2009-06-04,31.18,31.95,31.10,31.58,8112400,17.51
2009-06-03,32.73,32.73,30.51,30.99,10670400,17.18
2009-06-02,33.16,33.58,32.75,33.41,7356900,18.52
2009-06-01,32.45,33.55,32.39,33.32,7574500,18.47
2009-05-29,31.54,31.94,31.15,31.88,7909900,17.67
2009-05-28,29.72,31.29,29.62,31.01,8323500,17.19
2009-05-27,30.01,30.20,29.15,29.24,8294000,16.21
2009-05-26,29.10,30.05,28.92,29.97,7941000,16.61
2009-05-22,29.65,30.00,29.39,29.43,4867400,16.32
2009-05-21,29.89,29.99,29.04,29.41,5931200,16.30
2009-05-20,30.14,30.98,30.05,30.38,9139400,16.84
2009-05-19,30.19,30.36,29.61,29.70,7003100,16.46
2009-05-18,29.14,30.08,29.04,29.79,7029900,16.51
2009-05-15,29.02,29.34,28.38,28.63,7026400,15.74
2009-05-14,28.72,29.49,28.14,29.09,7784400,15.99
2009-05-13,30.36,30.36,28.79,29.04,9351000,15.96
2009-05-12,32.07,32.07,30.37,30.91,7095200,16.99
2009-05-11,32.00,32.00,30.82,30.97,7881500,17.02
2009-05-08,31.66,32.74,31.57,32.56,8484600,17.90
2009-05-07,33.50,33.62,31.19,31.66,10028500,17.40
2009-05-06,31.57,33.08,31.44,32.75,9017700,18.00
2009-05-05,31.48,31.50,30.64,31.03,5475100,17.06
2009-05-04,30.65,31.37,30.01,31.33,8815400,17.22
2009-05-01,29.70,31.03,29.54,30.84,8463500,16.95
2009-04-30,30.96,31.00,29.03,29.70,11379500,16.33
2009-04-29,29.60,30.86,29.47,30.51,8733900,16.77
2009-04-28,29.32,29.75,28.86,29.31,6994200,16.11
2009-04-27,30.42,30.42,29.49,29.63,8518700,16.29
2009-04-24,30.00,31.26,29.82,31.08,11261500,17.09
2009-04-23,29.26,29.60,28.83,29.55,6423500,16.24
2009-04-22,29.02,29.48,28.75,28.88,9404300,15.88
2009-04-21,28.30,29.37,27.95,29.30,8931000,16.11
2009-04-20,29.49,29.60,28.15,28.55,9566500,15.69
2009-04-17,29.84,30.30,29.34,30.02,9554100,16.50
2009-04-16,28.75,29.69,28.22,29.50,9542300,16.22
2009-04-15,28.26,28.77,27.91,28.45,7796300,15.64
2009-04-14,28.62,29.34,28.31,28.40,8767600,15.61
2009-04-13,28.69,29.15,28.22,28.85,6510700,15.86
2009-04-09,29.30,29.62,28.88,29.27,7674000,16.09
2009-04-08,27.51,28.40,27.15,28.38,11596500,15.60
2009-04-07,27.81,28.19,27.58,27.74,8174100,15.25
2009-04-06,28.69,28.75,28.02,28.46,11910100,15.65
2009-04-03,28.75,29.48,28.36,29.07,8747700,15.98
2009-04-02,28.24,29.24,28.15,28.76,11119900,15.81
2009-04-01,25.67,27.28,25.20,27.08,9506600,14.89
2009-03-31,26.07,26.83,25.85,26.29,12248600,14.45
2009-03-30,26.11,26.38,24.87,25.46,8966500,14.00
2009-03-27,27.07,27.73,26.76,27.31,7596300,15.01
2009-03-26,27.31,27.90,27.25,27.61,8902100,15.18
2009-03-25,26.64,27.25,26.10,26.89,10685600,14.78
2009-03-24,26.16,26.81,25.72,26.81,7666200,14.74
2009-03-23,25.11,26.75,25.04,26.70,10513600,14.68
2009-03-20,26.01,26.01,24.19,24.28,10454500,13.35
2009-03-19,25.69,26.05,25.40,25.50,8843000,14.02
2009-03-18,24.75,25.16,23.57,24.92,8886300,13.70
2009-03-17,24.24,25.00,23.91,24.95,7771200,13.72
2009-03-16,23.86,25.32,23.63,24.44,8233100,13.44
2009-03-13,23.79,24.20,22.89,23.63,8677700,12.99
2009-03-12,22.57,23.67,22.35,23.57,7152100,12.96
2009-03-11,22.94,23.10,22.05,22.59,7943200,12.42
2009-03-10,22.14,23.25,21.84,22.65,10609600,12.45
2009-03-09,20.87,21.95,20.56,21.22,9559200,11.67
2009-03-06,21.54,22.25,20.18,20.92,12551000,11.50
2009-03-05,21.26,21.62,20.83,21.25,10802700,11.68
2009-03-04,22.02,22.46,21.53,21.96,10727400,12.07
2009-03-03,21.41,22.00,20.90,20.99,12258900,11.54
2009-03-02,22.57,22.73,20.82,20.92,10985200,11.50
2009-02-27,23.44,24.18,23.02,23.27,10170700,12.79
2009-02-26,24.27,25.20,24.09,24.15,9488300,13.28
2009-02-25,24.10,24.59,23.28,23.82,9521800,13.09
2009-02-24,22.81,24.30,22.74,24.17,9375100,13.29
2009-02-23,24.41,24.46,22.47,22.54,7846800,12.39
2009-02-20,24.08,24.47,23.51,23.75,10587900,13.06
2009-02-19,24.78,25.60,24.58,24.76,8139000,13.61
2009-02-18,25.25,25.45,24.16,24.47,7559100,13.45
2009-02-17,25.95,26.39,24.75,24.77,8689800,13.62
2009-02-13,26.63,27.66,26.52,27.00,7813600,14.84
2009-02-12,26.40,27.00,25.95,26.80,9711900,14.60
2009-02-11,26.81,27.00,26.01,26.46,6670600,14.42
2009-02-10,28.13,28.53,26.03,26.34,10732100,14.35
2009-02-09,27.32,28.90,27.15,27.96,7020700,15.23
2009-02-06,26.58,27.66,26.26,27.15,6855800,14.79
2009-02-05,26.70,27.40,26.44,26.72,11142800,14.56
2009-02-04,27.19,27.61,26.76,26.84,11034600,14.62
2009-02-03,27.37,27.79,26.44,26.84,10897900,14.62
2009-02-02,26.89,27.53,26.54,26.88,7576900,14.64
2009-01-30,28.97,28.97,27.05,27.23,9286800,14.83
2009-01-29,28.90,29.23,28.25,28.32,6658200,15.43
2009-01-28,29.08,29.55,28.39,29.49,8580700,16.07
2009-01-27,29.48,29.68,28.13,28.61,8281900,15.59
2009-01-26,29.20,30.69,29.09,29.61,8054400,16.13
2009-01-23,27.28,29.54,27.05,29.03,5992100,15.82
2009-01-22,28.01,28.90,27.15,28.21,8238500,15.37
2009-01-21,27.59,28.66,27.04,28.56,9329100,15.56
2009-01-20,27.88,28.74,26.26,26.49,9180300,14.43
2009-01-16,28.26,28.83,27.48,28.46,7545300,15.50
2009-01-15,27.37,27.91,26.06,27.66,8053600,15.07
2009-01-14,28.17,28.23,27.05,27.44,7754100,14.95
2009-01-13,27.67,29.10,27.67,28.64,7692000,15.60
2009-01-12,28.20,28.63,27.41,27.76,8262000,15.12
2009-01-09,29.02,29.67,28.54,28.86,8620000,15.72
2009-01-08,28.15,29.79,28.15,29.71,7497700,16.19
2009-01-07,29.45,29.45,27.71,28.71,7604900,15.64
2009-01-06,30.16,30.83,29.49,29.87,8415700,16.27
2009-01-05,28.51,30.05,28.50,29.34,9292300,15.98
2009-01-02,27.50,29.21,27.32,28.98,5898600,15.79
2008-12-31,26.60,27.59,26.11,27.36,6109500,14.91
2008-12-30,25.84,26.72,25.47,26.65,4802700,14.52
2008-12-29,25.12,25.98,25.12,25.92,6035300,14.12
2008-12-26,24.63,24.77,24.24,24.77,2310900,13.49
2008-12-24,24.54,25.11,23.89,24.46,2834400,13.33
2008-12-23,25.07,25.51,24.57,24.77,5169200,13.49
2008-12-22,25.94,26.36,24.39,24.89,5147300,13.56
2008-12-19,25.61,26.35,25.50,25.95,8370600,14.14
2008-12-18,26.90,26.94,25.17,25.58,7894700,13.94
2008-12-17,26.15,27.65,25.75,26.90,8729000,14.66
2008-12-16,25.01,26.50,24.58,26.45,11396000,14.41
2008-12-15,25.76,25.76,24.32,24.71,8750900,13.46
2008-12-12,24.00,25.47,23.00,24.92,8668500,13.58
2008-12-11,25.94,25.97,24.73,25.00,12929100,13.62
2008-12-10,24.99,25.61,24.54,25.44,9594500,13.86
2008-12-09,23.26,25.14,23.25,24.13,6983900,13.15
2008-12-08,23.94,24.30,23.03,23.82,7679900,12.98
2008-12-05,21.14,22.51,20.05,22.31,10173300,12.15
2008-12-04,22.41,23.62,21.05,21.57,9609400,11.75
2008-12-03,23.50,23.52,22.17,23.34,11499100,12.72
2008-12-02,24.06,24.50,22.66,24.02,9397000,13.09
2008-12-01,25.12,25.27,23.21,23.21,8630000,12.64
2008-11-28,26.05,26.30,25.49,26.18,3759400,14.26
2008-11-26,24.98,26.59,24.60,26.43,8760900,14.40
2008-11-25,25.06,25.43,24.19,25.21,7521400,13.73
