Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,10.75,10.87,10.56,10.56,20612800,10.56
2009-12-30,10.31,10.66,10.25,10.64,20363600,10.64
2009-12-29,10.08,10.49,9.80,10.38,33330000,10.38
2009-12-28,10.27,10.45,10.02,10.04,29422900,10.04
2009-12-24,10.07,10.29,10.01,10.16,17088200,10.16
2009-12-23,9.75,10.00,9.70,9.99,60070000,9.99
2009-12-22,9.37,9.48,9.28,9.41,39551000,9.41
2009-12-21,9.04,9.31,9.00,9.31,36713500,9.31
2009-12-18,8.82,8.85,8.67,8.78,22744900,8.78
2009-12-17,8.72,8.88,8.70,8.73,11748200,8.73
2009-12-16,8.89,9.05,8.79,8.80,25443900,8.80
2009-12-15,8.95,9.00,8.73,8.81,21625100,8.81
2009-12-14,8.69,8.99,8.58,8.99,14678400,8.99
2009-12-11,8.73,8.73,8.57,8.64,10835200,8.64
2009-12-10,8.61,8.78,8.57,8.72,17202400,8.72
2009-12-09,8.62,8.69,8.50,8.59,14077600,8.59
2009-12-08,8.62,8.72,8.52,8.60,23356200,8.60
2009-12-07,8.44,8.68,8.37,8.53,16339600,8.53
2009-12-04,8.59,8.62,8.21,8.45,27532900,8.45
2009-12-03,8.10,8.84,8.07,8.37,69296100,8.37
2009-12-02,7.80,8.23,7.74,8.16,41423100,8.16
2009-12-01,7.63,7.78,7.56,7.77,15331200,7.77
2009-11-30,7.39,7.53,7.30,7.52,15458200,7.52
2009-11-27,7.13,7.46,7.05,7.30,7287600,7.30
2009-11-25,7.52,7.57,7.39,7.46,11280300,7.46
2009-11-24,7.53,7.66,7.43,7.53,21344800,7.53
2009-11-23,7.35,7.57,7.29,7.52,25303000,7.52
2009-11-20,7.05,7.31,6.94,7.26,22980400,7.26
2009-11-19,7.27,7.28,6.85,7.12,28498000,7.12
2009-11-18,7.62,7.64,7.39,7.48,26648100,7.48
2009-11-17,7.62,7.72,7.52,7.72,12501600,7.72
2009-11-16,7.54,7.78,7.54,7.64,13330500,7.64
2009-11-13,7.51,7.60,7.37,7.51,19330300,7.51
2009-11-12,7.51,7.68,7.46,7.61,17636100,7.61
2009-11-11,7.52,7.74,7.40,7.52,17682100,7.52
2009-11-10,7.58,7.70,7.28,7.40,16333600,7.40
2009-11-09,7.27,7.62,7.20,7.51,25064700,7.51
2009-11-06,7.21,7.43,7.04,7.08,18512900,7.08
2009-11-05,6.88,7.25,6.82,7.24,27340800,7.24
2009-11-04,6.85,7.07,6.70,6.73,27511800,6.73
2009-11-03,6.31,6.67,6.12,6.65,39987000,6.65
2009-11-02,6.88,6.95,6.39,6.58,28297800,6.58
2009-10-30,7.28,7.28,6.76,6.79,26209200,6.79
2009-10-29,6.94,7.28,6.90,7.25,30576900,7.25
2009-10-28,7.03,7.03,6.69,6.83,37956100,6.83
2009-10-27,7.39,7.50,7.03,7.05,23846700,7.05
2009-10-26,7.45,7.74,7.37,7.38,23192400,7.38
2009-10-23,7.81,7.85,7.40,7.45,23726400,7.45
2009-10-22,7.76,7.78,7.31,7.60,41535000,7.60
2009-10-21,8.01,8.11,7.63,7.64,42083500,7.64
2009-10-20,8.15,8.33,7.97,8.03,24048700,8.03
2009-10-19,8.09,8.13,7.95,8.05,29843600,8.05
2009-10-16,8.44,8.48,7.87,7.95,55528600,7.95
2009-10-15,8.75,8.89,8.43,8.65,25642900,8.65
2009-10-14,9.04,9.07,8.75,8.91,21572100,8.91
2009-10-13,8.75,8.88,8.58,8.66,25274200,8.66
2009-10-12,8.81,9.13,8.76,8.88,20192900,8.88
2009-10-09,8.17,8.80,8.15,8.78,27846500,8.78
2009-10-08,8.28,8.35,8.16,8.22,23987600,8.22
2009-10-07,7.85,8.25,7.83,8.22,21986100,8.22
2009-10-06,8.08,8.15,7.84,7.89,28888900,7.89
2009-10-05,7.53,8.02,7.46,7.97,34334800,7.97
2009-10-02,7.40,7.57,7.17,7.46,29244600,7.46
2009-10-01,8.12,8.16,7.47,7.51,45492000,7.51
2009-09-30,8.40,8.45,8.08,8.20,46518200,8.20
2009-09-29,8.55,8.59,8.18,8.40,42728900,8.40
2009-09-28,8.22,8.60,8.19,8.44,28150900,8.44
2009-09-25,8.03,8.31,7.90,8.10,18743600,8.10
2009-09-24,8.67,8.67,8.01,8.11,29943400,8.11
2009-09-23,8.77,8.80,8.51,8.54,21233500,8.54
2009-09-22,8.42,8.66,8.25,8.63,22049700,8.63
2009-09-21,8.19,8.44,8.02,8.33,14153700,8.33
2009-09-18,8.34,8.43,8.15,8.20,26965600,8.20
2009-09-17,8.40,8.59,8.21,8.22,28145300,8.22
2009-09-16,8.21,8.50,8.07,8.50,32824000,8.50
2009-09-15,7.98,8.18,7.76,8.15,22076300,8.15
2009-09-14,7.81,7.98,7.63,7.92,19574500,7.92
2009-09-11,8.22,8.22,7.71,7.87,29072400,7.87
2009-09-10,7.83,8.21,7.77,8.13,31124800,8.13
2009-09-09,7.72,7.84,7.54,7.80,23055400,7.80
2009-09-08,7.66,7.76,7.43,7.75,21123000,7.75
2009-09-04,7.19,7.39,7.17,7.35,15770300,7.35
2009-09-03,7.13,7.21,6.93,7.17,24841400,7.17
2009-09-02,7.03,7.16,6.96,6.99,19699000,6.99
2009-09-01,7.37,7.49,7.00,7.02,18832700,7.02
2009-08-31,7.45,7.47,7.28,7.37,11537900,7.37
2009-08-28,7.37,7.58,7.30,7.56,26349200,7.56
2009-08-27,7.28,7.28,6.90,7.20,24094100,7.20
2009-08-26,7.18,7.26,7.15,7.25,16188100,7.25
2009-08-25,7.13,7.25,6.99,7.20,16126600,7.20
2009-08-24,7.11,7.25,7.06,7.09,10647500,7.09
2009-08-21,6.83,7.16,6.76,7.14,20194100,7.14
2009-08-20,6.66,6.82,6.61,6.79,16099000,6.79
2009-08-19,6.73,6.78,6.61,6.68,18508700,6.68
2009-08-18,6.63,6.83,6.58,6.79,14723400,6.79
2009-08-17,6.45,6.67,6.39,6.57,18909400,6.57
2009-08-14,6.92,7.03,6.66,6.72,21905600,6.72
2009-08-13,6.86,7.07,6.65,7.01,28545200,7.01
2009-08-12,6.80,6.93,6.74,6.76,18726000,6.76
2009-08-11,6.80,6.88,6.65,6.80,19848200,6.80
2009-08-10,6.82,6.84,6.56,6.63,17633200,6.63
2009-08-07,6.93,6.98,6.67,6.83,16418400,6.83
2009-08-06,6.88,6.98,6.64,6.79,26835900,6.79
2009-08-05,6.77,6.89,6.65,6.74,17496900,6.74
2009-08-04,6.67,6.76,6.61,6.76,15276000,6.76
2009-08-03,6.47,6.84,6.46,6.77,25368500,6.77
2009-07-31,6.16,6.44,6.16,6.39,24461400,6.39
2009-07-30,6.34,6.38,6.15,6.16,19606700,6.16
2009-07-29,6.43,6.43,6.15,6.18,18631700,6.18
2009-07-28,6.28,6.47,6.21,6.40,17324000,6.40
2009-07-27,6.27,6.39,6.17,6.33,12301900,6.33
2009-07-24,6.15,6.28,5.95,6.27,16647800,6.27
2009-07-23,6.04,6.29,5.97,6.20,21879800,6.20
2009-07-22,5.85,6.19,5.83,6.16,27385600,6.16
2009-07-21,5.91,6.09,5.76,5.85,32388900,5.85
2009-07-20,5.76,5.92,5.66,5.89,15618100,5.89
2009-07-17,5.75,5.75,5.60,5.75,14635000,5.75
2009-07-16,5.57,5.78,5.44,5.75,18748400,5.75
2009-07-15,5.47,5.68,5.46,5.58,19363400,5.58
2009-07-14,5.20,5.35,5.16,5.32,18784200,5.32
2009-07-13,5.08,5.21,4.93,5.21,17046300,5.21
2009-07-10,5.01,5.18,4.95,5.08,17748400,5.08
2009-07-09,4.76,5.14,4.76,5.04,25405000,5.04
2009-07-08,4.70,4.83,4.55,4.72,21738000,4.72
2009-07-07,4.92,5.05,4.67,4.70,13720600,4.70
2009-07-06,5.00,5.07,4.85,4.89,14734700,4.89
2009-07-02,5.11,5.19,4.96,4.96,15697600,4.96
2009-07-01,5.13,5.25,5.08,5.18,15905400,5.18
2009-06-30,5.11,5.23,4.95,5.06,16379200,5.06
2009-06-29,5.08,5.16,5.03,5.11,12436100,5.11
2009-06-26,5.05,5.38,5.05,5.10,25999700,5.10
2009-06-25,5.13,5.36,5.04,5.30,25061000,5.30
2009-06-24,5.00,5.23,4.95,5.14,19099300,5.14
2009-06-23,5.07,5.10,4.75,4.85,25294800,4.85
2009-06-22,5.32,5.52,5.01,5.02,25984100,5.02
2009-06-19,5.35,5.50,5.27,5.33,19668300,5.33
2009-06-18,5.31,5.44,5.15,5.26,14768700,5.26
2009-06-17,5.13,5.45,5.10,5.30,17596500,5.30
2009-06-16,5.37,5.39,5.15,5.20,12111200,5.20
2009-06-15,5.42,5.43,5.19,5.32,16713300,5.32
2009-06-12,5.62,5.62,5.19,5.47,18813000,5.47
2009-06-11,5.91,5.91,5.43,5.59,25317200,5.59
2009-06-10,5.71,5.93,5.54,5.86,26441400,5.86
2009-06-09,5.36,5.65,5.30,5.58,18453400,5.58
2009-06-08,5.30,5.37,5.12,5.30,12901500,5.30
2009-06-05,5.53,5.64,5.24,5.30,17074900,5.30
2009-06-04,5.06,5.50,5.05,5.50,34308900,5.50
2009-06-03,4.93,5.25,4.90,4.97,27710700,4.97
2009-06-02,5.21,5.31,5.02,5.07,19870700,5.07
2009-06-01,5.23,5.41,5.03,5.32,20826100,5.32
2009-05-29,4.90,5.09,4.79,5.06,17532900,5.06
2009-05-28,4.89,4.92,4.54,4.86,15240900,4.86
2009-05-27,4.66,4.94,4.64,4.77,16166400,4.77
2009-05-26,4.47,4.78,4.46,4.65,12759400,4.65
2009-05-22,4.64,4.67,4.46,4.51,8135900,4.51
2009-05-21,4.75,4.76,4.42,4.58,20397200,4.58
2009-05-20,4.90,5.23,4.80,4.80,26672700,4.80
2009-05-19,4.58,4.97,4.58,4.85,21936500,4.85
2009-05-18,4.35,4.73,4.35,4.68,25021000,4.68
2009-05-15,4.55,4.65,4.24,4.24,20959800,4.24
2009-05-14,4.30,4.63,4.25,4.55,17710600,4.55
2009-05-13,4.33,4.42,4.18,4.32,19911200,4.32
2009-05-12,4.69,4.76,4.27,4.42,25242300,4.42
2009-05-11,4.57,4.79,4.52,4.66,19878200,4.66
2009-05-08,5.07,5.08,4.60,4.85,18493400,4.85
2009-05-07,5.18,5.33,4.79,4.92,25779000,4.92
2009-05-06,5.40,5.64,5.29,5.39,22526600,5.39
2009-05-05,5.24,5.45,5.12,5.44,25773000,5.44
2009-05-04,5.08,5.28,4.90,5.27,19320900,5.27
2009-05-01,4.70,4.94,4.70,4.89,13297600,4.89
2009-04-30,4.91,5.09,4.86,4.88,36756100,4.88
2009-04-29,4.67,4.94,4.62,4.84,14742800,4.84
2009-04-28,4.56,4.69,4.47,4.56,19931700,4.56
2009-04-27,4.70,4.95,4.55,4.66,22356900,4.66
2009-04-24,4.94,4.99,4.63,4.86,26185400,4.86
2009-04-23,5.13,5.20,4.80,4.92,23204000,4.92
2009-04-22,4.79,5.28,4.79,5.03,36103600,5.03
2009-04-21,4.57,4.84,4.49,4.70,24447000,4.70
2009-04-20,4.92,4.97,4.55,4.59,19544200,4.59
2009-04-17,5.08,5.10,4.81,5.00,28575700,5.00
2009-04-16,4.65,5.08,4.65,4.98,49211300,4.98
2009-04-15,4.23,4.50,4.18,4.50,28901300,4.50
2009-04-14,4.40,4.55,4.14,4.30,29259100,4.30
