Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,18.62,18.67,18.43,18.43,2658600,18.43
2009-12-30,18.63,18.70,18.44,18.61,2125500,18.61
2009-12-29,18.70,18.80,18.61,18.61,2594300,18.61
2009-12-28,18.68,18.84,18.61,18.69,2038900,18.69
2009-12-24,18.75,18.80,18.68,18.74,1433900,18.74
2009-12-23,18.98,18.99,18.68,18.74,3756100,18.74
2009-12-22,18.87,19.03,18.70,18.89,5672600,18.89
2009-12-21,18.59,19.00,18.48,18.91,7064600,18.91
2009-12-18,18.54,18.65,18.25,18.25,18320300,18.25
2009-12-17,18.71,18.73,18.27,18.42,8091000,18.42
2009-12-16,19.01,19.21,18.81,18.86,6688300,18.86
2009-12-15,18.80,19.09,18.59,19.04,8701500,19.04
2009-12-14,18.64,18.79,18.57,18.77,3636100,18.77
2009-12-11,18.25,18.60,18.09,18.52,5020500,18.52
2009-12-10,18.32,18.42,18.16,18.17,4752400,18.17
2009-12-09,18.15,18.20,17.92,18.12,2995100,18.12
2009-12-08,18.14,18.30,17.93,18.14,3801700,18.14
2009-12-07,18.02,18.45,18.02,18.18,5646500,18.18
2009-12-04,18.39,18.52,17.83,17.99,5409900,17.99
2009-12-03,18.49,18.55,18.19,18.20,4218800,18.20
2009-12-02,18.38,18.60,18.31,18.51,4168700,18.51
2009-12-01,18.02,18.31,17.98,18.23,4143300,18.23
2009-11-30,17.99,18.00,17.77,17.87,4735300,17.87
2009-11-27,17.87,18.15,17.79,18.01,2207300,18.01
2009-11-25,18.15,18.43,18.14,18.29,3879200,18.29
2009-11-24,18.07,18.45,17.98,18.30,7648100,18.30
2009-11-23,17.74,18.08,17.65,17.98,9648500,17.98
2009-11-20,17.44,17.63,17.31,17.55,4093300,17.55
2009-11-19,17.61,17.62,17.33,17.43,5012500,17.43
2009-11-18,17.84,17.87,17.51,17.65,3927500,17.65
2009-11-17,17.80,17.99,17.75,17.89,6310000,17.89
2009-11-16,17.55,18.10,17.51,17.99,6351700,17.99
2009-11-13,17.50,17.72,17.26,17.54,3193000,17.54
2009-11-12,17.40,17.48,17.23,17.25,5208400,17.25
