Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,16.69,16.81,16.66,16.70,2294600,14.47
2009-12-30,16.71,16.80,16.61,16.79,1595900,14.55
2009-12-29,16.78,16.91,16.70,16.77,1927700,14.53
2009-12-28,16.95,16.98,16.71,16.78,2034200,14.54
2009-12-24,16.90,16.93,16.78,16.93,1273800,14.67
2009-12-23,17.10,17.12,16.81,16.84,2924800,14.59
2009-12-22,17.06,17.09,16.87,17.03,3163200,14.75
2009-12-21,16.93,17.16,16.72,17.00,2926200,14.73
2009-12-18,16.84,16.97,16.55,16.97,6443100,14.70
2009-12-17,16.58,16.74,16.50,16.63,3330400,14.41
2009-12-16,16.63,16.74,16.41,16.64,3259400,14.42
2009-12-15,16.61,16.75,16.46,16.51,2931300,14.30
2009-12-14,16.55,16.80,16.39,16.76,2728100,14.52
2009-12-11,16.48,16.60,16.39,16.50,3221100,14.29
2009-12-10,16.28,16.50,16.22,16.36,2271100,14.17
2009-12-09,16.16,16.30,16.07,16.27,4119200,14.10
2009-12-08,15.98,16.21,15.91,16.11,3166200,13.96
2009-12-07,16.22,16.22,15.97,16.04,2816000,13.90
2009-12-04,16.19,16.30,16.00,16.23,4017000,14.06
2009-12-03,16.25,16.38,16.00,16.00,2848800,13.86
2009-12-02,16.07,16.28,16.07,16.20,3343700,14.03
2009-12-01,16.36,16.41,16.03,16.14,4310900,13.98
2009-11-30,16.46,16.50,16.19,16.29,4274600,14.11
2009-11-27,16.15,16.59,16.12,16.37,2009300,14.18
2009-11-25,16.60,16.66,16.42,16.48,3454300,14.28
2009-11-24,16.22,16.63,16.03,16.45,7924100,14.25
2009-11-23,17.00,17.16,15.62,16.03,19149100,13.89
2009-11-20,16.46,16.60,16.41,16.47,1876600,14.27
2009-11-19,16.55,16.68,16.40,16.47,2124900,14.27
2009-11-18,16.58,16.74,16.58,16.71,1451400,14.48
2009-11-17,16.43,16.71,16.43,16.68,2824900,14.45
2009-11-16,16.35,16.71,16.29,16.55,5503700,14.34
2009-11-13,16.11,16.32,16.04,16.22,2377200,14.05
2009-11-12,16.12,16.26,16.04,16.06,3150100,13.91
2009-11-11,16.13,16.32,16.02,16.17,3104400,14.01
2009-11-10,15.91,16.15,15.90,16.02,2372300,13.88
2009-11-09,16.03,16.12,15.88,16.01,2943700,13.87
2009-11-06,15.88,16.00,15.77,15.90,2316800,13.77
2009-11-05,15.97,16.01,15.74,15.99,2699800,13.85
2009-11-04,15.91,16.03,15.63,15.65,3633100,13.56
2009-11-03,15.91,15.94,15.71,15.81,2700300,13.70
2009-11-02,15.88,16.16,15.74,15.91,5155000,13.78
2009-10-30,16.32,16.37,15.94,16.03,5488000,13.89
2009-10-29,16.30,16.43,16.21,16.38,3638700,14.19
2009-10-28,16.20,16.45,16.20,16.26,3515200,14.09
2009-10-27,16.44,16.67,16.36,16.40,4202100,14.08
2009-10-26,16.61,16.69,16.38,16.45,3303900,14.12
2009-10-23,16.70,16.86,16.50,16.61,3581000,14.26
2009-10-22,16.37,16.92,16.31,16.80,4923200,14.42
2009-10-21,16.60,16.79,16.46,16.50,4658600,14.16
2009-10-20,16.45,16.74,16.36,16.56,5318000,14.21
2009-10-19,16.35,16.58,16.23,16.55,4379500,14.20
2009-10-16,15.64,16.51,15.62,16.15,8294500,13.86
2009-10-15,15.65,15.87,15.54,15.87,6063800,13.62
2009-10-14,15.75,15.78,15.51,15.68,4414800,13.46
