Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,224.59,224.59,218.09,218.41,738700,218.41
2009-12-30,223.17,225.70,220.66,223.61,542900,223.61
2009-12-29,227.51,230.49,224.03,224.67,493500,224.67
2009-12-28,228.50,231.49,227.93,229.24,538400,229.24
2009-12-24,229.48,231.23,227.58,228.00,312900,228.00
2009-12-23,221.58,229.35,220.12,229.00,821200,229.00
2009-12-22,220.20,222.86,218.40,220.31,581600,220.31
2009-12-21,218.19,219.79,216.16,219.23,708400,219.23
2009-12-18,215.03,217.14,211.86,216.39,1409200,216.39
2009-12-17,219.02,222.45,214.59,215.48,869600,215.48
2009-12-16,218.72,222.64,218.72,221.50,825700,221.50
2009-12-15,220.66,221.05,217.73,218.31,739700,218.31
2009-12-14,222.25,222.85,219.28,221.46,574400,221.46
2009-12-11,221.65,224.24,217.15,220.70,749300,220.70
2009-12-10,219.00,222.96,218.58,221.72,851400,221.72
2009-12-09,216.48,218.00,212.41,217.74,899900,217.74
2009-12-08,216.12,218.23,215.00,216.06,1318100,216.06
2009-12-07,221.80,221.99,213.65,216.12,1338000,216.12
2009-12-04,223.89,226.57,217.01,220.72,1408300,220.72
2009-12-03,218.57,223.82,217.50,220.01,1575900,220.01
2009-12-02,214.37,218.51,213.65,218.03,1165900,218.03
2009-12-01,215.15,216.00,212.28,214.80,1158300,214.80
2009-11-30,206.55,214.57,206.25,214.12,1178700,214.12
2009-11-27,207.99,211.00,205.41,208.21,488400,208.21
2009-11-25,212.91,213.00,209.27,212.90,658800,212.90
2009-11-24,212.95,213.00,209.38,210.88,805800,210.88
2009-11-23,211.27,214.47,210.00,211.89,2044300,211.89
2009-11-20,205.62,209.80,204.37,208.75,1392800,208.75
2009-11-19,207.52,208.33,202.21,207.64,1587800,207.64
2009-11-18,208.45,210.40,207.00,209.68,1308500,209.68
2009-11-17,205.25,209.96,203.21,209.29,1510900,209.29
2009-11-16,203.54,208.99,201.41,206.14,1802700,206.14
2009-11-13,198.00,201.96,195.09,201.93,2025600,201.93
2009-11-12,197.64,202.77,196.30,197.15,1982800,197.15
2009-11-11,201.74,202.58,195.25,196.80,3886800,196.80
2009-11-10,194.92,209.19,173.73,204.22,9223600,204.22
2009-11-09,175.20,176.50,172.10,173.73,3181300,173.73
2009-11-06,167.49,172.00,167.25,172.00,1500000,172.00
2009-11-05,167.68,170.50,166.67,168.01,7960400,168.01
2009-11-04,166.00,167.95,162.77,165.52,899900,165.52
2009-11-03,162.29,166.77,159.30,164.50,1774300,164.50
2009-11-02,157.51,163.59,157.29,162.58,1490300,162.58
2009-10-30,167.67,167.67,154.12,157.79,2892800,157.79
2009-10-29,169.00,169.00,160.42,162.62,2033200,162.62
2009-10-28,170.51,171.86,163.60,164.47,2559600,164.47
2009-10-27,179.85,179.85,170.95,171.98,1317200,171.98
2009-10-26,178.35,182.32,177.14,179.00,1001300,179.00
2009-10-23,178.70,180.46,175.81,177.14,1001500,177.14
2009-10-22,175.64,176.12,173.37,175.03,516100,175.03
2009-10-21,174.91,178.72,174.91,176.00,865300,176.00
2009-10-20,174.00,177.13,173.01,176.07,805100,176.07
2009-10-19,169.53,173.75,169.00,172.94,501400,172.94
2009-10-16,170.58,172.50,167.45,168.12,800700,168.12
2009-10-15,170.22,172.67,170.01,171.88,337200,171.88
2009-10-14,172.60,172.61,170.25,171.45,605800,171.45
2009-10-13,171.08,172.18,169.70,170.00,478200,170.00
2009-10-12,172.48,173.26,169.02,170.95,329400,170.95
2009-10-09,171.28,173.34,169.40,170.91,550800,170.91
2009-10-08,174.49,175.00,170.73,171.51,799500,171.51
2009-10-07,170.50,174.17,169.33,173.99,641300,173.99
2009-10-06,169.00,171.18,168.02,171.13,952400,171.13
2009-10-05,164.25,168.29,163.57,167.64,859800,167.64
2009-10-02,159.36,163.60,158.77,163.28,699900,163.28
2009-10-01,164.71,165.76,160.20,161.81,659800,161.81
2009-09-30,167.65,170.41,162.06,165.82,1058200,165.82
2009-09-29,165.61,167.48,163.07,167.00,838800,167.00
2009-09-28,163.16,167.00,161.97,164.93,715700,164.93
2009-09-25,158.95,163.07,158.52,162.07,792700,162.07
2009-09-24,162.91,163.90,158.81,159.62,692300,159.62
2009-09-23,166.00,166.00,161.49,161.68,648800,161.68
2009-09-22,166.36,166.78,164.13,164.55,379100,164.55
2009-09-21,162.80,165.49,160.33,165.05,594000,165.05
2009-09-18,166.75,167.09,163.01,163.78,738600,163.78
2009-09-17,168.15,169.00,165.62,166.00,634900,166.00
2009-09-16,163.81,168.32,163.21,168.24,534500,168.24
2009-09-15,162.82,163.79,161.65,163.10,626900,163.10
2009-09-14,162.19,163.75,161.23,163.12,711800,163.12
2009-09-11,162.67,163.18,160.44,162.90,525400,162.90
2009-09-10,161.03,162.69,158.77,162.18,598900,162.18
2009-09-09,156.96,161.60,156.94,160.32,764500,160.32
2009-09-08,155.79,158.28,154.00,157.64,744400,157.64
2009-09-04,151.81,154.00,151.15,153.79,291000,153.79
2009-09-03,151.02,152.17,149.17,151.63,391400,151.63
2009-09-02,150.12,151.46,148.68,150.83,508400,150.83
2009-09-01,153.10,154.77,149.21,149.21,801900,149.21
2009-08-31,155.74,156.31,153.24,153.98,483300,153.98
2009-08-28,157.46,159.89,155.70,156.47,830300,156.47
2009-08-27,150.14,156.42,149.00,156.36,951200,156.36
2009-08-26,152.09,153.96,149.60,151.11,630600,151.11
2009-08-25,152.34,153.50,150.50,152.32,792000,152.32
2009-08-24,154.00,155.00,149.58,150.21,1001500,150.21
2009-08-21,153.33,154.94,151.22,153.56,950100,153.56
2009-08-20,148.65,152.95,147.62,152.87,1033900,152.87
2009-08-19,144.86,148.11,144.05,146.88,672600,146.88
2009-08-18,145.05,146.99,144.00,146.62,870900,146.62
2009-08-17,145.82,146.95,143.93,144.85,786600,144.85
2009-08-14,150.50,151.42,147.36,148.76,819600,148.76
2009-08-13,149.69,151.88,148.00,150.57,997700,150.57
2009-08-12,153.10,153.70,146.82,148.64,1825800,148.64
2009-08-11,149.01,153.89,148.86,153.72,1773300,153.72
2009-08-10,142.90,150.88,142.00,150.24,4363400,150.24
2009-08-07,131.84,133.18,129.06,131.32,1584500,131.32
2009-08-06,133.26,135.10,128.62,129.91,1230100,129.91
2009-08-05,130.43,132.64,128.36,132.42,972800,132.42
2009-08-04,133.64,133.64,129.44,130.13,829800,130.13
2009-08-03,133.25,134.08,131.90,133.73,1143000,133.73
