Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,61.25,61.44,60.76,60.80,3316300,55.46
2009-12-30,61.00,61.45,60.87,61.31,3779400,55.93
2009-12-29,61.29,61.59,61.10,61.10,3787000,55.74
2009-12-28,61.19,61.25,60.87,61.16,4364200,55.79
2009-12-24,60.66,60.96,60.40,60.96,1502900,55.61
2009-12-23,60.87,60.87,60.25,60.68,3829000,55.35
2009-12-22,60.57,60.79,60.25,60.63,6026000,55.31
2009-12-21,59.72,60.73,59.60,60.48,7973000,55.17
2009-12-18,59.92,59.92,58.77,59.48,18604200,54.26
2009-12-17,60.64,60.64,60.04,60.04,8336100,54.77
2009-12-16,61.18,61.69,60.62,60.68,8127400,55.35
2009-12-15,61.01,61.39,60.40,60.99,7656600,55.64
2009-12-14,61.70,61.77,60.86,60.98,7437800,55.63
2009-12-11,61.85,62.38,61.18,61.27,8249600,55.89
2009-12-10,62.15,62.63,61.67,61.84,8512500,56.41
2009-12-09,62.08,62.39,60.76,61.80,20222300,56.38
2009-12-08,64.09,64.09,63.15,63.48,6161600,57.91
2009-12-07,63.70,64.48,63.56,64.23,6259700,58.59
2009-12-04,63.18,64.00,63.08,63.85,8907000,58.25
2009-12-03,63.58,63.59,62.67,62.76,6406200,57.25
2009-12-02,63.50,63.74,63.17,63.65,6195800,58.06
2009-12-01,62.68,63.93,62.49,63.87,6887700,57.85
2009-11-30,62.64,62.83,62.15,62.22,7252700,56.36
2009-11-27,62.24,62.55,61.75,62.30,3416000,56.43
2009-11-25,62.53,63.27,62.49,63.19,4672600,57.24
2009-11-24,62.62,62.65,62.13,62.50,4139700,56.61
2009-11-23,62.46,62.99,62.26,62.49,5009400,56.60
2009-11-20,61.67,62.31,61.43,62.08,5314600,56.23
2009-11-19,62.10,62.10,61.35,61.88,4390400,56.05
2009-11-18,62.44,62.51,61.81,62.30,3952300,56.43
2009-11-17,62.42,62.63,62.03,62.60,4362400,56.70
2009-11-16,62.21,62.49,61.94,62.43,4966800,56.55
2009-11-13,61.63,62.13,61.35,61.94,6411100,56.11
2009-11-12,62.49,62.75,61.10,61.27,8474900,55.50
2009-11-11,62.34,62.68,62.08,62.60,4714300,56.70
2009-11-10,62.17,62.94,61.93,62.08,7094100,56.23
2009-11-09,61.81,62.32,61.43,62.28,6921800,56.41
2009-11-06,60.99,61.76,60.79,61.76,4831000,55.94
2009-11-05,60.44,61.41,60.42,61.23,5578500,55.46
2009-11-04,60.16,60.96,59.79,60.38,5552100,54.69
2009-11-03,60.29,60.39,59.62,60.06,5797000,54.40
2009-11-02,60.79,61.07,60.16,60.60,6618800,54.89
2009-10-30,61.35,61.64,60.37,60.55,7794100,54.85
2009-10-29,61.01,61.46,60.57,61.39,5245300,55.61
2009-10-28,60.88,61.52,60.75,60.99,6321900,55.24
2009-10-27,60.64,61.35,60.10,61.00,7262900,55.25
2009-10-26,61.14,61.50,60.21,60.47,5113000,54.77
2009-10-23,61.41,61.67,60.58,61.03,6505200,55.28
2009-10-22,61.90,61.90,60.87,61.50,5428100,55.71
2009-10-21,61.38,62.34,61.23,61.84,7445000,56.01
2009-10-20,62.00,62.05,61.12,61.58,8068000,55.78
2009-10-19,62.28,62.57,61.90,62.05,5557300,56.20
2009-10-16,62.47,62.68,62.11,62.29,6588400,56.42
2009-10-15,61.57,62.75,61.39,62.68,10518600,56.78
2009-10-14,60.94,61.68,60.70,61.62,8462200,55.82
2009-10-13,60.88,61.00,60.52,60.60,7502000,54.89
2009-10-12,60.43,61.36,60.25,60.92,6178100,55.18
2009-10-09,60.38,60.70,59.81,60.59,6360200,54.88
2009-10-08,61.24,61.24,59.80,60.39,17263400,54.70
2009-10-07,60.85,61.38,60.45,61.17,6441900,55.41
2009-10-06,61.05,61.27,60.42,60.87,8128900,55.14
2009-10-05,60.83,61.24,60.14,60.85,7892000,55.12
2009-10-02,59.12,61.24,58.93,60.90,17530200,55.16
2009-10-01,58.70,58.99,58.27,58.46,9010200,52.95
2009-09-30,58.74,58.86,58.01,58.66,8898400,53.13
2009-09-29,59.10,59.31,58.00,58.51,7086400,53.00
2009-09-28,58.95,59.49,58.62,59.03,4085900,53.47
2009-09-25,58.50,59.13,58.32,58.68,6758800,53.15
2009-09-24,58.57,58.82,58.24,58.54,6157700,53.03
2009-09-23,58.69,59.08,58.34,58.47,6122400,52.96
2009-09-22,59.10,59.20,58.30,58.58,6801900,53.06
2009-09-21,59.52,59.66,58.81,59.02,7785600,53.46
2009-09-18,59.04,60.00,58.96,59.86,14645500,54.22
2009-09-17,58.35,58.99,58.22,58.80,7034500,53.26
2009-09-16,58.34,58.47,57.67,58.34,5747600,52.84
2009-09-15,58.74,58.74,57.91,58.29,6339500,52.80
2009-09-14,58.49,58.89,58.21,58.70,5949000,53.17
2009-09-11,58.05,58.92,57.74,58.81,8195300,53.27
2009-09-10,57.92,58.05,57.54,57.86,7601400,52.41
2009-09-09,58.34,58.34,57.86,58.04,10094900,52.57
2009-09-08,57.66,58.34,57.33,58.28,13031000,52.79
2009-09-04,56.45,57.70,56.33,57.54,8841700,52.12
2009-09-03,56.54,56.80,56.00,56.64,7820200,51.30
2009-09-02,55.99,56.62,55.69,56.35,8902900,51.04
2009-09-01,56.60,57.30,55.93,56.25,7964700,50.54
2009-08-31,56.56,56.98,56.38,56.67,5522400,50.92
2009-08-28,57.96,58.00,56.61,56.76,6603800,51.00
2009-08-27,57.59,58.10,57.50,57.76,5854300,51.90
2009-08-26,57.35,58.19,57.13,57.88,7396800,52.01
2009-08-25,57.35,57.80,57.07,57.29,5822700,51.48
2009-08-24,57.69,57.78,57.06,57.45,5690000,51.62
2009-08-21,57.07,57.73,56.80,57.49,8890100,51.66
2009-08-20,56.30,57.16,56.20,56.84,6064000,51.07
2009-08-19,56.22,56.71,56.00,56.45,5845000,50.72
2009-08-18,56.22,56.76,55.92,56.24,9730700,50.53
2009-08-17,56.40,56.78,55.86,56.18,5760100,50.48
2009-08-14,56.50,57.06,56.08,56.56,6395100,50.82
2009-08-13,56.85,56.91,56.03,56.49,7187200,50.76
2009-08-12,56.78,57.55,56.34,56.68,6911300,50.93
2009-08-11,57.17,57.55,56.89,56.91,6785300,51.14
2009-08-10,57.79,57.79,56.94,57.41,8127700,51.59
2009-08-07,58.10,58.21,57.55,57.74,6869400,51.88
2009-08-06,58.61,58.81,57.69,57.83,7550400,51.96
2009-08-05,59.18,59.50,58.29,58.39,10093500,52.47
2009-08-04,58.02,59.64,57.50,59.06,27850100,53.07
2009-08-03,56.98,56.98,55.96,56.20,6493600,50.50
2009-07-31,56.65,57.29,56.48,56.75,6003000,50.99
2009-07-30,56.73,57.63,56.54,56.60,6718600,50.86
2009-07-29,55.77,56.40,55.75,56.33,5395800,50.62
2009-07-28,56.05,56.66,55.70,55.97,7151400,50.29
2009-07-27,56.30,56.72,55.97,56.34,5825000,50.62
2009-07-24,56.57,56.76,55.72,56.41,6741600,50.69
2009-07-23,56.01,56.84,55.62,56.50,8862400,50.77
2009-07-22,56.22,56.40,55.37,55.89,7498900,50.22
2009-07-21,56.49,56.69,55.45,56.40,6075100,50.68
2009-07-20,56.85,56.89,55.36,56.08,7828900,50.39
2009-07-17,56.93,57.26,56.46,56.66,6188100,50.91
2009-07-16,57.00,57.70,56.83,57.26,6302300,51.45
2009-07-15,56.54,57.31,56.30,57.28,7676100,51.47
2009-07-14,55.63,56.12,55.38,56.09,4569900,50.40
2009-07-13,54.75,55.86,54.62,55.67,8829400,50.02
2009-07-10,54.36,54.88,54.30,54.71,5945700,49.16
2009-07-09,55.11,55.34,54.40,54.68,7263600,49.13
2009-07-08,56.09,56.13,54.52,54.85,12094700,49.29
2009-07-07,57.07,57.46,55.92,56.00,11953500,50.32
2009-07-06,56.27,57.17,56.08,57.13,8886600,51.33
2009-07-02,56.03,56.82,55.77,56.35,8161900,50.63
2009-07-01,55.12,56.69,55.12,56.52,9715200,50.79
2009-06-30,54.94,55.45,54.72,54.96,8815400,49.38
2009-06-29,55.33,55.50,54.61,54.84,6368100,49.28
2009-06-26,53.72,54.90,53.50,54.70,8836600,49.15
2009-06-25,52.89,54.38,52.56,53.99,8050400,48.51
2009-06-24,53.33,53.83,52.70,53.05,4730800,47.67
2009-06-23,53.75,53.84,52.80,53.01,6528600,47.63
2009-06-22,53.64,53.89,53.18,53.49,5314100,48.06
2009-06-19,54.74,55.05,53.69,53.91,9530500,48.44
2009-06-18,53.13,54.73,52.88,54.49,7047100,48.96
2009-06-17,52.31,53.83,52.11,52.97,9395200,47.60
2009-06-16,53.06,53.30,52.20,52.34,6477900,47.03
2009-06-15,53.45,53.54,52.78,52.88,6089700,47.52
2009-06-12,52.85,53.85,52.60,53.65,5958400,48.21
2009-06-11,53.19,53.98,52.93,52.97,8817200,47.60
2009-06-10,53.73,54.11,52.99,53.36,6291700,47.95
2009-06-09,54.21,54.34,53.21,53.48,8065100,48.05
2009-06-08,54.68,54.99,53.55,54.15,6846900,48.66
2009-06-05,55.37,55.49,54.50,54.88,10394100,49.31
2009-06-04,54.27,54.90,53.80,54.82,12602700,49.26
2009-06-03,54.90,54.90,53.89,54.27,11515700,48.76
2009-06-02,53.47,55.73,53.15,55.37,13707800,49.35
2009-06-01,52.27,53.39,52.25,53.13,8262500,47.35
2009-05-29,51.06,52.14,50.85,52.05,9341500,46.39
2009-05-28,50.25,51.30,50.16,51.02,7960400,45.47
2009-05-27,51.38,51.50,49.82,50.01,8811400,44.57
2009-05-26,51.01,51.69,50.91,51.28,8835100,45.70
2009-05-22,51.58,51.95,51.20,51.57,4565800,45.96
2009-05-21,51.64,51.87,50.99,51.49,6096200,45.89
2009-05-20,51.87,52.50,51.54,52.06,8536000,46.40
2009-05-19,51.29,52.10,51.10,51.61,7584800,46.00
2009-05-18,50.62,51.23,50.35,51.17,6461700,45.61
2009-05-15,50.53,50.82,50.03,50.32,8205900,44.85
2009-05-14,49.70,51.16,49.51,50.87,10200100,45.34
2009-05-13,49.20,49.88,49.14,49.66,11299700,44.26
2009-05-12,49.72,49.80,48.82,49.27,15410500,43.91
2009-05-11,49.55,50.04,49.28,49.58,8192800,44.19
2009-05-08,49.88,49.94,49.09,49.75,10686200,44.34
2009-05-07,49.86,50.06,49.24,49.49,13254900,44.11
2009-05-06,50.30,50.30,49.19,49.72,7561900,44.31
2009-05-05,49.13,49.95,49.12,49.73,11609800,44.32
2009-05-04,50.17,50.17,48.87,49.10,13087000,43.76
2009-05-01,49.76,49.89,48.83,49.79,7617400,44.38
2009-04-30,50.91,51.00,49.52,49.76,10978300,44.35
2009-04-29,50.16,51.22,50.16,50.45,15118800,44.96
2009-04-28,48.71,50.27,48.71,50.04,11569100,44.60
2009-04-27,48.28,49.50,48.17,49.11,9540400,43.77
2009-04-24,48.31,48.92,47.93,48.52,11306900,43.24
2009-04-23,48.40,48.46,47.50,47.89,12256700,42.68
2009-04-22,49.86,50.20,47.88,47.98,20499500,42.76
2009-04-21,50.17,50.55,48.50,49.35,13960700,43.98
2009-04-20,51.32,51.59,49.52,49.86,18459600,44.44
2009-04-17,52.00,52.47,51.70,52.13,8820400,46.46
2009-04-16,52.24,52.24,51.16,51.96,6115800,46.31
2009-04-15,50.24,52.10,50.24,52.04,6727800,46.38
2009-04-14,51.14,51.34,50.28,50.56,7731600,45.06
2009-04-13,52.02,56.95,51.29,51.49,5863200,45.89
2009-04-09,52.35,53.09,51.86,52.10,7165400,46.43
2009-04-08,52.26,52.53,51.85,52.28,4920600,46.59
2009-04-07,52.56,52.64,52.03,52.25,5547000,46.57
2009-04-06,52.54,53.04,52.25,52.67,4506700,46.94
2009-04-03,53.00,53.37,52.25,52.69,5591400,46.96
2009-04-02,52.93,53.53,52.51,52.86,7436500,47.11
2009-04-01,51.01,52.43,51.00,52.22,7010900,46.54
2009-03-31,52.26,52.50,51.48,51.48,9179900,45.88
2009-03-30,52.06,52.62,51.28,51.79,7584800,46.16
2009-03-27,52.64,53.10,52.12,52.39,5875700,46.69
