Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,26.13,26.20,25.34,25.55,1730400,22.85
2009-12-30,26.20,26.32,25.48,26.03,1178700,23.28
2009-12-29,26.96,27.20,26.17,26.23,1165300,23.46
2009-12-28,26.90,27.43,26.81,26.91,1359600,24.07
2009-12-24,26.08,26.82,26.08,26.78,548000,23.95
2009-12-23,25.67,26.17,25.27,26.00,1422000,23.25
2009-12-22,25.47,25.77,25.25,25.70,1188800,22.99
2009-12-21,25.18,25.41,24.87,25.38,1339800,22.70
2009-12-18,24.99,25.40,24.74,25.38,2644100,22.45
2009-12-17,25.60,25.82,25.07,25.39,2014100,22.46
2009-12-16,25.55,26.13,25.42,25.88,1873700,22.89
2009-12-15,25.52,25.71,25.09,25.35,1484100,22.42
2009-12-14,25.01,25.53,24.29,25.45,2021000,22.51
2009-12-11,24.24,24.89,24.17,24.82,1246000,21.95
2009-12-10,24.43,24.50,23.85,24.05,1329500,21.27
2009-12-09,24.58,24.74,24.09,24.19,1325300,21.40
2009-12-08,24.52,24.76,24.26,24.45,927400,21.63
2009-12-07,24.89,25.08,24.44,24.70,1379100,21.85
2009-12-04,24.93,25.45,24.43,25.04,2132700,22.15
2009-12-03,24.41,25.23,24.15,24.32,2478800,21.51
2009-12-02,23.55,24.40,23.47,24.23,1375900,21.43
2009-12-01,23.70,23.97,23.38,23.65,2436100,20.92
2009-11-30,22.76,23.61,22.58,23.55,2459300,20.83
2009-11-27,22.68,23.29,22.48,22.71,956500,20.09
2009-11-25,23.66,23.76,23.32,23.50,1048100,20.79
2009-11-24,24.03,24.10,23.35,23.54,1339000,20.82
2009-11-23,24.39,25.03,23.95,24.13,1635900,21.34
2009-11-20,24.01,24.16,23.84,24.04,1377500,21.26
2009-11-19,24.97,24.97,24.05,24.13,2014600,21.34
2009-11-18,24.97,25.38,24.79,25.31,1513300,22.39
2009-11-17,25.05,25.52,24.84,24.90,2480800,22.02
2009-11-16,24.69,25.72,24.69,25.21,2447900,22.30
2009-11-13,24.17,24.68,24.11,24.53,1712100,21.70
2009-11-12,24.50,24.68,23.99,24.06,1735500,21.28
2009-11-11,24.08,24.68,23.98,24.61,2440700,21.77
2009-11-10,23.31,24.02,23.23,23.69,2978600,20.95
2009-11-09,22.26,23.59,22.12,23.54,2199900,20.82
2009-11-06,21.86,22.18,21.43,21.89,1365100,19.36
2009-11-05,22.03,22.28,21.60,22.25,1777300,19.68
2009-11-04,22.75,22.87,21.54,21.64,2621800,19.14
2009-11-03,21.50,22.47,21.36,22.42,1986400,19.83
2009-11-02,22.25,22.73,21.16,21.87,1926000,19.34
2009-10-30,22.12,22.22,21.13,21.98,3766400,19.44
2009-10-29,21.60,22.57,21.60,22.40,2424300,19.81
2009-10-28,22.98,23.34,21.43,21.46,2321700,18.98
2009-10-27,23.47,23.56,22.96,23.05,1841000,20.39
2009-10-26,23.29,24.09,23.21,23.39,2521100,20.69
2009-10-23,23.89,23.99,23.07,23.20,1883200,20.52
2009-10-22,22.24,24.26,22.15,23.75,5050700,21.01
2009-10-21,23.14,24.00,22.13,22.14,5016300,19.58
2009-10-20,23.03,23.08,21.97,22.41,2016900,19.82
2009-10-19,22.79,23.20,22.59,23.06,1218500,20.40
2009-10-16,22.63,22.89,22.10,22.60,1883200,19.99
2009-10-15,22.95,23.12,22.63,22.87,2352800,20.23
2009-10-14,22.94,23.40,22.84,23.29,2121000,20.60
2009-10-13,22.61,22.76,22.12,22.46,1977600,19.87
2009-10-12,22.50,22.97,22.34,22.73,1677000,20.10
2009-10-09,21.96,22.20,21.64,22.19,1502600,19.63
2009-10-08,21.79,22.44,21.79,22.09,2233000,19.54
2009-10-07,21.33,21.86,21.18,21.56,1533300,19.07
2009-10-06,21.97,22.32,21.29,21.51,2903600,19.03
2009-10-05,21.48,22.00,21.34,21.67,2628800,19.17
2009-10-02,20.86,22.08,20.71,21.21,3832900,18.76
2009-10-01,22.66,22.74,21.18,21.22,4351100,18.77
2009-09-30,23.28,23.38,22.35,22.95,2951400,20.05
2009-09-29,23.60,23.97,22.93,23.15,1592100,20.23
2009-09-28,22.69,23.61,22.69,23.60,2058900,20.62
2009-09-25,22.59,23.19,22.12,22.56,1838700,19.71
2009-09-24,24.28,24.45,22.56,22.65,2253800,19.79
2009-09-23,25.19,25.20,24.05,24.06,2923800,21.02
2009-09-22,24.75,25.16,23.59,25.10,2423000,21.93
2009-09-21,23.99,24.69,23.66,24.31,2369200,21.24
2009-09-18,24.73,25.11,24.02,24.85,2733300,21.71
2009-09-17,24.86,25.96,23.98,24.50,2282000,21.41
2009-09-16,23.86,25.28,23.83,25.02,3020500,21.86
2009-09-15,23.13,24.04,22.94,23.60,2454500,20.62
2009-09-14,21.97,23.12,21.89,23.08,1361600,20.17
2009-09-11,22.79,23.00,22.14,22.27,2054200,19.46
2009-09-10,22.35,22.87,21.92,22.79,1445400,19.91
2009-09-09,21.65,22.59,21.42,22.38,3090400,19.55
2009-09-08,21.00,21.78,21.00,21.61,2837500,18.88
2009-09-04,20.74,20.86,20.20,20.84,1712900,18.21
2009-09-03,20.92,21.00,20.26,20.69,2333200,18.08
2009-09-02,21.08,21.09,20.61,20.63,2404600,18.02
2009-09-01,22.63,23.17,21.15,21.24,3279500,18.56
2009-08-31,23.01,23.22,22.55,22.83,2370100,19.95
2009-08-28,23.55,23.70,22.86,23.42,1420000,20.46
2009-08-27,22.87,23.31,22.24,23.28,1326500,20.34
2009-08-26,22.76,22.99,22.50,22.99,1135800,20.09
2009-08-25,22.79,23.10,22.54,22.89,2137100,20.00
2009-08-24,22.99,23.35,22.53,22.64,1975700,19.78
2009-08-21,22.24,23.40,22.09,22.73,2047200,19.86
2009-08-20,21.01,21.94,20.85,21.93,1899600,19.16
2009-08-19,21.01,21.39,20.73,21.09,1748500,18.43
2009-08-18,20.88,21.59,20.59,21.45,2783900,18.74
2009-08-17,21.28,21.28,20.44,20.74,4061500,18.12
2009-08-14,22.11,22.58,21.39,22.21,2184100,19.41
2009-08-13,22.17,22.45,21.63,22.11,1990000,19.32
2009-08-12,21.51,22.41,21.51,21.76,2911500,19.01
2009-08-11,22.93,22.93,21.43,21.46,3247800,18.75
2009-08-10,23.48,23.82,22.81,23.04,1735500,20.13
2009-08-07,23.25,24.28,23.25,23.78,4780300,20.78
2009-08-06,23.02,24.21,22.72,22.93,4586200,20.03
2009-08-05,21.56,22.78,21.34,22.66,2513100,19.80
2009-08-04,20.26,22.10,19.97,21.55,4633100,18.83
2009-08-03,20.00,20.46,19.85,20.45,1802300,17.87
2009-07-31,19.37,19.90,19.17,19.81,2165400,17.31
2009-07-30,18.76,19.77,18.70,19.41,2395800,16.96
2009-07-29,18.74,18.91,18.25,18.56,2300800,16.22
2009-07-28,19.39,19.39,17.90,18.87,3808000,16.49
2009-07-27,19.01,19.63,18.72,19.52,2109100,17.05
2009-07-24,18.44,19.16,18.24,19.06,2285400,16.65
2009-07-23,18.03,19.11,17.73,18.59,3244800,16.24
