Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,37.18,37.24,36.58,36.58,858800,31.66
2009-12-30,37.33,37.47,37.03,37.18,723600,32.18
2009-12-29,37.40,37.54,37.38,37.45,538800,32.41
2009-12-28,37.10,37.38,37.10,37.35,528700,32.32
2009-12-24,37.12,37.30,37.01,37.11,266800,32.12
2009-12-23,37.20,37.20,36.82,37.05,690400,32.06
2009-12-22,37.45,37.46,36.74,37.00,998000,32.02
2009-12-21,37.16,37.52,37.10,37.30,495900,32.28
2009-12-18,37.32,37.55,36.65,37.13,1417400,32.13
2009-12-17,37.49,37.65,37.16,37.20,1134200,32.19
2009-12-16,37.61,37.71,37.23,37.56,792100,32.51
2009-12-15,37.53,37.65,37.33,37.44,668800,32.40
2009-12-14,37.78,37.96,37.57,37.73,850900,32.65
2009-12-11,37.26,37.76,37.02,37.72,643900,32.64
2009-12-10,36.89,37.35,36.67,37.04,986600,32.06
2009-12-09,36.50,36.87,36.40,36.87,860000,31.91
2009-12-08,36.12,36.60,35.86,36.51,1283300,31.60
2009-12-07,36.22,36.70,36.22,36.34,1143500,31.45
2009-12-04,36.61,36.80,35.82,36.23,1411500,31.35
2009-12-03,36.28,36.65,36.18,36.22,950800,31.35
2009-12-02,35.66,36.29,35.66,36.25,852500,31.37
2009-12-01,35.20,35.70,35.10,35.63,1083700,30.84
2009-11-30,34.96,35.31,34.83,35.09,1131400,30.37
2009-11-27,35.00,35.30,34.66,34.90,360700,30.20
2009-11-25,35.07,35.48,34.96,35.35,848700,30.59
2009-11-24,34.68,35.01,34.53,34.97,909400,30.26
2009-11-23,34.33,34.85,34.12,34.55,954400,29.90
2009-11-20,34.06,34.21,33.99,34.03,1063100,29.45
2009-11-19,34.38,34.45,33.92,34.13,1310700,29.54
2009-11-18,33.64,35.03,33.59,34.40,3875200,29.77
2009-11-17,33.64,33.75,33.34,33.47,863400,28.97
2009-11-16,33.30,33.64,33.27,33.61,748500,29.09
2009-11-13,33.10,33.54,33.07,33.23,947600,28.76
2009-11-12,33.43,33.77,32.99,33.10,557800,28.65
2009-11-11,33.81,33.96,33.53,33.60,841500,29.08
2009-11-10,33.53,33.89,33.44,33.73,1028300,29.19
2009-11-09,33.05,33.62,32.87,33.61,803100,29.09
2009-11-06,32.68,33.10,32.54,32.84,868900,28.42
2009-11-05,32.28,32.72,32.28,32.59,2215100,28.20
2009-11-04,31.98,32.47,31.92,32.07,1083600,27.75
2009-11-03,31.18,31.97,31.14,31.90,1361600,27.61
2009-11-02,31.44,31.84,31.08,31.32,1823000,27.11
2009-10-30,32.09,32.34,31.31,31.32,2220800,27.11
2009-10-29,32.91,32.91,31.82,32.01,2135900,27.70
2009-10-28,33.32,33.85,33.06,33.10,1101100,28.19
2009-10-27,33.30,33.76,33.22,33.41,806500,28.46
2009-10-26,33.57,33.93,32.97,33.12,612900,28.21
2009-10-23,34.12,34.14,33.29,33.48,580200,28.52
2009-10-22,33.61,34.04,33.44,34.03,868500,28.98
2009-10-21,34.13,34.52,33.60,33.61,1422300,28.63
2009-10-20,34.71,34.71,33.98,34.12,694500,29.06
2009-10-19,34.08,34.70,33.78,34.49,824800,29.38
2009-10-16,33.40,34.14,33.24,33.99,746200,28.95
2009-10-15,33.24,33.76,33.17,33.73,737200,28.73
2009-10-14,33.37,33.58,33.12,33.23,860000,28.30
2009-10-13,33.41,33.48,33.02,33.25,427400,28.32
2009-10-12,33.60,33.66,33.38,33.52,355500,28.55
2009-10-09,33.18,33.49,32.96,33.34,1760600,28.40
2009-10-08,32.67,32.82,32.55,32.80,451300,27.94
2009-10-07,32.64,32.67,32.26,32.62,562300,27.78
2009-10-06,32.59,32.83,32.48,32.74,713000,27.89
2009-10-05,32.86,32.87,31.92,32.52,1353100,27.70
2009-10-02,31.99,31.99,31.57,31.68,576100,26.98
2009-10-01,32.68,32.78,32.09,32.09,590800,27.33
2009-09-30,32.94,33.01,32.65,32.82,622100,27.95
2009-09-29,32.83,33.05,32.59,33.03,422800,28.13
2009-09-28,32.49,33.06,32.43,32.84,202800,27.97
2009-09-25,32.57,32.67,32.43,32.51,303000,27.69
2009-09-24,32.92,33.06,32.49,32.61,487000,27.77
2009-09-23,33.20,33.42,32.79,32.84,450000,27.97
2009-09-22,32.96,33.04,32.82,32.99,394100,28.10
2009-09-21,32.97,33.09,32.79,32.91,365000,28.03
2009-09-18,33.37,33.37,32.66,33.03,1114000,28.13
2009-09-17,33.28,33.38,32.93,33.11,876300,28.20
2009-09-16,33.20,33.60,32.95,33.39,803600,28.44
2009-09-15,32.84,33.19,32.50,33.17,431600,28.25
2009-09-14,32.34,32.83,32.33,32.78,436800,27.92
2009-09-11,32.29,32.53,32.14,32.44,581400,27.63
2009-09-10,32.23,32.32,31.94,32.32,678800,27.53
2009-09-09,32.45,32.66,32.22,32.31,602200,27.52
2009-09-08,32.45,32.57,32.13,32.47,559900,27.66
2009-09-04,32.25,32.38,32.06,32.33,445500,27.54
2009-09-03,32.50,32.72,31.94,32.23,776700,27.45
