Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,47.23,47.68,46.97,46.98,643200,43.91
2009-12-30,46.94,47.25,46.73,47.18,711100,44.10
2009-12-29,47.39,47.74,46.97,47.05,390500,43.98
2009-12-28,48.27,48.27,47.18,47.40,505800,44.31
2009-12-24,47.57,48.18,47.44,48.15,327800,45.01
2009-12-23,47.39,47.81,47.06,47.38,690800,44.29
2009-12-22,47.33,47.77,47.17,47.46,728300,44.36
2009-12-21,45.79,47.35,45.74,47.10,1121700,44.03
2009-12-18,45.99,46.09,45.09,45.40,1805000,42.44
2009-12-17,46.08,46.35,45.65,45.71,981500,42.73
2009-12-16,46.78,46.95,46.20,46.50,1254000,43.46
2009-12-15,47.78,48.30,46.36,46.62,3421000,43.58
2009-12-14,48.14,49.25,47.93,48.12,2003900,44.98
2009-12-11,47.22,47.74,47.08,47.56,1218100,44.46
2009-12-10,47.29,47.47,46.76,47.13,2718400,44.05
2009-12-09,45.37,46.40,44.90,46.16,1653400,43.15
2009-12-08,45.42,45.64,44.79,45.32,1125400,42.36
2009-12-07,45.51,46.20,45.32,45.96,1455400,42.96
2009-12-04,44.80,45.76,44.52,45.66,2127200,42.68
2009-12-03,44.15,44.72,43.92,44.00,986000,41.13
2009-12-02,43.96,44.48,43.71,44.15,804100,41.27
2009-12-01,43.79,44.50,43.49,44.06,1112900,41.18
2009-11-30,43.19,43.54,42.78,43.49,1333700,40.65
2009-11-27,42.99,43.62,42.44,43.51,809800,40.67
2009-11-25,44.66,44.75,44.05,44.15,1164300,41.27
2009-11-24,44.29,44.79,43.41,44.61,1474600,41.70
2009-11-23,44.56,45.12,44.06,44.29,733700,41.40
2009-11-20,44.58,44.59,43.26,44.10,1076000,41.22
2009-11-19,45.14,45.35,44.17,44.60,1010800,41.69
2009-11-18,46.39,46.72,45.08,45.52,1488100,42.55
2009-11-17,45.18,45.31,44.34,45.19,924100,42.24
2009-11-16,43.88,45.59,43.88,45.25,1760000,42.30
2009-11-13,43.15,43.98,42.71,43.63,1038200,40.78
2009-11-12,43.80,43.82,42.81,43.04,1491500,40.23
2009-11-11,44.11,44.74,43.57,43.79,1718500,40.66
2009-11-10,43.39,44.78,43.24,43.51,2610100,40.40
2009-11-09,43.75,44.18,41.68,43.30,3199100,40.21
2009-11-06,44.10,44.14,42.22,43.32,3185600,40.22
2009-11-05,42.57,44.24,42.56,44.20,1221400,41.04
