Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,53.17,53.39,52.36,52.37,355900,51.36
2009-12-30,53.71,53.79,52.95,53.19,500400,52.17
2009-12-29,53.50,53.92,53.34,53.79,554000,52.76
2009-12-28,53.42,54.12,53.31,53.56,771900,52.53
2009-12-24,53.27,53.57,53.04,53.21,377400,52.19
2009-12-23,53.55,53.62,52.27,53.00,2543400,51.98
2009-12-22,54.73,55.04,53.25,53.25,15940700,52.23
2009-12-21,54.06,55.32,53.90,54.67,618400,53.62
2009-12-18,54.39,54.60,54.01,54.19,978900,53.15
2009-12-17,54.41,54.59,53.97,54.12,661400,53.08
2009-12-16,54.80,55.50,54.65,55.04,1424200,53.98
2009-12-15,53.73,53.80,53.19,53.28,583300,52.26
2009-12-14,54.54,54.58,53.94,54.03,519600,52.99
2009-12-11,54.19,54.35,53.62,54.35,474900,53.31
2009-12-10,53.45,53.93,53.03,53.79,785500,52.76
2009-12-09,52.71,53.04,51.89,53.00,610500,51.98
2009-12-08,53.11,53.34,52.40,52.74,424900,51.73
2009-12-07,53.82,54.17,53.31,53.57,289600,52.54
2009-12-04,53.35,54.10,53.14,53.73,447000,52.70
2009-12-03,53.20,53.73,52.75,52.75,253300,51.74
2009-12-02,53.29,54.10,52.95,53.12,612100,52.10
2009-12-01,52.52,53.84,52.39,53.35,668200,52.33
2009-11-30,52.01,52.18,51.31,52.04,416400,51.04
2009-11-27,52.01,52.65,51.27,52.24,188500,51.24
2009-11-25,53.18,53.50,52.79,52.90,373100,51.88
2009-11-24,53.77,53.80,52.84,53.12,352100,52.10
2009-11-23,53.38,54.11,53.08,53.59,501200,52.56
2009-11-20,52.20,53.00,52.12,52.88,528500,51.86
2009-11-19,53.25,53.43,51.56,52.49,952800,51.48
2009-11-18,53.93,54.06,53.48,53.63,555700,52.60
2009-11-17,53.75,54.02,53.60,53.98,625500,52.94
2009-11-16,53.00,54.32,52.80,54.00,618700,52.96
2009-11-13,52.29,53.21,51.89,52.78,408000,51.77
2009-11-12,52.87,53.50,51.92,52.16,471600,51.16
2009-11-11,53.58,53.69,52.56,53.03,407500,52.01
2009-11-10,53.07,53.81,52.77,53.12,561000,52.10
2009-11-09,52.83,53.22,52.26,53.17,1073800,52.15
2009-11-06,51.69,52.45,51.49,52.35,691600,51.34
2009-11-05,50.96,52.18,50.96,52.13,856400,51.13
2009-11-04,51.13,51.36,50.43,50.46,688000,49.49
2009-11-03,49.76,50.75,49.76,50.67,969700,49.70
2009-11-02,50.68,51.07,49.53,50.22,880800,49.26
2009-10-30,51.37,52.78,50.34,50.55,2035200,49.58
2009-10-29,51.01,51.53,50.66,51.45,880800,50.46
2009-10-28,50.72,50.92,50.00,50.80,1491300,49.82
2009-10-27,52.34,52.45,50.00,50.80,1217400,49.82
2009-10-26,50.03,52.39,48.67,52.06,2747100,51.06
2009-10-23,52.39,52.46,51.34,52.21,669000,51.21
2009-10-22,51.36,52.25,51.00,52.06,398900,51.06
2009-10-21,51.50,52.41,51.23,51.36,683400,50.37
2009-10-20,52.66,52.66,51.14,51.57,546200,50.58
2009-10-19,51.52,52.53,51.36,52.44,434600,51.43
2009-10-16,51.06,51.86,50.99,51.61,355700,50.62
2009-10-15,51.62,52.20,51.60,52.16,465200,51.16
2009-10-14,51.76,52.34,51.50,52.07,426200,51.07
2009-10-13,50.98,51.56,50.63,51.12,646200,50.14
2009-10-12,50.65,51.12,50.63,50.91,221800,49.93
2009-10-09,50.00,50.72,49.97,50.66,386100,49.69
2009-10-08,48.76,49.97,48.70,49.95,705900,48.99
2009-10-07,48.27,48.73,48.05,48.38,557400,47.45
2009-10-06,48.40,49.07,48.03,48.64,468200,47.62
2009-10-05,47.60,48.29,47.56,48.05,597000,47.05
2009-10-02,48.24,48.64,47.31,47.50,1025200,46.51
2009-10-01,50.66,50.92,48.74,48.84,1000000,47.82
2009-09-30,51.66,51.79,50.45,50.98,380400,49.92
2009-09-29,51.21,51.83,51.07,51.45,316700,50.38
2009-09-28,51.00,51.36,50.58,50.98,278000,49.92
2009-09-25,50.20,51.03,50.05,50.65,477000,49.59
2009-09-24,50.72,51.02,49.63,50.21,599200,49.16
2009-09-23,51.95,52.07,50.61,50.71,734500,49.65
2009-09-22,51.80,52.69,51.80,51.91,676900,50.83
2009-09-21,51.48,51.95,51.10,51.82,555800,50.74
2009-09-18,52.51,52.62,51.51,51.78,489700,50.70
2009-09-17,53.06,53.33,52.11,52.33,529200,51.24
2009-09-16,52.67,53.21,52.25,53.05,671200,51.94
2009-09-15,51.40,52.36,51.28,52.25,930000,51.16
2009-09-14,50.37,51.18,50.36,51.15,755100,50.08
2009-09-11,50.11,50.81,49.84,50.63,897300,49.57
2009-09-10,48.72,50.15,48.62,50.14,409900,49.09
2009-09-09,47.60,48.78,47.56,48.69,491300,47.67
2009-09-08,48.00,48.10,47.43,47.84,332000,46.84
2009-09-04,46.87,47.50,46.60,47.43,294700,46.44
2009-09-03,47.12,47.21,46.32,46.78,217300,45.80
2009-09-02,46.40,47.00,46.20,46.69,292400,45.72
2009-09-01,47.23,47.98,46.28,46.45,421800,45.48
2009-08-31,48.39,48.39,47.19,47.38,487300,46.39
2009-08-28,48.73,49.12,48.29,48.74,473500,47.72
2009-08-27,47.72,48.47,46.84,48.28,501800,47.27
2009-08-26,47.03,47.94,46.87,47.61,486000,46.62
2009-08-25,46.17,47.24,46.09,47.03,463200,46.05
2009-08-24,46.20,46.63,46.01,46.11,253700,45.15
2009-08-21,46.09,46.32,45.60,46.20,361000,45.24
2009-08-20,45.54,46.04,45.00,45.49,375800,44.54
2009-08-19,44.78,45.82,44.71,45.48,536500,44.53
2009-08-18,44.59,45.32,44.48,45.21,498700,44.27
2009-08-17,45.11,45.31,44.36,44.50,376100,43.57
2009-08-14,46.53,46.78,45.38,45.74,283700,44.79
2009-08-13,46.79,46.97,46.37,46.71,279400,45.73
2009-08-12,46.08,47.26,46.04,46.68,536200,45.71
2009-08-11,46.30,46.47,45.63,46.20,316200,45.24
2009-08-10,47.11,47.11,46.23,46.55,220500,45.58
2009-08-07,47.22,47.57,46.83,46.97,493300,45.99
2009-08-06,47.39,47.75,46.63,46.72,398700,45.74
2009-08-05,48.32,48.55,47.22,47.42,349200,46.43
2009-08-04,47.86,48.57,47.58,48.37,358700,47.36
2009-08-03,48.20,48.30,47.54,48.30,709300,47.29
2009-07-31,47.52,48.07,47.46,47.82,492900,46.82
2009-07-30,47.48,48.33,47.02,47.94,631300,46.94
2009-07-29,46.41,47.04,45.98,46.87,607900,45.89
2009-07-28,46.54,47.42,45.95,46.71,1051900,45.73
2009-07-27,47.14,47.30,45.93,46.62,981400,45.65
2009-07-24,47.50,48.43,47.14,47.17,1132400,46.19
2009-07-23,46.69,48.30,46.69,48.11,384800,47.11
2009-07-22,46.25,47.37,46.09,46.87,468000,45.89
2009-07-21,46.67,47.06,45.77,46.33,489200,45.36
2009-07-20,45.95,46.45,45.79,46.15,404700,45.19
2009-07-17,46.12,46.28,45.34,45.52,450800,44.57
2009-07-16,44.83,46.43,44.66,46.22,354100,45.26
2009-07-15,44.19,45.07,44.01,44.94,423000,44.00
2009-07-14,43.36,43.52,42.83,43.34,563400,42.44
2009-07-13,43.09,43.41,41.92,43.41,391700,42.50
2009-07-10,42.14,43.04,41.93,42.78,480300,41.89
2009-07-09,42.36,42.77,42.07,42.38,366300,41.50
2009-07-08,42.80,42.85,41.54,42.27,736200,41.39
2009-07-07,43.46,43.75,42.53,42.81,853100,41.83
2009-07-06,45.15,45.15,43.26,43.63,1255100,42.64
2009-07-02,45.51,45.60,44.40,45.60,591300,44.56
2009-07-01,45.82,46.59,45.59,46.09,763200,45.04
2009-06-30,45.17,45.61,44.39,45.31,848400,44.28
2009-06-29,44.52,45.53,44.10,45.43,1021700,44.40
2009-06-26,43.65,44.62,43.17,44.21,888400,43.20
2009-06-25,42.96,43.81,42.85,43.79,768000,42.79
2009-06-24,43.87,44.22,42.86,43.00,890600,42.02
2009-06-23,44.33,44.41,43.17,43.47,470300,42.48
2009-06-22,45.80,45.81,44.08,44.08,505400,43.08
2009-06-19,46.42,46.80,45.70,46.16,363000,45.11
2009-06-18,45.35,46.29,44.91,45.99,541300,44.94
