Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,28.47,28.56,28.28,28.31,1336500,25.94
2009-12-30,28.44,28.60,28.14,28.54,1227100,26.15
2009-12-29,28.58,28.83,28.40,28.65,1204800,26.08
2009-12-28,28.58,28.58,28.44,28.54,826600,25.98
2009-12-24,28.47,28.73,28.45,28.50,279200,25.94
2009-12-23,28.17,28.48,28.15,28.44,1009400,25.89
2009-12-22,28.23,28.31,27.98,28.08,1440500,25.56
2009-12-21,28.06,28.35,27.83,28.09,1921400,25.57
2009-12-18,27.94,28.17,27.73,27.83,3596300,25.33
2009-12-17,28.69,28.74,27.92,27.97,3124500,25.46
2009-12-16,29.12,29.30,28.51,28.80,4636500,26.21
2009-12-15,29.60,29.62,29.01,29.11,2522300,26.49
2009-12-14,29.80,29.82,29.48,29.51,1691200,26.86
2009-12-11,29.22,29.69,29.22,29.57,1964800,26.91
2009-12-10,28.92,29.45,28.92,29.29,2392900,26.66
2009-12-09,28.96,28.99,28.59,28.83,1351400,26.24
2009-12-08,28.83,29.19,28.50,28.92,2042200,26.32
2009-12-07,28.82,29.14,28.49,29.11,1767100,26.49
2009-12-04,28.84,29.27,28.50,28.78,1920300,26.19
2009-12-03,28.66,28.95,28.45,28.47,993800,25.91
2009-12-02,28.61,28.85,28.29,28.65,1050200,26.08
2009-12-01,28.51,28.71,28.36,28.57,1228300,26.00
2009-11-30,28.06,28.26,27.94,28.20,1407700,25.67
2009-11-27,27.81,28.37,27.64,28.03,841900,25.51
2009-11-25,28.23,28.44,28.03,28.38,1572000,25.83
2009-11-24,27.90,28.23,27.71,28.23,1415600,25.69
2009-11-23,27.75,28.40,27.72,27.86,1628600,25.36
2009-11-20,27.49,27.57,27.24,27.40,1089600,24.94
2009-11-19,28.01,28.02,27.41,27.52,1087700,25.05
2009-11-18,28.39,28.40,27.98,28.09,1164900,25.57
2009-11-17,28.13,28.37,27.90,28.34,1627600,25.79
2009-11-16,27.59,28.07,27.59,27.97,1273000,25.46
2009-11-13,27.02,27.56,26.98,27.52,2565900,25.05
2009-11-12,27.54,27.56,27.02,27.05,1496600,24.62
2009-11-11,27.57,28.09,27.40,27.58,1434700,25.10
2009-11-10,27.36,27.55,27.33,27.47,2784100,25.00
2009-11-09,26.79,27.50,26.73,27.48,2117700,25.01
2009-11-06,26.71,27.06,26.46,26.66,1762300,24.27
2009-11-05,26.54,26.91,26.54,26.91,1902500,24.49
2009-11-04,26.16,26.82,25.93,26.41,2093900,24.04
2009-11-03,26.14,26.32,25.69,26.07,3879000,23.73
2009-11-02,25.80,26.28,25.80,26.13,2535000,23.78
2009-10-30,26.28,26.60,25.80,25.91,2932300,23.58
2009-10-29,26.40,26.56,25.67,26.35,3173200,23.98
2009-10-28,26.89,26.89,26.29,26.29,2525600,23.93
2009-10-27,26.64,27.16,26.57,26.87,2223100,24.46
2009-10-26,26.77,27.23,26.65,26.70,2435000,24.30
2009-10-23,27.15,27.72,26.75,26.80,4064000,24.39
2009-10-22,27.85,27.98,27.58,27.71,3777100,25.22
2009-10-21,27.85,28.35,27.74,27.77,1888400,25.28
2009-10-20,27.86,28.00,27.50,27.90,1277200,25.39
2009-10-19,27.63,28.00,27.49,27.92,1248200,25.41
2009-10-16,27.45,27.79,27.21,27.64,2346600,25.16
2009-10-15,26.80,27.61,26.80,27.58,2466700,25.10
2009-10-14,26.86,27.00,26.57,27.00,3807400,24.57
2009-10-13,26.55,26.73,26.51,26.68,2921700,24.28
2009-10-12,26.96,26.97,26.60,26.62,2103900,24.23
2009-10-09,26.76,26.97,26.67,26.97,1368600,24.55
2009-10-08,26.51,26.83,26.33,26.78,1695000,24.37
2009-10-07,26.14,26.32,25.95,26.31,2277600,23.95
2009-10-06,25.98,26.21,25.78,26.18,2003800,23.83
2009-10-05,25.65,26.01,25.48,25.80,2080800,23.48
2009-10-02,25.59,25.91,25.44,25.77,1963600,23.46
2009-10-01,26.54,26.54,25.66,25.81,2430500,23.49
2009-09-30,26.75,26.81,26.20,26.57,2333100,24.18
2009-09-29,26.89,26.95,26.56,26.75,1295700,24.35
2009-09-28,26.44,27.05,26.42,26.94,1289600,24.35
2009-09-25,26.49,26.66,26.15,26.31,1415800,23.78
2009-09-24,26.81,26.90,26.36,26.57,1503900,24.01
2009-09-23,26.90,27.15,26.58,26.79,1506400,24.21
2009-09-22,26.91,27.16,26.62,26.91,1987200,24.32
2009-09-21,27.26,27.27,26.73,26.83,1856000,24.25
2009-09-18,27.11,27.32,26.98,27.30,1971100,24.67
2009-09-17,26.97,27.25,26.82,27.05,1637900,24.45
2009-09-16,26.74,27.12,26.67,27.10,1081700,24.49
2009-09-15,25.81,26.75,25.01,26.72,1050200,24.15
2009-09-14,26.19,26.75,26.13,26.69,1778600,24.12
2009-09-11,26.62,26.78,26.33,26.39,1742100,23.85
2009-09-10,26.58,26.58,26.26,26.56,1869800,24.00
2009-09-09,26.28,26.70,26.20,26.54,2088500,23.99
2009-09-08,26.00,26.38,25.99,26.33,2793300,23.80
2009-09-04,25.71,25.97,25.48,25.96,1119100,23.46
2009-09-03,25.32,25.72,25.24,25.69,1883100,23.22
2009-09-02,25.61,25.61,25.04,25.43,2112100,22.98
2009-09-01,25.52,26.30,25.25,25.51,2006700,23.05
2009-08-31,25.66,25.98,25.49,25.61,1119800,23.15
2009-08-28,26.23,26.26,25.56,25.73,1466900,23.25
2009-08-27,25.93,26.04,25.41,25.98,1016200,23.48
2009-08-26,25.71,25.99,25.65,25.84,1309000,23.35
2009-08-25,26.03,26.28,25.67,25.71,1345400,23.24
2009-08-24,26.15,26.23,25.80,25.90,1127200,23.41
2009-08-21,25.30,26.16,25.21,26.02,1900800,23.52
2009-08-20,25.07,25.32,24.99,25.18,1513600,22.76
2009-08-19,24.94,25.25,24.82,25.18,1305300,22.76
2009-08-18,25.19,25.26,24.77,25.14,2011400,22.72
2009-08-17,24.87,25.16,24.24,25.16,2153100,22.74
2009-08-14,25.67,25.67,24.95,25.24,2121100,22.81
2009-08-13,25.49,25.64,25.29,25.55,1370400,23.09
2009-08-12,24.92,25.71,24.90,25.46,1629700,23.01
2009-08-11,24.86,25.01,24.63,24.92,1436800,22.52
2009-08-10,24.88,25.16,24.71,25.10,1727700,22.68
2009-08-07,24.73,25.15,24.62,25.01,2549300,22.60
2009-08-06,25.03,25.25,24.15,24.46,2842700,22.11
2009-08-05,24.94,25.09,24.75,24.99,3754200,22.58
2009-08-04,25.30,25.40,24.66,24.84,4324800,22.45
