Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,65.64,66.00,65.05,65.09,3451200,62.47
2009-12-30,64.95,65.60,64.67,65.56,2798700,62.92
2009-12-29,66.00,66.28,64.78,65.20,3381600,62.58
2009-12-28,65.96,66.44,65.45,65.72,3665800,63.07
2009-12-24,65.41,65.80,65.16,65.35,1492400,62.72
2009-12-23,65.00,65.91,64.55,65.23,5447500,62.60
2009-12-22,64.04,64.75,63.75,63.98,4906700,61.40
2009-12-21,63.45,64.86,63.21,63.77,5884500,61.20
2009-12-18,63.20,63.66,62.65,62.95,10903200,60.42
2009-12-17,63.06,63.49,62.40,62.57,5978200,60.05
2009-12-16,62.55,64.40,62.47,63.53,7310400,60.97
2009-12-15,62.12,63.09,61.75,62.24,6608200,59.73
2009-12-14,62.07,62.38,61.64,61.97,4879600,59.48
2009-12-11,61.71,62.05,61.00,61.38,5705200,58.91
2009-12-10,60.69,61.59,60.19,61.48,8126200,59.00
2009-12-09,60.25,60.60,58.98,60.02,9348800,57.60
2009-12-08,61.01,61.17,59.57,60.00,8014400,57.58
2009-12-07,61.01,62.18,60.37,61.36,6854400,58.89
2009-12-04,63.19,63.70,60.75,61.37,8695200,58.90
2009-12-03,63.75,63.99,62.08,62.20,7465100,59.70
2009-12-02,64.35,64.90,63.50,63.99,5841800,61.41
2009-12-01,64.65,66.03,64.58,64.65,8717900,62.05
2009-11-30,62.50,64.21,62.50,63.89,6701700,61.32
2009-11-27,62.63,63.50,62.15,63.14,4143100,60.40
2009-11-25,65.17,65.33,64.04,65.03,7173400,62.20
2009-11-24,64.37,65.60,63.86,65.56,7119100,62.71
2009-11-23,64.98,66.19,64.35,64.63,8527200,61.82
2009-11-20,64.22,64.53,62.85,63.34,8522500,60.59
2009-11-19,66.25,66.32,64.07,64.54,7778600,61.74
2009-11-18,67.35,67.52,66.02,66.71,6739200,63.81
2009-11-17,67.30,67.68,66.36,67.09,9070200,64.17
2009-11-16,66.55,68.34,66.46,67.89,8632800,64.94
