Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,81.66,82.27,79.72,79.80,2464500,73.12
2009-12-30,81.83,82.11,80.60,81.47,2597800,74.65
2009-12-29,83.23,83.82,81.90,82.04,2598000,75.17
2009-12-28,82.91,83.82,82.49,83.04,2458300,76.09
2009-12-24,81.55,82.93,81.36,82.74,1127100,75.81
2009-12-23,79.89,82.34,79.48,81.16,2530500,74.36
2009-12-22,79.20,80.13,78.80,79.85,2748100,73.16
2009-12-21,77.89,79.56,77.87,79.40,2623100,72.75
2009-12-18,76.86,77.89,76.00,77.78,3618700,71.27
2009-12-17,76.35,77.03,75.71,76.71,2896600,70.29
2009-12-16,76.91,77.87,76.48,76.82,2799100,70.39
2009-12-15,77.15,77.86,76.71,76.82,2135100,70.39
2009-12-14,77.20,77.97,75.90,77.85,3626300,71.33
2009-12-11,75.71,76.85,75.27,76.75,3452100,70.32
2009-12-10,75.14,75.74,74.68,75.54,3633300,69.22
2009-12-09,74.69,75.84,74.06,75.08,4161800,68.79
2009-12-08,73.76,75.60,73.38,74.68,4324400,68.43
2009-12-07,75.21,76.07,73.18,73.90,3010000,67.71
2009-12-04,75.28,76.83,74.41,75.80,3929000,69.45
2009-12-03,74.85,76.71,73.83,74.18,3041500,67.97
2009-12-02,73.86,75.69,73.49,75.12,2929100,68.83
2009-12-01,73.30,74.24,72.41,73.83,3258800,67.65
2009-11-30,70.06,73.01,69.61,72.66,6284000,66.58
2009-11-27,70.33,71.30,69.64,69.73,1719500,63.89
2009-11-25,72.27,73.03,71.95,72.22,1939100,66.17
2009-11-24,74.32,74.32,71.94,72.17,3403700,66.13
2009-11-23,74.00,74.85,73.53,74.27,3006200,68.05
2009-11-20,73.53,73.75,72.55,72.56,2974500,66.48
2009-11-19,75.12,75.13,73.03,73.91,4903300,67.72
2009-11-18,72.41,75.85,72.41,75.58,4951700,69.25
2009-11-17,73.23,74.25,72.11,72.18,3473500,66.14
2009-11-16,72.98,74.53,72.70,73.67,3114600,67.50
2009-11-13,71.73,72.84,71.53,72.29,2380400,66.24
2009-11-12,72.21,72.65,71.41,71.71,2900700,65.71
2009-11-11,71.38,73.00,71.03,72.66,2821100,66.47
2009-11-10,71.38,71.38,69.78,70.63,2692700,64.61
2009-11-09,69.16,71.85,68.57,71.72,3825700,65.61
2009-11-06,68.59,69.40,67.56,68.22,2167200,62.40
2009-11-05,67.94,69.50,67.82,69.35,3111700,63.44
2009-11-04,69.74,70.45,67.30,67.56,4440900,61.80
2009-11-03,67.57,69.50,67.33,69.11,3327500,63.22
2009-11-02,68.26,69.59,66.15,68.37,4506700,62.54
2009-10-30,67.62,69.24,65.29,67.89,7624400,62.10
2009-10-29,65.45,68.45,65.01,68.17,5595500,62.36
2009-10-28,66.99,68.04,64.20,64.40,4842200,58.91
2009-10-27,68.54,68.87,67.07,67.35,3787400,61.61
2009-10-26,68.97,70.66,68.50,68.80,2863500,62.94
2009-10-23,70.26,70.29,68.39,68.84,3587800,62.97
2009-10-22,67.98,70.15,67.12,69.99,3775400,64.02
2009-10-21,68.44,70.36,68.07,68.20,3579200,62.39
2009-10-20,68.97,69.00,68.37,68.52,3239100,62.68
2009-10-19,67.72,69.63,67.72,69.18,2612600,63.28
